TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
New York Yankees,AL,113,3986,670,1155,238,16,139,632,530,660,55,40,.290,.374,.462,.836
Cleveland Indians,AL,113,4022,679,1165,240,20,167,647,382,629,131,48,.290,.351,.484,.835
Chicago White Sox,AL,113,3942,633,1133,175,39,121,602,497,568,77,27,.287,.366,.444,.810
Detroit Tigers,AL,115,3955,652,1048,216,25,161,622,520,897,46,33,.265,.352,.454,.806
Cincinnati Reds,NL,115,3999,609,1142,211,36,124,569,388,738,119,51,.286,.350,.449,.799
Houston Astros,NL,115,3955,602,1099,252,25,120,573,394,718,124,44,.278,.347,.445,.792
Texas Rangers,AL,114,3983,613,1114,198,27,124,582,437,730,82,35,.280,.353,.436,.790
Baltimore Orioles,AL,112,3856,589,1047,185,20,139,557,438,655,69,13,.272,.349,.438,.787
Seattle Mariners,AL,112,3883,569,1045,211,18,153,549,372,652,48,21,.269,.335,.451,.786
Montreal Expos,NL,114,4000,585,1111,246,30,108,542,379,669,137,36,.278,.343,.435,.778
Colorado Rockies,NL,117,4006,573,1098,206,39,125,540,378,761,91,53,.274,.337,.439,.776
Atlanta Braves,NL,114,3861,542,1031,198,18,137,510,377,668,48,31,.267,.333,.434,.768
Minnesota Twins,AL,113,3952,594,1092,239,23,103,556,359,635,94,30,.276,.340,.427,.767
Toronto Blue Jays,AL,115,3962,566,1064,210,30,115,534,387,691,79,26,.269,.336,.424,.760
Boston Red Sox,AL,115,3940,552,1038,222,19,120,523,404,723,81,38,.263,.334,.421,.755
Kansas City Royals,AL,115,3911,574,1051,211,38,100,538,376,698,140,62,.269,.335,.419,.754
St. Louis Cardinals,NL,115,3902,535,1026,213,27,108,506,434,686,76,46,.263,.339,.414,.753
Los Angeles Dodgers,NL,114,3904,532,1055,160,29,115,505,366,687,74,37,.270,.333,.414,.748
California Angels,AL,115,3943,543,1042,178,16,120,518,402,715,65,54,.264,.334,.409,.743
Milwaukee Brewers,AL,115,3978,547,1045,238,21,99,510,417,680,59,37,.263,.335,.408,.742
San Diego Padres,NL,117,4068,479,1117,200,19,92,445,319,762,79,37,.275,.330,.401,.730
Oakland Athletics,AL,114,3885,549,1009,178,13,113,515,417,686,91,39,.260,.330,.399,.730
Chicago Cubs,NL,113,3918,500,1015,189,26,109,464,364,750,69,53,.259,.325,.404,.729
Florida Marlins,NL,115,3926,468,1043,180,24,94,451,349,746,65,26,.266,.330,.396,.725
Philadelphia Phillies,NL,115,3927,521,1028,208,28,80,484,396,711,67,24,.262,.332,.390,.722
San Francisco Giants,NL,115,3869,504,963,159,32,123,472,364,719,114,40,.249,.318,.402,.720
New York Mets,NL,113,3869,506,966,164,21,117,477,336,807,25,26,.250,.316,.394,.709
Pittsburgh Pirates,NL,114,3864,466,1001,198,23,80,435,349,725,53,25,.259,.322,.384,.706
