TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Seattle Mariners,AL,162,5614,925,1574,312,21,264,890,626,1110,89,40,.280,.355,.485,.839
Colorado Rockies,NL,162,5603,923,1611,269,40,239,869,562,1060,137,65,.288,.357,.478,.835
Cleveland Indians,AL,161,5556,868,1589,301,22,220,810,617,955,118,59,.286,.358,.467,.825
Boston Red Sox,AL,162,5781,851,1684,373,32,185,810,514,1044,68,48,.291,.352,.463,.815
New York Yankees,AL,162,5710,891,1636,325,23,161,846,676,954,99,58,.287,.362,.436,.798
Texas Rangers,AL,162,5651,807,1547,311,27,187,773,500,1116,72,37,.274,.334,.438,.771
Baltimore Orioles,AL,162,5584,812,1498,264,22,196,780,586,952,63,26,.268,.341,.429,.770
Atlanta Braves,NL,162,5528,791,1490,268,37,174,755,597,1160,108,58,.270,.343,.426,.769
Anaheim Angels,AL,162,5628,829,1531,279,25,161,775,617,953,126,72,.272,.346,.416,.762
Oakland Athletics,AL,162,5589,764,1451,274,23,197,714,642,1181,71,36,.260,.339,.423,.762
Chicago White Sox,AL,161,5491,779,1498,260,28,158,740,569,901,106,52,.273,.341,.417,.758
San Francisco Giants,NL,162,5485,784,1415,266,37,172,746,642,1120,121,49,.258,.337,.414,.752
San Diego Padres,NL,162,5609,795,1519,275,16,152,761,604,1129,140,60,.271,.342,.407,.749
Los Angeles Dodgers,NL,162,5544,742,1488,242,33,174,706,498,1079,131,64,.268,.330,.418,.748
Houston Astros,NL,162,5502,777,1427,314,40,133,720,633,1085,171,74,.259,.344,.403,.747
Detroit Tigers,AL,162,5481,784,1415,268,32,176,743,578,1164,161,72,.258,.332,.415,.747
Minnesota Twins,AL,162,5634,772,1522,305,40,132,730,495,1121,151,52,.270,.333,.409,.741
Florida Marlins,NL,162,5439,740,1410,272,28,136,703,686,1074,115,58,.259,.346,.395,.741
Montreal Expos,NL,162,5526,691,1423,339,34,172,659,420,1084,75,46,.258,.316,.425,.741
Kansas City Royals,AL,161,5599,747,1478,256,35,158,711,561,1061,130,66,.264,.333,.407,.740
New York Mets,NL,162,5524,777,1448,274,28,153,741,550,1029,97,74,.262,.332,.405,.737
Pittsburgh Pirates,NL,162,5503,725,1440,291,52,129,686,481,1161,160,50,.262,.329,.404,.732
Milwaukee Brewers,AL,161,5444,681,1415,294,27,135,643,494,967,103,55,.260,.325,.398,.724
St. Louis Cardinals,NL,162,5524,689,1409,269,39,144,654,543,1191,164,60,.255,.324,.396,.720
Chicago Cubs,NL,162,5489,687,1444,269,39,127,642,451,1003,116,60,.263,.321,.396,.717
Cincinnati Reds,NL,162,5484,651,1386,269,27,142,612,518,1113,190,67,.253,.321,.389,.710
Philadelphia Phillies,NL,162,5443,668,1390,290,35,116,622,519,1032,92,56,.255,.322,.385,.708
Toronto Blue Jays,AL,162,5473,654,1333,275,41,147,627,487,1138,134,50,.244,.310,.389,.699
