PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Cal C Ripken S,BAL,163,640,94,178,40,1,26,102,59,78,1,2,.278,.341,.466,.806
Todd T Zeile,BAL,163,617,78,162,32,0,25,99,82,104,1,1,.263,.348,.436,.784
Jeff J Bagwell,HOU,162,568,111,179,48,2,31,120,135,114,21,7,.315,.451,.570,1.021
Craig C Biggio,HOU,162,605,113,174,24,4,15,75,75,72,25,7,.288,.386,.415,.801
Rafael R Palmeiro,BAL,162,626,110,181,40,2,39,142,95,96,8,0,.289,.381,.546,.928
Steve S Finley C,SD,161,655,126,195,45,9,30,95,56,87,22,8,.298,.354,.531,.886
Paul P Molitor D,MIN,161,660,99,225,41,8,9,113,56,72,18,6,.341,.390,.468,.858
Gary G Sheffield R,FLA,161,519,118,163,33,1,42,120,142,66,16,9,.314,.465,.624,1.090
Mo M Vaughn,BOS,161,635,118,207,29,1,44,143,95,154,2,0,.326,.420,.583,1.003
Vinny V Castilla,COL,160,629,97,191,34,0,40,113,35,88,7,2,.304,.343,.548,.892
Cecil C Fielder D,NYY,160,591,85,149,20,0,39,117,87,139,2,0,.252,.350,.484,.834
Lance L Johnson C,NYM,160,682,117,227,31,21,9,69,33,40,50,12,.333,.362,.479,.842
Dante D Bichette R,COL,159,633,114,198,39,3,31,141,45,105,31,12,.313,.359,.531,.890
Bobby B Bonilla R,BAL,159,595,107,171,27,5,28,116,75,85,1,3,.287,.363,.491,.854
Andres A Galarraga,COL,159,626,119,190,39,3,47,150,40,157,18,8,.304,.357,.601,.958
Mike M Lansing,MON,159,641,99,183,40,2,11,53,44,85,23,8,.285,.341,.406,.746
Fred F Mc Griff,ATL,159,617,81,182,37,1,28,107,68,116,7,3,.295,.365,.494,.859
Ed E Sprague,TOR,159,591,88,146,35,2,36,101,60,146,0,0,.247,.325,.496,.821
Derek D Bell R,HOU,158,627,84,165,40,3,17,113,40,123,29,3,.263,.311,.418,.729
Albert A Belle L,CLE,158,602,124,187,38,3,48,148,99,87,11,0,.311,.410,.623,1.033
Barry B Bonds L,SF,158,517,122,159,27,3,42,129,151,76,40,7,.308,.461,.615,1.076
Jeff J Cirillo,MIL,158,566,101,184,46,5,15,83,58,69,4,9,.325,.391,.504,.894
Marquis M Grissom C,ATL,158,671,106,207,32,10,23,74,41,73,28,11,.308,.349,.489,.838
Robin R Ventura,CWS,158,586,96,168,31,2,34,105,78,81,1,3,.287,.368,.520,.888
Joe J Carter L,TOR,157,625,84,158,35,7,30,107,44,106,7,6,.253,.306,.475,.782
Jeff J Conine L,FLA,157,597,84,175,32,2,26,95,62,121,1,4,.293,.360,.484,.844
Kevin K Elster S,TEX,157,515,79,130,32,2,24,99,52,138,4,1,.252,.317,.462,.779
Travis T Fryman,DET,157,616,90,165,32,3,22,100,57,118,4,3,.268,.329,.437,.766
Derek D Jeter S,NYY,157,582,104,183,25,6,10,78,48,102,14,7,.314,.370,.430,.800
Chipper C Jones,ATL,157,598,114,185,32,5,30,110,87,88,14,1,.309,.393,.530,.923
Brian B Mc Rae C,CHC,157,624,111,172,32,5,17,66,73,84,37,9,.276,.360,.425,.785
Raul R Mondesi,LA,157,634,98,188,40,7,24,88,32,122,14,7,.297,.334,.495,.830
Ellis E Burks L,COL,156,613,142,211,45,8,40,128,61,114,32,6,.344,.408,.639,1.047
