PLAYER,TEAM,W,L,ERA,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Duane D Ward,TOR,7,6,2.77,81,0,0,0,23,23,107.1,80,36,33,3,2,33,132,1.05,.207
Barry B Jones,MON,4,9,3.35,77,0,0,0,13,13,88.2,76,35,33,8,1,33,46,1.23,.246
Paul P Assenmacher,CHC,7,8,3.24,75,0,0,0,15,15,102.2,85,41,37,10,3,31,117,1.13,.223
Mike M Stanton,ATL,5,5,2.88,74,0,0,0,7,7,78.0,62,27,25,6,1,21,54,1.06,.217
Juan J Agosto,STL,5,3,4.81,72,0,0,0,2,2,86.0,92,52,46,4,8,39,34,1.52,.291
Tim T Burke,NYM,6,7,3.36,72,0,0,0,6,6,101.2,96,46,38,8,4,26,59,1.20,.249
Michael M Jackson,SEA,7,7,3.25,72,0,0,0,14,14,88.2,64,35,32,5,6,34,74,1.11,.201
Gregg G Olson,BAL,4,6,3.18,72,0,0,0,31,31,73.2,74,28,26,1,1,29,72,1.40,.262
Roger R Mc Dowell,LA,9,9,2.93,71,0,0,0,10,10,101.1,100,40,33,4,2,48,50,1.46,.262
Chuck C Mc Elroy,CHC,6,2,1.95,71,0,0,0,3,3,101.1,73,33,22,7,0,57,92,1.28,.210
Al A Osuna,HOU,7,6,3.42,71,0,0,0,12,12,81.2,59,39,31,5,3,46,68,1.29,.201
Bill B Swift,SEA,1,2,1.99,71,0,0,0,17,17,90.1,74,22,20,3,1,26,48,1.11,.224
Mark M Eichhorn,CAL,3,3,1.98,70,0,0,0,1,1,81.2,63,21,18,2,2,13,49,0.93,.219
Mike M Jeffcoat,TEX,5,3,4.63,70,0,0,0,1,1,79.2,104,46,41,8,4,25,43,1.62,.321
Jeff J Innis,NYM,0,2,2.66,69,0,0,0,0,0,84.2,66,30,25,2,0,23,47,1.05,.219
Mitch M Williams,PHI,12,5,2.34,69,0,0,0,30,30,88.1,56,24,23,4,8,62,84,1.34,.182
Joe J Boever,PHI,3,5,3.84,68,0,0,0,0,0,98.1,90,45,42,10,0,54,89,1.46,.245
Greg G Cadaret,NYY,8,6,3.62,68,5,0,0,3,3,121.2,110,52,49,8,2,59,105,1.39,.246
Paul P Gibson,DET,5,7,4.59,68,0,0,0,8,8,96.0,112,51,49,10,3,48,52,1.67,.297
Ted T Power,CIN,5,3,3.62,68,0,0,0,3,3,87.0,87,37,35,6,2,31,51,1.36,.265
Jeff J Russell,TEX,6,4,3.29,68,0,0,0,30,30,79.1,71,36,29,11,1,26,52,1.22,.236
Jeff J Brantley,SF,5,2,2.45,67,0,0,0,15,15,95.1,78,27,26,8,5,52,81,1.36,.225
Rob R Dibble,CIN,3,5,3.17,67,0,0,0,31,31,82.1,67,32,29,5,0,25,124,1.12,.223
Dennis D Eckersley,OAK,5,4,2.96,67,0,0,0,43,43,76.0,60,26,25,11,1,9,87,0.91,.208
Bryan B Harvey,CAL,2,4,1.60,67,0,0,0,46,46,78.2,51,20,14,6,1,17,101,0.86,.178
Jeff J Montgomery,KC,4,4,2.90,67,0,0,0,33,33,90.0,83,32,29,6,2,28,77,1.23,.246
Scott S Radinsky,CWS,5,5,2.02,67,0,0,0,8,8,71.1,53,18,16,4,1,23,49,1.07,.206
Lee L Smith,STL,6,3,2.34,67,0,0,0,47,47,73.0,70,19,19,5,0,13,67,1.14,.249
Bobby B Thigpen,CWS,7,5,3.49,67,0,0,0,30,30,69.2,63,32,27,10,4,38,47,1.45,.245
Chuck C Crim,MIL,8,5,4.63,66,0,0,0,3,3,91.1,115,52,47,9,2,25,39,1.53,.305
John J Habyan,NYY,4,2,2.30,66,0,0,0,2,2,90.0,73,28,23,2,2,20,70,1.03,.225
Scott S Terry,STL,4,4,2.80,65,0,0,0,1,1,80.1,76,31,25,1,0,32,52,1.34,.249
Mark M Williamson,BAL,5,5,4.48,65,0,0,0,4,4,80.1,87,42,40,9,0,35,53,1.52,.275
Mike M Flanagan,BAL,2,7,2.38,64,1,0,0,3,3,98.1,84,27,26,6,3,25,55,1.11,.236
Tony T Fossas,BOS,3,2,3.47,64,0,0,0,1,1,57.0,49,27,22,3,3,28,29,1.35,.236
Lee L Guetterman,NYY,3,4,3.68,64,0,0,0,6,6,88.0,91,42,36,6,3,25,35,1.32,.268
Les L Lancaster,CHC,9,7,3.52,64,11,1,0,3,3,156.0,150,68,61,13,4,49,102,1.28,.256
Mike M Maddux,SD,7,2,2.46,64,1,0,0,5,5,98.2,78,30,27,4,1,27,57,1.06,.221
Rich R Rodriguez,SD,3,1,3.26,64,1,0,0,0,0,80.0,66,31,29,8,0,44,40,1.38,.234
Scott S Ruskin,MON,4,4,4.24,64,0,0,0,6,6,63.2,57,31,30,4,3,30,46,1.37,.241
Rick R Aguilera,MIN,4,5,2.35,63,0,0,0,42,42,69.0,44,20,18,3,1,30,61,1.07,.183
