PLAYER,TEAM,W,L,ERA,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Steve S Kline,MON,7,4,3.75,82,0,0,0,0,0,69.2,56,32,29,8,3,33,69,1.28,.218
Turk T Wendell,NYM,5,4,3.05,80,0,0,0,3,3,85.2,80,31,29,9,2,37,77,1.37,.245
Scott S Sullivan,CIN,5,4,3.01,79,0,0,0,3,3,113.2,88,41,38,10,8,47,78,1.19,.217
Anthony A Telford,MON,5,4,3.94,79,0,0,0,2,2,96.0,112,52,42,3,3,38,69,1.56,.295
Armando A Benitez,NYM,4,3,1.85,77,0,0,0,22,22,78.0,40,17,16,4,0,41,128,1.04,.148
Buddy B Groom,OAK,3,2,5.09,76,0,0,0,0,0,46.0,48,29,26,1,1,18,32,1.43,.274
Bob B Wells,MIN,8,3,3.81,76,0,0,0,1,1,87.1,79,41,37,8,5,28,44,1.23,.245
Danny D Graves,CIN,8,7,3.08,75,0,0,0,27,27,111.0,90,42,38,10,2,49,69,1.25,.227
Mike M Trombley,MIN,2,8,4.33,75,0,0,0,24,24,87.1,93,42,42,15,2,28,82,1.39,.272
Graeme G Lloyd,TOR,5,3,3.63,74,0,0,0,3,3,72.0,68,36,29,11,4,23,47,1.26,.250
Derek D Lowe,BOS,6,3,2.63,74,0,0,0,15,15,109.1,84,35,32,7,4,25,80,1.00,.208
John J Rocker,ATL,4,5,2.49,74,0,0,0,38,38,72.1,47,24,20,5,1,37,104,1.16,.180
Antonio A Alfonseca,FLA,4,5,3.24,73,0,0,0,21,21,77.2,79,28,28,4,4,29,46,1.39,.274
Wayne W Gomes,PHI,5,5,4.26,73,0,0,0,19,19,74.0,70,38,35,5,2,56,58,1.70,.255
Mike M Remlinger,ATL,10,1,2.37,73,0,0,0,1,1,83.2,66,24,22,9,1,35,81,1.21,.215
Mike M Stanton,NYY,2,2,4.33,73,1,0,0,0,0,62.1,71,30,30,5,1,18,59,1.43,.289
Dave D Veres,COL,4,8,5.14,73,0,0,0,31,31,77.0,88,46,44,14,2,37,71,1.62,.290
Roberto R Hernandez,TB,2,3,3.07,72,0,0,0,43,43,73.1,68,27,25,1,4,33,69,1.38,.245
Michael M Jackson,CLE,3,4,4.06,72,0,0,0,39,39,68.2,60,32,31,11,2,26,55,1.25,.232
Braden B Looper,FLA,3,3,3.80,72,0,0,0,0,0,83.0,96,43,35,7,1,31,50,1.53,.293
Robb R Nen,SF,3,8,3.98,72,0,0,0,37,37,72.1,79,36,32,8,0,27,77,1.47,.275
Paul P Shuey,CLE,8,5,3.53,72,0,0,0,6,6,81.2,68,37,32,8,1,40,103,1.32,.223
Dennis D Cook,NYM,10,5,3.86,71,0,0,0,3,3,63.0,50,27,27,11,1,27,68,1.22,.216
Mike M Myers,MIL,2,1,5.23,71,0,0,0,0,0,41.1,46,24,24,7,3,13,35,1.43,.291
Ugueth U Urbina,MON,6,6,3.69,71,0,0,0,41,41,75.2,59,35,31,6,0,36,100,1.26,.208
Bob B Wickman,MIL,3,8,3.39,71,0,0,0,37,37,74.1,75,31,28,6,2,38,60,1.52,.262
Pedro P Borbon,LA,4,3,4.09,70,0,0,0,1,1,50.2,39,23,23,5,1,29,33,1.34,.209
Doug D Brocail,DET,4,4,2.52,70,0,0,0,2,2,82.0,60,23,23,7,4,25,78,1.04,.206
Doug D Jones,OAK,5,5,3.55,70,0,0,0,10,10,104.0,106,43,41,10,3,24,63,1.25,.267
Bill B Simas,CWS,6,3,3.75,70,0,0,0,2,2,72.0,73,36,30,6,6,32,41,1.46,.263
Felix F Heredia,CHC,3,1,4.85,69,0,0,0,1,1,52.0,56,35,28,7,1,25,50,1.56,.272
Bob B Howry,CWS,5,3,3.59,69,0,0,0,28,28,67.2,58,34,27,8,3,38,80,1.42,.229
Ricky R Bottalico,STL,3,7,4.91,68,0,0,0,20,20,73.1,83,45,40,8,3,49,66,1.80,.284
Tim T Crabtree,TEX,5,1,3.46,68,0,0,0,0,0,65.0,71,26,25,4,1,18,54,1.37,.280
Brian B Edmondson,FLA,5,8,5.84,68,0,0,0,1,1,94.0,106,65,61,11,6,44,58,1.60,.290
Alan A Embree,SF,3,2,3.38,68,0,0,0,0,0,58.2,42,22,22,6,3,26,53,1.16,.200
Jose J Mesa,SEA,3,6,4.98,68,0,0,0,33,33,68.2,84,42,38,11,4,40,42,1.81,.305
Alan A Mills,LA,3,4,3.73,68,0,0,0,0,0,72.1,70,33,30,10,4,43,49,1.56,.261
C. J. C Nitkowski,DET,4,5,4.30,68,7,0,0,0,0,81.2,63,44,39,11,3,45,66,1.32,.213
Eric E Plunk,MIL,4,4,5.02,68,0,0,0,0,0,75.1,71,44,42,15,5,43,63,1.51,.251
Scott S Service,KC,5,5,6.09,68,0,0,0,8,8,75.1,87,51,51,13,3,42,68,1.71,.294
Keith K Foulke,CWS,3,3,2.22,67,0,0,0,9,9,105.1,72,28,26,11,3,21,123,0.88,.188
Jay J Powell,HOU,5,4,4.32,67,0,0,0,4,4,75.0,82,38,36,3,3,40,77,1.63,.282
Matt M Whisenant,SD,4,5,5.63,67,0,0,0,1,1,54.1,50,34,34,4,7,36,37,1.58,.250
Scott S Aldred,PHI,4,3,4.45,66,0,0,0,1,1,56.2,59,30,28,2,2,29,41,1.55,.276
Bobby B Ayala,CHC,1,7,3.51,66,0,0,0,0,0,82.0,71,43,32,10,6,39,79,1.34,.228
Dan D Miceli,SD,4,5,4.46,66,0,0,0,2,2,68.2,67,39,34,7,2,36,59,1.50,.266
Mariano M Rivera,NYY,4,3,1.83,66,0,0,0,45,45,69.0,43,15,14,2,3,18,52,0.88,.176
Scott S Sanders,CHC,4,7,5.52,66,6,0,0,2,2,104.1,112,69,64,19,0,53,89,1.58,.277
Billy B Wagner,HOU,4,1,1.57,66,0,0,0,39,39,74.2,35,14,13,5,1,23,124,0.78,.135
Manny M Aybar,STL,4,5,5.47,65,1,0,0,3,3,97.0,104,67,59,13,4,36,74,1.44,.272
Todd T Jones,DET,4,4,3.80,65,0,0,0,30,30,66.1,64,30,28,7,1,35,64,1.49,.259
Matt M Mantei,ARI,1,3,2.76,65,0,0,0,32,32,65.1,44,21,20,5,5,44,99,1.35,.189
Jesse J Orosco,BAL,0,2,5.34,65,0,0,0,1,1,32.0,28,21,19,5,2,20,35,1.50,.239
Carlos C Reyes,SD,2,4,3.72,65,0,0,0,1,1,77.1,76,38,32,11,0,24,57,1.29,.254
Dennys D Reyes,CIN,2,2,3.79,65,1,0,0,2,2,61.2,53,30,26,5,3,39,72,1.49,.232
Scott S Sauerbeck,PIT,4,1,2.00,65,0,0,0,2,2,67.2,53,19,15,6,4,38,55,1.34,.220
Mike M Venafro,TEX,3,2,3.29,65,0,0,0,0,0,68.1,63,29,25,4,3,22,37,1.24,.251
Jeff J Zimmerman,TEX,9,3,2.36,65,0,0,0,3,3,87.2,50,24,23,9,2,23,67,0.83,.166
