PLAYER,TEAM,W,L,ERA,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Sean S Runyan,DET,1,4,3.58,88,0,0,0,1,1,50.1,47,23,20,7,2,28,39,1.49,.255
Paul P Quantrill,TOR,3,4,2.59,82,0,0,0,7,7,80.0,88,26,23,5,3,22,59,1.38,.285
Rod R Beck,CHC,3,4,3.02,81,0,0,0,51,51,80.1,86,33,27,11,2,20,81,1.32,.269
Greg G Swindell,BOS,5,6,3.59,81,0,0,0,2,2,90.1,92,40,36,13,3,31,63,1.36,.267
Eddie E Guardado,MIN,3,1,4.52,79,0,0,0,0,0,65.2,66,34,33,10,0,28,53,1.43,.265
Steve S Kline,MON,3,6,2.76,78,0,0,0,1,1,71.2,62,25,22,4,3,41,76,1.44,.228
Chuck C Mc Elroy,COL,6,4,2.90,78,0,0,0,2,2,68.1,68,23,22,3,0,24,61,1.35,.268
Robb R Nen,SF,7,7,1.52,78,0,0,0,40,40,88.2,59,21,15,4,1,25,110,0.95,.180
Dan D Plesac,TOR,4,3,3.78,78,0,0,0,4,4,50.0,41,23,21,4,1,16,55,1.14,.224
Anthony A Telford,MON,3,6,3.86,77,0,0,0,1,1,91.0,85,45,39,9,4,36,59,1.33,.247
Mike M Trombley,MIN,6,5,3.63,77,1,0,0,1,1,96.2,90,41,39,16,5,41,89,1.36,.248
Jose J Mesa,SF,8,7,4.57,76,0,0,0,1,1,84.2,91,50,43,8,4,38,63,1.52,.273
Buddy B Groom,OAK,3,1,4.24,75,0,0,0,0,0,57.1,62,30,27,4,1,20,36,1.43,.274
Kerry K Ligtenberg,ATL,3,2,2.71,75,0,0,0,30,30,73.0,51,24,22,6,0,24,79,1.03,.193
Dennis D Cook,NYM,8,4,2.38,73,0,0,0,1,1,68.0,60,21,18,5,3,27,79,1.28,.240
Tom T Gordon,BOS,7,4,2.72,73,0,0,0,46,46,79.1,55,24,24,2,0,25,78,1.01,.191
Scott S Service,KC,6,4,3.48,73,0,0,0,4,4,82.2,70,35,32,7,9,34,95,1.26,.231
Jeff J Shaw,LA,3,8,2.12,73,0,0,0,48,48,85.0,75,22,20,8,1,19,55,1.11,.240
Alan A Mills,BAL,3,4,3.74,72,0,0,0,2,2,77.0,55,32,32,8,1,50,57,1.36,.203
Bob B Wickman,MIL,6,9,3.72,72,0,0,0,25,25,82.1,79,38,34,5,4,39,71,1.43,.262
Armando A Benitez,BAL,5,6,3.82,71,0,0,0,22,22,68.1,48,29,29,10,4,39,87,1.27,.199
Wayne W Gomes,PHI,9,6,4.24,71,0,0,0,1,1,93.1,94,48,44,9,3,35,86,1.38,.258
Felix F Heredia,CHC,3,3,5.06,71,2,0,0,2,2,58.2,57,39,33,2,1,38,54,1.62,.252
John J Johnstone,SF,6,5,3.07,70,0,0,0,0,0,88.0,72,32,30,10,1,38,86,1.25,.224
Terry T Mulholland,CHC,6,5,2.89,70,6,0,0,3,3,112.0,100,49,36,7,4,39,72,1.24,.235
Mike M Myers,MIL,2,2,2.70,70,0,0,0,1,1,50.0,44,19,15,5,6,22,40,1.32,.249
