PLAYER,TEAM,W,L,ERA,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Pedro P Feliciano,NYM,3,6,3.30,92,0,0,0,0,1,62.2,66,24,23,1,6,30,56,1.53,.273
Randy R Choate,TB,4,3,4.23,85,0,0,0,0,2,44.2,41,23,21,3,3,17,40,1.30,.252
Peter P Moylan,ATL,6,2,2.97,85,0,0,0,1,4,63.2,53,24,21,5,2,37,52,1.41,.236
Nick N Masset,CIN,4,4,3.40,82,0,0,0,2,5,76.2,64,31,29,7,1,33,85,1.27,.226
Luke L Gregerson,SD,4,7,3.22,80,0,0,0,2,7,78.1,47,30,28,8,1,18,89,0.83,.170
Sean S Marshall,CHC,7,5,2.65,80,0,0,0,1,3,74.2,58,25,22,3,2,25,90,1.11,.210
Brandon B Lyon,HOU,6,6,3.12,79,0,0,0,20,22,78.0,68,28,27,2,3,31,54,1.27,.231
Jonny J Venters,ATL,4,4,1.95,79,0,0,0,1,5,83.0,61,30,18,1,8,39,93,1.20,.204
Tyler T Clippard,WSH,11,8,3.07,78,0,0,0,1,11,91.0,69,33,31,8,2,41,112,1.21,.212
Javier J López Lopez,SF,4,2,2.34,77,0,0,0,0,0,57.2,50,17,15,2,2,20,38,1.21,.238
Carlos C Marmol,CHC,2,3,2.55,77,0,0,0,38,43,77.2,40,23,22,1,8,52,138,1.18,.147
Matt M Belisle,COL,7,5,2.93,76,0,0,0,1,2,92.0,84,34,30,7,2,16,91,1.09,.246
Craig C Breslow,OAK,4,4,3.01,75,0,0,0,5,7,74.2,53,26,25,9,0,29,71,1.10,.194
Francisco F Cordero,CIN,6,5,3.84,75,0,0,0,40,48,72.2,68,32,31,5,2,36,59,1.43,.246
Matt M Capps,MIN,5,3,2.47,74,0,0,0,42,48,73.0,75,27,20,6,0,17,59,1.26,.265
Phil P Coke,DET,7,5,3.76,74,1,0,0,2,4,64.2,67,29,27,2,4,26,53,1.44,.275
Matt M Guerrier,MIN,5,7,3.17,74,0,0,0,1,7,71.0,56,28,25,7,3,22,42,1.10,.219
Daniel D Bard,BOS,1,2,1.93,73,0,0,0,3,10,74.2,45,18,16,6,2,30,76,1.00,.176
Sean S Burnett,WSH,1,7,2.14,73,0,0,0,3,4,63.0,52,17,15,3,1,20,62,1.14,.220
Joba J Chamberlain,NYY,3,4,4.40,73,0,0,0,3,7,71.2,71,37,35,6,1,22,77,1.30,.253
Rafael R Betancourt,COL,5,1,3.61,72,0,0,0,1,5,62.1,52,25,25,9,0,8,89,0.96,.220
Joel J Hanrahan,PIT,4,1,3.62,72,0,0,0,6,10,69.2,58,28,28,6,4,26,100,1.21,.221
Darren D O' Day,TEX,6,2,2.03,72,0,0,0,0,2,62.0,43,15,14,5,5,12,45,0.89,.196
Fernando F Rodney,LAA,4,3,4.24,72,0,0,0,14,21,68.0,70,33,32,4,5,35,53,1.54,.263
Joe J Beimel,COL,1,2,3.40,71,0,0,0,0,1,45.0,46,18,17,5,0,15,21,1.36,.269
Jesse J Crain,MIN,1,1,3.04,71,0,0,0,1,4,68.0,53,27,23,5,1,27,62,1.18,.215
Billy B Wagner,ATL,7,2,1.43,71,0,0,0,37,44,69.1,38,14,11,5,3,22,104,0.87,.159
Mike M Adams,SD,4,1,1.76,70,0,0,0,0,4,66.2,48,14,13,2,0,23,73,1.07,.196
Shawn S Camp,TOR,4,3,2.99,70,0,0,0,2,4,72.1,71,26,24,8,4,18,46,1.23,.259
Neftali N Feliz,TEX,4,3,2.73,70,0,0,0,40,43,69.1,43,21,21,5,5,18,71,0.88,.176
Aaron A Heilman,ARI,5,8,4.50,70,0,0,0,6,14,72.0,73,37,36,9,5,26,55,1.38,.260
Brandon B League,SEA,9,7,3.42,70,0,0,0,6,12,79.0,67,38,30,7,2,27,56,1.19,.229
Evan E Meek,PIT,5,4,2.14,70,0,0,0,4,10,80.0,53,25,19,5,4,31,70,1.05,.185
