TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Toronto Blue Jays,AL,162,5536,780,1458,265,40,163,737,561,933,129,39,.263,.333,.414,.747
Detroit Tigers,AL,162,5515,791,1411,256,16,182,746,675,1055,66,45,.256,.337,.407,.744
Baltimore Orioles,AL,162,5485,705,1423,243,36,148,680,647,827,89,48,.259,.340,.398,.738
New York Yankees,AL,162,5593,733,1462,281,18,163,703,536,903,78,37,.261,.328,.406,.733
Minnesota Twins,AL,162,5582,747,1544,275,27,104,701,527,834,123,74,.277,.341,.391,.733
Oakland Athletics,AL,162,5387,745,1389,219,24,142,693,707,831,143,59,.258,.346,.386,.732
Seattle Mariners,AL,162,5564,679,1466,278,24,149,638,474,841,100,55,.263,.323,.402,.725
Chicago White Sox,AL,162,5498,738,1434,269,36,110,686,622,784,160,57,.261,.336,.383,.718
Texas Rangers,AL,162,5537,682,1387,266,23,159,646,550,1036,81,44,.250,.321,.393,.714
Cincinnati Reds,NL,162,5460,660,1418,281,44,99,606,563,888,125,65,.260,.328,.382,.710
Cleveland Indians,AL,162,5620,674,1495,227,24,127,637,448,885,144,67,.266,.323,.383,.706
Pittsburgh Pirates,NL,162,5527,693,1409,272,54,106,656,569,872,110,53,.255,.324,.381,.706
Milwaukee Brewers,AL,162,5504,740,1477,272,35,82,683,511,779,256,115,.268,.330,.375,.705
Atlanta Braves,NL,162,5480,682,1391,223,48,138,641,493,924,126,60,.254,.316,.388,.703
San Diego Padres,NL,162,5476,617,1396,255,30,135,576,453,864,69,52,.255,.313,.386,.699
St. Louis Cardinals,NL,162,5594,631,1464,262,44,94,599,495,996,208,118,.262,.323,.375,.698
Philadelphia Phillies,NL,162,5500,686,1392,255,36,118,638,509,1059,127,31,.253,.320,.377,.697
Montreal Expos,NL,162,5477,648,1381,263,37,102,601,463,976,196,63,.252,.313,.370,.682
Kansas City Royals,AL,162,5501,610,1411,284,42,75,568,439,741,131,71,.256,.315,.364,.679
Houston Astros,NL,162,5480,608,1350,255,38,96,582,506,1025,139,54,.246,.313,.359,.673
Chicago Cubs,NL,162,5590,593,1420,221,41,104,566,417,816,77,51,.254,.307,.364,.671
Boston Red Sox,AL,162,5461,599,1343,259,21,84,567,591,865,44,48,.246,.321,.347,.668
San Francisco Giants,NL,162,5456,574,1330,220,36,105,532,435,1067,112,64,.244,.302,.355,.657
Los Angeles Dodgers,NL,162,5368,548,1333,201,34,72,499,503,899,142,78,.248,.313,.339,.652
New York Mets,NL,162,5340,599,1254,259,17,93,564,572,956,129,52,.235,.310,.342,.652
California Angels,AL,162,5364,579,1306,202,20,88,537,416,882,160,101,.243,.301,.338,.638
