PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Jose J Cruz C,TOR,162,603,91,146,32,5,31,76,71,129,15,5,.242,.323,.466,.788
Carlos C Delgado,TOR,162,569,115,196,57,1,41,137,123,104,0,1,.344,.470,.664,1.134
Luis L Gonzalez,ARI,162,618,106,192,47,2,31,114,78,85,2,4,.311,.392,.544,.935
Shawn S Green R,LA,162,610,98,164,44,4,24,99,90,121,24,5,.269,.367,.472,.839
Neifi N Perez S,COL,162,651,92,187,39,11,10,71,30,63,3,6,.287,.314,.427,.741
Jeromy J Burnitz R,MIL,161,564,91,131,29,2,31,98,99,121,6,4,.232,.356,.456,.811
Andruw A Jones C,ATL,161,656,122,199,36,6,36,104,59,100,21,6,.303,.366,.541,.907
Mo M Vaughn,ANA,161,614,93,167,31,0,36,117,79,181,2,0,.272,.365,.498,.864
Preston P Wilson C,FLA,161,605,94,160,35,3,31,121,55,187,36,14,.264,.331,.486,.817
Todd T Helton,COL,160,580,138,216,59,2,42,147,103,61,5,3,.372,.463,.698,1.162
Miguel M Tejada S,OAK,160,607,105,167,32,1,30,115,66,102,6,0,.275,.349,.479,.828
Garret G Anderson C,ANA,159,647,92,185,40,3,35,117,24,87,7,6,.286,.307,.519,.827
Jeff J Bagwell,HOU,159,590,152,183,37,1,47,132,107,116,9,6,.310,.424,.615,1.039
Johnny J Damon C,KC,159,655,136,214,42,10,16,88,65,60,46,9,.327,.382,.495,.877
Troy T Glaus,ANA,159,563,120,160,37,1,47,102,112,163,14,11,.284,.404,.604,1.008
Jeff J Kent,SF,159,587,114,196,41,7,33,125,90,107,12,9,.334,.424,.596,1.021
John J Olerud,SEA,159,565,84,161,45,0,14,103,102,96,0,2,.285,.392,.439,.831
Mike M Sweeney,KC,159,618,105,206,30,0,29,144,71,67,8,3,.333,.407,.523,.930
Frank F Thomas D,CWS,159,582,115,191,44,0,43,143,112,94,1,3,.328,.436,.625,1.061
Ben B Grieve L,OAK,158,594,92,166,40,1,27,104,73,130,3,0,.279,.359,.487,.845
Derrek D Lee,FLA,158,477,70,134,18,3,28,70,63,123,0,3,.281,.368,.507,.876
Fred F Mc Griff,TB,158,566,82,157,18,0,27,106,91,120,2,0,.277,.373,.452,.826
Rafael R Palmeiro,TEX,158,565,102,163,29,3,39,120,103,77,2,1,.288,.397,.558,.954
Joe J Randa,KC,158,612,88,186,29,4,15,106,36,66,6,3,.304,.343,.438,.781
Tim T Salmon R,ANA,158,568,108,165,36,2,34,97,104,139,0,2,.290,.404,.540,.945
Jim J Thome,CLE,158,557,106,150,33,1,37,106,118,171,1,0,.269,.398,.531,.929
Jeff J Cirillo,COL,157,598,111,195,53,2,11,115,67,72,3,4,.326,.392,.477,.869
