PLAYER,TEAM,W,L,ERA,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Salomon S Torres,PIT,3,6,3.28,94,0,0,0,12,15,93.1,98,42,34,6,6,38,72,1.46,.274
Matt M Capps,PIT,9,1,3.79,85,0,0,0,1,10,80.2,81,37,34,12,3,12,56,1.15,.266
Jon J Rauch,WSH,4,5,3.35,85,0,0,0,2,5,91.1,78,37,34,13,2,36,86,1.25,.231
Bob B Howry,CHC,4,5,3.17,84,0,0,0,5,9,76.2,70,28,27,8,3,17,71,1.13,.245
Scott S Proctor,NYY,6,4,3.52,83,0,0,0,1,8,102.1,89,41,40,12,2,33,89,1.19,.232
Mike M Stanton,SF,7,7,3.99,82,0,0,0,8,14,67.2,70,30,30,2,2,27,48,1.43,.275
Todd T Coffey,CIN,6,7,3.58,81,0,0,0,8,12,78.0,85,34,31,7,2,27,60,1.44,.274
Geoff G Geary,PHI,7,1,2.96,81,0,0,0,1,4,91.1,103,34,30,6,6,20,60,1.35,.287
Chad C Qualls,HOU,7,3,3.76,81,0,0,0,0,6,88.2,76,38,37,10,6,28,56,1.17,.242
Jose J Mesa,COL,1,5,3.86,79,0,0,0,1,8,72.1,73,32,31,9,5,36,39,1.51,.270
Brad B Lidge,HOU,1,5,5.28,78,0,0,0,32,38,75.0,69,47,44,10,6,36,104,1.40,.238
Will W Ohman,CHC,1,1,4.13,78,0,0,0,0,0,65.1,51,30,30,6,5,34,74,1.30,.208
Francisco F Cordero,MIL,10,5,3.70,77,0,0,0,22,33,75.1,69,32,31,7,3,32,84,1.34,.247
Shawn S Camp,TB,7,4,4.68,75,0,0,0,4,6,75.0,93,43,39,9,7,19,53,1.49,.313
Damaso D Marte,PIT,1,7,3.70,75,0,0,0,0,4,58.1,51,30,24,5,4,31,63,1.41,.244
Juan J Rincon,MIN,3,1,2.91,75,0,0,0,1,3,74.1,76,30,24,2,3,24,65,1.35,.270
Dan D Wheeler,HOU,3,5,2.52,75,0,0,0,9,12,71.1,58,22,20,5,2,24,68,1.15,.221
Ryan R Dempster,CHC,1,9,4.80,74,0,0,0,24,33,75.0,77,47,40,5,3,36,67,1.51,.262
Scott S Eyre,CHC,1,3,3.38,74,0,0,0,0,3,61.1,61,25,23,11,0,30,73,1.48,.265
Aaron A Heilman,NYM,4,5,3.62,74,0,0,0,0,5,87.0,73,37,35,5,3,28,73,1.16,.231
Scot S Shields,LAA,7,7,2.87,74,0,0,0,2,8,87.2,70,30,28,8,1,24,84,1.07,.217
Alan A Embree,SD,4,3,3.27,73,0,0,0,0,0,52.1,50,21,19,4,0,15,53,1.24,.249
Scott S Linebrink,SD,7,4,3.57,73,0,0,0,2,11,75.2,70,31,30,9,1,22,68,1.22,.243
Joe J Borowski,FLA,3,3,3.75,72,0,0,0,36,43,69.2,63,31,29,7,2,33,64,1.38,.235
Kyle K Farnsworth,NYY,3,6,4.36,72,0,0,0,6,10,66.0,62,34,32,8,1,28,75,1.36,.243
John J Grabow,PIT,4,2,4.13,72,0,0,0,0,2,69.2,68,34,32,7,3,30,66,1.41,.260
Steve S Kline,SF,4,3,3.66,72,0,0,0,1,1,51.2,53,24,21,3,1,26,33,1.53,.275
J. J Putz,SEA,4,1,2.30,72,0,0,0,36,43,78.1,59,20,20,4,2,13,104,0.92,.207
Takashi T Saito,LAD,6,2,2.07,72,0,0,0,24,26,78.1,48,19,18,3,2,23,107,0.91,.177
George G Sherrill,SEA,2,4,4.28,72,0,0,0,1,1,40.0,30,19,19,0,0,27,42,1.43,.213
Russ R Springer,HOU,1,1,3.47,72,0,0,0,0,0,59.2,46,23,23,10,4,16,46,1.04,.211
Macay M Mc Bride,ATL,4,1,3.65,71,0,0,0,1,2,56.2,53,28,23,2,1,32,46,1.50,.248
Scott S Schoeneweis,CIN,4,2,4.88,71,0,0,0,4,6,51.2,48,28,28,4,2,24,29,1.39,.247
Chad C Bradford,NYM,4,2,2.90,70,0,0,0,2,3,62.0,59,22,20,1,0,13,45,1.16,.254
Kiko K Calero,OAK,3,2,3.41,70,0,0,0,2,5,58.0,50,22,22,4,0,24,67,1.28,.231
Neal N Cotts,CWS,1,2,5.17,70,0,0,0,1,4,54.0,64,33,31,12,3,24,43,1.63,.291
Trever T Miller,HOU,2,3,3.02,70,0,0,0,1,3,50.2,42,17,17,7,4,13,56,1.09,.225
Ron R Villone,NYY,3,3,5.04,70,0,0,0,0,1,80.1,75,48,45,9,4,51,72,1.57,.250
Luis L Vizcaino,ARI,4,6,3.58,70,0,0,0,0,2,65.1,51,26,26,8,4,29,72,1.22,.215
Billy B Wagner,NYM,3,2,2.24,70,0,0,0,40,45,72.1,59,22,18,7,4,21,94,1.11,.219
Braden B Looper,STL,9,3,3.56,69,0,0,0,0,2,73.1,76,30,29,3,2,20,41,1.31,.277
Ken K Ray,ATL,1,1,4.52,69,0,0,0,5,8,67.2,66,36,34,9,0,38,50,1.54,.259
Francisco F Rodríguez Rodriguez,LAA,2,3,1.73,69,0,0,0,47,51,73.0,52,16,14,6,1,28,98,1.10,.197
Huston H Street,OAK,4,4,3.31,69,0,0,0,37,48,70.2,64,28,26,4,2,13,67,1.09,.238
Jonathan J Broxton,LAD,4,1,2.59,68,0,0,0,3,7,76.1,61,25,22,7,1,33,97,1.23,.216
Ambiorix A Burgos,KC,4,5,5.52,68,1,0,0,18,30,73.1,83,49,45,16,6,37,72,1.64,.288
Chad C Cordero,WSH,7,4,3.19,68,0,0,0,29,33,73.1,59,27,26,13,3,22,69,1.10,.215
Jesse J Crain,MIN,4,5,3.52,68,0,0,0,1,4,76.2,79,31,30,6,2,18,60,1.27,.262
Roberto R Hernandez,NYM,0,3,3.11,68,0,0,0,2,5,63.2,61,32,22,5,1,32,48,1.46,.248
Brandon B Lyon,ARI,2,4,3.89,68,0,0,0,0,7,69.1,68,32,30,7,0,22,46,1.30,.258
Tom T Martin,COL,2,0,5.07,68,0,0,0,0,1,60.1,62,37,34,4,4,25,46,1.44,.264
Mike M Timlin,BOS,6,6,4.36,68,0,0,0,9,17,64.0,78,33,31,7,2,16,30,1.47,.305
Bobby B Jenks,CWS,3,4,4.00,67,0,0,0,41,45,69.2,66,32,31,5,2,31,80,1.39,.253
Ray R King,COL,1,4,4.43,67,0,0,0,1,2,44.2,56,26,22,6,2,20,23,1.70,.327
David D Weathers,CIN,4,4,3.54,67,0,0,0,12,19,73.2,61,31,29,12,2,34,50,1.29,.226
Ryan R Franklin,CIN,6,7,4.54,66,0,0,0,0,3,77.1,86,42,39,13,4,33,43,1.54,.285
Brian B Fuentes,COL,3,4,3.44,66,0,0,0,30,36,65.1,50,25,25,8,6,26,73,1.16,.209
Aaron A Fultz,PHI,3,1,4.54,66,1,0,0,0,2,71.1,80,39,36,7,2,28,62,1.51,.288
Matt M Herges,FLA,2,3,4.31,66,0,0,0,0,4,71.0,94,42,34,5,3,28,36,1.72,.321
Roberto R Novoa,CHC,2,1,4.26,66,0,0,0,0,0,76.0,77,47,36,15,6,32,53,1.43,.262
Dennys D Reyes,MIN,5,0,0.89,66,0,0,0,0,1,50.2,35,8,5,3,0,15,49,0.99,.197
Jeremy J Accardo,TOR,2,4,5.35,65,0,0,0,3,8,69.0,76,42,41,7,1,20,54,1.39,.280
Randy R Flores,STL,1,1,5.62,65,0,0,0,0,1,41.2,49,29,26,5,1,22,40,1.70,.290
Trevor T Hoffman,SD,0,2,2.14,65,0,0,0,46,51,63.0,48,16,15,6,1,13,50,0.97,.205
Gary G Majewski,CIN,4,4,4.61,65,0,0,0,0,7,70.1,79,38,36,5,4,29,43,1.54,.283
Chad C Paronto,ATL,2,3,3.18,65,0,0,0,0,2,56.2,53,23,20,5,3,19,41,1.27,.252
J. C. J Romero,LAA,1,2,6.70,65,0,0,0,0,1,48.1,57,40,36,3,1,28,31,1.76,.298
B. J. B Ryan,TOR,2,2,1.37,65,0,0,0,38,42,72.1,42,12,11,3,0,20,86,0.86,.169
Brian B Shouse,MIL,1,3,3.99,65,0,0,0,2,5,38.1,40,18,17,4,6,18,23,1.51,.270
Andrew A Sisco,KC,1,3,7.10,65,0,0,0,1,5,58.1,66,47,46,8,1,40,52,1.82,.289
Rheal R Cormier,CIN,2,3,2.44,64,0,0,0,0,4,48.0,48,13,13,5,3,17,19,1.35,.267
Pedro P Feliciano,NYM,7,2,2.09,64,0,0,0,0,3,60.1,56,15,14,4,3,20,54,1.26,.248
Ruddy R Lugo,TB,2,4,3.81,64,0,0,0,0,0,85.0,75,39,36,4,5,37,48,1.32,.240
Joe J Nathan,MIN,7,0,1.58,64,0,0,0,36,38,68.1,38,12,12,3,1,16,95,0.79,.158
Joel J Peralta,KC,1,3,4.40,64,0,0,0,1,3,73.2,74,37,36,10,2,17,57,1.24,.263
Derrick D Turnbow,MIL,4,9,6.87,64,0,0,0,24,32,56.1,56,51,43,8,4,39,69,1.69,.255
Rick R White,PHI,4,1,5.15,64,0,0,0,1,2,64.2,72,44,37,8,3,20,40,1.42,.293
Akinori A Otsuka,TEX,2,4,2.11,63,0,0,0,32,36,59.2,53,17,14,3,0,11,47,1.07,.241
Mariano M Rivera,NYY,5,5,1.80,63,0,0,0,34,37,75.0,61,16,15,3,5,11,55,0.96,.223
Fernando F Rodney,DET,7,4,3.52,63,0,0,0,7,11,71.2,51,36,28,6,8,34,65,1.19,.196
Matt M Thornton,CWS,5,3,3.33,63,0,0,0,2,5,54.0,46,20,20,5,1,21,49,1.24,.229
Joe J Beimel,LAD,2,1,2.96,62,0,0,0,2,2,70.0,70,26,23,7,0,21,30,1.30,.262
Elmer E Dessens,LAD,5,8,4.56,62,0,0,0,2,7,77.0,86,43,39,8,1,22,52,1.40,.282
Brendan B Donnelly,LAA,6,0,3.94,62,0,0,0,0,1,64.0,58,32,28,8,4,28,53,1.34,.240
Josh J Hancock,STL,3,3,4.09,62,0,0,0,1,3,77.0,70,37,35,9,1,23,50,1.21,.241
Todd T Jones,DET,2,6,3.94,62,0,0,0,37,43,64.0,70,31,28,4,3,11,28,1.27,.276
Jorge J Julio,ARI,2,4,4.23,62,0,0,0,16,20,66.0,52,35,31,10,1,35,88,1.32,.210
Ron R Mahay,TEX,1,3,3.95,62,0,0,0,0,1,57.0,54,30,25,7,0,28,56,1.44,.250
Mike M Myers,NYY,1,2,3.23,62,0,0,0,0,1,30.2,29,14,11,3,3,10,22,1.27,.244
Todd T Williams,BAL,2,4,4.74,62,0,0,0,1,5,57.0,76,36,30,8,2,19,24,1.67,.323
Joel J Zumaya,DET,6,3,1.94,62,0,0,0,1,6,83.1,56,20,18,6,2,42,97,1.18,.187
Jose J Capellan,MIL,4,2,4.40,61,0,0,0,0,2,71.2,65,37,35,11,3,31,58,1.34,.244
Ramon E R Ramirez,COL,4,3,3.46,61,0,0,0,0,2,67.2,58,28,26,5,1,27,61,1.26,.230
Chris C Ray,BAL,4,4,2.73,61,0,0,0,33,38,66.0,45,22,20,10,1,27,51,1.09,.193
Adam A Wainwright,STL,2,1,3.12,61,0,0,0,3,5,75.0,64,26,26,6,4,22,72,1.15,.230
Jimmy J Gobble,KC,4,6,5.14,60,6,0,0,2,4,84.0,95,51,48,12,1,29,80,1.48,.282
La Troy L Hawkins,BAL,3,2,4.48,60,0,0,0,0,4,60.1,73,30,30,4,0,15,27,1.46,.300
Brandon B Medders,ARI,5,3,3.64,60,0,0,0,0,1,71.2,76,37,29,5,2,28,47,1.45,.270
Scott S Downs,TOR,6,2,4.09,59,5,0,0,1,4,77.0,73,38,35,9,2,30,61,1.34,.249
Tom T Gordon,PHI,3,4,3.34,59,0,0,0,34,39,59.1,53,23,22,9,1,22,68,1.26,.233
Jason J Isringhausen,STL,4,8,3.55,59,0,0,0,33,43,58.1,47,25,23,10,3,38,52,1.46,.222
Randy R Messenger,FLA,2,7,5.67,59,0,0,0,0,1,60.1,72,42,38,8,1,24,45,1.59,.296
Jonathan J Papelbon,BOS,4,2,0.92,59,0,0,0,35,41,68.1,40,8,7,3,1,13,75,0.78,.167
Rick R Bauer,TEX,3,1,3.55,58,1,0,0,2,5,71.0,73,31,28,4,4,25,35,1.38,.272
Justin J Speier,TOR,2,0,2.98,58,0,0,0,0,3,51.1,47,18,17,5,1,21,55,1.32,.235
Julian J Tavarez,BOS,5,4,4.47,58,6,1,0,1,3,98.2,110,54,49,10,6,44,56,1.56,.293
Oscar O Villarreal,ATL,9,1,3.61,58,4,0,0,0,4,92.1,93,41,37,13,5,27,55,1.30,.261
Danys D Baez,ATL,5,6,4.53,57,0,0,0,9,17,59.2,60,35,30,3,7,17,39,1.29,.268
Bob B Wickman,ATL,1,6,2.67,57,0,0,0,33,37,54.0,53,22,16,2,1,13,42,1.22,.251
Joaquin J Benoit,TEX,1,1,4.86,56,0,0,0,0,2,79.2,68,49,43,5,3,38,85,1.33,.224
Hector H Carrasco,LAA,7,3,3.41,56,3,0,0,1,2,100.1,93,42,38,10,5,27,72,1.20,.244
Tyler T Johnson,STL,2,4,4.95,56,0,0,0,0,2,36.1,33,21,20,5,4,23,37,1.54,.244
Jamie J Walker,DET,0,1,2.81,56,0,0,0,0,0,48.0,47,15,15,8,0,8,37,1.15,.251
Tyler T Yates,ATL,2,5,3.96,56,0,0,0,1,6,50.0,42,23,22,6,0,31,46,1.46,.228
Jon J Adkins,SD,2,1,3.98,55,0,0,0,0,0,54.1,55,26,24,3,2,20,30,1.38,.271
Chad C Gaudin,OAK,4,2,3.09,55,0,0,0,2,3,64.0,51,24,22,3,1,42,36,1.45,.222
Arthur A Rhodes,PHI,0,5,5.32,55,0,0,0,4,7,45.2,47,27,27,2,2,30,48,1.69,.261
Jeremy J Affeldt,COL,8,8,6.20,54,9,0,0,1,3,97.1,102,74,67,13,2,55,48,1.61,.266
Michael M Gonzalez,PIT,3,4,2.17,54,0,0,0,24,24,54.0,42,13,13,1,2,31,64,1.35,.213
Saul S Rivera,WSH,3,0,3.43,54,0,0,0,1,3,60.1,59,28,23,4,4,32,41,1.51,.250
Justin J Duchscherer,OAK,2,1,2.91,53,0,0,0,9,11,55.2,52,18,18,4,1,9,51,1.10,.244
Dan D Kolb,MIL,2,2,4.84,53,0,0,0,1,3,48.1,53,28,26,4,1,20,26,1.51,.282
Brandon B Mc Carthy,CWS,4,7,4.68,53,2,0,0,0,1,84.2,77,44,44,17,0,33,69,1.30,.243
Brian B Meadows,TB,3,6,5.17,53,0,0,0,8,10,69.2,90,43,40,14,0,15,35,1.51,.313
Rafael R Soriano,SEA,1,2,2.25,53,0,0,0,2,6,60.0,44,15,15,6,2,21,65,1.08,.204
Chris C Britton,BAL,0,2,3.35,52,0,0,0,1,3,53.2,46,22,20,4,0,17,41,1.17,.228
Brad B Halsey,OAK,5,4,4.67,52,7,0,0,0,0,94.1,108,53,49,11,5,46,53,1.63,.288
Guillermo G Mota,NYM,4,3,4.53,52,0,0,0,0,0,55.2,55,29,28,11,0,24,46,1.42,.257
Fernando F Cabrera,CLE,3,3,5.19,51,0,0,0,0,4,60.2,53,36,35,12,1,32,71,1.40,.243
Jason J Frasor,TOR,3,2,4.32,51,0,0,0,0,1,50.0,47,24,24,8,2,17,51,1.28,.244
Jason J Grilli,DET,2,3,4.21,51,0,0,0,0,0,62.0,61,31,29,6,5,25,31,1.39,.261
Rafael R Betancourt,CLE,3,4,3.81,50,0,0,0,3,6,56.2,52,25,24,7,0,11,48,1.11,.241
Manny M Delcarmen,BOS,2,0,5.06,50,0,0,0,0,4,53.1,68,32,30,2,2,17,45,1.59,.309
Ryan R Madson,PHI,11,9,5.69,50,17,0,0,2,4,134.1,176,92,85,20,10,50,99,1.68,.321
Duaner D Sanchez,NYM,5,1,2.60,49,0,0,0,0,1,55.1,43,19,16,3,4,24,44,1.21,.223
Rudy R Seanez,SD,3,3,4.92,49,0,0,0,0,2,53.0,58,32,29,8,1,32,54,1.70,.270
Taylor T Tankersley,FLA,2,1,2.85,49,0,0,0,3,7,41.0,33,14,13,4,1,26,46,1.44,.228
Bill B Bray,CIN,3,2,4.09,48,0,0,0,2,3,50.2,57,27,23,5,1,18,39,1.48,.284
Vinnie V Chulk,SF,1,3,5.24,48,0,0,0,0,2,46.1,46,29,27,6,3,20,43,1.42,.256
Kevin K Correia,SF,2,0,3.49,48,0,0,0,0,1,69.2,64,27,27,5,3,22,57,1.23,.242
Scott S Dohmann,KC,2,4,7.08,48,0,0,0,1,3,48.1,59,39,38,9,4,33,44,1.90,.312
Julio J Mateo,SEA,9,4,4.19,48,0,0,0,0,3,53.2,62,27,25,6,3,22,31,1.57,.297
Scott S Sauerbeck,OAK,0,1,4.97,46,0,0,0,0,2,25.1,22,17,14,3,7,18,17,1.58,.234
Todd T Wellemeyer,KC,1,4,4.14,46,0,0,0,1,1,78.1,68,38,36,6,4,50,54,1.51,.241
David D Aardsma,CHC,3,0,4.08,45,0,0,0,0,0,53.0,41,25,24,9,1,28,49,1.30,.214
Cla C Meredith,SD,5,1,1.07,45,0,0,0,0,2,50.2,30,6,6,3,2,6,37,0.71,.170
Darren D Oliver,NYM,4,1,3.44,45,0,0,0,0,0,81.0,70,33,31,13,3,21,60,1.12,.231
Jorge J Sosa,STL,3,11,5.42,45,13,0,0,4,7,118.0,138,79,71,30,1,40,75,1.51,.292
Keith K Foulke,BOS,3,1,4.35,44,0,0,0,0,0,49.2,52,24,24,9,2,7,36,1.19,.271
Brian B Tallet,TOR,3,0,3.81,44,1,0,0,0,0,54.1,45,24,23,5,3,31,37,1.40,.238
Brett B Tomko,LAD,8,7,4.73,44,15,0,0,0,3,112.1,123,67,59,17,2,29,76,1.35,.276
Jose J Valverde,ARI,2,3,5.84,44,0,0,0,18,22,49.1,50,32,32,6,2,22,69,1.46,.256
C. J. C Wilson,TEX,2,4,4.06,44,0,0,0,1,2,44.1,39,23,20,7,5,18,43,1.29,.234
Eddie E Guardado,CIN,1,3,3.89,43,0,0,0,13,18,37.0,44,19,16,10,1,13,39,1.54,.297
Joe J Nelson,KC,1,1,4.43,43,0,0,0,9,10,44.2,37,22,22,5,1,24,44,1.37,.226
Brad B Thompson,STL,1,2,3.34,43,1,0,0,0,0,56.2,58,23,21,4,5,20,32,1.38,.267
Greg G Aquino,ARI,2,0,4.47,42,0,0,0,0,0,48.1,54,27,24,8,4,24,51,1.61,.283
Scott S Cassidy,SD,6,4,2.53,42,0,0,0,0,2,42.2,39,18,12,8,1,19,49,1.36,.248
Willie W Eyre,MIN,1,0,5.31,42,0,0,0,0,0,59.1,75,36,35,8,6,22,26,1.63,.309
Sendy S Rleal,BAL,1,1,4.44,42,0,0,0,0,1,46.2,48,25,23,10,0,23,19,1.52,.274
Scott S Williamson,SD,2,4,5.72,42,0,0,0,0,0,39.1,41,26,25,4,1,22,42,1.60,.272
Armando A Benitez,SF,4,2,3.52,41,0,0,0,17,25,38.1,39,15,15,6,0,21,31,1.57,.267
David D Riske,CWS,1,2,3.89,41,0,0,0,0,1,44.0,40,20,19,6,3,17,28,1.30,.241
Michael M Wuertz,CHC,3,1,2.66,41,0,0,0,0,1,40.2,35,14,12,5,1,16,42,1.25,.226
