PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Jeff J Francoeur R,ATL,162,651,83,169,24,6,29,103,23,132,1,6,.260,.293,.449,.742
Juan J Pierre C,CHC,162,699,87,204,32,13,3,40,32,38,58,20,.292,.330,.388,.717
Grady G Sizemore C,CLE,162,655,134,190,53,11,28,76,78,153,22,6,.290,.375,.533,.908
Mark M Teixeira,TEX,162,628,99,177,45,1,33,110,89,128,2,0,.282,.371,.514,.886
Miguel M Tejada S,BAL,162,648,99,214,37,0,24,100,46,79,6,2,.330,.379,.498,.878
Michael M Young S,TEX,162,691,93,217,52,3,14,103,48,96,7,3,.314,.356,.459,.814
Carlos C Lee L,TEX,161,624,102,187,37,1,37,116,58,65,19,2,.300,.355,.540,.896
Ichiro I Suzuki R,SEA,161,695,110,224,20,9,9,49,49,71,45,2,.322,.370,.416,.786
Adam A Dunn L,CIN,160,561,99,131,24,0,40,92,112,194,7,0,.234,.365,.490,.855
Pedro P Feliz,SF,160,603,75,147,35,5,22,98,33,112,1,1,.244,.281,.428,.709
Chase C Utley,PHI,160,658,131,203,40,4,32,102,63,132,15,4,.309,.379,.527,.906
Jason J Bay L,PIT,159,570,101,163,29,3,35,109,102,156,11,2,.286,.396,.532,.928
Rafael R Furcal S,LAD,159,654,113,196,32,9,15,63,73,98,37,13,.300,.369,.445,.814
Curtis C Granderson,DET,159,596,90,155,31,9,19,68,66,174,8,5,.260,.335,.438,.773
Ryan R Howard,PHI,159,581,104,182,25,1,58,149,108,181,0,0,.313,.425,.659,1.084
Raul R Ibanez L,SEA,159,626,103,181,33,5,33,123,65,115,2,4,.289,.353,.516,.869
Brandon B Inge,DET,159,542,83,137,29,2,27,83,43,128,7,4,.253,.313,.463,.776
Alfonso A Soriano L,WSH,159,647,119,179,41,2,46,95,67,160,41,17,.277,.351,.560,.911
Miguel M Cabrera,FLA,158,576,112,195,50,2,26,114,86,108,9,6,.339,.430,.568,.998
Brian B Giles R,SD,158,604,87,159,37,1,14,83,104,60,9,4,.263,.374,.397,.771
Hanley H Ramirez S,FLA,158,633,119,185,46,11,17,59,56,128,51,15,.292,.353,.480,.833
Jimmy J Rollins S,PHI,158,689,127,191,45,9,25,83,57,80,36,4,.277,.334,.478,.811
Richie R Sexson,SEA,158,591,75,156,40,0,34,107,64,154,1,1,.264,.338,.504,.842
Garrett G Atkins,COL,157,602,117,198,48,1,29,120,79,76,4,0,.329,.409,.556,.965
Yuniesky Y Betancourt S,SEA,157,558,68,161,28,6,8,47,17,54,11,8,.289,.310,.403,.714
Prince P Fielder,MIL,157,569,82,154,35,1,28,81,59,125,7,2,.271,.347,.483,.830
Orlando O Hudson,ARI,157,579,87,166,34,9,15,67,61,78,9,6,.287,.354,.454,.809
