TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Toronto Blue Jays,AL,162,5476,846,1455,285,13,262,816,496,1218,81,20,.266,.330,.466,.796
Houston Astros,AL,162,5593,863,1496,299,14,221,834,569,1222,53,16,.267,.339,.444,.784
Boston Red Sox,AL,162,5495,829,1434,330,23,219,783,512,1386,40,21,.261,.328,.449,.777
San Francisco Giants,NL,162,5462,804,1360,271,25,241,768,602,1461,66,14,.249,.329,.440,.769
Cincinnati Reds,NL,162,5423,786,1352,295,13,222,756,553,1425,36,24,.249,.328,.431,.759
Los Angeles Dodgers,NL,162,5445,830,1330,247,24,237,799,613,1408,65,17,.244,.330,.429,.759
Chicago White Sox,AL,162,5357,796,1373,275,22,190,757,586,1389,57,20,.256,.336,.422,.758
Atlanta Braves,NL,161,5363,790,1307,269,20,239,762,549,1453,59,19,.244,.319,.435,.754
Washington Nationals,NL,162,5385,724,1388,272,20,182,686,573,1303,56,26,.258,.337,.417,.754
Tampa Bay Rays,AL,162,5507,857,1336,288,36,222,810,585,1542,88,42,.243,.321,.429,.750
Minnesota Twins,AL,162,5431,729,1311,271,17,228,690,525,1405,54,15,.241,.314,.423,.738
Colorado Rockies,NL,161,5374,739,1338,275,34,182,709,491,1356,76,23,.249,.317,.414,.731
New York Yankees,AL,162,5331,711,1266,213,12,222,666,621,1482,63,18,.237,.322,.407,.729
Philadelphia Phillies,NL,162,5366,734,1288,262,24,198,700,564,1402,77,19,.240,.318,.408,.726
St. Louis Cardinals,NL,162,5351,706,1303,261,22,198,678,478,1341,89,22,.244,.313,.412,.725
Oakland Athletics,AL,162,5395,743,1284,271,19,199,698,545,1349,88,20,.238,.317,.406,.722
San Diego Padres,NL,162,5384,729,1305,273,21,180,695,586,1324,110,39,.242,.321,.401,.722
Chicago Cubs,NL,162,5306,705,1255,225,26,210,672,502,1596,86,37,.237,.312,.407,.719
Los Angeles Angels,AL,162,5437,723,1331,265,23,190,691,464,1394,79,26,.245,.310,.407,.717
Milwaukee Brewers,NL,162,5362,738,1251,255,18,194,700,586,1465,82,21,.233,.317,.396,.713
Cleveland Indians,AL,162,5332,717,1269,248,22,203,686,453,1387,109,17,.238,.303,.407,.710
Detroit Tigers,AL,162,5376,697,1299,236,37,179,675,490,1514,88,25,.242,.308,.399,.707
Baltimore Orioles,AL,162,5420,659,1296,266,15,195,632,451,1454,54,23,.239,.304,.402,.705
New York Mets,NL,162,5210,636,1243,228,18,176,604,495,1392,54,26,.239,.315,.391,.705
Kansas City Royals,AL,162,5427,686,1349,251,29,163,647,421,1258,124,33,.249,.306,.396,.702
Arizona Diamondbacks,NL,162,5489,679,1297,308,31,144,644,537,1465,43,16,.236,.309,.382,.692
Seattle Mariners,AL,162,5355,697,1209,233,11,199,673,535,1492,64,24,.226,.303,.385,.688
Pittsburgh Pirates,NL,162,5336,609,1261,240,35,124,570,529,1328,60,30,.236,.309,.364,.673
Miami Marlins,NL,162,5348,623,1244,226,23,158,594,450,1553,106,29,.233,.298,.372,.671
Texas Rangers,AL,162,5405,625,1254,225,24,167,598,433,1381,106,29,.232,.294,.375,.670
