PLAYER,TEAM,W,L,ERA,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Jim J Brower,SF,7,7,3.29,89,0,0,0,1,1,93.0,90,42,34,6,4,36,63,1.35,.259
Ray R King,STL,5,2,2.61,86,0,0,0,0,0,62.0,43,19,18,1,3,24,40,1.08,.197
Paul P Quantrill,NYY,7,3,4.72,86,0,0,0,1,1,95.1,124,54,50,5,4,20,37,1.51,.316
Rheal R Cormier,PHI,4,5,3.56,84,0,0,0,0,0,81.0,70,32,32,7,5,26,46,1.19,.237
Chris C Reitsma,ATL,6,4,4.07,84,0,0,0,2,2,79.2,89,38,36,9,3,20,60,1.37,.284
Salomon S Torres,PIT,7,7,2.64,84,0,0,0,0,0,92.0,87,33,27,6,6,22,62,1.18,.256
Scott S Eyre,SF,2,2,4.10,83,0,0,0,1,1,52.2,43,26,24,8,0,27,49,1.33,.219
Mike M Stanton,NYM,2,6,3.16,83,0,0,0,0,0,77.0,70,32,27,6,2,33,58,1.34,.237
Luis L Ayala,MON,6,12,2.69,81,0,0,0,2,2,90.1,92,30,27,6,5,15,63,1.18,.268
Tom T Gordon,NYY,9,4,2.21,80,0,0,0,4,4,89.2,56,23,22,5,1,23,96,0.88,.180
Brad B Lidge,HOU,6,5,1.90,80,0,0,0,29,29,94.2,57,21,20,8,6,30,157,0.92,.174
Antonio A Alfonseca,ATL,6,4,2.57,79,0,0,0,0,0,73.2,71,24,21,5,0,28,45,1.34,.255
Todd T Jones,PHI,11,5,4.15,78,0,0,0,2,2,82.1,84,39,38,7,6,33,59,1.42,.273
Guillermo G Mota,FLA,9,8,3.07,78,0,0,0,4,4,96.2,75,33,33,8,4,37,85,1.16,.218
Octavio O Dotel,OAK,6,6,3.69,77,0,0,0,36,36,85.1,68,38,35,13,4,33,122,1.18,.217
La Troy L Hawkins,CHC,5,4,2.63,77,0,0,0,25,25,82.0,72,27,24,10,2,14,69,1.05,.233
Juan J Rincon,MIN,11,6,2.63,77,0,0,0,2,2,82.0,52,27,24,5,2,32,106,1.02,.181
Julian J Tavarez,STL,7,4,2.38,77,0,0,0,4,4,64.1,57,21,17,1,6,19,48,1.18,.238
Tim T Worrell,PHI,5,6,3.68,77,0,0,0,19,19,78.1,75,36,32,10,2,21,64,1.23,.254
Mike M Koplove,ARI,4,4,4.05,76,0,0,0,2,2,86.2,86,42,39,7,5,37,55,1.42,.269
Tom T Martin,ATL,0,2,3.97,76,0,0,0,1,1,45.1,49,20,20,7,3,19,30,1.50,.283
Felix F Rodriguez,PHI,5,8,3.29,76,0,0,0,1,1,65.2,61,25,24,8,5,29,59,1.37,.244
B. J. B Ryan,BAL,4,6,2.28,76,0,0,0,3,3,87.0,64,24,22,4,1,35,122,1.14,.200
Mike M Timlin,BOS,5,4,4.13,76,0,0,0,1,1,76.1,75,35,35,8,5,19,56,1.23,.257
Mike M Myers,BOS,5,1,4.64,75,0,0,0,0,0,42.2,45,22,22,5,2,23,32,1.59,.274
Randy R Choate,ARI,2,4,4.62,74,0,0,0,0,0,50.2,52,26,26,1,5,28,49,1.58,.267
Jason J Isringhausen,STL,4,2,2.87,74,0,0,0,47,47,75.1,55,27,24,5,2,23,71,1.04,.199
Damaso D Marte,CWS,6,5,3.42,74,0,0,0,6,6,73.2,56,28,28,10,3,34,68,1.22,.217
