PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Starlin S Castro,MIA,162,636,68,172,31,4,22,86,28,111,2,2,.270,.300,.436,.736
Whit W Merrifield,KC,162,681,105,206,41,10,16,74,45,126,20,10,.302,.348,.463,.811
Marcus M Semien S,OAK,162,657,123,187,43,7,33,92,87,102,10,8,.285,.369,.522,.892
Jorge J Soler D,KC,162,589,95,156,33,1,48,117,73,178,3,1,.265,.354,.569,.922
Jonathan J Villar,BAL,162,642,111,176,33,5,24,73,61,176,40,9,.274,.339,.453,.792
Pete P Alonso,NYM,161,597,103,155,30,2,53,120,72,183,1,0,.260,.358,.583,.941
Paul P Goldschmidt,STL,161,597,97,155,25,1,34,97,78,166,3,1,.260,.346,.476,.821
Cesar C Hern�ndez,PHI,161,612,77,171,31,3,14,71,45,100,9,2,.279,.333,.408,.741
Kevin K Pillar C,SF,161,611,83,158,37,3,21,88,18,89,14,5,.259,.287,.432,.719
Ozzie O Albies,ATL,160,640,102,189,43,8,24,86,54,112,15,4,.295,.352,.500,.852
Rhys R Hoskins,PHI,160,570,86,129,33,5,29,85,116,173,2,2,.226,.364,.454,.818
Eric E Hosmer,SD,160,619,72,164,29,2,22,99,40,163,0,3,.265,.310,.425,.735
Jose J Abreu,CWS,159,634,85,180,38,1,33,123,36,152,2,2,.284,.330,.503,.834
Paul P De Jong S,STL,159,583,97,136,31,1,30,78,62,149,9,5,.233,.318,.444,.762
Eugenio E Su�rez,CIN,159,575,87,156,22,2,49,103,70,189,3,2,.271,.358,.572,.930
Nick N Ahmed S,ARI,158,556,79,141,33,6,19,82,52,113,8,2,.254,.316,.437,.753
Eduardo E Escobar,ARI,158,636,94,171,29,10,35,118,50,130,5,1,.269,.320,.511,.832
Freddie F Freeman,ATL,158,597,113,176,34,2,38,121,87,127,6,3,.295,.389,.549,.938
Carlos C Santana,CLE,158,573,110,161,30,1,34,93,108,108,4,0,.281,.397,.515,.911
Bryce B Harper R,PHI,157,573,98,149,36,1,35,114,99,178,15,3,.260,.372,.510,.882
Amed A Rosario S,NYM,157,616,75,177,30,7,15,72,31,124,19,10,.287,.323,.432,.755
Ronald R Acu�a Acuna C,ATL,156,626,127,175,22,2,41,101,76,188,37,9,.280,.365,.518,.883
Cody C Bellinger R,LAD,156,558,121,170,34,3,47,115,95,108,15,5,.305,.406,.629,1.035
Brandon B Belt,SF,156,526,76,123,32,3,17,57,83,127,4,3,.234,.339,.403,.742
Alex A Bregman,HOU,156,554,122,164,37,2,41,112,119,83,5,1,.296,.423,.592,1.015
Matt M Chapman,OAK,156,583,102,145,36,3,36,91,73,147,1,1,.249,.342,.506,.848
Rafael R Devers,BOS,156,647,129,201,54,4,32,115,48,119,8,8,.311,.361,.555,.916
Manny M Machado,SD,156,587,81,150,21,2,32,85,65,128,5,3,.256,.334,.462,.796
Nolan N Arenado,COL,155,588,102,185,31,2,41,118,62,93,3,2,.315,.379,.583,.962
Xander X Bogaerts S,BOS,155,614,110,190,52,0,33,117,76,122,4,2,.309,.384,.555,.939
Josh J Donaldson,ATL,155,549,96,142,33,0,37,94,100,155,4,2,.259,.379,.521,.900
Wil W Myers L,SD,155,435,58,104,22,1,18,53,51,168,16,7,.239,.321,.418,.740
Victor V Robles C,WSH,155,546,86,139,33,3,17,65,35,140,28,9,.255,.326,.419,.745
Kyle K Schwarber L,CHC,155,529,82,132,29,3,38,92,70,156,2,3,.250,.339,.531,.870
David D Fletcher,LAA,154,596,83,173,30,4,6,49,55,64,8,3,.290,.350,.384,.734
Trey T Mancini R,BAL,154,602,106,175,38,2,35,97,63,143,1,0,.291,.364,.535,.899
Yasmani Y Grandal,MIL,153,513,79,126,26,2,28,77,109,139,5,1,.246,.380,.468,.848
Jorge J Polanco S,MIN,153,631,107,186,40,7,22,79,60,116,4,3,.295,.356,.485,.841
Willy W Adames S,TB,152,531,69,135,25,1,20,52,46,153,4,2,.254,.317,.418,.735
Orlando O Arcia S,MIL,152,494,51,110,16,1,15,59,43,109,8,5,.223,.283,.350,.633
Kole K Calhoun R,LAA,152,552,92,128,29,1,33,74,70,162,4,1,.232,.325,.467,.792
Adam A Frazier,PIT,152,554,80,154,33,7,10,50,40,75,5,5,.278,.336,.417,.753
Christian C Walker,ARI,152,529,86,137,26,1,29,73,67,155,8,1,.259,.348,.476,.825
Nick N Castellanos R,CHC,151,615,100,178,58,3,27,73,41,143,2,2,.289,.337,.525,.863
Shin- Soo S Choo D,TEX,151,563,93,149,31,2,24,61,78,165,15,1,.265,.371,.455,.826
Michael M Conforto R,NYM,151,549,90,141,29,1,33,92,84,149,7,2,.257,.363,.494,.856
Adam A Eaton R,WSH,151,566,103,158,25,7,15,49,65,106,15,3,.279,.365,.428,.792
Randal R Grichuk,TOR,151,586,75,136,29,5,31,80,35,163,2,1,.232,.280,.457,.738
Manuel M Margot C,SD,151,398,59,93,19,3,12,37,38,88,20,4,.234,.304,.387,.691
Renato R N��ez Nunez D,BAL,151,541,72,132,24,0,31,90,44,143,1,1,.244,.311,.460,.771
Mookie M Betts R,BOS,150,597,135,176,40,5,29,80,97,101,16,3,.295,.391,.524,.915
Dexter D Fowler R,STL,150,487,69,116,24,1,19,67,74,142,8,5,.238,.346,.409,.754
Alex A Gordon L,KC,150,556,77,148,31,1,13,76,51,100,5,3,.266,.345,.396,.741
Franmil F Reyes D,CLE,150,494,69,123,19,0,37,81,47,156,0,0,.249,.310,.512,.822
Juan J Soto L,WSH,150,542,110,153,32,5,34,110,108,132,12,1,.282,.401,.548,.949
Colin C Moran,PIT,149,466,46,129,30,1,13,80,30,117,0,1,.277,.322,.429,.751
Joc J Pederson L,LAD,149,450,83,112,16,3,36,74,50,111,1,1,.249,.339,.538,.876
Yasiel Y Puig R,CLE,149,555,76,148,30,2,24,84,44,133,19,7,.267,.327,.458,.785
Yolmer Y S�nchez,CWS,149,496,59,125,20,4,2,43,44,117,5,4,.252,.318,.321,.638
Eric E Thames,MIL,149,396,67,98,23,2,25,61,51,140,3,2,.247,.346,.505,.852
Michael M Brantley L,HOU,148,575,88,179,40,2,22,90,51,66,3,2,.311,.372,.503,.875
Lorenzo L Cain C,MIL,148,562,75,146,30,0,11,48,50,106,18,8,.260,.325,.372,.697
Kolten K Wong,STL,148,478,61,136,25,4,11,59,47,83,24,4,.285,.361,.423,.784
Elvis E Andrus S,TEX,147,600,81,165,27,4,12,72,34,96,31,8,.275,.313,.393,.707
Jackie J Bradley C,BOS,147,494,69,111,28,3,21,62,56,155,8,6,.225,.317,.421,.738
Kris K Bryant,CHC,147,543,108,153,35,1,31,77,74,145,4,0,.282,.382,.521,.903
Brandon B Crawford S,SF,147,500,58,114,24,2,11,59,53,117,3,2,.228,.304,.350,.654
Freddy F Galvis,CIN,147,557,67,145,28,1,23,70,28,145,4,2,.260,.296,.438,.734
Jason J Heyward R,CHC,147,513,78,129,20,4,21,62,68,110,8,3,.251,.343,.429,.772
Jose J Iglesias S,CIN,146,504,62,145,21,3,11,59,20,70,6,6,.288,.318,.407,.724
J. D. J Martinez D,BOS,146,575,98,175,33,2,36,105,72,138,2,0,.304,.383,.557,.939
Anthony A Rendon,WSH,146,545,117,174,44,3,34,126,80,86,5,1,.319,.412,.598,1.010
Anthony A Rizzo,CHC,146,512,89,150,29,3,27,94,71,86,5,2,.293,.405,.520,.924
D J Le Mahieu,NYY,145,602,109,197,33,2,26,102,46,90,5,2,.327,.375,.518,.893
Rougned R Odor,TEX,145,522,77,107,30,1,30,93,52,178,11,9,.205,.283,.439,.722
Tommy T Pham L,TB,145,567,77,155,33,2,21,68,81,123,25,4,.273,.369,.450,.818
J. T. J Realmuto,PHI,145,538,92,148,36,3,25,83,41,123,9,1,.275,.328,.493,.820
Trevor T Story S,COL,145,588,111,173,38,5,35,85,58,174,23,8,.294,.363,.554,.917
Ryan R Braun L,MIL,144,459,70,131,31,2,22,75,34,105,11,1,.285,.343,.505,.849
Yuli Y Gurriel,HOU,144,564,85,168,40,2,31,104,37,65,5,3,.298,.343,.541,.884
Ketel K Marte C,ARI,144,569,97,187,36,9,32,92,53,86,10,2,.329,.389,.592,.981
Jean J Segura S,PHI,144,576,79,161,37,4,12,60,30,73,10,2,.280,.323,.420,.743
Gleyber G Torres S,NYY,144,546,96,152,26,0,38,90,48,129,5,2,.278,.337,.535,.871
Daniel D Vogelbach,SEA,144,462,73,96,17,0,30,76,92,149,0,0,.208,.341,.439,.780
Josh J Bell,PIT,143,527,94,146,37,3,37,116,74,118,0,1,.277,.367,.569,.936
Francisco F Lindor S,CLE,143,598,101,170,40,2,32,74,46,98,22,5,.284,.335,.518,.854
Mike M Moustakas,MIL,143,523,80,133,30,1,35,87,53,98,3,0,.254,.329,.516,.845
Joe J Panik,NYM,142,438,50,107,21,2,5,39,43,47,4,2,.244,.315,.336,.650
Joey J Votto,CIN,142,525,79,137,32,1,15,47,76,123,5,0,.261,.357,.411,.768
Brett B Gardner C,NYY,141,491,86,123,26,7,28,74,52,108,10,2,.251,.325,.503,.828
Ryan R Mc Mahon,COL,141,480,70,120,22,1,24,83,56,160,5,1,.250,.329,.450,.779
Max M Muncy,LAD,141,487,101,122,22,1,35,98,90,149,4,1,.251,.374,.515,.889
Jose J Peraza,CIN,141,376,37,90,18,2,6,33,17,58,7,6,.239,.285,.346,.631
Wilson W Ramos,NYM,141,473,52,136,19,0,14,73,44,69,1,0,.288,.351,.416,.768
Josh J Reddick R,HOU,141,501,57,138,19,3,14,56,36,66,5,2,.275,.319,.409,.728
Charlie C Blackmon R,COL,140,580,112,182,42,7,32,86,40,104,2,5,.314,.364,.576,.940
J. D. J Davis L,NYM,140,410,65,126,22,1,22,57,38,97,3,0,.307,.369,.527,.896
Ian I Desmond C,COL,140,443,64,113,31,4,20,65,34,119,3,3,.255,.310,.479,.788
Leury L Garc�a Garcia C,CWS,140,577,93,161,27,3,8,40,21,139,15,5,.279,.310,.378,.688
Hunter H Renfroe R,SD,140,440,64,95,19,1,33,64,46,154,5,0,.216,.289,.489,.778
Hanser H Alberto,BAL,139,524,62,160,21,2,12,51,16,50,4,4,.305,.329,.422,.751
Hunter H Dozier,KC,139,523,75,146,29,10,26,84,55,148,2,2,.279,.348,.522,.870
Jurickson J Profar,OAK,139,459,65,100,24,2,20,67,48,75,9,1,.218,.301,.410,.711
Javier J B�ez Baez S,CHC,138,531,89,149,38,4,29,85,28,156,11,7,.281,.316,.531,.847
Andrew A Benintendi L,BOS,138,541,72,144,40,5,13,68,59,140,10,3,.266,.343,.431,.774
Curtis C Granderson L,MIA,138,317,44,58,17,1,12,34,41,98,0,3,.183,.281,.356,.638
Robbie R Grossman L,OAK,138,420,57,101,21,3,6,38,59,86,9,4,.240,.334,.348,.682
Austin A Meadows R,TB,138,530,83,154,29,7,33,89,54,131,12,7,.291,.364,.558,.922
Raimel R Tapia L,COL,138,426,54,117,23,5,9,44,21,100,9,3,.275,.309,.415,.724
Christian C V�zquez Vazquez,BOS,138,482,66,133,26,1,23,72,33,101,4,2,.276,.320,.477,.798
Adam A Jones R,ARI,137,485,66,126,25,1,16,67,31,101,2,1,.260,.313,.414,.728
Eddie E Rosario L,MIN,137,562,91,155,28,1,32,109,22,86,3,1,.276,.300,.500,.800
Miguel M Cabrera D,DET,136,493,41,139,21,0,12,59,48,108,0,0,.282,.346,.398,.744
Brian B Goodwin L,LAA,136,413,65,108,29,3,17,47,38,129,7,3,.262,.326,.470,.796
Brian B Dozier,WSH,135,416,54,99,20,0,20,50,61,105,3,4,.238,.340,.430,.770
Justin J Turner,LAD,135,479,80,139,24,0,27,67,51,88,2,0,.290,.372,.509,.881
Ben B Gamel L,MIL,134,311,47,77,18,0,7,33,40,104,2,2,.248,.337,.373,.710
Greg G Garcia,SD,134,311,52,77,13,4,4,31,53,83,0,2,.248,.364,.354,.718
Max M Kepler R,MIN,134,524,98,132,32,0,36,90,60,99,1,5,.252,.336,.519,.855
