PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Bryan B Reynolds L,PIT,134,491,83,154,37,4,16,68,46,121,3,2,.314,.377,.503,.880
Corey C Seager S,LAD,134,489,82,133,44,1,19,87,44,98,1,0,.272,.335,.483,.817
Mallex M Smith C,SEA,134,510,70,116,19,9,6,37,42,141,46,9,.227,.300,.335,.635
Mike M Trout C,LAA,134,470,110,137,27,2,45,104,110,120,11,2,.291,.438,.645,1.083
Melky M Cabrera R,PIT,133,378,43,106,22,1,7,47,17,41,2,0,.280,.313,.399,.713
Khris K Davis D,OAK,133,481,61,106,11,0,23,73,47,146,0,0,.220,.293,.387,.679
Todd T Frazier,NYM,133,447,63,112,19,2,21,67,40,106,1,2,.251,.329,.443,.772
Juan J Lagares C,NYM,133,258,38,55,12,1,5,27,22,75,4,1,.213,.279,.326,.605
Jeff J Mc Neil L,NYM,133,510,83,162,38,1,23,75,35,75,5,6,.318,.384,.531,.916
Starling S Marte C,PIT,132,539,97,159,31,6,23,82,25,94,25,6,.295,.342,.503,.845
Yoan Y Moncada,CWS,132,511,83,161,34,5,25,79,40,154,10,3,.315,.367,.548,.915
Daniel D Murphy,COL,132,438,56,122,35,1,13,78,32,74,1,1,.279,.328,.452,.780
Omar O Narv�ez Narvaez,SEA,132,428,63,119,12,0,22,55,47,92,0,0,.278,.353,.460,.813
Miguel M Rojas S,MIA,132,483,52,137,29,1,5,46,32,62,9,5,.284,.331,.379,.710
Gio G Urshela,NYY,132,442,73,139,34,0,21,74,25,87,1,1,.314,.355,.534,.889
Jesus J Aguilar,TB,131,314,39,74,12,0,12,50,43,81,0,0,.236,.325,.389,.714
Asdrubal A Cabrera,WSH,131,447,69,116,25,1,18,91,57,103,4,0,.260,.342,.441,.783
Albert A Pujols,LAA,131,491,55,120,22,0,23,93,43,68,3,0,.244,.305,.430,.734
Jorge J Alfaro,MIA,130,431,44,113,14,1,18,57,22,154,4,4,.262,.312,.425,.736
Albert A Almora C,CHC,130,339,41,80,11,1,12,32,16,62,2,1,.236,.271,.381,.652
Jarrod J Dyson C,ARI,130,400,65,92,11,2,7,27,47,86,30,4,.230,.313,.320,.633
Enrique K Hern�ndez,LAD,130,414,57,98,19,1,17,64,36,97,4,0,.237,.304,.411,.715
Kevin K Newman S,PIT,130,493,61,152,20,6,12,64,28,62,16,8,.308,.353,.446,.800
Marcell M Ozuna L,STL,130,485,80,117,23,1,29,89,62,114,12,2,.241,.328,.472,.800
Danny D Santana,TEX,130,474,81,134,23,6,28,81,25,151,21,6,.283,.324,.534,.857
Christian C Yelich R,MIL,130,489,100,161,29,3,44,97,80,118,30,2,.329,.429,.671,1.100
Matt M Carpenter,STL,129,416,59,94,20,2,15,46,63,129,6,1,.226,.334,.392,.726
Matt M Joyce,ATL,129,200,32,59,10,0,7,23,38,45,0,0,.295,.408,.450,.858
Kevin K Kiermaier C,TB,129,447,60,102,20,7,14,55,26,104,19,5,.228,.278,.398,.676
Evan E Longoria,SF,129,453,59,115,19,2,20,69,43,112,3,1,.254,.325,.437,.762
Jose J Ram�rez,CLE,129,482,68,123,33,3,23,83,52,74,24,4,.255,.327,.479,.806
Harrison H Bader C,STL,128,347,54,71,14,3,12,39,46,117,11,3,.205,.314,.366,.680
Jose J Mart�nez Martinez R,STL,128,334,45,90,13,2,10,42,35,82,3,0,.269,.340,.410,.751
David D Bote,CHC,127,303,47,78,17,0,11,41,44,93,5,1,.257,.362,.422,.785
Ji- Man J Choi,TB,127,410,54,107,20,2,19,63,64,108,2,3,.261,.363,.459,.822
Matt M Olson,OAK,127,483,73,129,26,0,36,91,51,138,0,0,.267,.351,.545,.896
Rio R Ruiz,BAL,127,370,35,86,13,2,12,46,40,88,0,1,.232,.306,.376,.682
Dansby D Swanson S,ATL,127,483,77,121,26,3,17,65,51,124,10,5,.251,.325,.422,.748
Brian B Anderson,MIA,126,459,57,120,33,1,20,66,44,114,5,1,.261,.342,.468,.811
Mark M Canha C,OAK,126,410,80,112,16,3,26,58,67,107,3,2,.273,.396,.517,.914
Scott S Kingery C,PHI,126,458,64,118,34,4,19,55,34,147,15,4,.258,.315,.474,.788
C. J. C Cron,MIN,125,458,51,116,24,0,25,78,29,107,0,0,.253,.311,.469,.780
Avisail A Garc�a Garcia R,TB,125,489,61,138,25,2,20,72,31,125,10,4,.282,.332,.464,.796
Teoscar T Hern�ndez Hernandez C,TOR,125,417,58,96,19,2,26,65,45,153,6,3,.230,.306,.472,.778
Jose J Altuve,HOU,124,500,89,149,27,3,31,74,41,82,6,5,.298,.353,.550,.903
Chad C Pinder L,OAK,124,341,45,82,21,0,13,47,20,88,0,1,.240,.290,.416,.706
Chris C Taylor L,LAD,124,366,52,96,29,4,12,52,37,115,8,0,.262,.333,.462,.794
Tim T Anderson S,CWS,123,498,81,167,32,0,18,56,15,109,17,5,.335,.357,.508,.865
Maikel M Franco,PHI,123,389,48,91,17,0,17,56,36,61,0,0,.234,.297,.409,.706
Vladimir V Guerrero Jr.,TOR,123,464,52,126,26,2,15,69,46,91,0,1,.272,.339,.433,.772
Ramon R Laureano C,OAK,123,434,79,125,29,0,24,67,27,123,13,2,.288,.340,.521,.860
Eloy E Jim�nez Jimenez L,CWS,122,468,69,125,18,2,31,79,30,134,0,0,.267,.315,.513,.828
George G Springer C,HOU,122,479,96,140,20,3,39,96,67,113,6,2,.292,.383,.591,.974
Trea T Turner S,WSH,122,521,96,155,37,5,19,57,43,113,35,5,.298,.353,.497,.850
Yonder Y Alonso,COL,121,292,34,58,13,0,10,37,39,70,0,1,.199,.296,.346,.641
Howie H Kendrick,WSH,121,334,61,115,23,1,17,62,27,49,2,1,.344,.395,.572,.966
Jason J Kipnis,CLE,121,458,52,112,23,1,17,65,40,88,7,2,.245,.304,.410,.715
Domingo D Santana L,SEA,121,451,63,114,20,1,21,69,50,164,8,3,.253,.329,.441,.770
Jonathan J Schoop,MIN,121,433,61,111,23,1,23,59,20,116,1,1,.256,.304,.473,.777
Justin J Smoak,TOR,121,414,54,86,16,0,22,61,79,106,0,0,.208,.342,.406,.748
Tony T Wolters,COL,121,359,42,94,17,2,1,42,36,68,0,1,.262,.337,.329,.666
Nelson N Cruz D,MIN,120,454,81,141,26,0,41,108,56,131,0,1,.311,.392,.639,1.031
Brandon B Drury,TOR,120,418,43,91,21,1,15,41,25,113,0,1,.218,.262,.380,.642
Jake J Marisnick C,HOU,120,292,46,68,16,3,10,34,17,95,10,3,.233,.289,.411,.700
Richie R Martin S,BAL,120,283,29,59,8,3,6,23,14,83,10,1,.208,.260,.322,.581
Billy B Hamilton C,ATL,119,316,41,69,14,2,0,15,32,87,22,6,.218,.289,.275,.564
Gerardo G Parra,WSH,119,274,38,64,14,1,9,48,19,59,8,3,.234,.293,.391,.684
Roberto R P�rez Perez,CLE,119,389,46,93,9,1,24,63,45,127,0,0,.239,.321,.452,.774
Harold H Ramirez L,MIA,119,421,54,116,20,3,11,50,18,91,2,1,.276,.312,.416,.728
Delino D De Shields C,TEX,118,357,42,89,15,4,4,32,38,100,24,6,.249,.325,.347,.672
James J Mc Cann,CWS,118,439,62,120,26,1,18,60,30,137,4,1,.273,.328,.460,.789
Luke L Voit,NYY,118,429,72,113,21,1,21,62,71,142,0,0,.263,.378,.464,.842
Jake J Bauers L,CLE,117,372,46,84,16,1,12,43,45,115,3,3,.226,.312,.371,.683
Brandon B Dixon,DET,117,391,41,97,20,4,15,52,21,136,5,1,.248,.290,.435,.725
Dee D Strange- Gordon,SEA,117,393,36,108,12,6,3,34,18,61,22,5,.275,.304,.359,.663
Stevie S Wilkerson C,BAL,117,329,41,74,18,2,10,35,22,108,3,3,.225,.286,.383,.669
Nick N Markakis R,ATL,116,414,61,118,25,2,9,62,47,59,2,0,.285,.356,.420,.776
Nomar N Mazara R,TEX,116,429,69,115,27,1,19,66,28,108,4,1,.268,.318,.469,.786
Oscar O Mercado C,CLE,115,438,70,118,25,3,15,54,28,84,15,4,.269,.318,.443,.761
Neil N Walker,MIA,115,337,37,88,19,1,8,38,42,77,3,0,.261,.344,.395,.738
Tucker T Barnhart,CIN,114,316,32,73,14,0,11,40,44,83,1,0,.231,.328,.380,.708
Robinson R Chirinos,HOU,114,366,57,87,22,1,17,58,51,125,1,2,.238,.347,.443,.790
Marwin M Gonzalez R,MIN,114,425,52,112,19,0,15,55,31,98,1,0,.264,.322,.414,.736
Buster B Posey,SF,114,405,43,104,24,0,7,38,34,71,0,0,.257,.320,.368,.688
Derek D Dietrich,CIN,113,251,41,47,8,2,19,43,28,74,1,1,.187,.328,.462,.790
Yadier Y Molina,STL,113,419,45,113,24,0,10,57,23,58,6,0,.270,.312,.399,.710
Dylan D Moore L,SEA,113,247,31,51,14,2,9,28,25,93,11,9,.206,.302,.389,.691
Jesse J Winker L,CIN,113,338,51,91,17,2,16,38,38,60,0,2,.269,.357,.473,.830
Niko N Goodrum S,DET,112,423,61,105,27,5,12,45,46,138,12,3,.248,.322,.421,.743
Matt M Adams,WSH,111,310,42,70,14,0,20,56,20,115,0,0,.226,.276,.465,.741
Carson C Kelly,ARI,111,314,46,77,19,0,18,47,48,79,0,0,.245,.348,.478,.826
Rowdy R Tellez,TOR,111,370,49,84,19,0,21,54,29,116,1,1,.227,.293,.449,.742
Tony T Kemp,CHC,110,245,31,52,9,4,8,29,23,47,4,4,.212,.291,.380,.671
Eric E Sogard,TB,110,396,59,115,23,2,13,40,38,63,8,0,.290,.353,.457,.810
Edwin E Encarnaci�n Encarnacion D,NYY,109,418,81,102,18,0,34,86,58,103,0,1,.244,.344,.531,.875
Charlie C Culberson,ATL,108,135,14,35,5,2,5,20,6,44,0,1,.259,.294,.437,.731
Luis L Rengifo,LAA,108,357,44,85,18,3,7,33,40,93,2,5,.238,.321,.364,.685
Pablo P Sandoval,SF,108,272,42,73,23,0,14,41,18,67,1,0,.268,.313,.507,.820
Robinson R Can�,NYM,107,390,46,100,28,0,13,39,25,69,0,0,.256,.307,.428,.736
Garrett G Cooper,MIA,107,381,52,107,16,1,15,50,33,110,0,0,.281,.344,.446,.791
Danny D Jansen,TOR,107,347,41,72,12,1,13,43,31,79,0,1,.207,.279,.360,.640
Mike M Yastrzemski L,SF,107,371,64,101,22,3,21,55,32,107,2,4,.272,.334,.518,.852
Shohei S Ohtani D,LAA,106,384,51,110,20,5,18,62,33,110,12,3,.286,.343,.505,.848
Josh J Phegley,OAK,106,314,44,75,18,0,12,62,15,63,0,1,.239,.282,.411,.693
Gary G S�nchez Sanchez,NYY,106,396,62,92,12,1,34,77,40,125,0,1,.232,.316,.525,.841
Kyle K Seager,SEA,106,393,55,94,19,1,23,63,44,86,2,2,.239,.321,.468,.789
Alex A Verdugo C,LAD,106,343,43,101,22,2,12,44,26,49,4,1,.294,.342,.475,.817
Willson W Contreras,CHC,105,360,57,98,18,2,24,64,38,102,1,2,.272,.355,.533,.888
Chris C Davis,BAL,105,307,26,55,9,0,12,36,39,139,0,0,.179,.276,.326,.601
Garrett G Hampson,COL,105,299,40,74,9,4,8,27,24,88,15,3,.247,.302,.385,.686
Martin M Maldonado,HOU,105,333,46,71,19,0,12,27,32,86,0,0,.213,.293,.378,.671
Ryan R O' Hearn,KC,105,328,32,64,13,1,14,38,39,99,0,1,.195,.281,.369,.650
Miguel M San�,MIN,105,380,76,94,19,2,34,79,55,159,0,1,.247,.346,.576,.923
Martin M Prado,MIA,104,245,26,57,9,0,2,15,12,41,0,0,.233,.265,.294,.559
Nick N Senzel C,CIN,104,375,55,96,20,4,12,42,30,101,14,5,.256,.315,.427,.742
Christin C Stewart L,DET,104,369,32,86,25,1,10,40,34,103,0,1,.233,.305,.388,.693
Nicky N Lopez,KC,103,379,44,91,22,2,2,30,18,51,1,1,.240,.276,.325,.601
Andrelton A Simmons S,LAA,103,398,47,105,19,0,7,40,24,37,10,2,.264,.309,.364,.673
Travis Td' Arnaudd' Arnaud,TB,103,351,52,88,16,0,16,69,32,85,0,1,.251,.312,.433,.745
Austin A Hedges,SD,102,312,28,55,9,0,11,36,27,109,1,0,.176,.252,.311,.563
Aaron A Judge R,NYY,102,378,75,103,18,1,27,55,64,141,3,2,.272,.381,.540,.921
Adalberto A Mondesi S,KC,102,415,58,109,20,10,9,62,19,132,43,7,.263,.291,.424,.715
Elias E D�az Diaz,PIT,101,303,31,73,14,0,2,28,23,56,0,0,.241,.296,.307,.603
Logan L Forsythe,TEX,101,317,38,72,17,1,7,39,44,100,2,0,.227,.325,.353,.678
Jonathan J Lucroy,CHC,101,293,30,68,10,1,8,36,27,51,0,0,.232,.305,.355,.660
Dwight D Smith Jr. L,BAL,101,357,46,86,16,3,13,53,26,82,5,1,.241,.297,.412,.708
Cavan C Biggio,TOR,100,354,66,83,17,2,16,48,71,123,14,0,.234,.364,.429,.793
Keon K Broxton C,SEA,100,204,24,34,4,0,6,16,20,104,10,6,.167,.242,.275,.517
David D Dahl C,COL,100,374,67,113,28,5,15,61,28,110,4,4,.302,.353,.524,.877
Michael M Lorenzen,CIN,100,48,6,10,2,0,1,6,5,17,5,2,.208,.283,.313,.596
Matt M Beaty,LAD,99,249,36,66,19,1,9,46,17,33,5,0,.265,.317,.458,.775
David D Peralta L,ARI,99,382,48,105,29,3,12,57,35,87,0,0,.275,.343,.461,.804
Stephen S Vogt,SF,99,255,30,67,24,2,10,40,20,66,3,1,.263,.314,.490,.804
Jay J Bruce L,PHI,98,310,43,67,17,0,26,59,19,82,1,0,.216,.261,.523,.784
Johan J Camargo,ATL,98,232,31,54,12,1,7,32,15,43,1,0,.233,.279,.384,.663
Harold H Castro,DET,97,354,30,103,10,4,5,38,9,86,4,2,.291,.305,.384,.689
Ryan R Cordell,CWS,97,217,22,48,8,0,7,24,19,69,3,1,.221,.290,.355,.645
Kyle K Farmer,CIN,97,183,22,42,6,0,9,27,10,59,4,1,.230,.279,.410,.689
Yan Y Gomes,WSH,97,314,36,70,16,0,12,43,38,84,2,0,.223,.316,.389,.704
Pedro P Severino,BAL,96,305,37,76,13,0,13,44,29,73,3,1,.249,.321,.420,.740
Victor V Caratini,CHC,95,244,31,65,11,0,11,34,29,59,1,0,.266,.348,.447,.794
Michael M Chavis,BOS,95,347,46,88,10,1,18,58,31,127,2,1,.254,.322,.444,.766
John J Hicks,DET,95,319,29,67,15,0,13,35,13,109,1,1,.210,.240,.379,.620
Jose J Osuna,PIT,95,261,41,69,20,0,10,36,18,48,0,0,.264,.310,.456,.766
Josh J Van Meter L,CIN,95,228,33,54,13,1,8,23,29,56,9,3,.237,.327,.408,.735
Jeimer J Candelario,DET,94,335,33,68,17,2,8,32,43,99,3,1,.203,.306,.337,.643
Phillip P Ervin L,CIN,94,236,30,64,11,7,7,23,18,63,4,3,.271,.331,.466,.797
Josh J Naylor L,SD,94,253,29,63,15,0,8,32,25,64,1,1,.249,.315,.403,.719
J. P. J Crawford S,SEA,93,345,43,78,21,4,7,46,43,83,5,3,.226,.313,.371,.684
Mitch M Garver,MIN,93,311,70,85,16,1,31,67,41,87,0,0,.273,.365,.630,.995
Stephen S Piscotty R,OAK,93,357,46,89,17,1,13,44,29,84,2,0,.249,.309,.412,.720
Anthony A Santander R,BAL,93,380,46,99,20,1,20,59,19,86,1,2,.261,.297,.476,.773
Luis L Arraez,MIN,92,326,54,109,20,1,4,28,36,29,2,2,.334,.399,.439,.838
Tommy T Edman,STL,92,326,59,99,17,7,11,36,16,61,15,1,.304,.350,.500,.850
Ildemaro I Vargas,ARI,92,201,25,54,9,1,6,24,9,24,1,0,.269,.299,.413,.712
Tim T Locastro L,ARI,91,212,38,53,12,2,1,17,14,44,17,0,.250,.357,.340,.697
Mitch M Moreland,BOS,91,298,48,75,17,1,19,58,34,74,1,0,.252,.328,.507,.835
