PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Edgar E Martinez D,SEA,145,511,121,182,52,0,29,113,116,87,4,3,.356,.479,.628,1.107
Frank F Thomas,CWS,145,493,102,152,27,0,40,111,136,74,3,2,.308,.454,.606,1.061
Barry B Bonds L,SF,144,506,109,149,30,7,33,104,120,83,31,10,.294,.431,.577,1.009
Chad C Curtis,DET,144,586,96,157,29,3,21,67,70,93,27,15,.268,.349,.435,.784
Travis T Fryman,DET,144,567,79,156,21,5,15,81,63,100,4,2,.275,.347,.409,.756
Fred F Mc Griff,ATL,144,528,85,148,27,1,27,93,65,99,3,6,.280,.361,.489,.850
Cal C Ripken S,BAL,144,550,71,144,33,2,17,88,52,59,0,1,.262,.324,.422,.745
Sammy S Sosa R,CHC,144,564,89,151,17,3,36,119,58,134,34,7,.268,.340,.500,.840
Ed E Sprague,TOR,144,521,77,127,27,2,18,74,58,96,0,0,.244,.333,.407,.740
Bernie B Williams C,NYY,144,563,93,173,29,9,18,82,75,98,8,6,.307,.392,.487,.878
Brady B Anderson L,BAL,143,554,108,145,33,10,16,64,87,111,26,7,.262,.371,.444,.815
Albert A Belle L,CLE,143,546,121,173,52,1,50,126,73,80,5,2,.317,.401,.690,1.091
Ken K Caminiti,SD,143,526,74,159,33,0,26,94,69,94,12,5,.302,.380,.513,.894
Andres A Galarraga,COL,143,554,89,155,29,3,31,106,32,146,12,2,.280,.331,.511,.842
Mark M Grace,CHC,143,552,97,180,51,3,16,92,65,46,6,2,.326,.395,.516,.911
Eric E Karros,LA,143,551,83,164,29,3,32,105,61,115,4,4,.298,.369,.535,.905
Rafael R Palmeiro,BAL,143,554,89,172,30,2,39,104,62,65,3,1,.310,.380,.583,.963
Tim T Salmon R,CAL,143,537,111,177,34,3,34,105,91,111,5,5,.330,.429,.594,1.024
J. T. J Snow,CAL,143,544,80,157,22,1,24,102,52,91,2,1,.289,.353,.465,.818
Lance L Johnson C,CWS,142,607,98,186,18,12,10,57,32,31,40,6,.306,.341,.425,.766
Geronimo G Berroa D,OAK,141,546,87,152,22,3,22,88,63,98,7,4,.278,.351,.451,.801
Craig C Biggio,HOU,141,553,123,167,30,2,22,77,80,85,33,8,.302,.406,.483,.889
Bobby B Bonilla R,BAL,141,554,96,182,37,8,28,99,54,79,0,5,.329,.388,.576,.963
Jim J Edmonds C,CAL,141,558,120,162,30,4,33,107,51,130,1,4,.290,.352,.536,.888
Charlie C Hayes,PHI,141,529,58,146,30,3,11,85,50,88,5,1,.276,.340,.406,.746
Tino T Martinez,SEA,141,519,92,152,35,3,31,111,62,91,0,0,.293,.369,.551,.920
Chipper C Jones,ATL,140,524,87,139,22,3,23,86,73,99,8,4,.265,.353,.450,.803
Mo M Vaughn,BOS,140,550,98,165,28,3,39,126,68,150,11,4,.300,.388,.575,.963
Dante D Bichette L,COL,139,579,102,197,38,2,40,128,22,96,13,9,.340,.364,.620,.984
Joe J Carter L,TOR,139,558,70,141,23,0,25,76,37,87,12,1,.253,.300,.428,.728
Vinny V Castilla,COL,139,527,82,163,34,2,32,90,30,87,2,8,.309,.347,.564,.911
Steve S Finley C,SD,139,562,104,167,23,8,10,44,59,62,36,12,.297,.366,.420,.786
Marquis M Grissom C,ATL,139,551,80,142,23,3,12,42,47,61,29,9,.258,.317,.376,.693
Raul R Mondesi,LA,139,536,91,153,23,6,26,88,33,96,27,4,.285,.328,.496,.824
Otis O Nixon C,TEX,139,589,87,174,21,2,0,45,58,85,50,21,.295,.357,.338,.695
Tony T Phillips,CAL,139,525,119,137,21,1,27,61,113,135,13,10,.261,.394,.459,.853
Jay J Bell S,PIT,138,530,79,139,28,4,13,55,55,110,2,5,.262,.336,.404,.739
Bret B Boone,CIN,138,513,63,137,34,2,15,68,41,84,5,1,.267,.326,.429,.754
Royce R Clayton S,SF,138,509,56,124,29,3,5,58,38,109,24,9,.244,.298,.342,.640
Greg G Colbrunn,FLA,138,528,70,146,22,1,23,89,22,69,11,3,.277,.311,.453,.763
Marty M Cordova L,MIN,137,512,81,142,27,4,24,84,52,111,20,7,.277,.352,.486,.839
Gary G Gaetti,KC,137,514,76,134,27,0,35,96,47,91,3,3,.261,.329,.518,.846
Brian B Mc Rae C,CHC,137,580,92,167,38,7,12,48,47,92,27,8,.288,.348,.440,.788
Kirby K Puckett R,MIN,137,538,83,169,39,0,23,99,56,89,3,2,.314,.379,.515,.894
Manny M Ramirez R,CLE,137,484,85,149,26,1,31,107,75,112,6,6,.308,.402,.558,.960
Jim J Thome,CLE,137,452,92,142,29,3,25,73,97,113,4,3,.314,.438,.558,.996
Walt W Weiss S,COL,137,427,65,111,17,3,1,25,98,57,15,3,.260,.403,.321,.724
Cecil C Fielder,DET,136,494,70,120,18,1,31,82,75,116,0,1,.243,.346,.472,.818
Brent B Gates,OAK,136,524,60,133,24,4,5,56,46,84,3,3,.254,.308,.344,.652
Roberto R Kelly L,LA,136,504,58,140,23,2,7,57,22,79,19,10,.278,.312,.373,.685
Chuck C Knoblauch,MIN,136,538,107,179,34,8,11,63,78,95,46,18,.333,.424,.487,.912
Omar O Vizquel S,CLE,136,542,87,144,28,0,6,56,59,59,29,11,.266,.333,.351,.684
Carlos C Baerga,CLE,135,557,87,175,28,2,15,90,35,31,11,2,.314,.355,.452,.807
Tony T Gwynn R,SD,135,535,82,197,33,1,9,90,35,15,17,5,.368,.404,.484,.888
John J Olerud,TOR,135,492,72,143,32,0,8,54,84,54,0,0,.291,.398,.404,.802
John J Valentin S,BOS,135,520,108,155,37,2,27,102,81,67,20,5,.298,.399,.533,.931
Robin R Ventura,CWS,135,492,79,145,22,0,26,93,75,98,4,3,.295,.384,.498,.882
Jose J Vizcaino S,NYM,135,509,66,146,21,5,3,56,35,76,8,3,.287,.332,.365,.698
Mike M Blowers,SEA,134,439,59,113,24,1,23,96,53,128,2,1,.257,.335,.474,.809
Rico R Brogna,NYM,134,495,72,143,27,2,22,76,39,111,0,0,.289,.342,.485,.827
Mickey M Tettleton R,TEX,134,429,76,102,19,1,32,78,107,110,0,0,.238,.396,.510,.906
Jeff J Conine L,FLA,133,483,72,146,26,2,25,105,66,94,2,0,.302,.379,.520,.899
Luis L Gonzalez,CHC,133,471,69,130,29,8,13,69,57,63,6,8,.276,.357,.454,.812
Tom T Goodwin C,KC,133,480,72,138,16,3,4,28,38,72,50,18,.288,.346,.358,.704
Terry T Pendleton,FLA,133,513,70,149,32,1,14,78,38,84,1,2,.290,.339,.439,.778
Tim T Raines L,CWS,133,502,81,143,25,4,12,67,70,52,13,2,.285,.374,.422,.796
Reggie R Sanders,CIN,133,484,91,148,36,6,28,99,69,122,36,12,.306,.397,.579,.975
Luis L Alicea,BOS,132,419,64,113,20,3,6,44,63,61,13,10,.270,.367,.375,.742
Glenallen G Hill R,SF,132,497,71,131,29,4,24,86,39,98,25,5,.264,.317,.483,.800
Ray R Lankford C,STL,132,483,81,134,35,2,25,82,63,110,24,8,.277,.360,.513,.873
Darren D Lewis C,CIN,132,472,66,118,13,3,1,24,34,57,32,18,.250,.311,.297,.607
Orlando O Merced R,PIT,132,487,75,146,29,4,15,83,52,74,7,2,.300,.365,.468,.833
Kevin K Seitzer,MIL,132,492,56,153,33,3,5,69,64,57,2,0,.311,.395,.421,.815
Wil W Cordero S,MON,131,514,64,147,35,2,10,49,36,88,9,5,.286,.341,.420,.761
