TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Texas Rangers,AL,162,5703,829,1539,288,31,177,774,596,1039,102,50,.270,.341,.424,.766
Minnesota Twins,AL,162,5556,776,1557,270,42,140,733,526,747,107,68,.280,.344,.420,.764
Detroit Tigers,AL,162,5547,817,1372,259,26,209,778,699,1185,109,47,.247,.333,.416,.749
Boston Red Sox,AL,162,5530,731,1486,305,25,126,691,593,820,59,39,.269,.340,.401,.741
Pittsburgh Pirates,NL,162,5449,768,1433,259,50,126,725,620,901,124,46,.263,.338,.398,.737
Milwaukee Brewers,AL,162,5611,799,1523,247,53,116,750,556,802,106,68,.271,.336,.396,.732
Chicago White Sox,AL,162,5594,758,1464,226,39,139,722,610,896,134,74,.262,.336,.391,.727
Cincinnati Reds,NL,162,5501,689,1419,250,27,164,654,488,1006,124,56,.258,.320,.403,.722
Toronto Blue Jays,AL,162,5489,684,1412,295,45,133,649,499,1043,148,53,.257,.322,.400,.722
Kansas City Royals,AL,162,5584,727,1475,290,41,117,689,523,969,119,68,.264,.328,.394,.722
Atlanta Braves,NL,162,5456,749,1407,255,30,141,704,563,906,165,76,.258,.328,.393,.722
Baltimore Orioles,AL,162,5604,686,1421,256,29,170,660,528,974,50,33,.254,.319,.401,.720
Oakland Athletics,AL,162,5410,760,1342,246,19,159,716,642,981,151,64,.248,.331,.389,.719
Seattle Mariners,AL,162,5494,702,1400,268,29,126,665,588,811,97,44,.255,.328,.383,.711
New York Yankees,AL,162,5541,674,1418,249,19,147,630,473,861,109,36,.256,.316,.387,.704
Chicago Cubs,NL,160,5522,695,1395,232,26,159,654,442,879,123,64,.253,.309,.390,.700
San Francisco Giants,NL,162,5463,649,1345,215,48,141,605,471,973,95,57,.246,.309,.381,.690
California Angels,AL,162,5470,653,1396,245,29,115,607,448,928,94,56,.255,.314,.374,.688
Los Angeles Dodgers,NL,162,5408,665,1366,191,29,108,605,583,957,126,68,.253,.326,.359,.684
New York Mets,NL,161,5359,640,1305,250,24,117,605,578,789,153,70,.244,.317,.365,.682
St. Louis Cardinals,NL,162,5362,651,1366,239,53,68,599,532,857,202,110,.255,.322,.357,.679
San Diego Padres,NL,162,5408,636,1321,204,36,121,591,501,1069,101,64,.244,.310,.362,.672
Montreal Expos,NL,161,5411,579,1329,236,42,95,536,484,1056,221,100,.246,.308,.357,.666
Cleveland Indians,AL,162,5470,576,1390,236,26,79,546,449,888,84,58,.254,.313,.350,.663
Philadelphia Phillies,NL,162,5521,629,1332,248,33,111,590,490,1026,92,30,.241,.303,.358,.662
Houston Astros,NL,162,5504,605,1345,240,43,79,570,502,1027,125,68,.244,.309,.347,.656
