TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Boston Red Sox,AL,162,5670,878,1598,343,25,208,836,558,1160,83,24,.282,.348,.461,.810
Colorado Rockies,NL,162,5614,845,1544,318,47,204,805,494,1330,66,39,.275,.336,.457,.794
Chicago Cubs,NL,162,5503,808,1409,293,30,199,767,656,1339,66,34,.256,.343,.429,.772
Detroit Tigers,AL,161,5526,750,1476,252,30,211,719,493,1303,58,29,.267,.331,.438,.769
St. Louis Cardinals,NL,162,5548,779,1415,299,32,225,745,526,1318,35,26,.255,.325,.442,.767
Baltimore Orioles,AL,162,5524,744,1413,265,6,253,710,468,1324,19,13,.256,.317,.443,.760
Cleveland Indians,AL,161,5484,777,1435,308,29,185,733,531,1246,134,31,.262,.329,.430,.759
Seattle Mariners,AL,162,5583,768,1446,251,17,223,735,506,1288,56,28,.259,.326,.430,.756
Toronto Blue Jays,AL,162,5479,759,1358,276,18,221,728,632,1362,54,24,.248,.330,.426,.755
Texas Rangers,AL,162,5525,765,1446,257,23,215,746,436,1220,99,36,.262,.322,.433,.755
Arizona Diamondbacks,NL,162,5665,752,1479,285,56,190,709,463,1427,137,31,.261,.320,.432,.752
Washington Nationals,NL,162,5490,763,1403,268,29,203,735,536,1252,121,39,.256,.326,.426,.751
Minnesota Twins,AL,162,5618,722,1409,288,35,200,690,513,1426,91,32,.251,.316,.421,.738
Houston Astros,AL,162,5545,724,1367,291,29,198,689,554,1452,102,44,.247,.319,.417,.735
Pittsburgh Pirates,NL,162,5542,729,1426,277,32,153,696,561,1334,110,45,.257,.332,.402,.734
Tampa Bay Rays,AL,162,5481,672,1333,288,32,216,647,449,1482,60,37,.243,.307,.426,.733
New York Mets,NL,162,5459,671,1342,240,19,218,649,517,1302,42,18,.246,.316,.417,.733
Milwaukee Brewers,NL,162,5330,671,1299,249,19,194,641,599,1543,181,56,.244,.322,.407,.729
Los Angeles Dodgers,NL,162,5518,725,1376,272,21,189,680,525,1321,45,26,.249,.319,.409,.728
San Francisco Giants,NL,162,5565,715,1437,280,54,130,675,572,1107,79,36,.258,.329,.398,.728
Chicago White Sox,AL,162,5550,686,1428,277,33,168,656,455,1285,77,36,.257,.317,.410,.727
Los Angeles Angels,AL,162,5431,717,1410,279,20,156,686,471,991,73,34,.260,.322,.405,.726
Cincinnati Reds,NL,162,5487,716,1403,277,33,164,678,452,1284,139,51,.256,.316,.408,.724
New York Yankees,AL,162,5458,680,1378,245,20,183,647,475,1188,72,22,.252,.315,.405,.720
Miami Marlins,NL,161,5547,655,1460,259,42,128,626,447,1213,71,28,.263,.322,.394,.716
Kansas City Royals,AL,162,5552,675,1450,264,33,147,640,382,1224,121,35,.261,.312,.400,.712
Atlanta Braves,NL,161,5514,649,1404,295,27,122,615,502,1240,75,34,.255,.321,.384,.705
Oakland Athletics,AL,162,5500,653,1352,270,21,169,634,442,1145,50,23,.246,.304,.395,.699
San Diego Padres,NL,162,5419,686,1275,257,26,177,654,449,1500,125,45,.235,.299,.390,.689
Philadelphia Phillies,NL,162,5434,610,1305,231,35,161,574,424,1376,96,45,.240,.301,.384,.685
