PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Jeff J Conine L,FLA,162,595,75,174,24,3,12,79,52,135,2,2,.292,.351,.403,.754
Cal C Ripken S,BAL,162,641,87,165,26,3,24,90,65,58,1,4,.257,.329,.420,.748
Jeff J Blauser S,ATL,161,597,110,182,29,2,15,73,85,109,16,6,.305,.401,.436,.837
Lenny L Dykstra C,PHI,161,637,143,194,44,6,19,66,129,64,37,12,.305,.420,.482,.902
Terry T Pendleton,ATL,161,633,81,172,33,1,17,84,36,97,5,1,.272,.311,.408,.718
Paul P Molitor D,TOR,160,636,121,211,37,5,22,111,77,71,22,4,.332,.402,.509,.911
Rafael R Palmeiro,TEX,160,597,124,176,40,2,37,105,73,85,22,3,.295,.371,.554,.926
Albert A Belle L,CLE,159,594,93,172,36,3,38,129,76,96,23,12,.290,.370,.552,.922
Barry B Bonds L,SF,159,539,129,181,38,4,46,123,126,79,29,12,.336,.458,.677,1.136
Mike M Bordick S,OAK,159,546,60,136,21,2,3,48,60,58,10,10,.249,.332,.311,.644
Greg G Gagne S,KC,159,540,66,151,32,3,10,57,33,93,10,12,.280,.319,.406,.724
Sammy S Sosa R,CHC,159,598,92,156,25,5,33,93,38,135,36,11,.261,.309,.485,.794
Jay J Buhner R,SEA,158,563,90,153,28,3,27,98,100,144,2,5,.272,.379,.476,.855
Eric E Karros,LA,158,619,74,153,27,2,23,80,34,82,0,1,.247,.287,.409,.696
Jeff J King,PIT,158,611,82,180,35,3,9,98,59,54,8,6,.295,.356,.406,.762
Jose J Offerman S,LA,158,590,77,159,21,6,1,62,71,75,30,13,.269,.346,.331,.676
John J Olerud,TOR,158,551,109,200,54,2,24,107,114,65,0,2,.363,.473,.599,1.072
Ruben R Sierra,OAK,158,630,77,147,23,5,22,101,52,97,25,5,.233,.288,.390,.678
Omar O Vizquel S,SEA,158,560,68,143,14,2,2,31,50,71,12,14,.255,.319,.298,.618
Walt W Weiss S,FLA,158,500,50,133,14,2,1,39,79,73,7,3,.266,.367,.308,.675
Ron R Gant L,ATL,157,606,113,166,27,4,36,117,67,117,26,9,.274,.345,.510,.854
Marquis M Grissom C,MON,157,630,104,188,27,2,19,95,52,76,53,10,.298,.351,.438,.789
Charlie C Hayes,COL,157,573,89,175,45,2,25,98,43,82,11,6,.305,.355,.522,.876
David D Justice R,ATL,157,585,90,158,15,4,40,120,78,90,3,5,.270,.357,.515,.871
