TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Colorado Rockies,NL,162,5612,755,1551,307,41,186,721,397,1281,85,48,.276,.327,.445,.772
Detroit Tigers,AL,162,5630,757,1557,325,26,155,731,443,1144,106,41,.277,.331,.426,.757
Los Angeles Dodgers,NL,162,5560,718,1476,302,38,134,686,519,1246,138,50,.265,.333,.406,.738
Toronto Blue Jays,AL,162,5549,723,1435,282,24,177,690,502,1151,78,21,.259,.323,.414,.736
Pittsburgh Pirates,NL,162,5536,682,1436,275,30,156,659,520,1244,104,47,.259,.330,.404,.734
Baltimore Orioles,AL,162,5596,705,1434,264,16,211,681,401,1285,44,20,.256,.311,.422,.734
Los Angeles Angels,AL,162,5652,773,1464,304,31,155,729,492,1266,81,39,.259,.322,.406,.728
Washington Nationals,NL,162,5542,686,1403,265,27,152,635,517,1304,101,23,.253,.321,.393,.714
Minnesota Twins,AL,162,5567,715,1412,316,27,128,675,544,1329,99,36,.254,.324,.389,.713
Chicago White Sox,AL,162,5543,660,1400,279,32,155,625,417,1362,85,36,.253,.310,.398,.708
Milwaukee Brewers,NL,162,5462,650,1366,297,28,150,617,423,1197,102,43,.250,.311,.397,.708
Cleveland Indians,AL,162,5575,669,1411,284,23,142,644,504,1189,104,27,.253,.317,.389,.706
Oakland Athletics,AL,162,5545,729,1354,253,33,146,686,586,1104,83,20,.244,.320,.381,.700
San Francisco Giants,NL,162,5523,665,1407,257,42,132,636,427,1245,56,27,.255,.311,.388,.699
Miami Marlins,NL,162,5538,645,1399,254,36,122,614,501,1419,58,21,.253,.317,.378,.694
Houston Astros,AL,162,5447,629,1317,240,19,163,596,495,1442,122,37,.242,.309,.383,.692
Kansas City Royals,AL,162,5545,651,1456,286,29,95,604,380,985,153,36,.263,.314,.376,.690
St. Louis Cardinals,NL,162,5426,619,1371,275,21,105,585,471,1133,57,32,.253,.320,.369,.689
Texas Rangers,AL,162,5460,637,1400,260,28,111,597,417,1162,105,59,.256,.314,.375,.689
New York Yankees,AL,162,5497,633,1349,247,26,147,591,452,1133,112,26,.245,.307,.380,.687
Chicago Cubs,NL,162,5508,614,1315,270,31,157,590,442,1477,65,40,.239,.300,.385,.684
Boston Red Sox,AL,162,5551,634,1355,282,20,123,601,535,1337,63,25,.244,.316,.369,.684
Tampa Bay Rays,AL,162,5516,612,1361,263,24,117,586,527,1124,63,27,.247,.317,.367,.684
Arizona Diamondbacks,NL,162,5552,615,1379,259,47,118,573,398,1165,86,33,.248,.302,.376,.678
Seattle Mariners,AL,162,5450,634,1328,247,32,136,600,396,1232,96,42,.244,.300,.376,.676
New York Mets,NL,162,5472,629,1306,275,19,125,602,516,1264,101,34,.239,.308,.364,.673
Philadelphia Phillies,NL,162,5603,619,1356,251,27,125,584,443,1306,109,26,.242,.302,.363,.665
Atlanta Braves,NL,162,5468,573,1316,240,22,123,545,472,1369,95,33,.241,.305,.360,.665
Cincinnati Reds,NL,162,5395,595,1282,254,20,131,562,415,1252,122,52,.238,.296,.365,.662
San Diego Padres,NL,162,5294,535,1199,224,30,109,500,468,1294,91,34,.226,.292,.342,.634
