TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Colorado Rockies,NL,162,5690,923,1663,324,61,213,874,511,1027,132,54,.292,.354,.483,.837
Texas Rangers,AL,162,5685,890,1566,326,23,246,844,548,1093,97,32,.275,.344,.471,.815
Cleveland Indians,AL,162,5600,897,1559,294,37,212,868,577,1076,79,41,.278,.350,.458,.807
Seattle Mariners,AL,162,5680,927,1637,310,38,169,881,614,989,174,42,.288,.360,.445,.805
San Francisco Giants,NL,162,5612,799,1493,304,40,235,775,625,1090,57,42,.266,.342,.460,.802
Houston Astros,NL,162,5528,847,1500,313,29,208,805,581,1119,64,49,.271,.347,.451,.798
Chicago White Sox,AL,162,5464,798,1463,300,29,214,770,520,998,123,59,.268,.334,.451,.785
Oakland Athletics,AL,162,5573,884,1469,334,22,199,835,640,1021,68,29,.264,.345,.439,.784
Arizona Diamondbacks,NL,162,5595,818,1494,284,35,208,776,587,1052,71,38,.267,.341,.442,.782
St. Louis Cardinals,NL,162,5450,814,1469,274,32,199,768,529,1089,91,35,.270,.339,.441,.780
Boston Red Sox,AL,161,5605,772,1493,316,29,198,739,520,1131,46,35,.266,.334,.439,.773
Minnesota Twins,AL,162,5560,771,1514,328,38,164,717,495,1083,146,67,.272,.337,.433,.770
New York Yankees,AL,161,5577,804,1488,289,20,203,774,519,1035,161,53,.267,.334,.435,.769
Chicago Cubs,NL,162,5406,777,1409,268,32,194,748,577,1077,67,36,.261,.336,.430,.766
Toronto Blue Jays,AL,162,5663,767,1489,287,36,195,728,470,1094,156,55,.263,.325,.430,.755
Florida Marlins,NL,162,5542,742,1461,325,30,166,713,470,1145,89,40,.264,.326,.423,.749
Los Angeles Dodgers,NL,162,5493,758,1399,264,27,206,714,519,1062,89,42,.255,.323,.425,.748
Milwaukee Brewers,NL,162,5488,740,1378,273,30,209,712,488,1399,66,36,.251,.319,.426,.745
Cincinnati Reds,NL,162,5583,735,1464,304,22,176,690,468,1172,103,54,.262,.324,.419,.744
Philadelphia Phillies,NL,162,5497,746,1431,295,29,164,708,551,1125,153,47,.260,.329,.414,.743
Atlanta Braves,NL,162,5498,729,1432,263,24,174,696,493,1039,85,46,.260,.324,.412,.736
San Diego Padres,NL,162,5482,789,1379,273,26,161,753,678,1273,129,44,.252,.336,.399,.735
Anaheim Angels,AL,162,5551,691,1447,275,26,158,662,494,1001,116,52,.261,.327,.405,.732
Detroit Tigers,AL,162,5537,724,1439,291,60,139,691,466,972,133,61,.260,.320,.409,.730
Kansas City Royals,AL,162,5643,729,1503,277,37,152,691,406,898,100,42,.266,.318,.409,.727
Montreal Expos,NL,162,5379,670,1361,320,28,131,622,478,1071,101,51,.253,.319,.396,.714
New York Mets,NL,162,5459,642,1361,273,18,147,608,545,1062,66,48,.249,.323,.387,.710
Tampa Bay Devil Rays,AL,162,5524,672,1426,311,21,121,645,456,1116,115,52,.258,.320,.388,.707
Pittsburgh Pirates,NL,162,5398,657,1333,256,25,161,618,467,1106,93,73,.247,.313,.393,.706
Baltimore Orioles,AL,162,5472,687,1359,262,24,136,663,514,989,133,53,.248,.319,.380,.699
