TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Toronto Blue Jays,AL,162,5509,891,1480,308,17,232,852,570,1151,88,23,.269,.340,.457,.797
Houston Astros,AL,162,5459,729,1363,278,26,230,691,486,1392,121,48,.250,.315,.437,.752
Detroit Tigers,AL,161,5605,689,1515,289,49,151,660,455,1259,83,51,.270,.328,.420,.748
Colorado Rockies,NL,162,5572,737,1479,274,49,186,702,388,1283,97,43,.265,.315,.432,.748
New York Yankees,AL,162,5567,764,1397,272,19,212,737,554,1227,63,25,.251,.323,.421,.744
Boston Red Sox,AL,162,5640,748,1495,294,33,161,706,478,1148,71,27,.265,.325,.415,.740
Los Angeles Dodgers,NL,162,5385,667,1346,263,26,187,638,563,1258,59,34,.250,.326,.413,.739
Texas Rangers,AL,162,5511,751,1419,279,32,172,707,503,1233,101,39,.257,.325,.413,.739
Arizona Diamondbacks,NL,162,5649,720,1494,289,48,154,680,490,1312,132,44,.264,.324,.414,.738
Kansas City Royals,AL,162,5575,724,1497,300,42,139,689,383,973,104,34,.269,.322,.412,.734
San Francisco Giants,NL,162,5565,696,1486,288,39,136,663,457,1159,93,36,.267,.326,.406,.732
Baltimore Orioles,AL,162,5485,713,1370,246,20,217,686,418,1331,44,25,.250,.307,.421,.728
Cleveland Indians,AL,161,5439,669,1395,303,29,141,640,533,1157,86,28,.256,.325,.401,.725
Washington Nationals,NL,162,5428,703,1363,265,13,177,665,539,1344,57,23,.251,.321,.403,.724
Seattle Mariners,AL,162,5544,656,1379,262,22,198,624,478,1336,69,45,.249,.311,.411,.722
Tampa Bay Rays,AL,162,5485,644,1383,278,32,167,612,436,1310,87,45,.252,.314,.406,.720
Chicago Cubs,NL,162,5491,689,1341,272,30,171,657,567,1518,95,37,.244,.321,.398,.720
Pittsburgh Pirates,NL,162,5631,697,1462,292,27,140,661,461,1322,98,45,.260,.323,.396,.719
St. Louis Cardinals,NL,162,5484,647,1386,288,39,137,619,506,1267,69,38,.253,.321,.394,.716
New York Mets,NL,162,5527,683,1351,295,17,177,654,488,1290,51,25,.244,.312,.400,.712
Oakland Athletics,AL,162,5600,694,1405,277,46,146,661,475,1119,78,29,.251,.312,.395,.707
Cincinnati Reds,NL,162,5571,640,1382,257,27,167,613,496,1255,134,38,.248,.312,.394,.706
Minnesota Twins,AL,162,5467,696,1349,277,44,156,661,439,1264,70,38,.247,.305,.399,.704
Los Angeles Angels,AL,162,5417,661,1331,243,21,176,621,435,1150,52,34,.246,.307,.396,.702
Milwaukee Brewers,NL,162,5480,655,1378,274,34,145,624,412,1299,84,29,.251,.307,.393,.700
Miami Marlins,NL,162,5463,613,1420,236,40,120,575,375,1150,112,45,.260,.310,.384,.694
Chicago White Sox,AL,162,5533,622,1381,260,27,136,595,404,1231,68,42,.250,.306,.380,.686
San Diego Padres,NL,162,5457,650,1324,260,36,148,623,426,1327,82,29,.243,.300,.385,.685
Philadelphia Phillies,NL,162,5529,626,1374,272,37,130,586,387,1274,88,32,.249,.303,.382,.684
Atlanta Braves,NL,162,5420,573,1361,251,18,100,548,471,1107,69,33,.251,.314,.359,.674
