PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Hideki H Matsui L,NYY,163,623,82,179,42,1,16,106,63,86,2,2,.287,.353,.435,.788
Orlando O Cabrera S,MON,162,626,95,186,47,2,17,80,52,64,24,2,.297,.347,.460,.807
Aubrey A Huff R,TB,162,636,91,198,47,3,34,107,53,80,2,3,.311,.367,.555,.922
Juan J Pierre C,FLA,162,668,100,204,28,7,1,41,55,35,65,20,.305,.361,.373,.734
Richie R Sexson,MIL,162,606,97,165,28,2,45,124,98,151,2,3,.272,.379,.548,.927
Miguel M Tejada S,OAK,162,636,98,177,42,0,27,106,53,65,10,0,.278,.336,.472,.807
Tony T Batista,BAL,161,631,76,148,20,1,26,99,28,102,4,3,.235,.270,.393,.663
Carlos C Delgado,TOR,161,570,117,172,38,1,42,145,109,137,0,0,.302,.426,.593,1.019
Alex A Rodriguez S,TEX,161,607,124,181,30,6,47,118,87,126,17,3,.298,.396,.600,.996
Vernon V Wells C,TOR,161,678,118,215,49,5,33,117,42,80,4,1,.317,.359,.550,.909
Jeff J Bagwell,HOU,160,605,109,168,28,2,39,100,88,119,11,4,.278,.373,.524,.897
Aaron A Boone,NYY,160,592,92,158,32,3,24,96,46,104,23,3,.267,.327,.453,.780
Jay J Gibbons R,BAL,160,625,80,173,39,2,23,100,49,89,0,1,.277,.330,.456,.786
Shawn S Green R,LA,160,611,84,171,49,2,19,85,68,112,6,2,.280,.355,.460,.814
Todd T Helton,COL,160,583,135,209,49,5,33,117,111,72,0,4,.358,.458,.630,1.088
Magglio M Ordonez R,CWS,160,606,95,192,46,3,29,99,57,73,9,5,.317,.380,.546,.926
Michael M Young,TEX,160,666,106,204,33,9,14,72,36,103,13,2,.306,.339,.446,.785
Garret G Anderson L,ANA,159,638,80,201,49,4,29,116,31,83,6,3,.315,.345,.541,.886
Bret B Boone,SEA,159,622,111,183,35,5,35,117,68,125,16,3,.294,.366,.535,.902
Aramis A Ramirez,CHC,159,607,75,165,32,2,27,106,42,99,2,2,.272,.324,.465,.788
Ichiro I Suzuki R,SEA,159,679,111,212,29,8,13,62,36,69,34,8,.312,.352,.436,.788
Jim J Thome,PHI,159,578,111,154,30,3,47,131,111,182,0,3,.266,.385,.573,.958
Bobby B Abreu R,PHI,158,577,99,173,35,1,20,101,109,126,22,9,.300,.409,.468,.877
Adrian A Beltré,LA,158,559,50,134,30,2,23,80,37,103,2,2,.240,.290,.424,.714
Angel A Berroa S,KC,158,567,92,163,28,7,17,73,29,100,21,5,.287,.338,.451,.789
Jose J Cruz R,SF,158,539,90,135,26,1,20,68,102,121,5,8,.250,.366,.414,.780
Cesar C Izturis S,LA,158,558,47,140,21,6,1,40,25,70,10,5,.251,.282,.315,.597
Carlos C Lee L,CWS,158,623,100,181,35,1,31,113,37,91,18,4,.291,.331,.499,.830
Scott S Spiezio,ANA,158,521,69,138,36,7,16,83,46,66,6,3,.265,.326,.453,.779
Raul R Ibanez L,KC,157,608,95,179,33,5,18,90,49,81,8,4,.294,.345,.454,.799
Jay J Payton L,COL,157,600,93,181,32,5,28,89,43,77,6,4,.302,.354,.512,.865
Albert A Pujols L,STL,157,591,137,212,51,1,43,124,79,65,5,1,.359,.439,.667,1.106
Edgar E Renteria S,STL,157,587,96,194,47,1,13,100,65,54,34,7,.330,.394,.480,.874
Randy R Winn L,SEA,157,600,103,177,37,4,11,75,41,108,23,5,.295,.346,.425,.771
Rocco R Baldelli C,TB,156,637,89,184,32,8,11,78,30,128,27,10,.289,.326,.416,.742
Eric E Chavez,OAK,156,588,94,166,39,5,29,101,62,89,8,3,.282,.350,.514,.864
Juan J Encarnacion R,FLA,156,601,80,162,37,6,19,94,37,82,19,8,.270,.313,.446,.759
Rafael R Furcal S,ATL,156,664,130,194,35,10,15,61,60,76,25,2,.292,.352,.443,.794
Nomar N Garciaparra S,BOS,156,658,120,198,37,13,28,105,39,61,19,5,.301,.345,.524,.870
Jason J Giambi,NYY,156,535,97,134,25,0,41,107,129,140,2,1,.250,.412,.527,.939
Luis L Gonzalez,ARI,156,579,92,176,46,4,26,104,94,67,5,3,.304,.402,.532,.934
Andruw A Jones C,ATL,156,595,101,165,28,2,36,116,53,125,4,3,.277,.338,.513,.851
Jimmy J Rollins S,PHI,156,628,85,165,42,6,8,62,54,113,20,12,.263,.320,.387,.707
Alfonso A Soriano,NYY,156,682,114,198,36,5,38,91,38,130,35,8,.290,.338,.525,.863
Ty T Wigginton,NYM,156,573,73,146,36,6,11,71,46,124,12,2,.255,.318,.396,.714
Derrek D Lee,FLA,155,539,91,146,31,2,31,92,88,131,21,8,.271,.379,.508,.888
Gary G Sheffield R,ATL,155,576,126,190,37,2,39,132,86,55,18,4,.330,.419,.604,1.023
Preston P Wilson C,COL,155,600,94,169,43,1,36,141,54,139,14,7,.282,.343,.537,.880
Dmitri D Young,DET,155,562,78,167,34,7,29,85,58,130,2,1,.297,.372,.537,.909
Erubiel E Durazo D,OAK,154,537,92,139,29,0,21,77,100,105,1,1,.259,.374,.430,.804
Mark M Ellis,OAK,154,553,78,137,31,5,9,52,48,94,6,2,.248,.313,.371,.684
Torii T Hunter C,MIN,154,581,83,145,31,4,26,102,50,106,6,7,.250,.312,.451,.762
Mark M Loretta,SD,154,589,74,185,28,4,13,72,54,62,5,4,.314,.372,.441,.814
Rafael R Palmeiro D,TEX,154,561,92,146,21,2,38,112,84,77,2,0,.260,.359,.508,.867
Scott S Podsednik C,MIL,154,558,100,175,29,8,9,58,56,91,43,10,.314,.379,.443,.822
Manny M Ramirez L,BOS,154,569,117,185,36,1,37,104,97,94,3,1,.325,.427,.587,1.014
Scott S Rolen,STL,154,559,98,160,49,1,28,104,82,104,13,3,.286,.382,.528,.910
Lance L Berkman,HOU,153,538,110,155,35,6,25,93,107,108,5,3,.288,.412,.515,.927
Craig C Biggio,HOU,153,628,102,166,44,2,15,62,57,116,8,4,.264,.350,.412,.763
Chipper C Jones L,ATL,153,555,103,169,33,2,27,106,94,83,2,2,.305,.402,.517,.920
Frank F Thomas D,CWS,153,546,87,146,35,0,42,105,100,115,0,0,.267,.390,.562,.952
Casey C Blake,CLE,152,557,80,143,35,0,17,67,38,109,7,9,.257,.312,.411,.723
Luis L Castillo,FLA,152,595,99,187,19,6,6,39,63,60,21,19,.314,.381,.397,.778
Deivi D Cruz S,BAL,152,548,61,137,24,2,14,65,13,49,1,2,.250,.269,.378,.647
