TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
New York Yankees,AL,162,5660,915,1604,325,21,244,881,663,1014,111,28,.283,.362,.478,.839
Boston Red Sox,AL,162,5543,872,1495,335,25,212,822,659,1120,126,39,.270,.352,.454,.806
Los Angeles Angels,AL,162,5622,883,1604,293,33,173,841,547,1054,148,63,.285,.350,.441,.792
Colorado Rockies,NL,162,5398,804,1408,300,50,190,760,660,1277,106,55,.261,.343,.441,.784
Tampa Bay Rays,AL,162,5462,803,1434,297,36,199,765,642,1229,194,61,.263,.343,.439,.782
Philadelphia Phillies,NL,162,5578,820,1439,312,35,224,788,589,1155,119,28,.258,.334,.447,.781
Minnesota Twins,AL,163,5608,817,1539,271,40,172,770,585,1021,85,32,.274,.345,.429,.774
Toronto Blue Jays,AL,162,5696,798,1516,339,13,209,766,548,1028,73,23,.266,.333,.440,.773
Milwaukee Brewers,NL,162,5510,785,1447,281,37,182,757,610,1231,68,37,.263,.341,.426,.767
Texas Rangers,AL,162,5526,784,1436,296,27,224,748,472,1253,149,36,.260,.320,.445,.764
Los Angeles Dodgers,NL,162,5592,780,1511,278,39,145,739,607,1068,116,48,.270,.346,.412,.758
Cleveland Indians,AL,162,5568,773,1468,314,28,161,730,582,1211,84,31,.264,.339,.417,.756
Florida Marlins,NL,162,5572,772,1493,296,25,159,727,568,1226,75,35,.268,.340,.416,.756
Detroit Tigers,AL,163,5540,743,1443,245,35,183,718,540,1114,72,33,.260,.331,.416,.747
St. Louis Cardinals,NL,162,5465,730,1436,294,29,160,694,528,1041,75,31,.263,.332,.415,.747
Baltimore Orioles,AL,162,5618,741,1508,307,19,160,708,517,1013,76,37,.268,.332,.415,.747
Atlanta Braves,NL,162,5539,735,1459,300,20,149,700,602,1064,58,26,.263,.339,.405,.744
Washington Nationals,NL,162,5493,710,1416,271,38,156,685,617,1208,73,40,.258,.337,.406,.743
Arizona Diamondbacks,NL,162,5565,720,1408,307,45,173,686,571,1298,102,40,.253,.324,.418,.742
Chicago White Sox,AL,162,5463,724,1410,246,20,184,695,534,1022,113,49,.258,.329,.411,.740
Chicago Cubs,NL,161,5486,707,1398,293,29,161,678,592,1185,56,34,.255,.332,.407,.738
New York Mets,NL,162,5453,671,1472,295,49,95,631,526,928,122,44,.270,.335,.394,.729
Oakland Athletics,AL,162,5584,759,1464,307,21,135,723,527,1046,133,48,.262,.328,.397,.726
Kansas City Royals,AL,162,5532,686,1432,276,51,144,657,457,1091,88,29,.259,.318,.405,.724
Houston Astros,NL,162,5436,643,1415,270,32,142,616,448,990,113,44,.260,.319,.400,.719
Seattle Mariners,AL,162,5543,640,1430,280,19,160,613,421,1093,89,33,.258,.314,.402,.716
Cincinnati Reds,NL,162,5462,673,1349,280,25,158,637,531,1129,96,40,.247,.318,.394,.712
Pittsburgh Pirates,NL,161,5417,636,1364,289,34,125,612,499,1142,90,32,.252,.318,.387,.705
San Diego Padres,NL,162,5425,638,1315,265,31,141,605,586,1182,82,29,.242,.321,.381,.701
San Francisco Giants,NL,162,5493,657,1411,275,43,122,612,392,1158,78,28,.257,.309,.389,.699
