PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Dante D Bichette R,COL,116,484,74,147,33,2,27,95,19,70,21,8,.304,.334,.548,.882
Jeff J Conine L,FLA,115,451,60,144,27,6,18,82,40,92,1,2,.319,.373,.525,.898
Paul P Molitor D,TOR,115,454,86,155,30,4,14,75,55,48,20,0,.341,.410,.518,.927
Craig C Biggio,HOU,114,437,88,139,44,5,6,56,62,58,39,4,.318,.411,.483,.893
Mike M Bordick S,OAK,114,391,38,99,18,4,2,37,38,44,7,2,.253,.320,.335,.655
Chad C Curtis,CAL,114,453,67,116,23,4,11,50,37,69,25,11,.256,.317,.397,.714
Travis T Fryman,DET,114,464,66,122,34,5,18,85,45,128,2,2,.263,.326,.474,.800
Darren D Lewis C,SF,114,451,70,116,15,9,4,29,53,50,30,13,.257,.340,.357,.697
Brian B Mc Rae C,KC,114,436,71,119,22,6,4,40,54,67,28,8,.273,.359,.378,.737
Tony T Phillips L,DET,114,438,91,123,19,3,19,61,95,105,13,5,.281,.409,.468,.877
Charlie C Hayes,COL,113,423,46,122,23,4,10,50,36,71,3,6,.288,.348,.433,.780
Fred F Mc Griff,ATL,113,424,81,135,25,1,34,94,50,76,7,3,.318,.389,.623,1.012
Frank F Thomas,CWS,113,399,106,141,34,1,38,101,109,61,2,3,.353,.487,.729,1.217
Tim T Wallach,LA,113,414,68,116,21,1,23,78,46,80,0,2,.280,.356,.502,.859
Todd T Zeile,STL,113,415,62,111,25,1,19,75,52,56,1,3,.267,.348,.470,.818
Barry B Bonds L,SF,112,391,89,122,18,1,37,81,74,43,29,9,.312,.426,.647,1.073
Gary G Disarcina S,CAL,112,389,53,101,14,2,3,33,18,28,3,7,.260,.294,.329,.624
Julio J Franco D,CWS,112,433,72,138,19,2,20,98,62,75,8,1,.319,.406,.510,.916
Luis L Gonzalez,HOU,112,392,57,107,29,4,8,67,49,57,15,13,.273,.353,.429,.782
Kenny K Lofton C,CLE,112,459,105,160,32,9,12,57,52,56,60,12,.349,.412,.536,.948
Raul R Mondesi,LA,112,434,63,133,27,8,16,56,16,78,11,8,.306,.333,.516,.849
Hal H Morris,CIN,112,436,60,146,30,4,10,78,34,62,6,2,.335,.385,.491,.875
Cal C Ripken S,BAL,112,444,71,140,19,3,13,75,32,41,1,0,.315,.364,.459,.823
Matt M Williams,SF,112,445,74,119,16,3,43,96,33,87,1,0,.267,.319,.607,.926
Brady B Anderson L,BAL,111,453,78,119,25,5,12,48,57,75,31,1,.263,.356,.419,.776
Brett B Butler C,LA,111,417,79,131,13,9,8,33,68,52,27,8,.314,.411,.446,.857
Ken K Caminiti,HOU,111,406,63,115,28,2,18,75,43,71,4,3,.283,.352,.495,.848
Jose J Canseco D,TEX,111,429,88,121,19,2,31,90,69,114,15,8,.282,.386,.552,.939
Joe J Carter R,TOR,111,435,70,118,25,2,27,103,33,64,11,0,.271,.317,.524,.841
Ken K Griffey C,SEA,111,433,94,140,24,4,40,90,56,73,11,3,.323,.402,.674,1.076
Eric E Karros,LA,111,406,51,108,21,1,14,46,29,53,2,0,.266,.310,.426,.736
Rafael R Palmeiro,BAL,111,436,82,139,32,0,23,76,54,63,7,3,.319,.392,.550,.942
Mo M Vaughn,BOS,111,394,65,122,25,1,26,82,57,112,4,4,.310,.408,.576,.984
Jeff J Bagwell,HOU,110,400,104,147,32,2,39,116,65,65,15,4,.368,.451,.750,1.201
Jay J Bell S,PIT,110,424,68,117,35,4,9,45,49,82,2,0,.276,.353,.441,.794
Will W Clark,TEX,110,389,73,128,24,2,13,80,71,59,5,1,.329,.431,.501,.932
Wil W Cordero S,MON,110,415,65,122,30,3,15,63,41,62,16,3,.294,.363,.489,.853
Marquis M Grissom C,MON,110,475,96,137,25,4,11,45,41,66,36,6,.288,.344,.427,.771
Tony T Gwynn R,SD,110,419,79,165,35,1,12,64,48,19,5,0,.394,.454,.568,1.022
Roberto R Kelly C,ATL,110,434,73,127,23,3,9,45,35,71,19,11,.293,.347,.422,.769
Barry B Larkin S,CIN,110,427,78,119,23,5,9,52,64,58,26,2,.279,.369,.419,.788
Ruben R Sierra,OAK,110,426,71,114,21,1,23,92,23,64,8,5,.268,.298,.484,.781
