PLAYER,TEAM,W,L,ERA,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Joe J Boever,HOU,3,6,2.51,81,0,0,0,2,2,111.1,103,38,31,3,4,45,67,1.33,.248
Kenny K Rogers,TEX,3,6,3.09,81,0,0,0,6,6,78.2,80,32,27,7,0,26,70,1.35,.261
Doug D Jones,HOU,11,8,1.85,80,0,0,0,36,36,111.2,96,29,23,5,5,17,93,1.01,.235
Duane D Ward,TOR,7,4,1.95,79,0,0,0,12,12,101.1,76,27,22,5,1,39,103,1.13,.207
Xavier X Hernandez,HOU,9,1,2.11,77,0,0,0,7,7,111.0,81,31,26,5,3,42,96,1.11,.200
Mike M Perez,STL,9,3,1.84,77,0,0,0,0,0,93.0,70,23,19,4,1,32,46,1.10,.210
Jeff J Innis,NYM,6,9,2.86,76,0,0,0,1,1,88.0,85,32,28,4,6,36,39,1.38,.266
Cris C Carpenter,STL,5,4,2.97,73,0,0,0,1,1,88.0,69,29,29,10,4,27,46,1.09,.220
Chuck C Mc Elroy,CHC,4,7,3.55,72,0,0,0,6,6,83.2,73,40,33,5,0,51,83,1.48,.237
Steve S Olin,CLE,8,5,2.34,72,0,0,0,29,29,88.1,80,25,23,8,4,27,47,1.21,.249
Derek D Lilliquist,CLE,5,3,1.75,71,0,0,0,6,6,61.2,39,13,12,5,2,18,47,0.92,.187
Bob B Mc Clure,STL,2,2,3.17,71,0,0,0,0,0,54.0,52,21,19,6,2,25,24,1.43,.261
Paul P Assenmacher,CHC,4,4,4.10,70,0,0,0,8,8,68.0,72,32,31,6,3,26,67,1.44,.271
Jeff J Fassero,MON,8,7,2.84,70,0,0,0,1,1,85.2,81,35,27,1,2,34,63,1.34,.249
Greg G Harris,BOS,4,9,2.51,70,2,1,0,4,4,107.2,82,38,30,6,4,60,73,1.32,.215
Lee L Smith,STL,4,9,3.12,70,0,0,0,43,43,75.0,62,28,26,4,0,26,60,1.17,.221
Dennis D Eckersley,OAK,7,1,1.91,69,0,0,0,51,51,80.0,62,17,17,5,1,11,93,0.91,.211
Bob B Scanlan,CHC,3,6,2.89,69,0,0,0,14,14,87.1,76,32,28,4,1,30,42,1.21,.235
Jim J Gott,LA,3,3,2.45,68,0,0,0,6,6,88.0,72,27,24,4,1,41,75,1.28,.225
Doug D Henry,MIL,1,4,4.02,68,0,0,0,29,29,65.0,64,34,29,6,0,24,52,1.35,.256
Scott S Radinsky,CWS,3,7,2.73,68,0,0,0,15,15,59.1,54,21,18,3,2,34,48,1.48,.243
Mel M Rojas,MON,7,1,1.43,68,0,0,0,10,10,100.2,71,17,16,2,2,34,70,1.04,.199
Michael M Jackson,SF,6,6,3.73,67,0,0,0,2,2,82.0,76,35,34,7,4,33,80,1.33,.252
John J Wetteland,MON,4,4,2.92,67,0,0,0,37,37,83.1,64,27,27,6,4,36,99,1.20,.213
Todd T Worrell,STL,5,3,2.11,67,0,0,0,3,3,64.0,45,15,15,4,1,25,64,1.09,.198
Randy R Myers,SD,3,6,4.29,66,0,0,0,38,38,79.2,84,38,38,7,1,34,66,1.48,.279
Jeff J Nelson,SEA,1,7,3.44,66,0,0,0,6,6,81.0,71,34,31,7,6,44,46,1.42,.245
Al A Osuna,HOU,6,3,4.23,66,0,0,0,0,0,61.2,52,29,29,8,1,38,37,1.46,.236
Jeff J Parrett,OAK,9,1,3.02,66,0,0,0,0,0,98.1,81,35,33,7,2,42,78,1.25,.226
Mitch M Williams,PHI,5,8,3.78,66,0,0,0,29,29,81.0,69,39,34,4,6,64,74,1.64,.240
Rod R Beck,SF,3,3,1.76,65,0,0,0,17,17,92.0,62,20,18,4,2,15,87,0.84,.190
Mark M Eichhorn,TOR,4,4,3.08,65,0,0,0,2,2,87.2,86,34,30,3,2,25,61,1.27,.255
Todd T Frohwirth,BAL,4,3,2.46,65,0,0,0,4,4,106.0,97,33,29,4,3,41,58,1.30,.247
Roger R Mason,PIT,5,7,4.09,65,0,0,0,8,8,88.0,80,41,40,11,4,33,56,1.28,.246
Roger R Mc Dowell,LA,6,10,4.09,65,0,0,0,14,14,83.2,103,46,38,3,1,42,50,1.73,.306
Jeff J Montgomery,KC,1,6,2.18,65,0,0,0,39,39,82.2,61,23,20,5,3,27,69,1.06,.205
Mike M Munoz,DET,1,2,3.00,65,0,0,0,2,2,48.0,44,16,16,3,0,25,23,1.44,.246
Mike M Stanton,ATL,5,4,4.10,65,0,0,0,8,8,63.2,59,32,29,6,2,20,44,1.24,.247
Rick R Aguilera,MIN,2,6,2.84,64,0,0,0,41,41,66.2,60,28,21,7,1,17,52,1.16,.238
Norm N Charlton,CIN,4,2,2.99,64,0,0,0,26,26,81.1,79,39,27,7,3,26,90,1.29,.262
Rusty R Meacham,KC,10,4,2.74,64,0,0,0,2,2,101.2,88,39,31,5,1,21,64,1.07,.233
Ted T Power,CLE,3,3,2.54,64,0,0,0,6,6,99.1,88,33,28,7,4,35,51,1.24,.248
Rob R Dibble,CIN,3,5,3.07,63,0,0,0,25,25,70.1,48,26,24,3,2,31,110,1.12,.193
Bryan B Hickerson,SF,5,3,3.09,61,1,0,0,0,0,87.1,74,31,30,7,1,21,68,1.09,.236
Barry B Jones,NYM,7,6,5.68,61,0,0,0,1,1,69.2,85,46,44,3,2,35,30,1.72,.308
Rich R Rodriguez,SD,6,3,2.37,61,1,0,0,0,0,91.0,77,28,24,4,0,29,64,1.16,.229
Tony T Fossas,BOS,1,2,2.43,60,0,0,0,2,2,29.2,31,9,8,1,1,14,19,1.52,.279
Mike M Henneman,DET,2,6,3.96,60,0,0,0,24,24,77.1,75,36,34,6,0,20,58,1.23,.256
Dwayne D Henry,CIN,3,3,3.33,60,0,0,0,0,0,83.2,59,31,31,4,1,44,72,1.23,.199
Gregg G Olson,BAL,1,5,2.05,60,0,0,0,36,36,61.1,46,14,14,3,0,24,58,1.14,.211
Bob B Patterson,PIT,6,3,2.92,60,0,0,0,9,9,64.2,59,22,21,7,0,23,43,1.27,.246
Jeff J Reardon,ATL,5,2,3.41,60,0,0,0,30,30,58.0,67,22,22,6,2,9,39,1.31,.291
Steve S Wilson,LA,2,5,4.19,60,0,0,0,0,0,66.2,74,37,31,6,1,29,54,1.55,.282
Stan S Belinda,PIT,6,4,3.15,59,0,0,0,18,18,71.1,58,26,25,8,0,29,57,1.22,.223
Rob R Murphy,HOU,3,1,4.04,59,0,0,0,0,0,55.2,56,28,25,2,0,21,42,1.38,.260
Jesse J Orosco,MIL,3,1,3.23,59,0,0,0,1,1,39.0,33,15,14,5,1,13,40,1.18,.232
Jeff J Russell,OAK,4,3,1.63,59,0,0,0,30,30,66.1,55,14,12,3,2,25,48,1.21,.224
Carl C Willis,MIN,7,3,2.72,59,0,0,0,1,1,79.1,73,25,24,4,0,11,45,1.06,.246
Marvin M Freeman,ATL,7,5,3.22,58,0,0,0,3,3,64.1,61,26,23,7,1,29,41,1.40,.251
Lee L Guetterman,NYM,4,5,7.09,58,0,0,0,2,2,66.0,92,52,52,10,1,27,20,1.80,.335
Vince V Horsman,OAK,2,1,2.49,58,0,0,0,1,1,43.1,39,13,12,3,0,21,18,1.38,.252
Eric E Plunk,CLE,9,6,3.64,58,0,0,0,4,4,71.2,61,31,29,5,0,38,50,1.38,.229
Chuck C Crim,CAL,7,6,5.17,57,0,0,0,1,1,87.0,100,56,50,11,6,29,30,1.48,.293
Tom T Henke,TOR,3,2,2.26,57,0,0,0,34,34,55.2,40,19,14,5,0,22,46,1.11,.197
Scott S Ruskin,CIN,4,3,5.03,57,0,0,0,0,0,53.2,56,31,30,6,1,20,43,1.42,.275
Jeff J Brantley,SF,7,7,2.95,56,4,0,0,7,7,91.2,67,32,30,8,3,45,86,1.22,.207
John J Habyan,NYY,5,6,3.84,56,0,0,0,7,7,72.2,84,32,31,6,2,21,44,1.44,.295
Jose J Melendez,SD,6,7,2.92,56,3,0,0,0,0,89.1,82,32,29,9,3,20,82,1.14,.249
Denny D Neagle,PIT,4,6,4.48,55,6,0,0,2,2,86.1,81,46,43,9,2,43,77,1.44,.247
Russ R Swan,SEA,3,10,4.74,55,9,1,0,9,9,104.1,104,60,55,8,3,45,45,1.43,.262
Bobby B Thigpen,CWS,1,3,4.75,55,0,0,0,22,22,55.0,58,29,29,4,3,33,45,1.65,.275
Scott S Bankhead,CIN,10,4,2.93,54,0,0,0,1,1,70.2,57,26,23,4,3,29,53,1.22,.218
Mark M Guthrie,MIN,2,3,2.88,54,0,0,0,5,5,75.0,59,27,24,7,0,23,76,1.09,.215
Rick R Honeycutt,OAK,1,4,3.69,54,0,0,0,3,3,39.0,41,19,16,2,3,10,32,1.31,.272
Dave D Righetti,SF,2,7,5.06,54,4,0,0,3,3,78.1,79,47,44,4,0,36,47,1.47,.269
Kent K Mercker,ATL,3,2,3.42,53,0,0,0,6,6,68.1,51,27,26,4,3,35,49,1.26,.207
Mike M Schooler,SEA,2,7,4.70,53,0,0,0,13,13,51.2,55,29,27,7,1,24,33,1.53,.275
Tom T Edens,MIN,6,3,2.83,52,0,0,0,3,3,76.1,65,26,24,1,2,36,57,1.32,.236
Bill B Sampen,KC,1,6,3.25,52,2,0,0,0,0,83.0,83,32,30,4,4,32,37,1.39,.274
Anthony A Young,NYM,2,14,4.17,52,13,1,0,15,15,121.0,134,66,56,8,1,31,64,1.36,.285
Danny D Darwin,BOS,9,9,3.96,51,15,2,0,3,3,161.1,159,76,71,11,5,53,124,1.31,.257
Steve S Frey,CAL,4,2,3.57,51,0,0,0,4,4,45.1,39,18,18,6,2,22,24,1.35,.238
Terry T Leach,CWS,6,5,1.95,51,0,0,0,0,0,73.2,57,17,16,2,4,20,22,1.05,.215
John J Candelaria,LA,2,5,2.84,50,0,0,0,5,5,25.1,20,9,8,1,0,13,23,1.30,.220
