PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Jeff J Bagwell,HOU,162,562,143,171,35,0,42,126,149,127,30,11,.304,.454,.591,1.045
Andruw A Jones C,ATL,162,592,97,163,35,5,26,84,76,103,24,12,.275,.365,.483,.848
John J Olerud,NYM,162,581,107,173,39,0,19,96,125,66,3,0,.298,.427,.463,.890
Sammy S Sosa R,CHC,162,625,114,180,24,2,63,141,78,171,7,8,.288,.367,.635,1.002
B. J. B Surhoff L,BAL,162,673,104,207,38,1,28,107,43,78,5,1,.308,.347,.492,.839
Albert A Belle R,BAL,161,610,108,181,36,1,37,117,101,82,17,3,.297,.400,.541,.941
Mark M Grace,CHC,161,593,107,183,44,5,16,91,83,44,3,4,.309,.390,.481,.870
Barry B Larkin S,CIN,161,583,108,171,30,4,12,75,93,57,30,8,.293,.390,.420,.810
J. T. J Snow,SF,161,570,93,156,25,2,24,98,86,121,0,4,.274,.370,.451,.821
Robin R Ventura,NYM,161,588,88,177,38,0,32,120,74,109,1,1,.301,.379,.529,.908
Craig C Biggio,HOU,160,639,123,188,56,0,16,73,88,107,28,14,.294,.386,.457,.843
Mike M Bordick S,BAL,160,631,93,175,35,7,10,77,54,102,14,4,.277,.334,.403,.737
Ken K Griffey C,SEA,160,606,123,173,26,3,48,134,91,108,24,7,.285,.384,.576,.960
Vladimir V Guerrero R,MON,160,610,102,193,37,5,42,131,55,62,14,7,.316,.378,.600,.978
Roberto R Alomar,CLE,159,563,138,182,40,3,24,120,99,96,37,6,.323,.422,.533,.955
Todd T Helton,COL,159,578,114,185,39,5,35,113,68,77,7,6,.320,.395,.587,.981
Tino T Martinez,NYY,159,589,95,155,27,2,28,105,69,86,3,4,.263,.341,.458,.800
Raul R Mondesi,LA,159,601,98,152,29,5,33,99,71,134,36,9,.253,.332,.483,.815
Miguel M Tejada S,OAK,159,593,93,149,33,4,21,84,57,94,8,7,.251,.325,.427,.752
Edgardo E Alfonzo,NYM,158,628,123,191,41,1,27,108,85,85,9,2,.304,.385,.502,.886
Vinny V Castilla,COL,158,615,83,169,24,1,33,102,53,75,2,3,.275,.331,.478,.809
Jermaine J Dye R,KC,158,608,96,179,44,8,27,119,58,119,2,3,.294,.354,.526,.880
Jason J Giambi,OAK,158,575,115,181,36,1,33,123,105,106,1,1,.315,.422,.553,.975
Derek D Jeter S,NYY,158,627,134,219,37,9,24,102,91,116,19,8,.349,.438,.552,.989
Rafael R Palmeiro D,TEX,158,565,96,183,30,1,47,148,97,69,2,4,.324,.420,.630,1.050
Bernie B Williams C,NYY,158,591,116,202,28,6,25,115,100,95,9,10,.342,.435,.536,.971
Garret G Anderson C,ANA,157,620,88,188,36,2,21,80,34,81,3,4,.303,.336,.469,.806
David D Bell,SEA,157,597,92,160,31,2,21,78,58,90,7,4,.268,.331,.432,.764
Rico R Brogna,PHI,157,619,90,172,29,4,24,102,54,132,8,5,.278,.336,.454,.790
Jeff J Cirillo,MIL,157,607,98,198,35,1,15,88,75,83,7,4,.326,.401,.461,.862
Chipper C Jones,ATL,157,567,116,181,41,1,45,110,126,94,25,3,.319,.441,.633,1.074
Troy T O' Leary L,BOS,157,596,84,167,36,4,28,103,56,91,1,2,.280,.343,.495,.838
