PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Bobby B Abreu R,PHI,162,588,118,170,48,4,31,110,106,137,36,14,.289,.393,.543,.936
Orlando O Cabrera S,MON,162,626,64,173,41,6,14,96,43,54,19,7,.276,.324,.428,.752
Carlos C Delgado,TOR,162,574,102,160,31,1,39,102,111,136,3,0,.279,.408,.540,.948
Luis L Gonzalez,ARI,162,609,128,198,36,7,57,142,100,83,1,1,.325,.429,.688,1.117
Terrence T Long C,OAK,162,629,90,178,37,4,12,85,52,103,9,3,.283,.335,.412,.747
Alex A Rodriguez S,TEX,162,632,133,201,34,1,52,135,75,131,18,3,.318,.399,.622,1.021
Miguel M Tejada S,OAK,162,622,107,166,31,3,31,113,43,89,11,5,.267,.326,.476,.801
Garret G Anderson L,ANA,161,672,83,194,39,2,28,123,27,100,13,6,.289,.314,.478,.792
Jeff J Bagwell,HOU,161,600,126,173,43,4,39,130,106,135,11,3,.288,.397,.568,.966
Troy T Glaus,ANA,161,588,100,147,38,2,41,108,107,158,10,3,.250,.367,.531,.898
Shawn S Green R,LA,161,619,121,184,31,4,49,125,72,107,20,4,.297,.372,.598,.970
Andruw A Jones C,ATL,161,625,104,157,25,2,34,104,56,142,11,4,.251,.312,.461,.772
Albert A Pujols,STL,161,590,112,194,47,4,37,130,69,93,1,3,.329,.403,.610,1.013
Brian B Giles L,PIT,160,576,116,178,37,7,37,95,90,67,13,6,.309,.404,.590,.994
Magglio M Ordonez R,CWS,160,593,97,181,40,1,31,113,70,70,25,7,.305,.382,.533,.914
Rafael R Palmeiro,TEX,160,600,98,164,33,0,47,123,101,90,1,1,.273,.381,.563,.944
Sammy S Sosa R,CHC,160,577,146,189,34,5,64,160,116,153,0,2,.328,.437,.737,1.174
Vladimir V Guerrero R,MON,159,599,107,184,45,4,34,108,60,88,37,16,.307,.377,.566,.943
Jerry J Hairston,BAL,159,532,63,124,25,5,8,47,44,73,29,11,.233,.305,.344,.649
Todd T Helton,COL,159,587,132,197,54,2,49,146,98,104,7,5,.336,.432,.685,1.116
Chipper C Jones,ATL,159,572,113,189,33,5,38,102,98,82,9,10,.330,.427,.605,1.032
Jeff J Kent,SF,159,607,84,181,49,6,22,106,65,96,7,6,.298,.369,.507,.877
John J Olerud,SEA,159,572,91,173,32,1,21,95,94,70,3,1,.302,.401,.472,.873
Bret B Boone,SEA,158,623,118,206,37,3,37,141,40,110,5,5,.331,.372,.578,.950
Jermaine J Dye R,OAK,158,599,91,169,31,1,26,106,57,112,9,1,.282,.346,.467,.813
Derrek D Lee,FLA,158,561,83,158,37,4,21,75,50,126,4,2,.282,.346,.474,.820
Aramis A Ramirez,PIT,158,603,83,181,40,0,34,112,40,100,5,4,.300,.350,.536,.885
Jimmy J Rollins S,PHI,158,656,97,180,29,12,14,54,48,108,46,8,.274,.323,.419,.743
Richie R Sexson,MIL,158,598,94,162,24,3,45,125,60,178,2,4,.271,.342,.547,.889
Alfonso A Soriano,NYY,158,574,77,154,34,3,18,73,29,125,43,14,.268,.304,.432,.736
Roberto R Alomar,CLE,157,575,113,193,34,12,20,100,80,71,30,6,.336,.415,.541,.956
Darin D Erstad C,ANA,157,631,89,163,35,1,9,63,62,113,24,10,.258,.331,.360,.691
Jason J Kendall,PIT,157,606,84,161,22,2,10,53,44,48,13,14,.266,.335,.358,.693
Travis T Lee,PHI,157,555,75,143,34,2,20,90,71,109,3,4,.258,.341,.434,.775
Ichiro I Suzuki R,SEA,157,692,127,242,34,8,8,69,30,53,56,14,.350,.381,.457,.838
Rich R Aurilia S,SF,156,636,114,206,37,5,37,97,47,83,1,3,.324,.369,.572,.941
Tony T Batista D,BAL,156,579,70,138,27,6,25,87,32,113,5,2,.238,.280,.435,.715
Lance L Berkman,HOU,156,577,110,191,55,5,34,126,92,121,7,9,.331,.430,.620,1.051
Paul P Konerko,CWS,156,582,92,164,35,0,32,99,54,89,1,0,.282,.349,.507,.856
Juan J Pierre C,COL,156,617,108,202,26,11,2,55,41,29,46,17,.327,.378,.415,.793
Jim J Thome,CLE,156,526,101,153,26,1,49,124,111,185,0,1,.291,.416,.624,1.040
Carlos C Beltrán Beltran,KC,155,617,106,189,32,12,24,101,52,120,31,1,.306,.362,.514,.876
Craig C Biggio,HOU,155,617,118,180,35,3,20,70,66,100,7,4,.292,.382,.455,.838
Pat P Burrell L,PHI,155,539,70,139,29,2,27,89,70,162,2,1,.258,.346,.469,.816
Johnny J Damon C,OAK,155,644,108,165,34,4,9,49,61,70,27,12,.256,.324,.363,.687
Shannon S Stewart L,TOR,155,640,103,202,44,7,12,60,46,72,27,10,.316,.371,.463,.834
Omar O Vizquel S,CLE,155,611,84,156,26,8,2,50,61,72,13,9,.255,.323,.334,.657
Jeromy J Burnitz R,MIL,154,562,104,141,32,4,34,100,80,150,0,4,.251,.347,.504,.851
Damion D Easley,DET,154,585,77,146,27,7,11,65,52,90,10,5,.250,.323,.376,.699
Jason J Giambi,OAK,154,520,109,178,47,2,38,120,129,83,2,0,.342,.477,.660,1.137
Alex A Gonzalez S,TOR,154,636,79,161,25,5,17,76,43,149,18,11,.253,.303,.388,.692
Ben B Grieve R,TB,154,542,72,143,30,2,11,72,87,159,7,1,.264,.372,.387,.760
Tino T Martinez,NYY,154,589,89,165,24,2,34,113,42,89,1,2,.280,.329,.501,.830
Fernando F Vina,STL,154,631,95,191,30,8,9,56,32,35,17,7,.303,.357,.418,.775
Barry B Bonds L,SF,153,476,129,156,32,2,73,137,177,93,13,3,.328,.515,.863,1.379
David D Eckstein S,ANA,153,582,82,166,26,2,4,41,43,60,29,4,.285,.355,.357,.712
Doug D Glanville C,PHI,153,634,74,166,24,3,14,55,19,91,28,6,.262,.285,.375,.660
Corey C Koskie,MIN,153,562,100,155,37,2,26,103,68,118,27,6,.276,.362,.488,.850
Luis L Rivas,MIN,153,563,70,150,21,6,7,47,40,99,31,11,.266,.319,.362,.682
Ray R Durham,CWS,152,611,104,163,42,10,20,65,64,110,23,10,.267,.337,.466,.804
Jose J Hernandez S,MIL,152,542,67,135,26,2,25,78,39,185,5,4,.249,.300,.443,.743
Gary G Matthews C,PIT,152,405,63,92,15,2,14,44,60,100,8,5,.227,.328,.378,.705
Lee L Stevens,MON,152,542,77,133,35,1,25,95,74,157,2,1,.245,.338,.452,.790
Eric E Chavez,OAK,151,552,91,159,43,0,32,114,41,99,8,2,.288,.338,.540,.878
Matt M Lawton R,NYM,151,559,95,155,36,1,13,64,85,80,29,8,.277,.382,.415,.797
Doug D Mientkiewicz,MIN,151,543,77,166,39,1,15,74,67,92,2,6,.306,.387,.464,.851
Joe J Randa,KC,151,581,59,147,34,2,13,83,42,80,3,2,.253,.307,.386,.693
Scott S Rolen,PHI,151,554,96,160,39,1,25,107,74,127,16,5,.289,.378,.498,.876
Todd T Walker,CIN,151,551,93,163,35,2,17,75,51,82,1,8,.296,.355,.459,.814
Todd T Zeile,NYM,151,531,66,141,25,1,10,62,73,102,1,0,.266,.359,.373,.732
Mike M Cameron C,SEA,150,540,99,144,30,5,25,110,69,155,34,5,.267,.353,.480,.832
Jim J Edmonds C,STL,150,500,95,152,38,1,30,110,93,136,5,5,.304,.410,.564,.974
Derek D Jeter S,NYY,150,614,110,191,35,3,21,74,56,99,27,3,.311,.377,.480,.858
Carlos C Lee L,CWS,150,558,75,150,33,3,24,84,38,85,17,7,.269,.321,.468,.789
Cliff C Floyd L,FLA,149,555,123,176,44,4,31,103,59,101,18,3,.317,.390,.578,.968
Jacque J Jones L,MIN,149,475,57,131,25,0,14,49,39,92,12,9,.276,.335,.417,.752
Raul R Mondesi,TOR,149,572,88,144,26,4,27,84,73,128,30,11,.252,.342,.453,.794
Phil P Nevin,SD,149,546,97,167,31,0,41,126,71,147,4,4,.306,.388,.588,.976
Rey R Ordonez S,NYM,149,461,31,114,24,4,3,44,34,43,3,2,.247,.299,.336,.635
Rey R Sanchez S,ATL,149,544,56,153,18,6,0,37,15,49,11,1,.281,.300,.336,.637
Michael M Tucker C,CHC,149,436,62,110,19,8,12,61,46,102,16,8,.252,.322,.415,.738
Eric E Young Sr.,CHC,149,603,98,168,43,4,6,42,42,45,31,14,.279,.333,.393,.726
Geoff G Blum,MON,148,453,57,107,25,0,9,50,43,94,9,5,.236,.313,.351,.664
Torii T Hunter C,MIN,148,564,82,147,32,5,27,92,29,125,9,6,.261,.306,.479,.784
Brian B Jordan R,ATL,148,560,82,165,32,3,25,97,31,88,3,2,.295,.334,.496,.830
Trot T Nixon R,BOS,148,535,100,150,31,4,27,88,79,113,7,4,.280,.376,.505,.881
Alex A Ochoa L,COL,148,536,73,148,30,7,8,52,45,76,17,13,.276,.334,.403,.738
Marlon M Anderson,PHI,147,522,69,153,30,2,11,61,35,74,8,5,.293,.337,.421,.758
Ricky R Gutierrez S,CHC,147,528,76,153,23,3,10,66,40,56,4,3,.290,.345,.402,.746
Bobby B Higginson L,DET,147,541,84,150,28,6,17,71,80,65,20,12,.277,.367,.445,.813
Mike M Sweeney,KC,147,559,97,170,46,0,29,99,64,64,10,3,.304,.374,.542,.916
Vinny V Castilla,HOU,146,538,69,140,34,1,25,91,35,108,1,4,.260,.308,.467,.775
Jose J Cruz C,TOR,146,577,92,158,38,4,34,88,45,138,32,5,.274,.326,.530,.857
Brad B Fullmer D,TOR,146,522,71,143,31,2,18,83,38,88,5,2,.274,.326,.444,.771
Richard R Hidalgo C,HOU,146,512,70,141,29,3,19,80,54,107,3,5,.275,.356,.455,.811
Ryan R Klesko,SD,146,538,105,154,34,6,30,113,88,89,23,4,.286,.384,.539,.923
Mike M Lowell,FLA,146,551,65,156,37,0,18,100,43,79,1,2,.283,.340,.448,.789
Fred F Mc Griff,CHC,146,513,67,157,25,2,31,102,66,106,1,2,.306,.386,.544,.930
John J Vander Wal R,SF,146,452,58,122,28,4,14,70,68,122,8,6,.270,.364,.442,.806
Bernie B Williams C,NYY,146,540,102,166,38,0,26,94,78,67,11,5,.307,.395,.522,.917
Sean S Casey,CIN,145,533,69,165,40,0,13,89,43,63,3,1,.310,.369,.458,.827
Alex A Gonzalez S,FLA,145,515,57,129,36,1,9,48,30,107,2,2,.250,.303,.377,.680
Mark M Grace,ARI,145,476,66,142,31,2,15,78,67,36,1,0,.298,.386,.466,.852
Kevin K Millar R,FLA,144,449,62,141,39,5,20,85,39,70,0,0,.314,.374,.557,.930
