PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Damion D Easley,DET,153,594,84,161,38,2,27,100,39,112,15,5,.271,.332,.478,.810
Cliff C Floyd L,FLA,153,588,85,166,45,3,22,90,47,112,27,14,.282,.337,.481,.818
Andres A Galarraga,ATL,153,555,103,169,27,1,44,121,63,146,7,6,.305,.397,.595,.991
Jason J Giambi,OAK,153,562,92,166,28,0,27,110,81,102,2,2,.295,.384,.489,.873
Jose J Guillen R,PIT,153,573,60,153,38,2,14,84,21,100,3,5,.267,.298,.414,.712
Mike M Lansing,COL,153,584,73,161,39,2,12,66,39,88,10,3,.276,.325,.411,.736
Rey R Ordonez S,NYM,153,505,46,124,20,2,1,42,23,60,3,6,.246,.278,.299,.577
John J Valentin,BOS,153,588,113,145,44,1,23,73,77,82,4,5,.247,.340,.442,.782
Scott S Brosius,NYY,152,530,86,159,34,0,19,98,52,97,11,8,.300,.371,.472,.843
Todd T Helton,COL,152,530,78,167,37,1,25,97,53,54,3,3,.315,.380,.530,.911
Rickey R Henderson L,OAK,152,542,101,128,16,1,14,57,118,114,66,13,.236,.376,.347,.723
Matt M Lawton R,MIN,152,557,91,155,36,6,21,77,86,64,16,8,.278,.387,.478,.864
Paul P O' Neill R,NYY,152,602,95,191,40,2,24,116,57,103,15,1,.317,.372,.510,.882
Dean D Palmer,KC,152,572,84,159,27,2,34,119,48,134,8,2,.278,.333,.510,.844
Bobby B Abreu R,PHI,151,497,68,155,29,6,17,74,84,133,19,10,.312,.409,.497,.906
Mike M Bordick S,BAL,151,465,59,121,29,1,13,51,39,65,6,7,.260,.328,.411,.739
Jose J Canseco D,TOR,151,583,98,138,26,0,46,107,65,159,29,17,.237,.318,.518,.836
Chad C Curtis L,NYY,151,456,79,111,21,1,10,56,75,80,21,5,.243,.355,.360,.714
Fred F Mc Griff,TB,151,564,73,160,33,0,19,81,79,118,7,2,.284,.371,.443,.815
Mike M Piazza,NYM,151,561,88,184,38,1,32,111,58,80,1,0,.328,.390,.570,.960
Jose J Valentin S,MIL,151,428,65,96,24,0,16,49,63,105,10,7,.224,.323,.393,.716
Omar O Vizquel S,CLE,151,576,86,166,30,6,2,50,62,64,37,12,.288,.358,.372,.730
Shane S Andrews,MON,150,492,48,117,30,1,25,69,58,137,1,6,.238,.314,.455,.770
Miguel M Cairo,TB,150,515,49,138,26,5,5,46,24,44,19,8,.268,.307,.367,.674
Brian B Jordan R,STL,150,564,100,178,34,7,25,91,40,66,17,5,.316,.368,.534,.902
Chuck C Knoblauch,NYY,150,603,117,160,25,4,17,64,76,70,31,12,.265,.361,.405,.765
Manny M Ramirez R,CLE,150,571,108,168,35,2,45,145,76,121,5,3,.294,.377,.599,.976
Fernando F Tatis,STL,150,532,69,147,33,4,11,58,36,123,13,5,.276,.329,.415,.744
Will W Clark,TEX,149,554,98,169,41,1,23,102,72,97,1,0,.305,.384,.507,.891
Jose J Hernandez,CHC,149,488,76,124,23,7,23,75,40,140,4,6,.254,.311,.471,.782
Derek D Jeter S,NYY,149,626,127,203,25,8,19,84,57,119,30,6,.324,.384,.481,.864
Jason J Kendall,PIT,149,535,95,175,36,3,12,75,51,51,26,5,.327,.411,.473,.884
Pat P Meares S,MIN,149,543,56,141,26,3,9,70,24,86,7,4,.260,.296,.368,.664
Matt M Stairs D,OAK,149,523,88,154,33,1,26,106,59,93,8,3,.294,.370,.511,.880
Darryl D Hamilton C,COL,148,561,95,173,28,3,6,51,82,73,13,9,.308,.398,.401,.799
Raul R Mondesi C,LA,148,580,85,162,26,5,30,90,30,112,16,10,.279,.316,.497,.813
Roberto R Alomar,BAL,147,588,86,166,36,1,14,56,59,70,18,5,.282,.347,.418,.766
Carlos C Baerga,NYM,147,511,46,136,27,1,7,53,24,55,0,1,.266,.303,.364,.667
Jeff J Bagwell,HOU,147,540,124,164,33,1,34,111,109,90,19,7,.304,.424,.557,.981
Travis T Fryman,CLE,146,557,74,160,33,2,28,96,44,125,10,8,.287,.340,.504,.845
David D Justice,CLE,146,540,94,151,39,2,21,88,76,98,9,3,.280,.363,.476,.839
Travis T Lee,ARI,146,562,71,151,20,2,22,72,67,123,8,1,.269,.346,.429,.775
Devon D White C,ARI,146,563,84,157,32,1,22,85,42,102,22,8,.279,.335,.456,.792
Chris C Gomez S,SD,145,449,55,120,32,3,4,39,51,87,1,3,.267,.346,.379,.725
Barry B Larkin S,CIN,145,538,93,166,34,10,17,72,79,69,26,3,.309,.397,.504,.901
Bill B Mueller,SF,145,534,93,157,27,0,9,59,79,83,3,3,.294,.383,.395,.778
Magglio M Ordonez R,CWS,145,535,70,151,25,2,14,65,28,53,9,7,.282,.326,.415,.741
Ivan I Rodriguez,TEX,145,579,88,186,40,4,21,91,32,88,9,0,.321,.358,.513,.871
Mike M Stanley D,BOS,145,497,74,127,25,0,29,79,82,129,3,1,.256,.364,.481,.845
Edgardo E Alfonzo,NYM,144,557,94,155,28,2,17,78,65,77,8,3,.278,.355,.427,.782
Gregg G Jefferies L,ANA,144,555,72,167,28,3,9,58,29,32,12,3,.301,.333,.411,.744
Shannon S Stewart L,TOR,144,516,90,144,29,3,12,55,67,77,51,18,.279,.377,.417,.794
Dmitri D Young L,CIN,144,536,81,166,48,1,14,83,47,94,2,4,.310,.364,.481,.846
Nomar N Garciaparra S,BOS,143,604,111,195,37,8,35,122,33,62,12,6,.323,.362,.584,.946
David D Segui,SEA,143,522,79,159,36,1,19,84,49,80,3,1,.305,.359,.487,.845
Todd T Walker,MIN,143,528,85,167,41,3,12,62,47,65,19,7,.316,.372,.473,.845
Ellis E Burks C,SF,142,504,76,147,28,6,21,76,58,111,11,8,.292,.365,.496,.861
Royce R Clayton S,TEX,142,541,89,136,31,2,9,53,53,83,24,11,.251,.319,.366,.685
Carlos C Delgado,TOR,142,530,94,155,43,1,38,115,73,139,3,0,.292,.385,.592,.978
Marquis M Grissom C,MIL,142,542,57,147,28,1,10,60,24,78,13,8,.271,.304,.382,.685
Brian L. B Hunter C,DET,142,595,67,151,29,3,4,36,36,94,42,12,.254,.298,.333,.631
Mark M Lewis,PHI,142,518,52,129,21,2,9,54,48,111,3,3,.249,.312,.349,.661
John J Mabry L,STL,142,377,41,94,22,0,9,46,30,76,0,2,.249,.305,.379,.684
Tino T Martinez,NYY,142,531,92,149,33,1,28,123,61,83,2,1,.281,.355,.505,.860
Desi D Relaford S,PHI,142,494,45,121,25,3,5,41,33,87,9,5,.245,.293,.338,.631
Mike M Cameron C,CWS,141,396,53,83,16,5,8,43,37,101,27,11,.210,.285,.336,.621
Russ R Davis,SEA,141,502,68,130,30,1,20,82,34,134,4,3,.259,.305,.442,.747
Ricky R Gutierrez S,HOU,141,491,55,128,24,3,2,46,54,84,13,7,.261,.337,.334,.671
Derrek D Lee,FLA,141,454,62,106,29,1,17,74,47,120,5,2,.233,.318,.414,.732
Brad B Fullmer,MON,140,505,58,138,44,2,13,73,39,70,6,6,.273,.327,.446,.773
Mark M Loretta,MIL,140,434,55,137,29,0,6,54,42,47,9,6,.316,.382,.424,.806
Andy A Fox,ARI,139,502,67,139,21,6,9,44,43,97,14,7,.277,.355,.396,.751
Eric E Karros,LA,139,507,59,150,20,1,23,87,47,93,7,2,.296,.355,.475,.830
Tony T Fernandez,TOR,138,486,71,156,36,2,9,72,45,53,13,8,.321,.387,.459,.846
Joe J Randa,DET,138,460,56,117,21,2,9,50,41,70,8,7,.254,.323,.367,.690
