PLAYER,TEAM,W,L,ERA,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Ed E Vosberg,FLA,2,3,4.42,59,0,0,0,1,1,53.0,59,30,26,3,5,21,37,1.51,.285
Mike M James,ANA,5,5,4.31,58,0,0,0,7,7,62.2,69,32,30,3,5,28,57,1.55,.283
Dennis D Eckersley,STL,1,5,3.91,57,0,0,0,36,36,53.0,49,24,23,9,2,8,45,1.08,.238
Terry T Mathews,BAL,4,4,4.41,57,0,0,0,1,1,63.1,63,35,31,8,0,36,39,1.56,.267
Paul P Spoljaric,SEA,0,3,3.69,57,0,0,0,3,3,70.2,61,30,29,4,3,36,70,1.37,.236
Felix F Heredia,FLA,5,3,4.29,56,0,0,0,0,0,56.2,53,30,27,3,5,30,54,1.46,.243
Ramon R Tatis,CHC,1,1,5.34,56,0,0,0,0,0,55.2,66,36,33,13,3,29,33,1.71,.308
Mike M De Jean,COL,5,0,3.99,55,0,0,0,2,2,67.2,74,34,30,4,3,24,38,1.45,.280
Curt C Leskanic,COL,4,0,5.55,55,0,0,0,2,2,58.1,59,36,36,8,0,24,53,1.42,.271
Tom T Martin,HOU,5,3,2.09,55,0,0,0,2,2,56.0,52,13,13,2,1,23,36,1.34,.254
Jeff J Montgomery,KC,1,4,3.49,55,0,0,0,14,14,59.1,53,24,23,9,0,18,48,1.20,.240
Troy T Percival,ANA,5,5,3.46,55,0,0,0,27,27,52.0,40,20,20,6,4,22,72,1.19,.205
Mark M Petkovsek,STL,4,7,5.06,55,2,0,0,2,2,96.0,109,61,54,14,6,31,51,1.46,.292
Eric E Plunk,CLE,4,5,4.66,55,0,0,0,0,0,65.2,62,37,34,12,1,36,66,1.49,.245
Doug D Bochtler,SD,3,6,4.77,54,0,0,0,2,2,60.1,51,35,32,3,1,50,46,1.67,.229
Will W Cunnane,SD,6,3,5.81,54,8,0,0,0,0,91.1,114,69,59,11,5,49,79,1.78,.305
Cory C Lidle,NYM,7,2,3.53,54,2,0,0,2,2,81.2,86,38,32,7,3,20,54,1.30,.274
Danny D Patterson,TEX,10,6,3.42,54,0,0,0,1,1,71.0,70,29,27,3,0,23,69,1.31,.263
Russ R Springer,HOU,3,3,4.23,54,0,0,0,3,3,55.1,48,28,26,4,4,27,74,1.36,.232
Arthur A Rhodes,BAL,10,3,3.02,53,0,0,0,1,1,95.1,75,32,32,9,4,26,102,1.06,.218
Dave D Veres,MON,2,3,3.48,53,0,0,0,1,1,62.0,68,28,24,5,2,27,47,1.53,.278
John J Wasdin,BOS,4,6,4.40,53,7,0,0,0,0,124.2,121,68,61,18,3,38,84,1.28,.251
Jim J Corsi,BOS,5,3,3.43,52,0,0,0,2,2,57.2,56,26,22,1,4,21,40,1.34,.255
Matt M Karchner,CWS,3,1,2.91,52,0,0,0,15,15,52.2,50,18,17,4,0,26,30,1.44,.258
Jose J Lima,HOU,1,6,5.28,52,1,0,0,2,2,75.0,79,45,44,9,5,16,63,1.27,.271
Brad B Clontz,ATL,5,1,3.75,51,0,0,0,1,1,48.0,52,24,20,3,1,18,42,1.46,.286
Mike M Fetters,MIL,1,5,3.45,51,0,0,0,6,6,70.1,62,30,27,4,1,33,62,1.35,.244
Mike M Bielecki,ATL,3,7,4.08,50,0,0,0,2,2,57.1,56,33,26,9,1,21,60,1.34,.250
Reggie R Harris,PHI,1,3,5.30,50,0,0,0,0,0,54.1,55,33,32,1,5,43,45,1.80,.263
Shigetoshi S Hasegawa,ANA,3,7,3.93,50,7,0,0,0,0,116.2,118,60,51,14,3,46,83,1.41,.269
Ron R Villone,MIL,1,0,3.42,50,0,0,0,0,0,52.2,54,23,20,4,1,36,40,1.71,.271
Jamie J Walker,KC,3,3,5.44,50,0,0,0,0,0,43.0,46,28,26,6,3,20,24,1.53,.271
Don D Wengert,OAK,5,11,6.04,49,12,1,0,2,2,134.0,177,96,90,21,8,41,68,1.63,.321
Darren D Dreifort,LA,5,2,2.86,48,0,0,0,4,4,63.0,45,21,20,3,1,34,63,1.25,.202
Antonio A Osuna,LA,3,4,2.19,48,0,0,0,0,0,61.2,46,15,15,6,1,19,68,1.05,.209
Marc M Valdes,MON,4,4,3.13,48,7,0,0,2,2,95.0,84,36,33,2,8,39,54,1.29,.240
Hipolito H Pichardo,KC,3,5,4.22,47,0,0,0,11,11,49.0,51,24,23,7,1,24,34,1.53,.273
Scott S Sanders,DET,6,14,5.86,47,20,1,1,2,2,139.2,152,92,91,30,4,62,120,1.53,.278
Steve S Kline,MON,4,4,5.98,46,1,0,0,0,0,52.2,73,37,35,10,2,23,37,1.82,.338
Graeme G Lloyd,NYY,1,1,3.31,46,0,0,0,1,1,49.0,55,24,18,6,1,20,26,1.53,.293
Bob B Wells,SEA,2,0,5.75,46,1,0,0,2,2,67.1,88,49,43,11,3,18,51,1.57,.314
Gregg G Olson,KC,4,3,5.58,45,0,0,0,1,1,50.0,58,35,31,3,1,28,34,1.72,.299
Clint C Sodowsky,PIT,2,2,3.63,45,0,0,0,0,0,52.0,49,22,21,6,2,34,51,1.60,.249
Sean S Bergman,SD,2,4,6.09,44,9,0,0,0,0,99.0,126,72,67,11,3,38,74,1.66,.316
Larry L Casian,KC,0,3,5.70,44,0,0,0,0,0,36.1,48,24,23,8,1,8,23,1.54,.318
Xavier X Hernandez,TEX,0,4,4.56,44,0,0,0,0,0,49.1,51,27,25,7,2,22,36,1.48,.262
Matt M Ruebel,PIT,3,2,6.32,44,0,0,0,0,0,62.2,77,50,44,8,5,27,50,1.66,.302
Frankie F Rodriguez,MIN,3,6,4.62,43,15,0,0,0,0,142.1,147,82,73,12,4,60,65,1.45,.271
Omar O Daal,TOR,2,3,7.06,42,3,0,0,1,1,57.1,82,48,45,7,2,21,44,1.80,.343
Ramon R Garcia,HOU,9,8,3.69,42,20,1,1,1,1,158.2,155,71,65,20,9,52,120,1.30,.262
Tom T Gordon,BOS,6,10,3.74,42,25,2,1,11,11,182.2,155,85,76,10,3,78,159,1.28,.226
Darren D Holmes,COL,9,2,5.34,42,6,0,0,3,3,89.1,113,58,53,12,0,36,70,1.67,.314
Todd T Ritchie,MIN,2,3,4.58,42,0,0,0,0,0,74.2,87,41,38,11,2,28,44,1.54,.290
Matt M Whiteside,TEX,4,1,5.08,42,1,0,0,0,0,72.2,85,45,41,4,3,26,44,1.53,.296
Tom T Candiotti,LA,10,7,3.60,41,18,0,0,0,0,135.0,128,60,54,21,11,40,89,1.24,.248
Rick R Helling,TEX,5,9,4.47,41,16,0,0,0,0,131.0,108,67,65,17,6,69,99,1.35,.233
John J Hudek,HOU,1,3,5.98,40,0,0,0,4,4,40.2,38,27,27,8,3,33,36,1.75,.252
Mark M Hutton,COL,3,2,4.48,40,1,0,0,0,0,60.1,72,34,30,10,6,26,39,1.62,.314
Mike M Magnante,HOU,3,1,2.27,40,0,0,0,1,1,47.2,39,16,12,2,0,11,43,1.05,.223
Terry T Mulholland,SF,6,13,4.24,40,27,1,0,0,0,186.2,190,100,88,24,11,51,99,1.29,.267
Paul P Shuey,CLE,4,2,6.20,40,0,0,0,2,2,45.0,52,31,31,5,1,28,46,1.78,.294
Bill B Simas,CWS,3,1,4.14,40,0,0,0,1,1,41.1,46,23,19,6,2,24,38,1.69,.279
Jason J Christiansen,PIT,3,0,2.94,39,0,0,0,0,0,33.2,37,11,11,2,2,17,37,1.60,.274
Ramiro R Mendoza,NYY,8,6,4.24,39,15,0,0,2,2,133.2,157,67,63,15,5,28,82,1.38,.292
Alan A Mills,BAL,2,3,4.89,39,0,0,0,0,0,38.2,41,23,21,5,1,33,32,1.91,.270
Dane D Johnson,OAK,4,1,4.53,38,0,0,0,2,2,45.2,49,28,23,4,2,31,43,1.75,.272
A. J. A Sager,DET,3,4,4.18,38,1,0,0,3,3,84.0,81,43,39,10,1,24,53,1.25,.258
Carlos C Castillo,CWS,2,1,4.48,37,2,0,0,1,1,66.1,68,35,33,9,1,33,43,1.52,.265
Tim T Crabtree,TOR,3,3,7.08,37,0,0,0,2,2,40.2,65,32,32,7,2,17,26,2.02,.374
Wayne W Gomes,PHI,5,1,5.27,37,0,0,0,0,0,42.2,45,26,25,4,1,24,24,1.62,.274
Albie A Lopez,CLE,3,7,6.93,37,6,0,0,0,0,76.2,101,61,59,11,4,40,63,1.84,.322
Greg G Mc Carthy,SEA,1,1,5.46,37,0,0,0,0,0,29.2,26,21,18,4,1,16,34,1.42,.230
Carlos C Reyes,OAK,3,4,5.82,37,6,0,0,0,0,77.1,101,52,50,13,2,25,43,1.63,.316
Pete P Smith,SD,7,6,4.81,37,15,0,0,1,1,118.0,120,66,63,16,1,52,68,1.46,.267
Ron R Blazier,PHI,1,1,5.03,36,0,0,0,0,0,53.2,62,31,30,8,0,21,42,1.55,.290
Jim J Bullinger,MON,7,12,5.56,36,25,2,2,0,0,155.1,165,106,96,17,12,74,87,1.54,.276
Rich R De Lucia,ANA,6,4,3.89,36,0,0,0,3,3,44.0,35,21,19,5,1,27,44,1.41,.227
Butch B Henry,BOS,7,3,3.52,36,5,0,0,6,6,84.1,89,36,33,6,0,19,51,1.28,.277
Rob R Stanifer,FLA,1,2,4.60,36,0,0,0,1,1,45.0,43,23,23,9,3,16,28,1.31,.261
Rigo R Beltran,STL,1,2,3.48,35,4,0,0,1,1,54.1,47,25,21,3,0,17,50,1.18,.237
Mike M Cather,ATL,2,4,2.39,35,0,0,0,0,0,37.2,23,12,10,1,2,19,29,1.12,.174
Jeff J Fassero,SEA,16,9,3.61,35,35,2,1,0,0,234.1,226,108,94,21,3,84,189,1.32,.249
Pat P Hentgen,TOR,15,10,3.68,35,35,9,3,0,0,264.0,253,116,108,31,7,71,160,1.23,.254
Takashi T Kashiwada,NYM,3,1,4.31,35,0,0,0,0,0,31.1,35,15,15,4,3,18,19,1.69,.289
Andy A Pettitte,NYY,18,7,2.88,35,35,4,1,0,0,240.1,233,86,77,7,3,65,166,1.24,.256
Erik E Plantenberg,PHI,0,0,4.91,35,0,0,0,0,0,25.2,25,14,14,1,1,12,12,1.44,.255
Brad B Radke,MIN,20,10,3.87,35,35,4,1,0,0,239.2,238,114,103,28,3,48,174,1.19,.257
Curt C Schilling,PHI,17,11,2.97,35,35,7,2,0,0,254.1,208,96,84,25,5,58,319,1.05,.224
John J Smoltz,ATL,15,12,3.02,35,35,7,2,0,0,256.0,234,97,86,21,1,63,241,1.16,.242
Tim T Wakefield,BOS,12,15,4.25,35,29,4,2,0,0,201.1,193,109,95,24,16,87,151,1.39,.256
Allen A Watson,ANA,12,12,4.93,35,34,0,0,0,0,199.0,220,121,109,37,8,73,141,1.47,.279
Kevin K Appier,KC,9,13,3.40,34,34,4,1,0,0,235.2,215,96,89,24,4,74,196,1.23,.243
Brian B Boehringer,NYY,3,2,2.63,34,0,0,0,0,0,48.0,39,16,14,4,0,32,53,1.48,.225
Frank F Castillo,COL,12,12,5.42,34,33,0,0,0,0,184.1,220,121,111,25,8,69,126,1.57,.300
Roger R Clemens,TOR,21,7,2.05,34,34,9,3,0,0,264.0,204,65,60,9,12,68,292,1.03,.213
Cal C Eldred,MIL,13,15,4.99,34,34,1,1,0,0,202.0,207,118,112,31,9,89,122,1.47,.266
Scott S Erickson,BAL,16,7,3.69,34,33,3,2,0,0,221.2,218,100,91,16,5,61,131,1.26,.257
Mike M Hampton,HOU,15,10,3.83,34,34,7,2,0,0,223.0,217,105,95,16,2,77,139,1.32,.257
Jimmy J Key,BAL,16,10,3.43,34,34,1,1,0,0,212.1,210,90,81,24,5,82,141,1.38,.261
Darryl D Kile,HOU,19,7,2.57,34,34,6,4,0,0,255.2,208,87,73,19,10,94,205,1.18,.225
Alvin A Morman,CLE,0,0,5.89,34,0,0,0,2,2,18.1,19,13,12,2,1,14,13,1.80,.268
Charles C Nagy,CLE,15,11,4.28,34,34,1,1,0,0,227.0,253,115,108,27,7,77,149,1.45,.283
Denny D Neagle,ATL,20,5,2.97,34,34,4,4,0,0,233.1,204,87,77,18,6,49,172,1.08,.233
Steve S Trachsel,CHC,8,12,4.51,34,34,0,0,0,0,201.1,225,110,101,32,5,69,160,1.46,.287
Bobby B Witt,TEX,12,12,4.82,34,32,3,0,0,0,209.0,245,118,112,33,2,74,121,1.53,.294
Wilson W Alvarez,SF,13,11,3.48,33,33,2,1,0,0,212.0,180,97,82,18,4,91,179,1.28,.229
Pedro P Astacio,COL,12,10,4.14,33,31,2,1,0,0,202.1,200,98,93,24,9,61,166,1.29,.258
Kevin K Brown,FLA,16,8,2.69,33,33,6,2,0,0,237.1,214,77,71,10,14,66,205,1.18,.240
Jason J Dickson,ANA,13,9,4.29,33,32,2,1,0,0,203.2,236,111,97,32,7,56,115,1.43,.289
Tom T Glavine,ATL,14,7,2.96,33,33,5,2,0,0,240.0,197,86,79,20,4,79,152,1.15,.226
Chris C Holt,HOU,8,12,3.52,33,32,0,0,0,0,209.2,211,98,82,17,8,61,95,1.30,.263
Kerry K Lacy,BOS,1,1,6.11,33,0,0,0,3,3,45.2,60,34,31,7,0,22,18,1.80,.314
Jon J Lieber,PIT,11,14,4.49,33,32,1,0,0,0,188.1,193,102,94,23,1,51,160,1.30,.263
Esteban E Loaiza,PIT,11,11,4.13,33,32,1,0,0,0,196.1,214,99,90,17,12,56,122,1.38,.279
Greg G Maddux,ATL,19,4,2.20,33,33,5,2,0,0,232.2,200,58,57,9,6,20,177,0.95,.236
Jeff J Mc Curry,COL,1,4,4.43,33,0,0,0,0,0,40.2,43,22,20,7,0,20,19,1.55,.277
Matt M Morris,STL,12,9,3.19,33,33,3,0,0,0,217.0,208,88,77,12,7,69,149,1.28,.258
Mike M Mussina,BAL,15,8,3.20,33,33,4,1,0,0,224.2,197,87,80,27,3,54,218,1.12,.234
Jaime J Navarro,CWS,9,14,5.79,33,33,2,0,0,0,209.2,267,155,135,22,3,73,142,1.62,.309
Hideo H Nomo,LA,14,12,4.25,33,33,1,0,0,0,207.1,193,104,98,23,9,92,233,1.37,.243
Carlos C Perez,MON,12,13,3.88,33,32,8,5,0,0,206.2,206,109,89,21,4,48,110,1.23,.260
Rick R Reed,NYM,13,9,2.89,33,31,2,0,0,0,208.1,186,76,67,19,5,31,113,1.04,.239
Jose J Rosado,KC,9,12,4.69,33,33,2,0,0,0,203.1,208,117,106,26,4,73,129,1.38,.264
Aaron A Sele,BOS,13,12,5.38,33,33,1,0,0,0,177.1,196,115,106,25,15,80,122,1.56,.279
James J Baldwin,CWS,12,15,5.27,32,32,1,0,0,0,200.0,205,128,117,19,5,83,140,1.44,.262
Jose J Bautista,STL,2,2,6.66,32,0,0,0,0,0,52.2,70,42,39,8,3,14,23,1.59,.318
Tim T Belcher,KC,13,12,5.02,32,32,3,1,0,0,213.1,242,128,119,31,5,70,113,1.46,.288
Mark M Clark,CHC,14,8,3.82,32,31,3,0,0,0,205.0,213,96,87,24,4,59,123,1.33,.270
Steve S Cooke,PIT,9,15,4.30,32,32,0,0,0,0,167.1,184,95,80,15,9,77,109,1.56,.285
Shawn S Estes,SF,19,5,3.18,32,32,3,2,0,0,201.0,162,80,71,12,8,100,181,1.30,.223
Alex A Fernandez,FLA,17,12,3.59,32,32,5,1,0,0,220.2,193,93,88,25,4,69,183,1.19,.238
Bryce B Florie,MIL,4,4,4.32,32,8,0,0,0,0,75.0,74,43,36,4,3,42,53,1.55,.262
Dustin D Hermanson,MON,8,8,3.69,32,28,1,1,0,0,158.1,134,68,65,15,1,66,136,1.26,.234
Orel O Hershiser,CLE,14,6,4.47,32,32,1,0,0,0,195.1,199,105,97,26,11,69,107,1.37,.272
Sterling S Hitchcock,SD,10,11,5.20,32,28,1,0,0,0,161.0,172,102,93,24,4,55,106,1.41,.276
Kevin K Jarvis,DET,0,4,7.68,32,5,0,0,1,1,68.0,99,62,58,17,1,29,48,1.88,.334
Scott S Karl,MIL,10,13,4.47,32,32,1,0,0,0,193.1,212,103,96,23,4,67,119,1.44,.279
Dave D Mlicki,NYM,8,12,4.00,32,32,1,1,0,0,193.2,194,89,86,21,5,76,157,1.39,.259
Omar O Olivares,SEA,6,10,4.97,32,31,3,2,0,0,177.1,191,109,98,18,13,81,103,1.53,.276
Darren D Oliver,TEX,13,12,4.20,32,32,3,1,0,0,201.1,213,111,94,29,11,82,104,1.47,.271
Chan Ho C Park,LA,14,8,3.38,32,29,2,0,0,0,192.0,149,80,72,24,8,70,166,1.14,.213
Kirk K Rueter,SF,13,6,3.45,32,32,0,0,0,0,190.2,194,83,73,17,1,51,115,1.28,.264
Jason J Schmidt,PIT,10,9,4.60,32,32,2,0,0,0,187.2,193,106,96,16,9,76,136,1.43,.265
Dennis D Springer,ANA,9,9,5.18,32,28,3,1,0,0,194.2,199,118,112,32,10,73,75,1.40,.267
Justin J Thompson,DET,15,11,3.02,32,32,4,0,0,0,223.1,188,82,75,20,2,66,151,1.14,.233
David D Wells,NYY,16,10,4.21,32,32,5,2,0,0,218.0,239,109,102,24,6,45,156,1.30,.278
Mark M Brandenburg,BOS,0,2,5.49,31,0,0,0,0,0,41.0,49,25,25,3,2,16,34,1.59,.299
Paul P Byrd,ATL,4,4,5.26,31,4,0,0,0,0,53.0,47,34,31,6,4,28,37,1.42,.235
Danny D Darwin,SF,5,11,4.35,31,24,1,0,0,0,157.1,181,86,76,26,2,45,92,1.44,.286
Doug D Drabek,CWS,12,11,5.74,31,31,0,0,0,0,169.1,170,109,108,30,4,69,85,1.41,.261
Joey J Hamilton,SD,12,7,4.25,31,29,1,0,0,0,192.2,199,100,91,22,12,69,124,1.39,.271
Ken K Hill,ANA,9,12,4.55,31,31,1,0,0,0,190.0,194,103,96,19,3,95,106,1.52,.268
Mark M Leiter,PHI,10,17,5.67,31,31,3,0,0,0,182.2,216,132,115,25,9,64,148,1.53,.292
Pedro P Martinez,MON,17,8,1.90,31,31,13,4,0,0,241.1,158,65,51,16,9,67,305,0.93,.184
Brian B Moehler,DET,11,12,4.67,31,31,2,1,0,0,175.1,198,97,91,22,5,61,97,1.48,.285
Mike M Morgan,CIN,9,12,4.78,31,30,1,0,0,0,162.0,165,91,86,13,8,49,103,1.32,.266
Chris C Peters,PIT,2,2,4.58,31,1,0,0,0,0,37.1,38,23,19,6,3,21,17,1.58,.277
Rich R Robertson,MIN,8,12,5.69,31,26,0,0,0,0,147.0,169,105,93,19,6,70,69,1.63,.292
Kenny K Rogers,NYY,6,7,5.65,31,22,1,0,0,0,145.0,161,100,91,18,7,62,78,1.54,.280
Woody W Williams,TOR,9,14,4.35,31,31,0,0,0,0,194.2,201,98,94,31,5,66,124,1.37,.269
