PLAYER,TEAM,W,L,ERA,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Julian J Tavarez,SF,6,4,3.87,89,0,0,0,0,0,88.1,91,43,38,6,4,34,38,1.42,.277
Mike M Myers,DET,0,4,5.70,88,0,0,0,2,2,53.2,58,36,34,12,2,25,50,1.55,.274
Stan S Belinda,CIN,1,5,3.71,84,0,0,0,1,1,99.1,84,42,41,11,9,33,114,1.18,.229
Buddy B Groom,OAK,2,2,5.15,78,0,0,0,3,3,64.2,75,38,37,9,0,24,45,1.53,.292
Jeff J Shaw,CIN,4,2,2.38,78,0,0,0,42,42,94.2,79,26,25,7,1,12,74,0.96,.227
Jeff J Nelson,NYY,3,7,2.86,77,0,0,0,2,2,78.2,53,32,25,7,4,37,81,1.14,.191
Paul P Quantrill,TOR,6,7,1.94,77,0,0,0,5,5,88.0,103,25,19,5,1,17,56,1.36,.297
Mel M Rojas,NYM,0,6,4.64,77,0,0,0,15,15,85.1,78,47,44,15,7,36,93,1.34,.241
Bob B Patterson,CHC,1,6,3.34,76,0,0,0,0,0,59.1,47,23,22,9,0,10,58,0.96,.222
Heathcliff H Slocumb,SEA,0,9,5.16,76,0,0,0,27,27,75.0,84,45,43,6,4,49,64,1.77,.286
Jerry J Spradlin,PHI,4,8,4.74,76,0,0,0,1,1,81.2,86,45,43,9,1,27,67,1.38,.274
Paul P Assenmacher,CLE,5,0,2.94,75,0,0,0,4,4,49.0,43,17,16,5,1,15,53,1.18,.231
Doug D Henry,SF,4,5,4.71,75,0,0,0,3,3,70.2,70,45,37,5,1,41,69,1.57,.261
Doug D Jones,MIL,6,6,2.02,75,0,0,0,36,36,80.1,62,20,18,4,3,9,82,0.88,.215
Scott S Radinsky,LA,5,1,2.89,75,0,0,0,3,3,62.1,54,22,20,4,1,21,44,1.20,.236
Terry T Adams,CHC,2,9,4.62,74,0,0,0,18,18,74.0,91,43,38,3,1,40,64,1.77,.306
Jerry J Dipoto,COL,5,3,4.70,74,0,0,0,16,16,95.2,108,56,50,6,4,33,74,1.47,.288
Roberto R Hernandez,SF,10,3,2.45,74,0,0,0,31,31,80.2,67,24,22,7,1,38,82,1.30,.225
Jay J Powell,FLA,7,2,3.28,74,0,0,0,2,2,79.2,71,35,29,3,4,30,65,1.27,.242
Bob B Wickman,MIL,7,6,2.73,74,0,0,0,1,1,95.2,89,32,29,8,3,41,78,1.36,.252
Rod R Beck,SF,7,4,3.47,73,0,0,0,37,37,70.0,67,31,27,7,2,8,53,1.07,.249
Greg G Mc Michael,NYM,7,10,2.98,73,0,0,0,7,7,87.2,73,34,29,8,2,27,81,1.14,.233
Robb R Nen,FLA,9,3,3.89,73,0,0,0,35,35,74.0,72,35,32,7,0,40,81,1.51,.250
Dan D Plesac,TOR,2,4,3.58,73,0,0,0,1,1,50.1,47,22,20,8,0,19,61,1.31,.244
Rich R Loiselle,PIT,1,5,3.10,72,0,0,0,29,29,72.2,76,29,25,7,1,24,66,1.38,.269
Billy B Taylor,OAK,3,4,3.82,72,0,0,0,23,23,73.0,70,32,31,3,5,36,66,1.45,.254
Bobby B Ayala,SEA,10,5,3.82,71,0,0,0,8,8,96.2,91,45,41,14,3,41,92,1.37,.260
Armando A Benitez,BAL,4,5,2.45,71,0,0,0,9,9,73.1,49,22,20,7,1,43,106,1.25,.191
Norm N Charlton,SEA,3,8,7.27,71,0,0,0,14,14,69.1,89,59,56,7,4,47,55,1.96,.312
Tony T Fossas,STL,2,7,3.83,71,0,0,0,0,0,51.2,62,32,22,7,1,26,41,1.70,.298
Michael M Jackson,CLE,2,5,3.24,71,0,0,0,15,15,75.0,59,33,27,3,4,29,74,1.17,.215
Dan D Miceli,DET,3,2,5.01,71,0,0,0,3,3,82.2,77,49,46,13,1,38,79,1.39,.248
Jesse J Orosco,BAL,6,3,2.32,71,0,0,0,0,0,50.1,29,13,13,6,0,30,46,1.17,.169
Rich R Rodriguez,SF,4,3,3.17,71,0,0,0,1,1,65.1,65,24,23,7,1,21,32,1.32,.264
Aaron A Small,OAK,9,5,4.28,71,0,0,0,4,4,96.2,109,50,46,6,3,40,57,1.54,.294
Mark M Wohlers,ATL,5,7,3.50,71,0,0,0,33,33,69.1,57,29,27,4,0,38,92,1.37,.224
Trevor T Hoffman,SD,6,4,2.66,70,0,0,0,37,37,81.1,59,25,24,9,0,24,111,1.02,.200
Marc M Wilkins,PIT,9,5,3.69,70,0,0,0,2,2,75.2,65,33,31,7,4,33,47,1.30,.242
Ricky R Bottalico,PHI,2,5,3.65,69,0,0,0,34,34,74.0,68,31,30,7,2,42,89,1.49,.245
Eddie E Guardado,MIN,0,4,3.91,69,0,0,0,1,1,46.0,45,23,20,7,2,17,54,1.35,.251
Mike M Remlinger,CIN,8,8,4.14,69,12,2,0,2,2,124.0,100,61,57,11,7,60,145,1.29,.223
Todd T Jones,DET,5,4,3.09,68,0,0,0,31,31,70.0,60,29,24,3,1,35,70,1.36,.231
Mike M Trombley,MIN,2,3,4.37,67,0,0,0,1,1,82.1,77,43,40,7,2,31,74,1.31,.248
Hector H Carrasco,KC,2,8,4.40,66,0,0,0,0,0,86.0,80,46,42,7,8,41,76,1.41,.241
Alan A Embree,ATL,3,1,2.54,66,0,0,0,0,0,46.0,36,13,13,1,2,20,45,1.22,.221
Mike M Holtz,ANA,3,4,3.32,66,0,0,0,2,2,43.1,38,21,16,7,2,15,40,1.22,.228
Jose J Mesa,CLE,4,4,2.40,66,0,0,0,16,16,82.1,83,28,22,7,3,28,69,1.35,.259
Mariano M Rivera,NYY,6,4,1.88,66,0,0,0,43,43,71.2,65,17,15,5,0,20,68,1.19,.237
Greg G Swindell,MIN,7,4,3.58,65,1,0,0,1,1,115.2,102,46,46,12,2,25,75,1.10,.238
Anthony A Telford,MON,4,6,3.24,65,0,0,0,1,1,89.0,77,34,32,11,5,33,61,1.24,.236
Turk T Wendell,NYM,3,5,4.36,65,0,0,0,5,5,76.1,68,42,37,7,2,53,64,1.59,.240
Todd T Worrell,LA,2,6,5.28,65,0,0,0,35,35,59.2,60,38,35,12,0,23,61,1.39,.250
Kent K Bottenfield,CHC,2,3,3.86,64,0,0,0,2,2,84.0,82,39,36,13,2,35,74,1.39,.259
Tony T Castillo,CWS,4,4,4.91,64,0,0,0,4,4,62.1,74,48,34,6,1,23,42,1.56,.296
T. J. T Mathews,OAK,10,6,3.01,64,0,0,0,3,3,74.2,75,32,25,9,2,30,70,1.41,.260
Mike M Munoz,COL,3,3,4.53,64,0,0,0,2,2,45.2,52,25,23,4,0,13,26,1.42,.294
Mike M Stanton,NYY,6,1,2.57,64,0,0,0,3,3,66.2,50,19,19,3,3,34,70,1.26,.205
Mike M Timlin,SEA,6,4,3.22,64,0,0,0,10,10,72.2,69,30,26,8,1,20,45,1.22,.257
Darren D Hall,LA,3,2,2.30,63,0,0,0,2,2,54.2,58,15,14,3,0,26,39,1.54,.283
Jim J Poole,SF,3,1,7.11,63,0,0,0,0,0,49.1,73,44,39,6,4,25,26,1.99,.353
Steve S Reed,COL,4,6,4.04,63,0,0,0,6,6,62.1,49,28,28,10,5,27,43,1.22,.219
Ugueth U Urbina,MON,5,8,3.78,63,0,0,0,27,27,64.1,52,29,27,9,1,29,84,1.26,.215
Mark M Guthrie,LA,1,4,5.32,62,0,0,0,1,1,69.1,71,44,41,12,0,30,42,1.46,.272
Mike M Mohler,OAK,1,10,5.13,62,10,0,0,1,1,101.2,116,65,58,11,7,54,66,1.67,.301
Ricardo R Rincon,PIT,4,8,3.45,62,0,0,0,4,4,60.0,51,26,23,5,2,24,71,1.25,.230
Billy B Wagner,HOU,7,8,2.85,62,0,0,0,23,23,66.1,49,23,21,5,3,30,106,1.19,.204
Rick R Aguilera,MIN,5,4,3.82,61,0,0,0,26,26,68.1,65,29,29,9,2,22,68,1.27,.257
Doug D Brocail,DET,3,4,3.23,61,4,0,0,2,2,78.0,74,31,28,10,3,36,60,1.41,.256
Pep P Harris,ANA,5,4,3.62,61,0,0,0,0,0,79.2,82,33,32,7,2,38,56,1.51,.274
Chuck C Mc Elroy,CWS,1,3,3.84,61,0,0,0,1,1,75.0,73,36,32,5,2,22,62,1.27,.252
Randy R Myers,BAL,2,3,1.51,61,0,0,0,45,45,59.2,47,12,10,2,0,22,56,1.16,.217
John J Wetteland,TEX,7,2,1.94,61,0,0,0,31,31,65.0,43,18,14,5,0,21,63,0.98,.182
Eric E Gunderson,TEX,2,1,3.26,60,0,0,0,1,1,49.2,45,19,18,5,2,15,31,1.21,.241
Tim T Worrell,SD,4,8,5.16,60,10,0,0,3,3,106.1,116,67,61,14,7,50,81,1.56,.280
Dennis D Cook,FLA,1,2,3.90,59,0,0,0,0,0,62.1,64,28,27,4,2,28,63,1.48,.267
John J Franco,NYM,5,3,2.55,59,0,0,0,36,36,60.0,49,18,17,3,1,20,53,1.15,.226
John J Frascatore,STL,5,2,2.48,59,0,0,0,0,0,80.0,74,25,22,5,6,33,58,1.34,.247
Scott S Sullivan,CIN,5,3,3.24,59,0,0,0,1,1,97.1,79,36,35,12,7,30,96,1.12,.220
