PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Jeff J Bagwell,HOU,162,586,87,160,34,6,18,96,84,97,10,6,.273,.368,.444,.812
Craig C Biggio,HOU,162,613,96,170,32,3,6,39,94,95,38,15,.277,.378,.369,.747
Steve S Finley C,HOU,162,607,84,177,29,13,5,55,58,63,44,9,.292,.355,.407,.762
Cal C Ripken S,BAL,162,637,73,160,29,1,14,72,64,50,4,3,.251,.323,.366,.689
Carlos C Baerga,CLE,161,657,92,205,32,1,20,105,35,76,10,2,.312,.354,.455,.809
Travis T Fryman S,DET,161,659,87,175,31,4,20,96,45,144,8,4,.266,.316,.416,.731
Terry T Pendleton,ATL,160,640,98,199,39,1,21,105,37,67,5,2,.311,.345,.473,.818
Kirby K Puckett C,MIN,160,639,104,210,38,4,19,110,44,97,17,7,.329,.374,.490,.864
Frank F Thomas,CWS,160,573,108,185,46,2,24,115,122,88,6,3,.323,.439,.536,.975
Brady B Anderson L,BAL,159,623,100,169,28,10,21,80,98,98,53,16,.271,.373,.449,.823
Jay J Bell S,PIT,159,632,87,167,36,6,9,55,55,103,7,5,.264,.326,.383,.709
Marquis M Grissom C,MON,159,653,99,180,39,6,14,66,42,81,78,13,.276,.322,.418,.740
Rafael R Palmeiro,TEX,159,608,84,163,27,4,22,85,72,83,2,3,.268,.352,.434,.786
Tony T Phillips,DET,159,606,114,167,32,3,10,64,114,93,12,10,.276,.387,.388,.775
Joe J Carter R,TOR,158,622,97,164,30,7,34,119,36,109,12,5,.264,.309,.498,.808
Mark M Grace,CHC,158,603,72,185,37,5,9,79,72,36,6,1,.307,.380,.430,.809
Paul P Molitor D,MIL,158,609,89,195,36,7,12,89,73,66,31,6,.320,.389,.461,.851
Ryne R Sandberg,CHC,158,612,100,186,32,8,26,87,68,73,17,6,.304,.371,.510,.881
Brett B Butler C,LA,157,553,86,171,14,11,3,39,95,67,41,21,.309,.413,.391,.803
Gary G Disarcina S,CAL,157,518,48,128,19,0,3,42,20,50,9,7,.247,.283,.301,.584
Lance L Johnson C,CWS,157,567,67,158,15,12,3,47,34,33,41,14,.279,.318,.363,.681
Don D Mattingly,NYY,157,640,89,184,40,0,14,86,39,43,3,0,.288,.327,.416,.742
Mickey M Tettleton,DET,157,525,82,125,25,0,32,83,122,137,0,6,.238,.379,.469,.848
Robin R Ventura,CWS,157,592,85,167,38,1,16,93,93,71,2,4,.282,.375,.431,.806
Mike M Devereaux C,BAL,156,653,76,180,29,11,24,107,44,94,10,8,.276,.321,.464,.785
Dave D Hollins,PHI,156,586,104,158,28,4,27,93,76,110,9,6,.270,.369,.469,.839
Shane S Mack L,MIN,156,600,101,189,31,6,16,75,64,106,26,14,.315,.394,.467,.860
Eddie E Murray,NYM,156,551,64,144,37,2,16,93,66,74,4,2,.261,.336,.423,.759
Dave D Winfield,TOR,156,583,92,169,33,3,26,108,82,89,2,3,.290,.377,.491,.867
George G Bell D,CWS,155,627,74,160,27,0,25,112,31,97,5,2,.255,.294,.418,.712
Tony T Fernandez S,SD,155,622,84,171,32,4,4,37,56,62,20,20,.275,.337,.359,.696
Cecil C Fielder,DET,155,594,80,145,22,0,35,124,73,151,0,0,.244,.325,.458,.783
