PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Joe J Carter C,SD,162,634,79,147,27,1,24,115,48,93,22,6,.232,.290,.391,.681
Roberto R Kelly C,NYY,162,641,85,183,32,4,15,61,33,148,42,17,.285,.323,.418,.741
Tony T Fernandez S,TOR,161,635,84,175,27,17,4,66,71,70,26,13,.276,.352,.391,.742
Cal C Ripken S,BAL,161,600,78,150,28,4,21,84,82,66,3,1,.250,.341,.415,.756
Tim T Wallach,MON,161,626,69,185,37,5,21,98,42,80,6,9,.296,.339,.471,.810
Bobby B Bonilla R,PIT,160,625,112,175,39,7,32,120,45,103,4,3,.280,.322,.518,.841
Brett B Butler C,SF,160,622,108,192,20,9,3,44,90,62,51,19,.309,.397,.384,.782
Ozzie O Guillen S,CWS,160,516,61,144,21,4,1,58,26,37,13,17,.279,.312,.341,.653
Harold H Reynolds,SEA,160,642,100,162,36,5,5,55,81,52,31,16,.252,.336,.347,.683
Jay J Bell S,PIT,159,583,93,148,28,7,7,52,65,109,10,6,.254,.329,.362,.691
Cecil C Fielder,DET,159,573,104,159,25,1,51,132,90,182,0,1,.277,.377,.592,.969
Mike M Greenwell L,BOS,159,610,71,181,30,6,14,73,65,43,8,7,.297,.367,.434,.801
Ruben R Sierra,TEX,159,608,70,170,37,2,16,96,49,86,9,0,.280,.330,.426,.756
Matt M Williams,SF,159,617,87,171,27,2,33,122,33,138,7,4,.277,.319,.488,.807
Ivan I Calderon L,CWS,158,607,85,166,44,2,14,74,51,79,32,16,.273,.327,.422,.749
Barry B Larkin S,CIN,158,614,85,185,25,6,7,67,49,49,30,5,.301,.358,.396,.753
Kevin K Seitzer,KC,158,622,91,171,31,5,6,38,67,66,7,5,.275,.346,.370,.716
Robin R Yount C,MIL,158,587,98,145,17,5,17,77,78,89,15,8,.247,.337,.380,.717
Julio J Franco,TEX,157,582,96,172,27,1,11,69,82,83,31,10,.296,.383,.402,.785
Mark M Grace,CHC,157,589,72,182,32,1,9,82,59,54,15,6,.309,.372,.413,.785
Dave D Parker,MIL,157,610,71,176,30,3,21,92,41,102,4,7,.289,.330,.451,.781
Mark M Mc Gwire,OAK,156,523,87,123,16,0,39,108,110,116,2,1,.235,.370,.489,.859
Jose J Oquendo,STL,156,469,38,118,17,5,1,37,74,46,1,1,.252,.350,.316,.666
Wade W Boggs,BOS,155,619,89,187,44,5,6,63,87,68,0,0,.302,.386,.418,.804
Andres A Galarraga,MON,155,579,65,148,29,0,20,87,40,169,10,1,.256,.306,.409,.715
Ken K Griffey C,SEA,155,597,91,179,28,7,22,80,63,81,16,11,.300,.366,.481,.847
Brook B Jacoby,CLE,155,553,77,162,24,4,14,75,63,58,1,4,.293,.365,.427,.792
Candy C Maldonado L,CLE,155,590,76,161,32,2,22,95,49,134,3,5,.273,.330,.446,.776
Eddie E Murray,LA,155,558,96,184,22,3,26,95,82,64,8,5,.330,.414,.520,.934
Jody J Reed,BOS,155,598,70,173,45,0,5,51,75,65,4,4,.289,.371,.390,.760
Ryne R Sandberg,CHC,155,615,116,188,30,3,40,100,50,84,25,7,.306,.354,.559,.913
Steve S Sax,NYY,155,615,70,160,24,2,4,42,49,46,43,9,.260,.316,.325,.641
Will W Clark,SF,154,600,91,177,25,5,19,95,62,97,8,2,.295,.357,.448,.805
Gary G Gaetti,MIN,154,577,61,132,27,5,16,85,36,101,6,1,.229,.274,.376,.650
Howard H Johnson,NYM,154,590,89,144,37,3,23,90,69,100,34,8,.244,.319,.434,.753
Willie W Mc Gee C,OAK,154,614,99,199,35,7,3,77,48,104,31,9,.324,.373,.419,.792
Dale D Murphy R,PHI,154,563,60,138,23,1,24,83,61,130,9,3,.245,.318,.417,.735
Rafael R Palmeiro,TEX,154,598,72,191,35,6,14,89,40,59,3,3,.319,.361,.468,.829
Jesse J Barfield R,NYY,153,476,69,117,21,2,25,78,82,150,4,3,.246,.359,.456,.815
Hubie H Brooks R,LA,153,568,74,151,28,1,20,91,33,108,2,5,.266,.307,.424,.732
Ken K Caminiti,HOU,153,541,52,131,20,2,4,51,48,97,9,4,.242,.302,.309,.610
Pete P Incaviglia L,TEX,153,529,59,123,27,0,24,85,45,146,3,4,.233,.302,.420,.721
Gregg G Jefferies,NYM,153,604,96,171,40,3,15,68,46,40,11,2,.283,.337,.434,.771
Fred F Mc Griff,TOR,153,557,91,167,21,1,35,88,94,108,5,3,.300,.400,.530,.930
Sammy S Sosa R,CWS,153,532,72,124,26,10,15,70,33,150,32,16,.233,.282,.404,.687
Ellis E Burks C,BOS,152,588,89,174,33,8,21,89,48,82,9,11,.296,.349,.486,.835
Ron R Gant C,ATL,152,575,107,174,34,3,32,84,50,86,33,16,.303,.357,.539,.896
Charlie C Hayes,PHI,152,561,56,145,20,0,10,57,28,91,4,4,.258,.293,.348,.641
Jose J Lind,PIT,152,514,46,134,28,5,1,48,35,52,8,0,.261,.305,.340,.646
Tony T Phillips,DET,152,573,97,144,23,5,8,55,99,85,19,9,.251,.364,.351,.715
Darryl D Strawberry R,NYM,152,542,92,150,18,1,37,108,70,110,15,8,.277,.361,.518,.879
Barry B Bonds L,PIT,151,519,104,156,32,3,33,114,93,83,52,13,.301,.406,.565,.970
Scott S Fletcher,CWS,151,509,54,123,18,3,4,56,45,63,1,3,.242,.304,.312,.617
Lance L Johnson C,CWS,151,541,76,154,18,9,1,51,33,45,36,22,.285,.325,.357,.681
Craig C Biggio,HOU,150,555,53,153,24,2,4,42,53,79,25,11,.276,.342,.348,.689
Alvaro A Espinoza S,NYY,150,438,31,98,12,2,2,20,16,54,1,2,.224,.258,.274,.532
Kelly K Gruber,TOR,150,592,92,162,36,6,31,118,48,94,14,2,.274,.330,.512,.842
Robin R Ventura,CWS,150,493,48,123,17,1,5,54,55,53,1,4,.249,.324,.318,.643
Lenny L Dykstra C,PHI,149,590,106,192,35,3,9,60,89,48,33,5,.325,.418,.441,.859
Spike S Owen,MON,149,453,55,106,24,5,5,35,70,60,8,6,.234,.333,.342,.676
Carlos C Quintana,BOS,149,512,56,147,28,0,7,67,52,74,1,2,.287,.354,.383,.737
