PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Bip B Roberts L,SD,149,556,104,172,36,3,9,44,55,65,46,12,.309,.375,.433,.809
Dickie D Thon S,PHI,149,552,54,141,20,4,8,48,37,77,12,5,.255,.305,.350,.654
Tom T Brunansky R,BOS,148,518,66,132,27,5,16,73,66,115,5,10,.255,.338,.419,.757
Felix F Fermin S,CLE,148,414,47,106,13,2,1,40,26,22,3,3,.256,.297,.304,.601
Chris C Sabo,CIN,148,567,95,153,38,2,25,71,61,58,25,10,.270,.343,.476,.820
Roberto R Alomar,SD,147,586,80,168,27,5,6,60,48,72,24,7,.287,.340,.381,.721
Sid S Bream,PIT,147,389,39,105,23,2,15,67,48,65,8,4,.270,.349,.455,.804
Andre A Dawson R,CHC,147,529,72,164,28,5,27,100,42,65,16,2,.310,.358,.535,.893
Kevin K Mc Reynolds L,NYM,147,521,75,140,23,1,24,82,71,61,9,2,.269,.353,.455,.808
Mookie M Wilson C,TOR,147,588,81,156,36,4,3,51,31,102,23,4,.265,.300,.355,.656
Shawon S Dunston,CHC,146,545,73,143,22,8,17,66,15,87,25,5,.262,.283,.426,.709
Tom T Herr,NYM,146,547,48,143,26,3,5,60,50,58,7,1,.261,.324,.347,.672
Kirby K Puckett C,MIN,146,551,82,164,40,3,12,80,57,73,5,4,.298,.365,.446,.811
Franklin F Stubbs,HOU,146,448,59,117,23,2,23,71,48,114,19,6,.261,.334,.475,.809
Alan A Trammell S,DET,146,559,71,170,37,1,14,89,68,55,12,10,.304,.377,.449,.826
Jeff J Huson S,TEX,145,396,57,95,12,2,0,28,46,54,12,4,.240,.320,.280,.600
Paul P O' Neill R,CIN,145,503,59,136,28,0,16,78,53,103,13,11,.270,.339,.421,.761
Dave D Magadan,NYM,144,451,74,148,28,6,6,72,74,55,2,1,.328,.417,.457,.874
Edgar E Martinez,SEA,144,487,71,147,27,2,11,49,74,62,1,4,.302,.397,.433,.830
Al A Newman,MIN,144,388,43,94,14,0,0,30,33,34,13,6,.242,.304,.278,.582
Kurt K Stillwell S,KC,144,506,60,126,35,4,3,51,39,60,0,2,.249,.304,.352,.656
Garry G Templeton S,SD,144,505,45,125,25,3,9,59,24,59,1,4,.248,.280,.362,.642
Robby R Thompson,SF,144,498,67,122,22,3,15,56,34,96,14,4,.245,.299,.392,.691
Todd T Zeile,STL,144,495,62,121,25,3,15,57,67,77,2,4,.244,.333,.398,.731
Darren D Daulton,PHI,143,459,62,123,30,1,12,57,72,72,7,1,.268,.367,.416,.783
Kent K Hrbek,MIN,143,492,61,141,26,0,22,79,69,45,5,2,.287,.377,.474,.850
Tony T Peña Pena,BOS,143,491,62,129,19,1,7,56,43,71,8,6,.263,.322,.348,.670
Juan J Samuel,LA,143,492,62,119,24,3,13,52,51,126,38,20,.242,.316,.382,.699
Ozzie O Smith S,STL,143,512,61,130,21,1,1,50,61,33,32,6,.254,.330,.305,.635
George G Bell L,TOR,142,562,67,149,25,0,21,86,32,80,3,2,.265,.303,.422,.724
George G Brett,KC,142,544,82,179,45,7,14,87,56,63,9,2,.329,.387,.515,.902
Jim J Eisenreich R,KC,142,496,61,139,29,7,5,51,42,51,12,14,.280,.335,.397,.732
Steve S Finley R,BAL,142,464,46,119,16,4,3,37,32,53,22,9,.256,.304,.328,.632
John J Kruk L,PHI,142,443,52,129,25,8,7,67,69,70,10,5,.291,.386,.431,.817
Eric E Yelding C,HOU,142,511,69,130,9,5,1,28,39,87,64,25,.254,.305,.297,.602
Alfredo A Griffin S,LA,141,461,38,97,11,3,1,35,29,65,6,3,.210,.258,.254,.512
Tony T Gwynn R,SD,141,573,79,177,29,10,4,72,44,23,17,8,.309,.357,.415,.772
Jerry J Browne,CLE,140,513,92,137,26,5,6,50,72,46,12,7,.267,.353,.372,.725
Alvin A Davis D,SEA,140,494,63,140,21,0,17,68,85,68,0,2,.283,.387,.429,.816
Mike M Gallego,OAK,140,389,36,80,13,2,3,34,35,50,5,5,.206,.277,.272,.549
Chris C James D,CLE,140,528,62,158,32,4,12,70,31,71,4,3,.299,.341,.443,.784
Kevin K Mitchell L,SF,140,524,90,152,24,2,35,93,58,87,4,7,.290,.360,.544,.904
Jim J Presley,ATL,140,541,59,131,34,1,19,72,29,130,1,1,.242,.282,.414,.696
Billy B Hatcher L,CIN,139,504,68,139,28,5,5,25,33,42,30,10,.276,.327,.381,.708
Greg G Gagne S,MIN,138,388,38,91,22,3,7,38,24,76,8,8,.235,.280,.361,.640
Jose J Uribe S,SF,138,415,35,103,8,6,1,24,29,49,5,9,.248,.297,.304,.601
Walt W Weiss S,OAK,138,445,50,118,17,1,2,35,46,53,9,3,.265,.337,.321,.658
Carlton C Fisk,CWS,137,452,65,129,21,0,18,65,61,73,7,2,.285,.378,.451,.829
Lenny L Harris,LA,137,431,61,131,16,4,2,29,29,31,15,10,.304,.348,.374,.722
Dan D Gladden L,MIN,136,534,64,147,27,6,5,40,26,67,25,9,.275,.314,.376,.690
Pedro P Guerrero,STL,136,498,42,140,31,1,13,80,44,70,1,1,.281,.334,.426,.760
Rickey R Henderson L,OAK,136,489,119,159,33,3,28,61,97,60,65,10,.325,.439,.577,1.016
Matt M Nokes,NYY,136,351,33,87,9,1,11,40,24,47,2,2,.248,.306,.373,.680
Gary G Pettis C,TEX,136,424,66,101,16,8,3,31,57,119,38,15,.238,.332,.335,.667
Andy A Van Slyke C,PIT,136,493,67,140,26,6,17,77,66,89,14,4,.284,.367,.465,.832
Harold H Baines D,OAK,135,415,52,118,15,1,16,65,67,80,0,3,.284,.378,.441,.819
Mike M Scioscia,LA,135,435,46,115,25,0,12,66,55,31,4,1,.264,.348,.405,.753
Lonnie L Smith,ATL,135,466,72,142,27,9,9,42,58,69,10,10,.305,.384,.459,.844
B. J. B Surhoff,MIL,135,474,55,131,21,4,6,59,41,37,18,7,.276,.331,.376,.706
Mickey M Tettleton,BAL,135,444,68,99,21,2,15,51,106,160,2,4,.223,.376,.381,.756
Milt M Thompson R,STL,135,418,42,91,14,7,6,30,39,60,25,5,.218,.292,.328,.620
Rob R Deer,MIL,134,440,57,92,15,1,27,69,64,147,2,3,.209,.313,.432,.745
Brian B Harper,MIN,134,479,61,141,42,3,6,54,19,27,3,2,.294,.328,.432,.760
Carney C Lansford,OAK,134,507,58,136,15,1,3,50,45,50,16,14,.268,.333,.320,.652
Jeffrey J Leonard L,SEA,134,478,39,120,20,0,10,75,37,97,4,2,.251,.305,.356,.660
Joe J Girardi,CHC,133,419,36,113,24,2,1,38,17,50,8,3,.270,.300,.344,.644
Lance L Parrish,CAL,133,470,54,126,14,0,24,70,46,107,2,2,.268,.338,.451,.790
Gerald G Perry D,KC,133,465,57,118,22,2,8,57,39,56,17,4,.254,.313,.361,.674
Geno G Petralli,TEX,133,325,28,83,13,1,0,21,50,49,0,2,.255,.357,.302,.658
Larry L Walker R,MON,133,419,59,101,18,3,19,51,49,112,21,7,.241,.326,.434,.761
Craig C Worthington,BAL,133,425,46,96,17,0,8,44,63,96,1,2,.226,.328,.322,.650
Sandy S Alomar,CLE,132,445,60,129,26,2,9,66,25,46,4,1,.290,.326,.418,.744
Rafael R Ramirez S,HOU,132,445,44,116,19,3,2,37,24,46,10,5,.261,.299,.330,.630
Lou L Whitaker,DET,132,472,75,112,22,2,18,60,74,71,8,2,.237,.338,.407,.744
Dave D Winfield R,CAL,132,475,70,127,21,2,21,78,52,81,0,1,.267,.338,.453,.790
Jose J Canseco R,OAK,131,481,83,132,14,2,37,101,72,158,19,10,.274,.371,.543,.914
Larry L Sheets,DET,131,360,40,94,17,2,10,52,24,42,1,3,.261,.308,.403,.710
Casey C Candaele,HOU,130,262,30,75,8,6,3,22,31,42,7,5,.286,.364,.397,.761
Kal K Daniels L,LA,130,450,81,133,23,1,27,94,68,104,4,3,.296,.389,.531,.920
Tim T Raines L,MON,130,457,65,131,11,5,9,62,70,43,49,16,.287,.379,.392,.771
Delino D De Shields,MON,129,499,69,144,28,6,4,45,66,96,42,22,.289,.375,.393,.768
Von V Hayes R,PHI,129,467,70,122,14,3,17,73,87,81,16,7,.261,.375,.413,.788
Billy B Ripken,BAL,129,406,48,118,28,1,3,38,28,43,5,2,.291,.342,.387,.728
Mike M Sharperson,LA,129,357,42,106,14,2,3,36,46,39,15,6,.297,.376,.373,.748
Mike M Pagliarulo,SD,128,398,29,101,23,2,7,38,39,66,1,3,.254,.322,.374,.696
Jeff J Treadway,ATL,128,474,56,134,20,2,11,59,25,42,3,4,.283,.320,.403,.723
Mitch M Webster C,CLE,128,437,58,110,20,6,12,55,20,61,22,6,.252,.285,.407,.693
Henry H Cotto R,SEA,127,355,40,92,14,3,4,33,22,52,21,3,.259,.307,.349,.657
Eric E Davis C,CIN,127,453,84,118,26,2,24,86,60,100,21,3,.260,.347,.486,.833
Junior J Felix R,TOR,127,463,73,122,23,7,15,65,45,99,13,8,.263,.328,.441,.769
Dave D Henderson C,OAK,127,450,65,122,28,0,20,63,40,105,3,1,.271,.331,.467,.797
David D Justice,ATL,127,439,76,124,23,2,28,78,64,92,11,6,.282,.373,.535,.908
Jeff J King,PIT,127,371,46,91,17,1,14,53,21,50,3,3,.245,.283,.410,.692
Bill B Doran,CIN,126,403,59,121,29,2,7,37,79,58,23,9,.300,.411,.434,.845
Felix F Jose R,STL,126,426,54,113,16,1,11,52,24,81,12,6,.265,.311,.385,.696
Pat P Borders,TOR,125,346,36,99,24,2,15,49,18,57,0,1,.286,.319,.497,.816
Greg G Briley R,SEA,125,337,40,83,18,2,5,29,37,48,16,4,.246,.319,.356,.675
Jack J Daugherty,TEX,125,310,36,93,20,2,6,47,22,49,0,0,.300,.347,.435,.783
Mariano M Duncan,CIN,125,435,67,133,22,11,10,55,24,67,13,7,.306,.345,.476,.821
Shane S Mack R,MIN,125,313,50,102,10,4,8,44,29,69,13,4,.326,.392,.460,.852
Gary G Sheffield,MIL,125,487,67,143,30,1,10,67,44,41,25,10,.294,.350,.421,.771
Devon D White C,CAL,125,443,57,96,17,3,11,44,44,116,21,6,.217,.290,.343,.633
Vince V Coleman L,STL,124,497,73,145,18,9,6,39,35,88,77,17,.292,.340,.400,.741
Tommy T Gregg,ATL,124,239,18,63,13,1,5,32,20,39,4,3,.264,.322,.389,.711
Mike M Macfarlane,KC,124,400,37,102,24,4,6,58,25,69,1,0,.255,.306,.380,.686
Joe J Orsulak R,BAL,124,413,49,111,14,3,11,57,46,48,6,8,.269,.343,.397,.740
Greg G Brock,MIL,123,367,42,91,23,0,7,50,43,45,4,2,.248,.324,.368,.692
Dwight D Evans,BOS,123,445,66,111,18,3,13,63,67,73,3,4,.249,.349,.391,.740
Stan S Javier C,LA,123,309,60,92,9,6,3,27,40,50,15,7,.298,.376,.395,.771
Cory C Snyder R,CLE,123,438,46,102,27,3,14,55,21,118,1,4,.233,.268,.404,.672
Mike M Heath,DET,122,370,46,100,18,2,7,38,19,71,7,6,.270,.311,.386,.697
Lloyd L Moseby C,DET,122,431,64,107,16,5,14,51,48,77,17,5,.248,.329,.406,.735
Mike M Felder L,MIL,121,237,38,65,7,2,3,27,22,17,20,9,.274,.330,.359,.688
Joe J Oliver,CIN,121,364,34,84,23,0,8,52,37,75,1,1,.231,.304,.360,.664
Terry T Pendleton,STL,121,447,46,103,20,2,6,58,30,58,7,5,.230,.277,.324,.601
Daryl D Boston C,NYM,120,367,65,100,21,2,12,45,28,50,19,7,.272,.327,.439,.766
Luis L Polonia,CAL,120,403,52,135,7,9,2,35,25,43,21,14,.335,.372,.412,.784
Greg G Vaughn L,MIL,120,382,51,84,26,2,17,61,33,91,7,4,.220,.280,.432,.712
Gene G Larkin R,MIN,119,401,46,108,26,4,5,42,42,55,5,3,.269,.343,.392,.734
Otis O Nixon C,MON,119,231,46,58,6,2,1,20,28,33,50,13,.251,.331,.307,.638
Willie W Randolph,OAK,119,388,52,101,13,3,2,30,45,34,7,1,.260,.339,.325,.664
Todd T Benzinger,CIN,118,376,35,95,14,2,5,46,19,69,3,4,.253,.291,.340,.631
Dave D Martinez C,MON,118,391,60,109,13,5,11,39,24,48,13,11,.279,.321,.422,.743
Luis L Rivera S,BOS,118,346,38,78,20,0,7,45,25,58,4,3,.225,.279,.344,.623
Glenn G Wilson R,HOU,118,368,42,90,14,0,10,55,26,64,0,3,.245,.293,.364,.657
Phil P Bradley L,CWS,117,422,59,108,14,2,4,31,50,61,17,7,.256,.349,.327,.676
Manuel M Lee,TOR,117,391,45,95,12,4,6,41,26,90,3,1,.243,.288,.340,.628
Dwight D Smith L,CHC,117,290,34,76,15,0,6,27,28,46,11,6,.262,.329,.376,.705
Steve S Balboni,NYY,116,266,24,51,6,0,17,34,35,91,0,0,.192,.291,.406,.697
Jeff J Blauser S,ATL,115,386,46,104,24,3,8,39,35,70,3,5,.269,.338,.409,.747
Jack J Clark,SD,115,334,59,89,12,1,25,62,104,91,4,3,.266,.441,.533,.974
John J Moses R,MIN,115,172,26,38,3,1,1,14,19,19,2,3,.221,.303,.267,.570
Luis L Salazar,CHC,115,410,44,104,13,3,12,47,19,59,3,1,.254,.293,.388,.680
Willie W Wilson L,KC,115,307,49,89,13,3,2,42,30,57,24,6,.290,.354,.371,.725
Terry T Steinbach,OAK,114,379,32,95,15,2,9,57,19,66,0,1,.251,.291,.372,.663
Doug D Dascenzo L,CHC,113,241,27,61,9,5,1,26,21,18,15,6,.253,.312,.344,.656
Chili C Davis D,CAL,113,412,58,109,17,1,12,58,61,89,1,2,.265,.357,.398,.755
Mel M Hall D,NYY,113,360,41,93,23,2,12,46,6,46,0,0,.258,.272,.433,.706
Oddibe O Mc Dowell C,ATL,113,305,47,74,14,0,7,25,21,53,13,2,.243,.295,.357,.652
Dan D Pasqua,CWS,112,325,43,89,27,3,13,58,37,66,1,1,.274,.347,.495,.842
Bill B Spiers S,MIL,112,363,44,88,15,3,2,36,16,45,11,6,.242,.274,.317,.591
Mike M Fitzgerald,MON,111,313,36,76,18,1,9,41,60,60,8,1,.243,.365,.393,.758
Bo B Jackson C,KC,111,405,74,110,16,1,28,78,44,128,15,9,.272,.342,.523,.866
John J Olerud D,TOR,111,358,43,95,15,1,14,48,57,75,0,2,.265,.364,.430,.794
Bob B Geren,NYY,110,277,21,59,7,0,8,31,13,73,0,0,.213,.259,.325,.584
Dante D Bichette R,CAL,109,349,40,89,15,1,15,53,16,79,5,2,.255,.292,.433,.725
Glenn G Braggs R,CIN,109,314,39,88,14,1,9,41,38,64,8,7,.280,.365,.417,.782
Randy R Milligan,BAL,109,362,64,96,20,1,20,60,88,68,6,3,.265,.408,.492,.900
Carlos C Baerga,CLE,108,312,46,81,17,2,7,47,16,57,0,2,.260,.300,.394,.694
Mike M Devereaux C,BAL,108,367,48,88,18,1,12,49,28,48,13,12,.240,.291,.392,.683
Pete P O' Brien,SEA,108,366,32,82,18,0,5,27,44,33,0,0,.224,.308,.314,.622
Terry T Kennedy,SF,107,303,25,84,22,0,2,26,31,38,1,2,.277,.342,.370,.712
Hal H Morris,CIN,107,309,50,105,22,3,7,36,21,32,9,3,.340,.381,.498,.880
Dave D Valle,SEA,107,308,37,66,15,0,7,33,45,48,1,2,.214,.328,.331,.659
Jose J Gonzalez L,LA,106,99,15,23,5,3,2,8,6,27,3,1,.232,.280,.404,.684
Gary G Ward L,DET,106,309,32,79,11,2,9,46,30,50,2,0,.256,.322,.392,.713
Kenny K Williams,TOR,106,155,23,25,8,1,0,13,10,42,9,4,.161,.219,.226,.445
Jack J Howell,CAL,105,316,35,72,19,1,8,33,46,61,3,0,.228,.326,.370,.696
Mike M Kingery R,SF,105,207,24,61,7,1,0,24,12,19,6,1,.295,.335,.338,.673
Ron R Kittle D,BAL,105,338,33,78,16,0,18,46,26,91,0,0,.231,.293,.438,.731
Johnny J Ray,CAL,105,404,47,112,23,0,5,43,19,44,2,3,.277,.308,.371,.679
Wally W Backman,PIT,104,315,62,92,21,3,2,28,42,53,6,3,.292,.374,.397,.771
Chet C Lemon R,DET,104,322,39,83,16,4,5,32,48,61,3,2,.258,.359,.379,.738
Nelson N Liriano,MIN,103,355,46,83,12,9,1,28,38,44,8,7,.234,.308,.327,.635
Paul P Molitor,MIL,103,418,64,119,27,6,12,45,37,51,18,3,.285,.343,.464,.807
John J Shelby C,DET,103,246,24,61,10,3,4,22,10,58,4,5,.248,.277,.362,.639
Mike M Stanley,TEX,103,189,21,47,8,1,2,19,30,25,1,0,.249,.350,.333,.683
Phil P Stephenson,SD,103,182,26,38,9,1,4,19,30,43,2,1,.209,.319,.335,.654
Donnie D Hill,CAL,102,352,36,93,18,2,3,32,29,27,1,2,.264,.319,.352,.671
Mark M Lemke,ATL,102,239,22,54,13,0,0,21,21,22,0,1,.226,.286,.280,.567
Don D Mattingly,NYY,102,394,40,101,16,0,5,42,28,20,1,0,.256,.308,.335,.643
Scott S Bradley,SEA,101,233,11,52,9,0,1,28,15,20,0,1,.223,.264,.275,.538
Chris C Gwynn,LA,101,141,19,40,2,1,5,22,7,28,0,1,.284,.311,.418,.730
Randy R Ready,PHI,101,217,26,53,9,1,1,26,29,35,3,2,.244,.332,.309,.641
Jerome J Walton C,CHC,101,392,63,103,16,2,2,21,50,70,14,7,.263,.350,.329,.680
Dave D Bergman,DET,100,205,21,57,10,1,2,26,33,17,3,2,.278,.375,.366,.741
Greg G Olson,ATL,100,298,36,78,12,1,7,36,30,51,1,1,.262,.332,.379,.712
Benito B Santiago,SD,100,344,42,93,8,5,11,53,27,55,5,5,.270,.323,.419,.741
Mackey M Sasser,NYM,100,270,31,83,14,0,6,41,15,19,0,0,.307,.344,.426,.770
Dave D Collins,STL,99,58,12,13,1,0,0,3,13,10,7,1,.224,.366,.241,.608
Jeff J Kunkel S,TEX,99,200,17,34,11,1,3,17,11,66,2,1,.170,.221,.280,.501
Dick D Schofield S,CAL,99,310,41,79,8,1,1,18,52,61,3,4,.255,.363,.297,.660
Marquis M Grissom R,MON,98,288,42,74,14,2,3,29,27,40,22,2,.257,.320,.351,.670
Domingo D Ramos,CHC,98,226,22,60,5,0,2,17,27,29,0,2,.265,.342,.314,.657
Mike M Aldrete,MON,96,161,22,39,7,1,1,18,37,31,1,2,.242,.385,.317,.702
Brian B Downing D,CAL,96,330,47,90,18,2,14,51,50,45,0,0,.273,.374,.467,.841
Michael M La Valliere,PIT,96,279,27,72,15,0,3,31,44,20,0,3,.258,.362,.344,.706
Gary G Redus,PIT,96,227,32,56,15,3,6,23,33,38,11,5,.247,.341,.419,.759
R. J. R Reynolds,PIT,95,215,25,62,10,1,0,19,23,35,12,2,.288,.354,.344,.698
Randy R Velarde,NYY,95,229,21,48,6,2,5,19,20,53,0,3,.210,.275,.319,.594
Ron R Hassey,OAK,94,254,18,54,7,0,5,22,27,29,0,0,.213,.288,.299,.587
Glenn G Davis,HOU,93,327,44,82,15,4,22,64,46,54,8,3,.251,.357,.523,.880
Rex R Hudler,STL,93,220,31,62,11,2,7,22,12,32,18,10,.282,.323,.445,.769
Greg G Litton R,SF,93,205,17,50,9,1,1,24,11,46,1,0,.244,.283,.312,.595
Steve S Lyons,CWS,93,146,22,28,6,1,1,11,10,41,1,0,.192,.245,.267,.512
Bob B Melvin,BAL,93,301,30,73,14,1,5,37,11,53,0,1,.243,.267,.346,.612
Max M Venable L,CAL,93,189,26,49,9,3,4,21,24,31,5,1,.259,.340,.402,.742
Gary G Carter,SF,92,244,24,62,10,0,9,27,25,31,1,1,.254,.324,.406,.729
Kevin K Elster S,NYM,92,314,36,65,20,1,9,45,30,54,2,0,.207,.274,.363,.637
Ricky R Jordan,PHI,92,324,32,78,21,0,5,44,13,39,2,0,.241,.277,.352,.629
Jim J Leyritz,NYY,92,303,28,78,13,1,5,25,27,51,2,3,.257,.331,.356,.688
Carlos C Martinez,CWS,92,272,18,61,6,5,4,24,10,40,0,4,.224,.252,.327,.579
Ernest E Riles,SF,92,155,22,31,2,1,8,21,26,26,0,0,.200,.313,.381,.694
Pat P Tabler R,NYM,92,238,18,65,15,1,2,29,23,29,0,2,.273,.338,.370,.708
Marvell M Wynne C,CHC,92,186,21,38,8,2,4,19,14,25,3,2,.204,.264,.333,.597
Shawn S Abner C,SD,91,184,17,45,9,0,1,15,9,28,2,3,.245,.286,.310,.596
Steve S Buechele,TEX,91,251,30,54,10,0,7,30,27,63,1,0,.215,.294,.339,.633
Fred F Lynn L,SD,90,196,18,47,3,1,6,23,22,44,2,0,.240,.315,.357,.672
Brady B Anderson L,BAL,89,234,24,54,5,2,3,24,31,46,15,2,.231,.327,.308,.635
Darnell D Coles,DET,89,215,22,45,7,1,3,20,16,38,0,4,.209,.265,.293,.558
Kirk K Gibson C,LA,89,315,59,82,20,0,8,38,39,65,26,2,.260,.345,.400,.745
Darryl D Hamilton L,MIL,89,156,27,46,5,0,1,18,9,12,10,3,.295,.333,.346,.680
Jim J Gantner,MIL,88,323,36,85,8,5,0,25,29,19,18,3,.263,.328,.319,.647
Keith K Miller C,NYM,88,233,42,60,8,0,1,12,23,46,16,3,.258,.327,.305,.632
Danny D Tartabull R,KC,88,313,41,84,19,0,15,60,36,93,1,1,.268,.341,.473,.814
Dion D James,CLE,87,248,28,68,15,2,1,22,27,23,5,3,.274,.347,.363,.710
Greg G Myers,TOR,87,250,33,59,7,1,5,22,22,33,0,1,.236,.293,.332,.626
Bill B Pecota,KC,87,240,43,58,15,2,5,20,33,39,8,5,.242,.336,.383,.719
Lance L Blankenship,OAK,86,136,18,26,3,0,0,10,20,23,3,1,.191,.295,.213,.508
