PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Joe J Carter R,TOR,162,638,89,174,42,3,33,108,49,112,20,9,.273,.330,.503,.833
Cecil C Fielder,DET,162,624,102,163,25,0,44,133,78,151,0,0,.261,.347,.513,.860
Cal C Ripken S,BAL,162,650,99,210,46,5,34,114,53,46,6,1,.323,.374,.566,.940
Roberto R Alomar,TOR,161,637,88,188,41,11,9,69,57,86,53,11,.295,.354,.436,.791
Brett B Butler C,LA,161,615,112,182,13,5,2,38,108,79,38,28,.296,.401,.343,.744
Harold H Reynolds,SEA,161,631,95,160,34,6,3,57,72,63,28,8,.254,.332,.341,.673
Ruben R Sierra,TEX,161,661,110,203,44,5,25,116,56,91,16,4,.307,.357,.502,.859
Mark M Grace,CHC,160,619,87,169,28,5,8,58,70,53,3,4,.273,.346,.373,.719
Steve S Finley C,HOU,159,596,84,170,28,10,8,54,42,65,34,18,.285,.331,.406,.737
Mike M Gallego,OAK,159,482,67,119,15,4,12,49,67,84,6,9,.247,.343,.369,.712
Lance L Johnson C,CWS,159,588,72,161,14,13,0,49,26,58,26,11,.274,.304,.342,.646
Rafael R Palmeiro,TEX,159,631,115,203,49,3,26,88,68,72,4,3,.322,.389,.532,.922
Carlos C Baerga,CLE,158,593,80,171,28,2,11,69,48,74,3,2,.288,.346,.398,.744
Paul P Molitor D,MIL,158,665,133,216,32,13,17,75,77,62,19,8,.325,.399,.489,.888
Ryne R Sandberg,CHC,158,585,104,170,32,2,26,100,87,89,22,8,.291,.379,.485,.865
Steve S Sax,NYY,158,652,85,198,38,2,10,56,41,38,31,11,.304,.345,.414,.759
Frank F Thomas D,CWS,158,559,104,178,31,2,32,109,138,112,1,2,.318,.453,.553,1.006
Jay J Bell S,PIT,157,608,96,164,32,8,16,67,52,99,10,6,.270,.330,.428,.758
Bobby B Bonilla R,PIT,157,577,102,174,44,6,18,100,90,67,2,4,.302,.391,.492,.883
Robin R Ventura,CWS,157,606,92,172,25,1,23,100,80,67,2,4,.284,.367,.442,.810
Matt M Williams,SF,157,589,72,158,24,5,34,98,33,128,5,5,.268,.310,.499,.809
Jeff J Bagwell,HOU,156,554,79,163,26,4,15,82,75,116,7,4,.294,.387,.437,.824
Howard H Johnson,NYM,156,564,108,146,34,4,38,117,78,120,30,16,.259,.342,.535,.877
Devon D White C,TOR,156,642,110,181,40,10,17,60,55,135,33,10,.282,.342,.455,.797
Tim T Raines L,CWS,155,609,102,163,20,6,5,50,83,68,51,15,.268,.359,.345,.703
Todd T Zeile,STL,155,565,76,158,36,3,11,81,62,94,17,11,.280,.353,.412,.765
Jose J Canseco R,OAK,154,572,115,152,32,1,44,122,78,152,26,6,.266,.359,.556,.915
Milt M Cuyler C,DET,154,475,77,122,15,7,3,33,52,92,41,10,.257,.335,.337,.672
Ron R Gant C,ATL,154,561,101,141,35,3,32,105,71,104,34,15,.251,.338,.496,.834
Ken K Griffey C,SEA,154,548,76,179,42,1,22,100,71,82,18,6,.327,.399,.527,.926
Ozzie O Guillen S,CWS,154,524,52,143,20,3,3,49,11,38,21,15,.273,.284,.340,.624
Felix F Jose R,STL,154,568,69,173,40,6,8,77,50,113,20,12,.305,.360,.438,.798
Mark M Mc Gwire,OAK,154,483,62,97,22,0,22,75,93,116,2,1,.201,.330,.383,.714
Mickey M Tettleton,DET,154,501,85,132,17,2,31,89,101,131,3,3,.263,.387,.491,.878
Barry B Bonds L,PIT,153,510,95,149,28,5,25,116,107,73,43,13,.292,.410,.514,.924
Chili C Davis D,MIN,153,534,84,148,34,1,29,93,95,117,5,6,.277,.385,.507,.892
Fred F Mc Griff,SD,153,528,84,147,19,1,31,106,105,135,4,1,.278,.396,.494,.890
Dale D Murphy R,PHI,153,544,66,137,33,1,18,81,48,93,1,0,.252,.309,.415,.724
Eddie E Murray,LA,153,576,69,150,23,1,19,96,55,74,10,3,.260,.321,.403,.724
Terry T Pendleton,ATL,153,586,94,187,34,8,22,86,43,70,10,2,.319,.363,.517,.880
Jody J Reed,BOS,153,618,87,175,42,2,5,60,60,53,6,5,.283,.349,.382,.731
Chris C Sabo,CIN,153,582,91,175,35,3,26,88,44,79,19,6,.301,.354,.505,.860
Juan J Samuel,LA,153,594,74,161,22,6,12,58,49,133,23,8,.271,.328,.389,.717
Steve S Buechele,PIT,152,530,74,139,22,3,22,85,49,97,0,5,.262,.331,.440,.771
Ken K Caminiti,HOU,152,574,65,145,30,3,13,80,46,85,4,5,.253,.312,.383,.695
Gary G Gaetti,CAL,152,586,58,144,22,1,18,66,33,104,5,5,.246,.293,.379,.672
John J Kruk,PHI,152,538,84,158,27,6,21,92,67,100,7,0,.294,.367,.483,.851
Don D Mattingly,NYY,152,587,64,169,35,0,9,68,46,42,2,0,.288,.339,.394,.732
