PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Brian B Mc Rae C,KC,152,629,86,164,28,9,8,64,24,99,20,11,.261,.288,.372,.660
Pete P O' Brien,SEA,152,560,58,139,29,3,17,88,44,61,0,1,.248,.300,.402,.702
Paul P O' Neill R,CIN,152,532,71,136,36,0,28,91,73,107,12,7,.256,.346,.481,.827
Kirby K Puckett C,MIN,152,611,92,195,29,6,15,89,31,78,11,5,.319,.352,.460,.812
Benito B Santiago,SD,152,580,60,155,22,3,17,87,23,114,8,10,.267,.296,.403,.700
Casey C Candaele,HOU,151,461,44,121,20,7,4,50,40,49,9,3,.262,.319,.362,.682
Delino D De Shields,MON,151,563,83,134,15,4,10,51,95,151,56,23,.238,.347,.332,.680
Chuck C Knoblauch,MIN,151,565,78,159,24,6,1,50,59,40,25,5,.281,.351,.350,.701
Ray R Lankford C,STL,151,566,83,142,23,15,9,69,41,114,44,20,.251,.301,.392,.693
Tim T Wallach,MON,151,577,60,130,22,1,13,73,50,100,2,4,.225,.292,.334,.626
Dave D Henderson C,OAK,150,572,86,158,33,0,25,85,58,113,6,6,.276,.346,.465,.811
Jose J Lind,PIT,150,502,53,133,16,6,3,54,30,56,7,4,.265,.306,.339,.644
Edgar E Martinez,SEA,150,544,98,167,35,1,14,52,84,72,0,3,.307,.405,.452,.857
Luis L Polonia,CAL,150,604,92,179,28,8,2,50,52,74,48,23,.296,.352,.379,.731
Ozzie O Smith S,STL,150,550,96,157,30,3,3,50,83,36,35,9,.285,.380,.367,.747
Dave D Winfield R,CAL,150,568,75,149,27,4,28,86,56,109,7,2,.262,.326,.472,.798
George G Bell L,CHC,149,558,63,159,27,0,25,86,32,62,2,6,.285,.323,.468,.791
Rafael R Belliard S,ATL,149,353,36,88,9,2,0,27,22,63,3,1,.249,.296,.286,.582
Craig C Biggio,HOU,149,546,79,161,23,4,4,46,53,71,19,6,.295,.358,.374,.731
Andre A Dawson R,CHC,149,563,69,153,21,4,31,104,22,80,4,5,.272,.302,.488,.790
Mike M Devereaux C,BAL,149,608,82,158,27,10,19,59,47,115,16,9,.260,.313,.431,.744
Travis T Fryman,DET,149,557,65,144,36,3,21,91,40,149,12,5,.259,.309,.447,.756
Carlos C Quintana,BOS,149,478,69,141,21,1,11,71,61,66,1,0,.295,.375,.412,.787
Will W Clark,SF,148,565,84,170,32,7,29,116,51,91,4,2,.301,.359,.536,.895
Alvaro A Espinoza S,NYY,148,480,51,123,23,2,5,33,16,57,4,1,.256,.282,.344,.626
Marquis M Grissom C,MON,148,558,73,149,23,9,6,39,34,89,76,17,.267,.310,.373,.683
Kevin K Maas D,NYY,148,500,69,110,14,1,23,63,83,128,5,1,.220,.333,.390,.723
Mike M Greenwell L,BOS,147,544,76,163,26,6,9,83,43,35,15,5,.300,.350,.419,.769
Julio J Franco,TEX,146,589,108,201,27,3,15,78,65,78,36,9,.341,.408,.474,.882
Tony T Phillips,DET,146,564,87,160,28,4,17,72,79,95,10,5,.284,.371,.438,.809
Dickie D Thon S,PHI,146,539,44,136,18,4,9,44,25,84,11,5,.252,.283,.351,.634
Alvin A Davis D,SEA,145,462,39,102,15,1,12,69,56,78,0,3,.221,.299,.335,.635
Tony T Fernandez S,SD,145,558,81,152,27,5,4,38,55,74,23,9,.272,.337,.360,.697
Lenny L Harris,LA,145,429,59,123,16,1,3,38,37,32,12,3,.287,.349,.350,.698
Greg G Vaughn L,MIL,145,542,81,132,24,5,27,98,62,125,2,2,.244,.319,.456,.774
Wade W Boggs,BOS,144,546,93,181,42,2,8,51,89,32,1,2,.332,.421,.460,.881
Terry T Shumpert,KC,144,369,45,80,16,4,5,34,30,75,17,11,.217,.283,.322,.605
Robby R Thompson,SF,144,492,74,129,24,5,19,48,63,95,14,7,.262,.352,.447,.800
Wally W Joyner,CAL,143,551,79,166,34,3,21,96,52,66,2,0,.301,.360,.488,.848
Shane S Mack R,MIN,143,442,79,137,27,8,18,74,34,79,13,9,.310,.363,.529,.893
Kevin K Mc Reynolds L,NYM,143,522,65,135,32,1,16,74,49,46,6,6,.259,.322,.416,.738
Joe J Orsulak L,BAL,143,486,57,135,22,1,5,43,28,45,6,2,.278,.321,.358,.679
B. J. B Surhoff,MIL,143,505,57,146,19,4,5,68,26,33,5,8,.289,.319,.372,.691
Tom T Brunansky R,BOS,142,459,54,105,24,1,16,70,49,72,1,2,.229,.303,.390,.692
Shawon S Dunston,CHC,142,492,59,128,22,7,12,50,23,64,21,6,.260,.292,.407,.699
Juan J Gonzalez C,TEX,142,545,78,144,34,1,27,102,42,118,4,4,.264,.321,.479,.800
Charlie C Hayes,PHI,142,460,34,106,23,1,12,53,16,75,3,3,.230,.257,.363,.620
Omar O Vizquel S,SEA,142,426,42,98,16,4,1,41,45,37,7,2,.230,.302,.293,.595
Harold H Baines D,OAK,141,488,76,144,25,1,20,90,72,67,0,1,.295,.383,.473,.857
Mel M Hall R,NYY,141,492,67,140,23,2,19,80,26,40,0,1,.285,.321,.455,.776
Randy R Milligan,BAL,141,483,57,127,17,2,16,70,84,108,0,5,.263,.373,.406,.779
Tony T Peña Pena,BOS,141,464,45,107,23,2,5,48,37,53,8,3,.231,.291,.321,.612
Jack J Clark D,BOS,140,481,75,120,18,1,28,87,96,133,0,2,.249,.374,.466,.840
Jim J Gantner,MIL,140,526,63,149,27,4,2,47,27,34,4,6,.283,.320,.361,.681
Tom T Pagnozzi,STL,140,459,38,121,24,5,2,57,36,63,9,13,.264,.319,.351,.670
Greg G Briley L,SEA,139,381,39,99,17,3,2,26,27,51,23,11,.260,.307,.336,.642
Greg G Gagne S,MIN,139,408,52,108,23,3,8,42,26,72,11,9,.265,.310,.395,.705
John J Olerud,TOR,139,454,64,116,30,1,17,68,68,84,0,2,.256,.353,.438,.792
Spike S Owen,MON,139,424,39,108,22,8,3,26,42,61,2,6,.255,.321,.366,.686
Darryl D Strawberry R,LA,139,505,86,134,22,4,28,99,75,125,10,8,.265,.361,.491,.852
Billy B Hatcher L,CIN,138,442,45,116,25,3,4,41,26,55,11,9,.262,.312,.360,.671
Manuel M Lee S,TOR,138,445,41,104,18,3,0,29,24,107,7,2,.234,.274,.288,.561
Andy A Van Slyke C,PIT,138,491,87,130,24,7,17,83,71,85,10,3,.265,.355,.446,.801
Lou L Whitaker,DET,138,470,94,131,26,2,23,78,90,45,4,2,.279,.391,.489,.881
Daryl D Boston C,NYM,137,255,40,70,16,4,4,21,30,42,15,8,.275,.350,.416,.765
Jay J Buhner R,SEA,137,406,64,99,14,4,27,77,53,117,0,1,.244,.337,.498,.834
Kal K Daniels L,LA,137,461,54,115,15,1,17,73,63,116,6,1,.249,.337,.397,.734
Luis L Gonzalez,HOU,137,473,51,120,28,9,13,69,40,101,10,7,.254,.320,.433,.753
Gary G Pettis C,TEX,137,282,37,61,7,5,0,19,54,91,29,13,.216,.341,.277,.618
Larry L Walker R,MON,137,487,59,141,30,2,16,64,42,102,14,9,.290,.349,.458,.807
Gregg G Jefferies,NYM,136,486,59,132,19,2,9,62,47,38,26,5,.272,.336,.374,.711
Mark M Lemke,ATL,136,269,36,63,11,2,2,23,29,27,1,2,.234,.305,.312,.617
Hal H Morris,CIN,136,478,72,152,33,1,14,59,46,61,10,4,.318,.374,.479,.853
Kevin K Reimer L,TEX,136,394,46,106,22,0,20,69,33,93,0,3,.269,.332,.477,.809
Jim J Eisenreich L,KC,135,375,47,113,22,3,2,47,20,35,5,3,.301,.333,.392,.725
Matt M Nokes,NYY,135,456,52,122,20,0,24,77,25,49,3,2,.268,.308,.469,.778
Dante D Bichette R,MIL,134,445,53,106,18,3,15,59,22,107,14,8,.238,.272,.393,.665
Ivan I Calderon L,MON,134,470,69,141,22,3,19,75,53,64,31,16,.300,.368,.481,.848
Rob R Deer,DET,134,448,64,80,14,2,25,64,89,175,1,3,.179,.314,.386,.700
Carlton C Fisk,CWS,134,460,42,111,25,0,18,74,32,86,1,2,.241,.299,.413,.712
Tony T Gwynn R,SD,134,530,69,168,27,11,4,62,34,19,8,8,.317,.355,.432,.787
Rickey R Henderson L,OAK,134,470,105,126,17,1,18,57,98,73,58,18,.268,.400,.423,.823
Dan D Pasqua,CWS,134,417,71,108,22,5,18,66,62,86,0,2,.259,.358,.465,.823
Dick D Schofield S,CAL,134,427,44,96,9,3,0,31,50,69,8,4,.225,.310,.260,.570
Greg G Olson,ATL,133,411,46,99,25,0,6,44,44,48,1,1,.241,.316,.345,.662
Bill B Spiers S,MIL,133,414,71,117,13,6,8,54,34,55,14,8,.283,.337,.401,.738
Mike M Felder L,SF,132,348,51,92,10,6,0,18,30,31,21,6,.264,.325,.328,.652
Kirk K Gibson L,KC,132,462,81,109,17,6,16,55,69,103,18,4,.236,.341,.403,.744
Kent K Hrbek,MIN,132,462,72,131,20,1,20,89,67,48,4,4,.284,.373,.461,.834
Dave D Parker,TOR,132,502,47,120,26,2,11,59,33,98,3,3,.239,.288,.365,.653
Danny D Tartabull R,KC,132,484,78,153,35,3,31,100,65,121,6,3,.316,.397,.593,.990
Dave D Valle,SEA,132,324,38,63,8,1,8,32,34,49,0,2,.194,.286,.299,.586
George G Brett D,KC,131,505,77,129,40,2,10,61,58,75,2,0,.255,.327,.402,.730
Willie W Mc Gee C,SF,131,497,67,155,30,3,4,43,34,74,17,9,.312,.357,.408,.766
Ellis E Burks C,BOS,130,474,56,119,33,3,14,56,39,81,6,11,.251,.314,.422,.736
Robin R Yount C,MIL,130,503,66,131,20,4,10,77,54,79,6,4,.260,.332,.376,.707
Todd T Benzinger,KC,129,416,36,109,18,5,3,51,27,66,4,6,.262,.310,.351,.660
Jeff J Blauser S,ATL,129,352,49,91,14,3,11,54,54,59,5,6,.259,.358,.409,.767
Felix F Fermin S,CLE,129,424,30,111,13,2,0,31,26,27,5,4,.262,.307,.302,.609
Luis L Rivera S,BOS,129,414,64,107,22,3,8,40,35,86,4,4,.258,.318,.384,.702
Terry T Steinbach,OAK,129,456,50,125,31,1,6,67,22,70,2,2,.274,.312,.386,.698
Jose J Oquendo,STL,127,366,37,88,11,4,1,26,67,48,1,2,.240,.357,.301,.658
Dan D Gladden L,MIN,126,461,65,114,14,9,6,52,36,60,15,9,.247,.306,.356,.662
Roberto R Kelly C,NYY,126,486,68,130,22,2,20,69,45,77,32,9,.267,.333,.444,.777
Bill B Pecota,KC,125,398,53,114,23,2,6,45,41,45,16,7,.286,.356,.399,.756
Kevin K Bass R,SF,124,361,43,84,10,4,10,40,36,56,7,4,.233,.307,.366,.673
Dave D Magadan,NYM,124,418,58,108,23,0,4,51,83,50,1,1,.258,.378,.342,.720
Dave D Martinez R,MON,124,396,47,117,18,5,7,42,20,54,16,7,.295,.332,.419,.751
Otis O Nixon L,ATL,124,401,81,119,10,1,0,26,47,40,72,21,.297,.371,.327,.698
Willie W Randolph,MIL,124,431,60,141,14,3,0,54,75,38,4,2,.327,.424,.374,.798
Chico C Walker,CHC,124,374,51,96,10,1,6,34,33,57,13,5,.257,.315,.337,.652
Albert A Belle L,CLE,123,461,60,130,31,2,28,95,25,99,3,1,.282,.323,.540,.863
Brian B Downing D,TEX,123,407,76,113,17,2,17,49,58,70,1,1,.278,.377,.455,.831
Brian B Harper,MIN,123,441,54,137,28,1,10,69,14,22,1,2,.311,.336,.447,.783
Barry B Larkin S,CIN,123,464,88,140,27,4,20,69,55,64,24,6,.302,.378,.506,.884
Jerome J Walton C,CHC,123,270,42,59,13,1,5,17,19,55,7,3,.219,.275,.330,.604
Alex A Cole C,CLE,122,387,58,114,17,3,0,21,58,47,27,17,.295,.386,.354,.740
Darryl D Hamilton C,MIL,122,405,64,126,15,6,1,57,33,38,16,6,.311,.361,.385,.746
Darrin D Jackson C,SD,122,359,51,94,12,1,21,49,27,66,5,3,.262,.315,.476,.791
Brook B Jacoby,OAK,122,419,28,94,21,1,4,44,27,54,2,1,.224,.274,.308,.582
Lonnie L Smith,ATL,122,353,58,97,19,1,7,44,50,64,9,5,.275,.377,.394,.771
Kurt K Stillwell S,KC,122,385,44,102,17,1,6,51,33,56,3,4,.265,.322,.361,.683
Sam S Horn D,BAL,121,317,45,74,16,0,23,61,41,99,0,0,.233,.326,.502,.828
Stan S Javier,LA,121,176,21,36,5,3,1,11,16,36,7,1,.205,.268,.284,.552
Mike M Pagliarulo,MIN,121,365,38,102,20,0,6,36,21,55,1,2,.279,.322,.384,.706
Orlando O Merced,PIT,120,411,83,113,17,2,10,50,64,81,8,4,.275,.373,.399,.772
Jeff J Huson S,TEX,119,268,36,57,8,3,2,26,39,32,8,3,.213,.312,.287,.599
Lance L Parrish,CAL,119,402,38,87,12,0,19,51,35,117,0,1,.216,.285,.388,.674
Mike M Scioscia,LA,119,345,39,91,16,2,8,40,47,32,4,3,.264,.353,.391,.745
Jerald J Clark L,SD,118,369,26,84,16,0,10,47,31,90,2,1,.228,.295,.352,.647
Doug D Dascenzo C,CHC,118,239,40,61,11,0,1,18,24,26,14,7,.255,.327,.314,.641
Leo L Gomez,BAL,118,391,40,91,17,2,16,45,40,82,1,1,.233,.302,.409,.712
Al A Newman S,MIN,118,246,25,47,5,0,0,19,23,21,4,5,.191,.260,.211,.472
Bip B Roberts,SD,117,424,66,119,13,3,3,32,37,71,26,11,.281,.342,.347,.689
Tim T Teufel,SD,117,341,41,74,16,0,12,44,51,77,9,3,.217,.319,.370,.688
Sammy S Sosa R,CWS,116,316,39,64,10,1,10,33,14,98,13,6,.203,.240,.335,.576
Mark M Whiten R,CLE,116,407,46,99,18,7,9,45,30,85,4,3,.243,.297,.388,.685
Kevin K Elster S,NYM,115,348,33,84,16,2,6,36,40,53,2,3,.241,.318,.351,.669
Pedro P Guerrero,STL,115,427,41,116,12,1,8,70,37,46,4,2,.272,.326,.361,.687
Chris C James D,CLE,115,437,31,104,16,2,5,41,18,61,3,4,.238,.273,.318,.591
Milt M Thompson L,STL,115,326,55,100,16,5,6,34,32,53,16,9,.307,.368,.442,.809
Brady B Anderson L,BAL,113,256,40,59,12,3,2,27,38,44,12,5,.230,.338,.324,.662
Kelly K Gruber,TOR,113,429,58,108,18,2,20,65,31,70,12,7,.252,.308,.443,.751
Kevin K Mitchell L,SF,113,371,52,95,13,1,27,69,43,57,2,3,.256,.338,.515,.853
Luis L Sojo,CAL,113,364,38,94,14,1,3,20,14,26,4,2,.258,.295,.327,.622
Willie W Wilson L,OAK,113,294,38,70,14,4,0,28,18,43,20,5,.238,.290,.313,.603
Garry G Templeton S,NYM,112,276,25,61,10,2,3,26,10,38,3,2,.221,.246,.304,.550
Bill B Doran,CIN,111,361,51,101,12,2,6,35,46,39,5,4,.280,.359,.374,.732
Alfredo A Griffin S,LA,109,350,27,85,6,2,0,27,22,49,5,4,.243,.286,.271,.557
David D Justice R,ATL,109,396,67,109,25,1,21,87,65,81,8,8,.275,.377,.503,.880
Scott S Leius,MIN,109,199,35,57,7,2,5,20,30,35,5,5,.286,.378,.417,.795
Gerald G Perry,STL,109,242,29,58,8,4,6,36,22,34,15,8,.240,.300,.380,.680
Michael M La Valliere,PIT,108,336,25,97,11,2,3,41,33,27,2,1,.289,.351,.360,.711
Carmelo C Martinez,CIN,108,275,30,61,11,0,10,36,43,64,0,1,.222,.324,.371,.695
Ernest E Riles,OAK,108,281,30,60,8,4,5,32,31,42,3,2,.214,.290,.324,.614
Gerald G Young C,HOU,108,142,26,31,3,1,1,11,24,17,16,5,.218,.327,.275,.602
Jerry J Browne,CLE,107,290,28,66,5,2,1,29,27,29,2,4,.228,.292,.269,.561
Andres A Galarraga,MON,107,375,34,82,13,2,9,33,23,86,5,6,.219,.268,.336,.604
Craig C Grebeck,CWS,107,224,37,63,16,3,6,31,38,40,1,3,.281,.386,.460,.846
Chris C Hoiles,BAL,107,341,36,83,15,0,11,31,29,61,0,2,.243,.304,.384,.688
Greg G Myers,TOR,107,309,25,81,22,0,8,36,21,45,0,0,.262,.306,.411,.717
Mitch M Webster,LA,107,203,23,42,8,5,2,19,21,61,2,3,.207,.281,.325,.606
Mark M Carreon L,NYM,106,254,18,66,6,0,4,21,12,26,2,1,.260,.297,.331,.628
Thomas T Howard C,SD,106,281,30,70,12,3,4,22,24,57,10,7,.249,.309,.356,.665
Jeff J Treadway,ATL,106,306,41,98,17,2,3,32,23,19,2,2,.320,.368,.418,.787
Pat P Borders,TOR,105,291,22,71,17,0,5,36,11,45,0,0,.244,.271,.354,.625
Mike M Sharperson,LA,105,216,24,60,11,2,2,20,25,24,1,3,.278,.355,.375,.730
Geronimo G Pena,STL,104,185,38,45,8,3,5,17,18,45,15,5,.243,.322,.400,.722
Billy B Ripken,BAL,104,287,24,62,11,1,0,14,15,31,0,1,.216,.253,.261,.515
Hubie H Brooks R,NYM,103,357,48,85,11,1,16,50,44,62,3,1,.238,.324,.409,.733
Luis L Salazar,CHC,103,333,34,86,14,1,14,38,15,45,0,3,.258,.292,.432,.725
Franklin F Stubbs,MIL,103,362,48,77,16,2,11,38,35,71,13,4,.213,.282,.359,.641
Tom T Herr,SF,102,215,23,45,8,1,1,21,45,28,9,2,.209,.344,.270,.613
Mike M Huff R,CWS,102,243,42,61,10,2,3,25,37,48,14,4,.251,.361,.346,.707
Gary G Carter,LA,101,248,22,61,14,0,6,26,22,26,2,2,.246,.323,.375,.698
Wes W Chamberlain L,PHI,101,383,51,92,16,3,13,50,31,73,9,4,.240,.300,.399,.700
Dwight D Evans R,BAL,101,270,35,73,9,1,6,38,54,54,2,3,.270,.393,.378,.771
Rex R Hudler,STL,101,207,21,47,10,2,1,15,10,29,12,8,.227,.260,.309,.570
Ricky R Jordan,PHI,101,301,38,82,21,3,9,49,14,49,0,2,.272,.304,.452,.756
Rafael R Ramirez S,HOU,101,233,17,55,10,0,1,20,13,40,3,3,.236,.274,.292,.566
Alan A Trammell S,DET,101,375,57,93,20,0,9,55,37,39,11,2,.248,.320,.373,.693
Dave D Anderson S,SF,100,226,24,56,5,2,2,13,12,35,2,4,.248,.286,.314,.600
Juan J Bell,BAL,100,209,26,36,9,2,1,15,8,51,0,0,.172,.201,.249,.450
Joey J Cora,CWS,100,228,37,55,2,3,0,18,20,21,11,6,.241,.313,.276,.589
Mariano M Duncan,CIN,100,333,46,86,7,4,12,40,12,57,5,4,.258,.288,.411,.699
Joel J Skinner,CLE,99,284,23,69,14,0,1,24,14,67,0,2,.243,.279,.303,.582
Gary G Varsho R,PIT,99,187,23,51,11,2,4,23,19,34,9,2,.273,.344,.417,.762
Gene G Larkin R,MIN,98,255,34,73,14,1,2,19,30,21,2,3,.286,.361,.373,.734
Keith K Miller,NYM,98,275,41,77,22,1,4,23,23,44,14,4,.280,.345,.411,.756
Mickey M Morandini,PHI,98,325,38,81,11,4,1,20,29,45,13,2,.249,.313,.317,.630
Gary G Redus,PIT,98,252,45,62,12,2,7,24,28,39,17,3,.246,.324,.393,.717
Herm H Winningham C,CIN,98,169,17,38,6,1,1,4,11,40,4,4,.225,.272,.290,.562
Mike M Aldrete,CLE,97,198,24,48,6,1,1,20,39,41,1,3,.242,.364,.298,.662
Brian R. B Hunter,ATL,97,271,32,68,16,1,12,50,17,48,0,2,.251,.296,.450,.746
Pete P Incaviglia L,DET,97,337,38,72,12,1,11,38,36,92,1,3,.214,.290,.353,.643
Rance R Mulliniks D,TOR,97,240,27,60,12,1,2,24,44,44,0,0,.250,.364,.333,.697
Luis L Quinones,CIN,97,212,15,47,4,3,4,20,21,31,1,2,.222,.297,.325,.622
Mario M Diaz S,TEX,96,182,24,48,7,0,1,22,15,18,0,1,.264,.318,.319,.637
Pat P Kelly,NYY,96,298,35,72,12,4,3,23,15,52,12,1,.242,.288,.339,.626
Hensley H Meulens L,NYY,96,288,37,64,8,1,6,29,18,97,3,0,.222,.276,.319,.595
Mackey M Sasser,NYM,96,228,18,62,14,2,5,35,9,19,0,2,.272,.298,.417,.714
Mike M Stanley,TEX,95,181,25,45,13,1,3,25,34,44,0,0,.249,.372,.381,.753
Shawn S Abner C,CAL,94,216,27,42,10,2,3,14,11,43,1,2,.194,.236,.301,.537
Wally W Backman,PHI,94,185,20,45,12,0,0,15,30,30,3,2,.243,.344,.308,.652
Chris C Gwynn,LA,94,139,18,35,5,1,5,22,10,23,1,0,.252,.301,.410,.711
David D Howard S,KC,94,236,20,51,7,0,1,17,16,45,3,2,.216,.267,.258,.525
Joe J Oliver,CIN,94,269,21,58,11,0,11,41,18,53,0,0,.216,.265,.379,.644
Randy R Bush,MIN,93,165,21,50,10,1,6,23,24,25,0,2,.303,.401,.485,.886
Jose J Vizcaino,CHC,93,145,7,38,5,0,0,10,5,18,2,1,.262,.283,.297,.579
Sid S Bream,ATL,91,265,32,67,12,0,11,45,25,31,0,3,.253,.313,.423,.736
Jose J Gonzalez R,CLE,91,117,15,13,2,1,2,7,13,42,8,0,.111,.205,.197,.401
Mike M Kingery,SF,91,110,13,20,2,2,0,8,15,21,1,0,.182,.280,.236,.516
Jeff J Reed,CIN,91,270,20,72,15,2,3,31,23,38,0,1,.267,.321,.370,.691
Lance L Blankenship,OAK,90,185,33,46,8,0,3,21,23,42,12,3,.249,.336,.341,.677
Mike M Bordick S,OAK,90,235,21,56,5,1,0,21,14,37,3,4,.238,.289,.268,.557
Rick R Cerone,NYM,90,227,18,62,13,0,2,16,30,24,1,1,.273,.360,.357,.717
Scott S Fletcher,CWS,90,248,14,51,10,1,1,28,17,26,0,2,.206,.262,.266,.528
Dave D Gallagher C,CAL,90,270,32,79,17,0,1,30,24,43,2,4,.293,.355,.367,.721
Jack J Howell,SD,90,241,35,50,5,1,8,23,29,44,1,1,.207,.293,.336,.629
Dwight D Smith,CHC,90,167,16,38,7,2,3,21,11,32,2,3,.228,.279,.347,.627
Dale D Sveum S,MIL,90,266,33,64,19,1,4,43,32,78,2,4,.241,.320,.365,.685
Jose J Uribe S,SF,90,231,23,51,8,4,1,12,20,33,3,4,.221,.283,.303,.586
Darren D Daulton,PHI,89,285,36,56,12,0,12,42,41,66,5,0,.196,.297,.365,.662
Eric E Davis C,CIN,89,285,39,67,10,0,11,33,48,92,14,2,.235,.353,.386,.739
Ivan I Rodriguez,TEX,88,280,24,74,16,0,3,27,5,42,0,1,.264,.276,.354,.630
Steve S Lyons C,BOS,87,212,15,51,10,1,4,17,11,35,10,3,.241,.277,.354,.631
Geno G Petralli,TEX,87,199,21,54,8,1,2,20,21,25,2,1,.271,.339,.352,.691
Dave D Bergman,DET,86,194,23,46,10,1,7,29,35,40,1,1,.237,.351,.407,.758
Tom T Foley S,MON,86,168,12,35,11,1,0,15,14,30,2,0,.208,.269,.286,.554
Candy C Maldonado L,TOR,86,288,37,72,15,0,12,48,36,76,4,0,.250,.342,.427,.769
David D Segui,BAL,86,212,15,59,7,0,2,22,12,19,1,1,.278,.316,.340,.655
Rick R Wilkins,CHC,86,203,21,45,9,0,6,22,19,56,3,3,.222,.307,.355,.662
