PLAYER,TEAM,W,L,ERA,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Jon J Rauch,WSH,8,4,3.61,88,0,0,0,4,10,87.1,75,37,35,7,0,21,71,1.10,.230
Saul S Rivera,WSH,4,6,3.68,85,0,0,0,3,6,93.0,88,39,38,1,2,42,64,1.40,.255
Joe J Beimel,LAD,4,2,3.88,83,0,0,0,1,1,67.1,63,30,29,1,1,24,39,1.29,.253
Jonathan J Broxton,LAD,4,4,2.85,83,0,0,0,2,8,82.0,69,30,26,6,1,25,99,1.15,.225
Scott S Proctor,LAD,5,5,3.65,83,0,0,0,0,6,86.1,78,41,35,12,6,44,64,1.41,.242
Heath H Bell,SD,6,4,2.02,81,0,0,0,2,6,93.2,60,21,21,3,2,30,102,0.96,.185
Scott S Downs,TOR,4,2,2.17,81,0,0,0,1,4,58.0,47,15,14,3,1,24,57,1.22,.223
Aaron A Heilman,NYM,7,7,3.03,81,0,0,0,1,6,86.0,72,36,29,8,5,20,63,1.07,.224
Jamie J Walker,BAL,3,2,3.23,81,0,0,0,7,13,61.1,57,25,22,6,2,17,41,1.21,.244
Cla C Meredith,SD,5,6,3.50,80,0,0,0,0,5,79.2,94,38,31,6,3,17,59,1.39,.296
Peter P Moylan,ATL,5,3,1.80,80,0,0,0,1,2,90.0,65,27,18,6,7,31,63,1.07,.208
Chad C Qualls,HOU,6,5,3.05,79,0,0,0,5,11,82.2,84,29,28,10,3,25,78,1.32,.272
Chad C Bradford,BAL,4,7,3.34,78,0,0,0,2,7,64.2,77,28,24,1,6,16,29,1.44,.294
Manny M Corpas,COL,4,2,2.08,78,0,0,0,19,22,78.0,63,20,18,6,2,20,58,1.06,.224
Pedro P Feliciano,NYM,2,2,3.09,78,0,0,0,2,4,64.0,47,26,22,3,5,31,61,1.22,.200
Bob B Howry,CHC,6,7,3.32,78,0,0,0,8,12,81.1,76,31,30,8,2,19,72,1.17,.245
Derrick D Turnbow,MIL,4,5,4.63,77,0,0,0,1,4,68.0,44,36,35,4,2,46,84,1.32,.183
Luis L Vizcaino,NYY,8,2,4.30,77,0,0,0,0,3,75.1,66,37,36,6,2,43,62,1.45,.235
Matt M Capps,PIT,4,7,2.28,76,0,0,0,18,21,79.0,64,22,20,5,3,16,64,1.01,.220
Chad C Cordero,WSH,3,3,3.36,76,0,0,0,37,46,75.0,75,31,28,8,0,29,62,1.39,.260
Trever T Miller,HOU,0,0,4.86,76,0,0,0,1,3,46.1,45,26,25,6,4,23,46,1.47,.249
Russ R Springer,STL,8,1,2.18,76,0,0,0,0,2,66.0,41,18,16,3,3,19,66,0.91,.181
Jeremy J Affeldt,COL,4,3,3.51,75,0,0,0,0,4,59.0,47,26,23,3,3,33,46,1.36,.226
Ramon R Pena,ARI,5,4,3.27,75,0,0,0,2,5,85.1,63,36,31,8,5,31,63,1.10,.207
Tyler T Yates,ATL,2,3,5.18,75,0,0,0,2,3,66.0,64,44,38,6,3,31,69,1.44,.251
Jimmy J Gobble,KC,4,1,3.02,74,0,0,0,1,3,53.2,56,23,18,6,2,23,50,1.47,.277
Kevin K Gregg,FLA,0,5,3.54,74,0,0,0,32,36,84.0,63,34,33,7,6,40,87,1.23,.206
