PLAYER,TEAM,W,L,ERA,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Vaughn V Eshelman,BOS,6,3,7.08,39,10,0,0,0,0,87.2,112,79,69,13,2,58,59,1.94,.311
Dean D Hartgraves,ATL,1,0,4.78,39,0,0,0,0,0,37.2,34,21,20,4,2,23,30,1.51,.245
Jose J Lima,DET,5,6,5.70,39,4,0,0,3,3,72.2,87,48,46,13,5,22,59,1.50,.296
Mike M Milchin,BAL,3,1,7.44,39,0,0,0,0,0,32.2,44,28,27,6,0,17,29,1.87,.336
Paul P Byrd,NYM,1,2,4.24,38,0,0,0,0,0,46.2,48,22,22,7,0,21,31,1.48,.265
Chris C Hammond,FLA,5,8,6.56,38,9,0,0,0,0,81.0,104,65,59,14,4,27,50,1.62,.315
Mike M Magnante,KC,2,2,5.67,38,0,0,0,0,0,54.0,58,38,34,5,4,24,32,1.52,.282
Paul P Quantrill,TOR,5,14,5.43,38,20,0,0,0,0,134.1,172,90,81,27,2,51,86,1.66,.317
Frankie F Rodriguez,MIN,13,14,5.05,38,33,3,0,2,2,206.2,218,129,116,27,5,78,110,1.43,.272
Jose J Bautista,SF,3,4,3.36,37,1,0,0,0,0,69.2,66,32,26,10,2,15,28,1.16,.249
Shawn S Boskie,CAL,12,11,5.32,37,28,1,0,0,0,189.1,226,126,112,40,13,67,133,1.55,.294
Jim J Bullinger,CHC,6,10,6.54,37,20,1,1,1,1,129.1,144,101,94,15,8,68,90,1.64,.283
Rich R Garces,BOS,3,2,4.91,37,0,0,0,0,0,44.0,42,26,24,5,0,33,55,1.70,.251
Ramon R Garcia,MIL,4,4,6.66,37,2,0,0,4,4,75.2,84,58,56,17,6,21,40,1.39,.287
Todd T Van Poppel,DET,3,9,9.06,37,15,1,1,1,1,99.1,139,107,100,24,3,62,53,2.02,.335
Billy B Wagner,HOU,2,2,2.44,37,0,0,0,9,9,51.2,28,16,14,6,3,30,67,1.12,.165
Scott S Aldred,MIN,6,9,6.21,36,25,0,0,0,0,165.1,194,125,114,29,6,68,111,1.58,.294
Andy A Benes,STL,18,10,3.83,36,34,3,1,1,1,230.1,215,107,98,28,6,77,160,1.27,.247
Ricky R Bones,NYY,7,14,6.22,36,24,0,0,0,0,152.0,184,115,105,30,10,68,63,1.66,.301
Tom T Glavine,ATL,15,10,2.98,36,36,1,0,0,0,235.1,222,91,78,14,0,85,181,1.30,.249
Joe J Hudson,BOS,3,5,5.40,36,0,0,0,1,1,45.0,57,35,27,4,0,32,19,1.98,.318
Mike M Mussina,BAL,19,11,4.81,36,36,4,1,0,0,243.1,264,137,130,31,3,69,204,1.37,.275
Rich R Robertson,MIN,7,17,5.12,36,31,5,3,0,0,186.1,197,113,106,22,9,116,114,1.68,.273
Bob B Tewksbury,SD,10,10,4.31,36,33,1,0,0,0,206.2,224,116,99,17,3,43,126,1.29,.275
Bob B Wells,SEA,12,7,5.30,36,16,1,1,0,0,130.2,141,78,77,25,6,46,94,1.43,.274
Don D Wengert,OAK,7,11,5.58,36,25,1,1,0,0,161.1,200,102,100,29,6,60,75,1.61,.307
Wilson W Alvarez,CWS,15,10,4.22,35,35,0,0,0,0,217.1,216,106,102,21,4,97,181,1.44,.258
Pedro P Astacio,LA,9,8,3.44,35,32,0,0,0,0,211.2,207,86,81,18,9,67,130,1.29,.261
Tim T Belcher,KC,15,11,3.92,35,35,4,1,0,0,238.2,262,117,104,28,6,68,113,1.38,.281
Larry L Casian,CHC,1,1,1.88,35,0,0,0,0,0,24.0,14,5,5,2,1,11,15,1.04,.187
Alex A Fernandez,CWS,16,10,3.45,35,35,6,1,0,0,258.0,248,110,99,34,7,72,200,1.24,.253
Chuck C Finley,CAL,15,16,4.16,35,35,4,1,0,0,238.0,241,124,110,27,11,94,215,1.41,.263
Jason J Grimsley,CAL,5,7,6.84,35,20,2,1,0,0,130.1,150,110,99,14,13,74,82,1.72,.286
Chris C Haney,KC,10,14,4.70,35,35,4,1,0,0,228.0,267,136,119,29,6,51,115,1.39,.291
Erik E Hanson,TOR,13,17,5.41,35,35,4,1,0,0,214.2,243,143,129,26,2,102,156,1.61,.289
Pat P Hentgen,TOR,20,10,3.22,35,35,10,3,0,0,265.2,238,105,95,20,5,94,177,1.25,.241
Ken K Hill,TEX,16,10,3.63,35,35,7,3,0,0,250.2,250,110,101,19,6,95,170,1.38,.263
Sterling S Hitchcock,SEA,13,9,5.35,35,35,0,0,0,0,196.2,245,131,117,27,7,73,132,1.62,.309
Darryl D Kile,HOU,12,11,4.19,35,33,4,0,0,0,219.0,233,113,102,16,16,97,219,1.51,.276
Mark M Leiter,MON,8,12,4.92,35,34,2,0,0,0,205.0,219,128,112,37,16,69,164,1.40,.273
Greg G Maddux,ATL,15,11,2.72,35,35,5,1,0,0,245.0,225,85,74,11,3,28,172,1.03,.241
Ben B Mc Donald,MIL,12,10,3.90,35,35,2,0,0,0,221.1,228,104,96,25,6,67,146,1.33,.264
Jaime J Navarro,CHC,15,12,3.92,35,35,4,1,0,0,236.2,244,116,103,25,10,72,158,1.34,.269
Andy A Pettitte,NYY,21,8,3.87,35,34,2,0,0,0,221.0,229,105,95,23,3,72,162,1.36,.271
Brad B Radke,MIN,11,16,4.46,35,35,3,0,0,0,232.0,231,125,115,40,4,57,148,1.24,.256
Shane S Reynolds,HOU,16,10,3.65,35,35,4,1,0,0,239.0,227,103,97,20,8,44,204,1.13,.249
Kevin K Ritz,COL,17,11,5.28,35,35,2,0,0,0,213.0,236,135,125,24,12,105,105,1.60,.282
John J Smiley,CIN,13,14,3.64,35,34,2,2,0,0,217.1,207,100,88,20,4,54,171,1.20,.256
John J Smoltz,ATL,24,8,2.94,35,35,6,2,0,0,253.2,199,93,83,19,2,55,276,1.00,.216
Alan A Benes,STL,13,10,4.90,34,32,3,1,0,0,191.0,192,120,104,27,7,87,131,1.46,.266
Dave D Burba,CIN,11,13,3.83,34,33,0,0,0,0,195.0,179,96,83,18,2,97,148,1.42,.244
John J Burkett,TEX,11,12,4.24,34,34,2,1,0,0,222.2,229,117,105,19,5,58,155,1.29,.268
Roger R Clemens,BOS,10,13,3.63,34,34,6,2,0,0,242.2,216,106,98,19,4,106,257,1.33,.237
Danny D Darwin,HOU,10,11,3.77,34,25,0,0,0,0,164.2,160,79,69,16,12,27,96,1.14,.257
Scott S Erickson,BAL,13,12,5.02,34,34,6,0,0,0,222.1,262,137,124,21,11,66,100,1.48,.297
Jeff J Fassero,MON,15,11,3.30,34,34,5,1,0,0,231.2,217,95,85,20,3,55,222,1.17,.244
Tom T Gordon,BOS,12,9,5.59,34,34,4,1,0,0,215.2,249,143,134,28,4,105,171,1.64,.284
Joey J Hamilton,SD,15,9,4.17,34,33,3,1,0,0,211.2,206,100,98,19,9,83,184,1.37,.256
Jamie J Moyer,SEA,13,3,3.98,34,21,0,0,0,0,160.2,177,86,71,23,2,46,79,1.39,.276
Lance L Painter,COL,4,2,5.86,34,1,0,0,0,0,50.2,56,37,33,12,3,25,48,1.60,.280
Roger R Pavlik,TEX,15,8,5.19,34,34,7,0,0,0,201.0,216,120,116,28,5,81,127,1.48,.276
Scott S Service,CIN,1,0,3.94,34,1,0,0,0,0,48.0,51,21,21,7,6,18,46,1.44,.277
Todd T Stottlemyre,STL,14,11,3.87,34,33,5,2,0,0,223.1,191,100,96,30,4,93,194,1.27,.231
Kevin K Tapani,CWS,13,10,4.59,34,34,1,0,0,0,225.1,236,123,115,34,3,76,150,1.38,.268
Mark M Thompson,COL,9,11,5.30,34,28,3,1,0,0,169.2,189,109,100,25,13,74,99,1.55,.285
David D Wells,BAL,11,14,5.14,34,34,3,0,0,0,224.1,247,132,128,32,7,51,130,1.33,.285
Frank F Castillo,CHC,7,16,5.28,33,33,1,1,0,0,182.1,209,112,107,28,8,46,139,1.40,.288
Jason J Christiansen,PIT,3,3,6.70,33,0,0,0,0,0,44.1,56,34,33,7,1,19,38,1.69,.311
Rheal R Cormier,MON,7,10,4.17,33,27,1,1,0,0,159.2,165,80,74,16,9,41,100,1.29,.270
Orel O Hershiser,CLE,15,9,4.24,33,33,1,0,0,0,206.0,238,115,97,21,12,58,125,1.44,.287
Dave D Leiper,MON,2,1,7.20,33,0,0,0,0,0,25.0,40,21,20,4,0,9,13,1.96,.370
Al A Leiter,FLA,16,12,2.93,33,33,2,1,0,0,215.1,153,74,70,14,11,119,200,1.26,.202
Pedro P Martinez,MON,13,10,3.70,33,33,4,1,0,0,216.2,189,100,89,19,3,70,222,1.20,.232
Terry T Mulholland,SEA,13,11,4.66,33,33,3,0,0,0,202.2,232,112,105,22,5,49,86,1.39,.291
Denny D Neagle,ATL,16,9,3.50,33,33,2,0,0,0,221.1,226,93,86,26,3,48,149,1.24,.267
Hideo H Nomo,LA,16,11,3.19,33,33,3,2,0,0,228.1,180,93,81,23,2,85,234,1.16,.218
Ugueth U Urbina,MON,10,5,3.71,33,17,0,0,0,0,114.0,102,54,47,18,1,44,108,1.28,.234
Ismael I Valdez,LA,15,7,3.32,33,33,0,0,0,0,225.0,219,94,83,20,3,54,173,1.21,.251
Fernando F Valenzuela,SD,13,8,3.62,33,31,0,0,0,0,171.2,177,78,69,17,0,67,95,1.42,.269
Bobby B Witt,TEX,16,12,5.41,33,32,2,0,0,0,199.2,235,129,120,28,2,96,157,1.66,.295
Kevin K Appier,KC,14,11,3.62,32,32,5,1,0,0,211.1,192,87,85,17,5,75,207,1.26,.245
Kevin K Brown,FLA,17,11,1.89,32,32,5,3,0,0,233.0,187,60,49,8,16,33,159,0.94,.220
Mark M Clark,NYM,14,11,3.43,32,32,2,0,0,0,212.1,217,98,81,20,3,48,142,1.25,.265
Greg G Gohr,CAL,5,9,7.24,32,16,0,0,1,1,115.2,163,96,93,31,3,44,75,1.79,.330
Scott S Karl,MIL,13,9,4.86,32,32,3,1,0,0,207.1,220,124,112,29,11,72,121,1.41,.271
Felipe F Lira,DET,6,14,5.22,32,32,3,2,0,0,194.2,204,123,113,30,10,66,113,1.39,.269
Charles C Nagy,CLE,17,5,3.41,32,32,5,0,0,0,222.0,217,89,84,21,3,61,167,1.25,.255
Dale D Polley,NYY,1,3,7.89,32,0,0,0,0,0,21.2,23,20,19,5,3,11,14,1.57,.264
William W Van Landingham,SF,9,14,5.40,32,32,0,0,0,0,181.2,196,123,109,17,9,78,97,1.51,.276
Tim T Wakefield,BOS,14,13,5.14,32,32,6,0,0,0,211.2,238,151,121,38,12,90,140,1.55,.280
Mike M Williams,PHI,6,14,5.44,32,29,0,0,0,0,167.0,188,107,101,25,6,67,103,1.53,.290
Stan S Belinda,BOS,2,1,6.59,31,0,0,0,2,2,28.2,31,22,21,3,4,20,18,1.78,.272
Steve S Frey,PHI,0,1,4.72,31,0,0,0,0,0,34.1,38,19,18,4,0,18,12,1.63,.295
Pete P Harnisch,NYM,8,12,4.21,31,31,2,1,0,0,194.2,195,103,91,30,7,61,114,1.32,.260
Bobby B Jones,NYM,12,8,4.42,31,31,3,1,0,0,195.2,219,102,96,26,3,46,116,1.35,.288
Pat P Mahomes,BOS,3,4,6.91,31,5,0,0,2,2,57.1,72,46,44,13,0,33,36,1.83,.308
Steve S Trachsel,CHC,13,9,3.03,31,31,3,2,0,0,205.0,181,82,69,30,8,62,132,1.19,.235
Julio J Valera,KC,3,2,6.46,31,2,0,0,1,1,61.1,75,44,44,7,2,27,31,1.66,.307
Doug D Drabek,HOU,7,9,4.57,30,30,1,0,0,0,175.1,208,102,89,21,7,60,137,1.53,.298
Osvaldo O Fernandez,SF,7,13,4.56,30,28,2,0,0,0,171.2,193,95,87,20,10,57,106,1.46,.286
Mark M Gardner,SF,12,7,4.42,30,28,4,1,0,0,179.1,200,105,88,28,8,57,145,1.43,.283
Mike M Holtz,CAL,3,3,2.45,30,0,0,0,0,0,29.1,21,11,8,1,3,19,31,1.36,.204
Jimmy J Key,NYY,12,11,4.68,30,30,0,0,0,0,169.1,171,93,88,21,2,58,116,1.35,.266
Jack J Mc Dowell,CLE,13,9,5.11,30,30,5,1,0,0,192.0,214,119,109,22,4,67,141,1.46,.282
Darren D Oliver,TEX,14,6,4.66,30,30,1,1,0,0,173.2,190,97,90,20,10,76,112,1.53,.279
Donovan D Osborne,STL,13,9,3.53,30,30,2,1,0,0,198.2,191,87,78,22,1,57,134,1.25,.254
