PLAYER,TEAM,W,L,ERA,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Eddie E Guardado,MIN,6,5,5.25,83,0,0,0,4,4,73.2,61,45,43,12,3,33,74,1.28,.228
Mike M Myers,DET,1,5,5.01,83,0,0,0,6,6,64.2,70,41,36,6,4,34,69,1.61,.272
Brad B Clontz,ATL,6,3,5.69,81,0,0,0,1,1,80.2,78,53,51,11,2,33,49,1.38,.255
Mike M Stanton,TEX,4,4,3.66,81,0,0,0,1,1,78.2,78,32,32,11,0,27,60,1.33,.265
Bob B Patterson,CHC,3,3,3.13,79,0,0,0,8,8,54.2,46,19,19,6,1,22,53,1.24,.229
Mark M Dewey,SF,6,3,4.21,78,0,0,0,0,0,83.1,79,40,39,9,5,41,57,1.44,.257
Jeff J Shaw,CIN,8,6,2.49,78,0,0,0,4,4,104.2,99,34,29,8,2,29,69,1.22,.252
Mark M Wohlers,ATL,2,4,3.03,77,0,0,0,39,39,77.1,71,30,26,8,2,21,100,1.19,.240
Robb R Nen,FLA,5,1,1.95,75,0,0,0,35,35,83.0,67,21,18,2,1,21,92,1.06,.225
Heathcliff H Slocumb,BOS,5,5,3.02,75,0,0,0,31,31,83.1,68,31,28,2,3,55,88,1.48,.222
Mel M Rojas,MON,7,4,3.22,74,0,0,0,36,36,81.0,56,30,29,5,2,28,92,1.04,.193
Michael M Jackson,SEA,1,1,3.63,73,0,0,0,6,6,72.0,61,32,29,11,6,24,70,1.18,.225
Greg G Mc Michael,ATL,5,3,3.22,73,0,0,0,2,2,86.2,84,37,31,4,1,27,78,1.28,.253
Jeff J Nelson,NYY,4,4,4.36,73,0,0,0,2,2,74.1,75,38,36,6,2,36,91,1.49,.262
Antonio A Osuna,LA,9,6,3.00,73,0,0,0,4,4,84.0,65,33,28,6,2,32,85,1.15,.220
Dan D Plesac,PIT,6,5,4.09,73,0,0,0,11,11,70.1,67,35,32,4,0,24,76,1.29,.247
Buddy B Groom,OAK,5,0,3.84,72,1,0,0,2,2,77.1,85,37,33,8,3,34,57,1.54,.281
Roberto R Hernandez,CWS,6,5,1.91,72,0,0,0,38,38,84.2,65,21,18,2,0,38,85,1.22,.208
Richie R Lewis,DET,4,6,4.18,72,0,0,0,2,2,90.1,78,45,42,9,4,65,78,1.58,.238
Mike M Mohler,OAK,6,3,3.67,72,0,0,0,7,7,81.0,79,36,33,9,1,41,64,1.48,.263
Todd T Worrell,LA,4,6,3.03,72,0,0,0,44,44,65.1,70,29,22,5,2,15,66,1.30,.265
Terry T Mathews,BAL,4,6,4.52,71,0,0,0,4,4,73.2,79,40,37,10,1,34,62,1.53,.275
Bruce B Ruffin,COL,7,5,4.00,71,0,0,0,24,24,69.2,55,35,31,5,0,29,74,1.21,.212
Norm N Charlton,SEA,4,7,4.04,70,0,0,0,20,20,75.2,68,37,34,7,1,38,73,1.40,.244
Mike M Dyer,MON,5,5,4.40,70,1,0,0,2,2,75.2,79,40,37,7,5,34,51,1.49,.277
Trevor T Hoffman,SD,9,5,2.25,70,0,0,0,42,42,88.0,50,23,22,6,2,31,111,0.92,.161
Curt C Leskanic,COL,7,5,6.23,70,0,0,0,6,6,73.2,82,51,51,12,2,38,76,1.63,.285
Steve S Reed,COL,4,3,3.96,70,0,0,0,0,0,75.0,66,38,33,11,6,19,51,1.13,.239
Turk T Wendell,CHC,4,5,2.84,70,0,0,0,18,18,79.1,58,26,25,8,3,44,75,1.29,.201
Bob B Wickman,MIL,7,1,4.42,70,0,0,0,0,0,95.2,106,50,47,10,5,44,75,1.57,.283
Terry T Adams,CHC,3,6,2.94,69,0,0,0,4,4,101.0,84,36,33,6,1,49,78,1.32,.231
Toby T Borland,PHI,7,3,4.07,69,0,0,0,0,0,90.2,83,51,41,9,3,43,76,1.39,.239
Mike M James,CAL,5,5,2.67,69,0,0,0,1,1,81.0,62,27,24,7,10,42,65,1.28,.214
Jose J Mesa,CLE,2,7,3.73,69,0,0,0,39,39,72.1,69,32,30,6,3,28,64,1.34,.257
Dave D Veres,MON,6,3,4.17,68,0,0,0,4,4,77.2,85,39,36,10,6,32,81,1.51,.277
T. J. T Mathews,STL,2,6,3.01,67,0,0,0,6,6,83.2,62,32,28,8,2,32,80,1.12,.203
Jim J Poole,SF,6,1,2.86,67,0,0,0,0,0,50.1,44,22,16,5,1,27,38,1.41,.237
Jay J Powell,FLA,4,3,4.54,67,0,0,0,2,2,71.1,71,41,36,5,4,36,52,1.50,.255
Jeff J Brantley,CIN,1,2,2.41,66,0,0,0,44,44,71.0,54,21,19,7,0,28,76,1.15,.215
Mark M Guthrie,LA,2,3,2.22,66,0,0,0,1,1,73.0,65,21,18,3,1,22,56,1.19,.240
Jesse J Orosco,BAL,3,1,3.40,66,0,0,0,0,0,55.2,42,22,21,5,2,28,52,1.26,.207
Tony T Fossas,STL,0,4,2.68,65,0,0,0,2,2,47.0,43,19,14,7,0,21,36,1.36,.231
Graeme G Lloyd,NYY,2,6,4.29,65,0,0,0,0,0,56.2,61,30,27,4,1,22,30,1.46,.276
Tim T Scott,SF,5,7,4.64,65,0,0,0,1,1,66.0,65,36,34,8,3,30,47,1.44,.262
Omar O Daal,MON,4,5,4.02,64,6,0,0,0,0,87.1,74,40,39,10,1,37,82,1.27,.228
Yorkis Y Perez,FLA,3,4,5.29,64,0,0,0,0,0,47.2,51,28,28,2,1,31,47,1.72,.274
Bill B Simas,CWS,2,8,4.58,64,0,0,0,2,2,72.2,75,39,37,5,3,39,65,1.57,.265
Paul P Assenmacher,CLE,4,2,3.09,63,0,0,0,1,1,46.2,46,18,16,1,4,14,44,1.29,.260
Rod R Beck,SF,0,9,3.34,63,0,0,0,35,35,62.0,56,23,23,9,1,10,48,1.06,.238
Doug D Bochtler,SD,2,4,3.02,63,0,0,0,3,3,65.2,45,25,22,6,1,39,68,1.28,.195
Doug D Creek,SF,0,2,6.52,63,0,0,0,0,0,48.1,45,41,35,11,2,32,38,1.59,.243
Dennis D Eckersley,STL,0,6,3.30,63,0,0,0,30,30,60.0,65,26,22,8,4,6,49,1.18,.274
Darren D Holmes,COL,5,4,3.97,62,0,0,0,1,1,77.0,78,41,34,8,1,28,73,1.38,.260
Randy R Myers,BAL,4,4,3.53,62,0,0,0,31,31,58.2,60,24,23,7,1,29,74,1.52,.265
Troy T Percival,CAL,0,2,2.31,62,0,0,0,36,36,74.0,38,20,19,8,2,31,100,0.93,.149
Ken K Ryan,PHI,3,5,2.43,62,0,0,0,8,8,89.0,71,32,24,4,1,45,70,1.30,.223
John J Wetteland,NYY,2,3,2.83,62,0,0,0,43,43,63.2,54,23,20,9,0,21,69,1.18,.224
Ricky R Bottalico,PHI,4,5,3.19,61,0,0,0,34,34,67.2,47,24,24,6,2,23,74,1.03,.197
Mike M Fetters,MIL,3,3,3.38,61,0,0,0,32,32,61.1,65,28,23,4,1,26,53,1.48,.274
Xavier X Hernandez,HOU,5,5,4.62,61,0,0,0,6,6,78.0,77,45,40,13,2,28,81,1.35,.258
Rick R Honeycutt,STL,2,1,2.85,61,0,0,0,4,4,47.1,42,15,15,3,0,7,30,1.04,.240
Mariano M Rivera,NYY,8,3,2.09,61,0,0,0,5,5,107.2,73,25,25,1,2,34,130,0.99,.189
Willie W Blair,SD,2,6,4.60,60,0,0,0,1,1,88.0,80,52,45,13,7,29,67,1.24,.240
Dennis D Cook,TEX,5,2,4.09,60,0,0,0,0,0,70.1,53,34,32,2,7,35,64,1.25,.214
Francisco F Cordova,PIT,4,7,4.09,59,6,0,0,12,12,99.0,103,49,45,11,2,20,95,1.24,.263
Mike M Timlin,TOR,1,6,3.65,59,0,0,0,31,31,56.2,47,25,23,4,2,18,52,1.15,.229
Doug D Henry,NYM,2,8,4.68,58,0,0,0,9,9,75.0,82,48,39,7,1,36,58,1.57,.273
Jeff J Juden,MON,5,0,3.27,58,0,0,0,0,0,74.1,61,35,27,8,5,34,61,1.28,.223
Scott S Radinsky,LA,5,1,2.41,58,0,0,0,1,1,52.1,52,19,14,2,0,17,48,1.32,.264
Jerry J Dipoto,NYM,7,2,4.19,57,0,0,0,0,0,77.1,91,44,36,5,3,45,52,1.76,.298
Hipolito H Pichardo,KC,3,5,5.43,57,0,0,0,3,3,68.0,74,41,41,5,2,26,43,1.47,.284
Larry L Thomas,CWS,2,3,3.23,57,0,0,0,0,0,30.2,32,11,11,1,3,14,20,1.50,.281
Hector H Carrasco,CIN,4,3,3.75,56,0,0,0,0,0,74.1,58,37,31,6,1,45,59,1.39,.214
Jim J Corsi,OAK,6,0,4.03,56,0,0,0,3,3,73.2,71,33,33,6,3,34,43,1.43,.270
Rich R De Lucia,SF,3,6,5.84,56,0,0,0,0,0,61.2,62,44,40,8,3,31,55,1.51,.259
Eric E Plunk,CLE,3,2,2.43,56,0,0,0,2,2,77.2,56,21,21,6,3,34,85,1.16,.203
Mark M Brandenburg,BOS,5,5,3.43,55,0,0,0,0,0,76.0,76,35,29,8,3,33,66,1.43,.258
Tony T Castillo,CWS,5,4,3.60,55,0,0,0,2,2,95.0,95,45,38,10,3,24,57,1.25,.262
Jeff J Russell,TEX,3,3,3.38,55,0,0,0,3,3,56.0,58,22,21,5,4,22,23,1.43,.269
Billy B Taylor,OAK,6,3,4.33,55,0,0,0,17,17,60.1,52,30,29,5,4,25,67,1.28,.231
Bryce B Florie,MIL,2,3,4.74,54,0,0,0,0,0,68.1,65,40,36,4,6,40,63,1.54,.248
Mike M Munoz,COL,2,2,6.65,54,0,0,0,0,0,44.2,55,33,33,4,1,16,45,1.59,.302
Lee L Smith,CIN,3,4,3.74,54,0,0,0,2,2,55.1,57,24,23,4,1,26,41,1.50,.264
Rafael R Carmona,SEA,8,3,4.28,53,1,0,0,1,1,90.1,95,47,43,11,3,55,62,1.66,.273
Tim T Crabtree,TOR,5,3,2.54,53,0,0,0,1,1,67.1,59,26,19,4,3,22,57,1.20,.231
Barry B Manuel,MON,4,1,3.24,53,0,0,0,0,0,86.0,70,34,31,10,7,26,62,1.12,.220
Alvin A Morman,HOU,4,1,4.93,53,0,0,0,0,0,42.0,43,24,23,8,0,24,31,1.60,.261
Joey J Eischen,DET,1,2,4.21,52,0,0,0,0,0,68.1,75,36,32,7,4,34,51,1.60,.283
Doug D Jones,MIL,7,2,4.22,52,0,0,0,3,3,64.0,72,33,30,7,3,20,60,1.44,.281
Chuck C Mc Elroy,CAL,7,1,3.86,52,0,0,0,0,0,49.0,45,22,21,4,2,23,45,1.39,.246
Gregg G Olson,HOU,4,0,4.99,52,0,0,0,8,8,52.1,55,30,29,7,1,35,37,1.72,.268
Ed E Vosberg,TEX,1,1,3.27,52,0,0,0,8,8,44.0,51,17,16,4,0,21,32,1.64,.298
Cory C Bailey,STL,5,2,3.00,51,0,0,0,0,0,57.0,57,21,19,1,1,30,38,1.53,.263
John J Franco,NYM,4,3,1.83,51,0,0,0,28,28,54.0,54,15,11,2,0,21,48,1.39,.260
Todd T Jones,HOU,6,3,4.40,51,0,0,0,17,17,57.1,61,30,28,5,5,32,44,1.62,.274
Jon J Lieber,PIT,9,5,3.99,51,15,0,0,1,1,142.0,156,70,63,19,3,28,94,1.30,.279
Dave D Mlicki,NYM,6,7,3.30,51,2,0,0,1,1,90.0,95,46,33,9,6,33,83,1.42,.277
Jeff J Parrett,PHI,3,3,3.39,51,0,0,0,0,0,66.1,64,25,25,2,1,31,64,1.43,.254
Russ R Springer,PHI,3,10,4.66,51,7,0,0,0,0,96.2,106,60,50,12,1,38,94,1.49,.272
Julian J Tavarez,CLE,4,7,5.36,51,4,0,0,0,0,80.2,101,49,48,9,1,22,46,1.52,.315
Bobby B Ayala,SEA,6,3,5.88,50,0,0,0,3,3,67.1,65,45,44,10,2,25,61,1.34,.256
Greg G Hansell,MIN,3,0,5.69,50,0,0,0,3,3,74.1,83,48,47,14,2,31,46,1.53,.285
Matt M Karchner,CWS,7,4,5.76,50,0,0,0,1,1,59.1,61,42,38,10,2,41,46,1.72,.268
Tim T Worrell,SD,9,7,3.05,50,11,0,0,1,1,121.0,109,45,41,9,6,39,99,1.22,.236
Mike M Henneman,TEX,0,7,5.79,49,0,0,0,31,31,42.0,41,28,27,6,0,17,34,1.38,.258
Jason J Jacome,KC,0,4,4.72,49,2,0,0,1,1,47.2,67,27,25,5,2,22,32,1.87,.337
Alan A Mills,BAL,3,2,4.28,49,0,0,0,3,3,54.2,40,26,26,10,1,35,50,1.37,.208
Dan D Naulty,MIN,3,2,3.79,49,0,0,0,4,4,57.0,43,26,24,5,0,35,56,1.37,.207
Johnny J Ruffin,CIN,1,3,5.49,49,0,0,0,0,0,62.1,71,42,38,10,2,37,69,1.73,.292
Dave D Stevens,MIN,3,3,4.66,49,0,0,0,11,11,58.0,58,31,30,12,0,25,29,1.43,.264
Kent K Bottenfield,CHC,3,5,2.63,48,0,0,0,1,1,61.2,59,25,18,3,3,19,33,1.26,.255
Jeff J Montgomery,KC,4,6,4.26,48,0,0,0,24,24,63.1,59,31,30,14,3,19,45,1.23,.251
Chan Ho C Park,LA,5,5,3.64,48,10,0,0,0,0,108.2,82,48,44,7,4,71,119,1.41,.209
Mark M Petkovsek,STL,11,2,3.55,48,6,0,0,0,0,88.2,83,37,35,9,5,35,45,1.33,.251
Marc M Wilkins,PIT,4,3,3.84,47,2,0,0,1,1,75.0,75,36,32,6,6,36,62,1.48,.266
Angel A Miranda,MIL,7,6,4.94,46,12,0,0,1,1,109.1,116,68,60,12,2,69,78,1.69,.277
Carlos C Reyes,OAK,7,10,4.78,46,10,0,0,0,0,122.1,134,71,65,19,2,61,78,1.59,.282
Scott S Sanders,SD,9,5,3.38,46,16,0,0,0,0,144.0,117,58,54,10,2,48,157,1.15,.221
Rodney R Myers,CHC,2,1,4.68,45,0,0,0,0,0,67.1,61,38,35,6,3,38,50,1.47,.243
Gil G Heredia,TEX,2,5,5.89,44,0,0,0,1,1,73.1,91,50,48,12,1,14,43,1.43,.301
Dan D Miceli,PIT,2,10,5.78,44,9,0,0,1,1,85.2,99,65,55,15,3,45,66,1.68,.291
Ron R Villone,MIL,1,1,3.14,44,0,0,0,2,2,43.0,31,15,15,6,5,25,38,1.30,.207
Terrell T Wade,ATL,5,0,2.97,44,8,0,0,1,1,69.2,57,28,23,9,1,47,79,1.49,.227
Pedro P Borbon,ATL,3,0,2.75,43,0,0,0,1,1,36.0,26,12,11,1,1,7,31,0.92,.203
Mike M Trombley,MIN,5,1,3.01,43,0,0,0,6,6,68.2,61,24,23,2,5,25,57,1.25,.236
Paul P Shuey,CLE,5,2,2.85,42,0,0,0,4,4,53.2,45,19,17,6,0,26,44,1.32,.231
David D Weathers,NYY,2,4,5.48,42,12,0,0,0,0,88.2,108,60,54,8,6,42,53,1.69,.305
Sean S Bergman,SD,6,8,4.37,41,14,0,0,0,0,113.1,119,63,55,14,2,33,85,1.34,.274
Roger R Mc Dowell,BAL,1,1,4.25,41,0,0,0,4,4,59.1,69,32,28,7,2,23,20,1.55,.296
Mike M Bielecki,ATL,4,3,2.63,40,5,0,0,2,2,75.1,63,24,22,8,0,33,71,1.27,.224
Tim T Davis,SEA,2,2,4.01,40,0,0,0,0,0,42.2,43,21,19,4,2,17,34,1.41,.259
Doug D Johns,OAK,6,12,5.98,40,23,1,0,1,1,158.0,187,112,105,21,6,69,71,1.62,.297
Brian B Williams,DET,3,10,6.77,40,17,2,1,2,2,121.0,145,107,91,21,6,85,72,1.90,.304
