PLAYER,TEAM,W,L,ERA,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Pedro P Feliciano,NYM,3,4,4.05,86,0,0,0,2,4,53.1,57,24,24,7,3,26,50,1.56,.281
Will W Ohman,ATL,4,1,3.68,83,0,0,0,1,4,58.2,51,27,24,3,1,22,53,1.24,.230
Carlos C Marmol,CHC,2,4,2.68,82,0,0,0,7,9,87.1,40,30,26,10,6,41,114,0.93,.135
Joe J Smith,NYM,6,3,3.55,82,0,0,0,0,3,63.1,51,28,25,4,4,31,52,1.29,.220
Luis L Ayala,NYM,2,10,5.71,81,0,0,0,9,15,75.2,86,53,48,9,4,24,50,1.45,.287
J. C. J Romero,PHI,4,4,2.75,81,0,0,0,1,5,59.0,41,18,18,5,5,38,52,1.34,.197
Aaron A Heilman,NYM,3,8,5.21,78,0,0,0,3,8,76.0,75,48,44,10,9,46,80,1.59,.258
Chad C Qualls,ARI,4,8,2.81,77,0,0,0,9,17,73.2,61,29,23,4,3,18,71,1.07,.224
Blaine B Boyer,ATL,2,6,5.88,76,0,0,0,1,5,72.0,73,51,47,10,2,25,67,1.36,.262
Manny M Corpas,COL,3,4,4.52,76,0,0,0,4,13,79.2,93,41,40,7,2,23,50,1.46,.296
Matt M Guerrier,MIN,6,9,5.19,76,0,0,0,1,5,76.1,84,47,44,12,0,37,59,1.59,.275
Ryan R Madson,PHI,4,2,3.05,76,0,0,0,1,3,82.2,79,29,28,6,1,23,67,1.23,.254
Saul S Rivera,WSH,5,6,3.96,76,0,0,0,0,6,84.0,90,41,37,3,2,35,65,1.49,.277
Francisco F Rodríguez Rodriguez,LAA,2,3,2.24,76,0,0,0,62,69,68.1,54,21,17,4,2,34,77,1.29,.216
Dennys D Reyes,MIN,3,0,2.33,75,0,0,0,0,3,46.1,40,12,12,4,2,15,39,1.19,.235
Jamey J Wright,TEX,8,7,5.12,75,0,0,0,0,6,84.1,93,57,48,5,8,35,60,1.52,.283
Jeremy J Affeldt,CIN,1,1,3.33,74,0,0,0,0,1,78.1,78,36,29,9,3,25,80,1.31,.260
Heath H Bell,SD,6,6,3.58,74,0,0,0,0,7,78.0,66,31,31,5,3,28,71,1.21,.229
Ryan R Franklin,STL,6,6,3.55,74,0,0,0,17,25,78.2,86,34,31,10,3,30,51,1.47,.278
John J Grabow,PIT,6,3,2.84,74,0,0,0,4,8,76.0,60,25,24,9,1,37,62,1.28,.215
Jon J Rauch,ARI,4,8,4.14,74,0,0,0,18,24,71.2,69,36,33,11,0,16,66,1.19,.256
Matt M Thornton,CWS,5,3,2.67,74,0,0,0,1,6,67.1,48,20,20,5,2,19,77,1.00,.196
Jose J Valverde,HOU,6,3,3.38,74,0,0,0,44,51,72.0,62,28,27,10,2,23,83,1.18,.225
Ron R Villone,STL,1,2,4.68,74,0,0,0,1,2,50.0,45,27,26,4,2,37,50,1.64,.243
Manny M Delcarmen,BOS,1,2,3.27,73,0,0,0,2,5,74.1,55,28,27,5,3,28,72,1.12,.205
Cla C Meredith,SD,0,3,4.09,73,0,0,0,0,6,70.1,79,34,32,6,1,24,49,1.46,.290
Rafael R Perez,CLE,4,4,3.54,73,0,0,0,2,7,76.1,67,32,30,8,2,23,86,1.18,.234
Scott S Schoeneweis,NYM,2,6,3.34,73,0,0,0,1,5,56.2,55,23,21,7,4,23,34,1.38,.259
Jeff J Bennett,ATL,3,7,3.70,72,4,0,0,3,4,97.1,86,44,40,5,7,47,68,1.37,.243
Doug D Brocail,HOU,7,5,3.93,72,0,0,0,2,5,68.2,63,30,30,8,3,21,64,1.22,.242
Francisco F Cordero,CIN,5,4,3.33,72,0,0,0,34,40,70.1,61,28,26,6,3,38,78,1.41,.235
Octavio O Dotel,CWS,4,4,3.76,72,0,0,0,1,5,67.0,52,34,28,12,5,29,92,1.21,.208
Sean S Green,SEA,4,5,4.67,72,0,0,0,1,4,79.0,80,47,41,3,6,36,62,1.47,.261
Kevin K Gregg,FLA,7,8,3.41,72,0,0,0,29,38,68.2,51,30,26,3,4,37,58,1.28,.203
Bob B Howry,CHC,7,5,5.35,72,0,0,0,1,5,70.2,90,44,42,13,2,13,59,1.46,.309
Brad B Lidge,PHI,2,0,1.95,72,0,0,0,41,41,69.1,50,17,15,2,1,35,92,1.23,.198
Damaso D Marte,NYY,5,3,4.02,72,0,0,0,5,7,65.0,52,29,29,5,2,26,71,1.20,.214
Ramon R Pena,ARI,3,2,4.33,72,0,0,0,3,8,72.2,80,38,35,5,3,17,52,1.33,.281
David D Weathers,CIN,4,6,3.25,72,0,0,0,0,4,69.1,76,27,25,6,3,30,46,1.53,.276
Tyler T Yates,PIT,6,3,4.66,72,0,0,0,1,5,73.1,72,39,38,6,2,41,63,1.54,.254
Joe J Beimel,LAD,5,1,2.02,71,0,0,0,0,0,49.0,50,11,11,0,3,21,32,1.45,.270
Chad C Durbin,PHI,5,4,2.87,71,0,0,0,1,7,87.2,81,33,28,5,4,35,63,1.32,.254
Ramon E R Ramirez,KC,3,2,2.64,71,0,0,0,1,5,71.2,57,23,21,2,0,31,70,1.23,.222
Salomon S Torres,MIL,7,5,3.49,71,0,0,0,28,35,80.0,75,35,31,6,4,33,51,1.35,.253
Wesley W Wright,HOU,4,3,5.01,71,0,0,0,1,1,55.2,45,34,31,8,4,34,57,1.42,.214
Jonathan J Broxton,LAD,3,5,3.13,70,0,0,0,14,22,69.0,54,29,24,2,3,27,88,1.17,.217
Alan A Embree,OAK,2,5,4.96,70,0,0,0,0,5,61.2,59,36,34,8,2,30,57,1.44,.253
Javier J López Lopez,BOS,2,0,2.43,70,0,0,0,0,1,59.1,53,18,16,4,2,27,38,1.35,.245
Russ R Springer,STL,2,1,2.32,70,0,0,0,0,2,50.1,39,14,13,4,1,18,45,1.13,.212
Dan D Wheeler,TB,5,6,3.12,70,0,0,0,13,18,66.1,44,25,23,10,0,22,53,0.99,.183
Rafael R Betancourt,CLE,3,4,5.07,69,0,0,0,4,8,71.0,76,41,40,11,0,25,64,1.42,.276
Jesse J Carlson,TOR,7,2,2.25,69,0,0,0,2,2,60.0,41,16,15,6,3,21,55,1.03,.196
Joel J Hanrahan,WSH,6,3,3.95,69,0,0,0,9,13,84.1,73,40,37,9,1,42,93,1.36,.233
Brian B Shouse,MIL,5,1,2.81,69,0,0,0,2,5,51.1,46,19,16,5,0,14,33,1.17,.238
Chad C Bradford,TB,4,3,2.12,68,0,0,0,0,2,59.1,59,20,14,3,2,15,17,1.25,.273
Kyle K Mc Clellan,STL,2,7,4.04,68,0,0,0,1,6,75.2,79,37,34,7,4,26,59,1.39,.269
Trever T Miller,TB,2,0,4.15,68,0,0,0,2,3,43.1,39,21,20,2,4,20,44,1.36,.242
Joe J Nathan,MIN,1,2,1.33,68,0,0,0,39,45,67.2,43,13,10,5,2,18,74,0.90,.179
Brian B Fuentes,COL,1,5,2.73,67,0,0,0,30,34,62.2,47,22,19,3,1,22,82,1.10,.205
Jonathan J Papelbon,BOS,5,4,2.34,67,0,0,0,41,46,69.1,58,24,18,4,0,8,77,0.95,.223
Renyel R Pinto,FLA,2,5,4.45,67,0,0,0,0,2,64.2,52,33,32,9,4,39,56,1.41,.226
Jack J Taschner,SF,3,2,4.88,67,0,0,0,0,4,48.0,57,27,26,5,2,24,39,1.69,.292
Jesse J Crain,MIN,5,4,3.59,66,0,0,0,0,3,62.2,62,29,25,6,1,24,50,1.37,.257
Scott S Downs,TOR,0,3,1.78,66,0,0,0,5,9,70.2,54,15,14,3,4,27,57,1.15,.213
