PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Jeff J Bagwell,HOU,162,566,109,162,40,2,43,135,127,122,31,10,.286,.425,.592,1.017
Craig C Biggio,HOU,162,619,146,191,37,8,22,81,84,107,47,10,.309,.415,.501,.916
Brian L. B Hunter C,DET,162,658,112,177,29,7,4,45,66,121,74,18,.269,.334,.353,.687
Eric E Karros,LA,162,628,86,167,28,0,31,104,61,116,15,7,.266,.329,.459,.787
Cal C Ripken,BAL,162,615,79,166,30,0,17,84,56,73,1,0,.270,.331,.402,.732
Sammy S Sosa R,CHC,162,642,90,161,31,4,36,119,45,174,22,12,.251,.300,.480,.780
Albert A Belle L,CWS,161,634,90,174,45,1,30,116,53,105,4,4,.274,.332,.491,.823
Todd T Zeile,LA,160,575,89,154,17,0,31,90,85,112,8,7,.268,.365,.459,.824
Barry B Bonds L,SF,159,532,123,155,26,5,40,101,145,87,37,8,.291,.446,.585,1.031
Vinny V Castilla,COL,159,612,94,186,25,2,40,113,44,108,2,4,.304,.356,.547,.904
Tony T Clark,DET,159,580,105,160,28,3,32,117,93,144,1,3,.276,.376,.500,.876
Derek D Jeter S,NYY,159,654,116,190,31,7,10,70,74,125,23,12,.291,.370,.405,.776
Raul R Mondesi,LA,159,616,95,191,42,5,30,87,44,105,32,15,.310,.360,.541,.901
Tino T Martinez,NYY,158,594,96,176,31,2,44,141,75,75,3,1,.296,.371,.577,.948
Rafael R Palmeiro,BAL,158,614,95,156,24,2,38,110,67,109,5,2,.254,.329,.485,.815
Jay J Buhner R,SEA,157,540,104,131,18,2,40,109,119,175,0,0,.243,.383,.506,.889
Joe J Carter D,TOR,157,612,76,143,30,4,21,102,40,105,8,2,.234,.284,.399,.683
Rusty R Greer L,TEX,157,601,112,193,42,3,26,87,83,87,9,5,.321,.405,.531,.936
Ken K Griffey C,SEA,157,608,125,185,34,3,56,147,76,121,15,4,.304,.382,.646,1.028
Chipper C Jones,ATL,157,597,100,176,41,3,21,111,76,88,20,5,.295,.371,.479,.850
Tim T Salmon R,ANA,157,582,95,172,28,1,33,129,95,142,9,12,.296,.394,.517,.911
J. T. J Snow,SF,157,531,81,149,36,1,28,104,96,124,6,4,.281,.387,.510,.898
Geronimo G Berroa R,BAL,156,561,88,159,25,0,26,90,76,120,4,4,.283,.369,.467,.836
Mark M Grudzielanek S,MON,156,649,76,177,54,3,4,51,23,76,25,9,.273,.307,.384,.690
Chuck C Knoblauch,MIN,156,611,117,178,26,10,9,58,84,84,62,10,.291,.390,.411,.800
Mark M Mc Gwire,STL,156,540,86,148,27,0,58,123,101,159,3,0,.274,.393,.646,1.039
Dave D Nilsson,MIL,156,554,71,154,33,0,20,81,65,88,2,3,.278,.352,.446,.798
Scott S Rolen,PHI,156,561,93,159,35,3,21,92,76,138,16,6,.283,.377,.469,.846
Ray R Durham,CWS,155,634,106,172,27,5,11,53,61,96,33,16,.271,.337,.382,.719
Jeff J Kent,SF,155,580,90,145,38,2,29,121,48,133,11,3,.250,.316,.472,.789
Jeff J King,KC,155,543,84,129,30,1,28,112,89,96,16,5,.238,.341,.451,.792
Edgar E Martinez D,SEA,155,542,104,179,35,1,28,108,119,86,2,4,.330,.456,.554,1.009
Gerald G Williams C,MIL,155,566,73,143,32,2,10,41,19,90,23,9,.253,.282,.369,.651
Tony T Womack,PIT,155,641,85,178,26,9,6,50,43,109,60,7,.278,.326,.374,.700
Eric E Young Sr.,LA,155,622,106,174,33,8,8,61,71,54,45,14,.280,.359,.397,.756
Garret G Anderson L,ANA,154,624,76,189,36,3,8,92,30,70,10,4,.303,.334,.409,.743
Jeff J Cirillo,MIL,154,580,74,167,46,2,10,82,60,74,4,3,.288,.367,.426,.793
Royce R Clayton S,STL,154,576,75,153,39,5,9,61,33,109,30,10,.266,.306,.398,.704
Gary G Disarcina S,ANA,154,549,52,135,28,2,4,47,17,29,7,8,.246,.271,.326,.597
Travis T Fryman,DET,154,595,90,163,27,3,22,102,46,113,16,3,.274,.326,.440,.766
Andres A Galarraga,COL,154,600,120,191,31,3,41,140,54,141,15,8,.318,.389,.585,.974
John J Olerud,NYM,154,524,90,154,34,1,22,102,85,67,0,0,.294,.400,.489,.888
Edgar E Renteria S,FLA,154,617,90,171,21,3,4,52,45,108,32,15,.277,.327,.340,.668
Jay J Bell S,KC,153,573,89,167,28,3,21,92,71,101,10,6,.291,.368,.461,.829
Bobby B Bonilla,FLA,153,562,77,167,39,3,17,96,73,94,6,6,.297,.378,.468,.846
Mike M Bordick S,BAL,153,509,55,120,19,1,7,46,33,66,0,2,.236,.283,.318,.601
Darren D Bragg C,BOS,153,513,65,132,35,2,9,57,61,102,10,6,.257,.337,.386,.723
Jeromy J Burnitz R,MIL,153,494,85,139,37,8,27,85,75,111,20,13,.281,.382,.553,.934
Carlos C Delgado,TOR,153,519,79,136,42,3,30,91,64,133,0,3,.262,.350,.528,.878
Nomar N Garciaparra S,BOS,153,684,122,209,44,11,30,98,35,92,22,9,.306,.342,.534,.875
Andruw A Jones R,ATL,153,399,60,92,18,1,18,70,56,107,20,11,.231,.329,.416,.745
Brian B Mc Rae C,NYM,153,562,86,136,32,7,11,43,65,84,17,10,.242,.326,.383,.708
Omar O Vizquel S,CLE,153,565,89,158,23,6,5,49,57,58,43,12,.280,.347,.368,.715
Larry L Walker R,COL,153,568,143,208,46,4,49,130,78,90,33,8,.366,.452,.720,1.172
Luis L Gonzalez,HOU,152,550,78,142,31,2,10,68,71,67,10,7,.258,.345,.376,.722
Fred F Mc Griff,ATL,152,564,77,156,25,1,22,97,68,112,5,0,.277,.356,.441,.797
Mike M Piazza,LA,152,556,104,201,32,1,40,124,69,77,5,1,.362,.431,.638,1.070
Edgardo E Alfonzo,NYM,151,518,84,163,27,2,10,72,63,56,11,6,.315,.391,.432,.823
Brady B Anderson C,BAL,151,590,97,170,39,7,18,73,84,105,18,12,.288,.393,.469,.863
Dante D Bichette L,COL,151,561,81,173,31,2,26,118,30,90,6,5,.308,.343,.510,.853
Jeff J Blauser S,ATL,151,519,90,160,31,4,17,70,70,101,5,1,.308,.405,.482,.886
Jeff J Conine,FLA,151,405,46,98,13,1,17,61,57,89,2,0,.242,.337,.405,.742
Damion D Easley,DET,151,527,97,139,37,3,22,72,68,102,28,13,.264,.362,.471,.833
Mark M Grace,CHC,151,555,87,177,32,5,13,78,88,45,2,4,.319,.409,.465,.874
Willie W Greene,CIN,151,495,62,125,22,1,26,91,78,111,6,0,.253,.354,.459,.812
Jose J Vizcaino S,SF,151,568,77,151,19,7,5,50,48,87,8,8,.266,.323,.350,.673
Rondell R White C,MON,151,592,84,160,29,5,28,82,31,111,16,8,.270,.316,.478,.794
Matt M Williams,CLE,151,596,86,157,32,3,32,105,34,108,12,4,.263,.307,.488,.795
Moises M Alou L,FLA,150,538,88,157,29,5,23,115,70,85,9,5,.292,.373,.493,.866
Delino D De Shields,STL,150,572,92,169,26,14,11,58,55,72,55,14,.295,.357,.448,.804
Chris C Gomez S,SD,150,522,62,132,19,2,5,54,53,114,5,8,.253,.326,.326,.652
Tom T Goodwin C,TEX,150,574,90,149,26,6,2,39,44,88,50,16,.260,.314,.336,.650
Mickey M Morandini,PHI,150,553,83,163,40,2,1,39,62,91,16,13,.295,.371,.380,.751
Manny M Ramirez R,CLE,150,561,99,184,40,0,26,88,79,115,2,3,.328,.415,.538,.953
Ivan I Rodriguez,TEX,150,597,98,187,34,4,20,77,38,89,7,3,.313,.360,.484,.844
Joey J Cora,SEA,149,574,105,172,40,4,11,54,53,49,6,7,.300,.359,.441,.800
Tony T Gwynn R,SD,149,592,97,220,49,2,17,119,43,28,12,5,.372,.409,.547,.956
Dave D Hollins,ANA,149,572,101,165,29,2,16,85,62,124,16,6,.288,.363,.430,.793
Paul P O' Neill R,NYY,149,553,89,179,42,0,21,117,75,92,10,7,.324,.399,.514,.912
Kevin K Stocker S,PHI,149,504,51,134,23,5,4,40,51,91,11,6,.266,.335,.355,.690
Rico R Brogna,PHI,148,543,68,137,36,1,20,81,33,116,12,3,.252,.293,.433,.726
Gary G Gaetti,STL,148,502,63,126,24,1,17,69,36,88,7,3,.251,.305,.404,.710
Deivi D Cruz S,DET,147,436,35,105,26,0,2,40,14,55,3,6,.241,.263,.314,.577
Quinton Q Mc Cracken C,COL,147,325,69,95,11,1,3,36,42,62,28,11,.292,.374,.360,.734
Scott S Spiezio,OAK,147,538,58,131,28,4,14,65,44,75,9,3,.243,.300,.388,.688
B. J. B Surhoff L,BAL,147,528,80,150,30,4,18,88,49,60,1,1,.284,.345,.458,.803
Jim J Thome,CLE,147,496,104,142,25,0,40,102,120,146,1,1,.286,.423,.579,1.001
Johnny J Damon C,KC,146,472,70,130,12,8,8,48,42,70,16,10,.275,.338,.386,.723
Doug D Glanville L,CHC,146,474,79,142,22,5,4,35,24,46,19,11,.300,.333,.392,.726
Bobby B Higginson L,DET,146,546,94,163,30,5,27,101,70,85,12,7,.299,.379,.520,.899
Troy T O' Leary R,BOS,146,499,65,154,32,4,15,80,39,70,0,5,.309,.358,.479,.837
