PLAYER,TEAM,W,L,ERA,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Steve S Reed,COL,3,2,3.94,61,0,0,0,3,3,64.0,79,33,28,9,6,26,51,1.64,.306
Jose J Bautista,CHC,4,5,3.89,58,0,0,0,1,1,69.1,75,30,30,10,3,17,45,1.33,.284
Mel M Rojas,MON,3,2,3.32,58,0,0,0,16,16,84.0,71,35,31,11,4,21,84,1.10,.227
Dave D Burba,SF,3,6,4.38,57,0,0,0,0,0,74.0,59,39,36,5,6,45,84,1.41,.221
Mike M Munoz,COL,4,2,3.74,57,0,0,0,1,1,45.2,37,22,19,3,0,31,32,1.49,.223
Rich R Rodriguez,STL,3,5,4.03,56,0,0,0,0,0,60.1,62,30,27,6,1,26,43,1.46,.270
Bruce B Ruffin,COL,4,5,4.04,56,0,0,0,16,16,55.2,55,28,25,6,1,30,65,1.53,.253
Dan D Plesac,CHC,2,3,4.61,54,0,0,0,1,1,54.2,61,30,28,9,1,13,53,1.35,.279
Rob R Murphy,NYY,4,3,4.29,53,0,0,0,2,2,42.0,38,21,20,9,0,13,25,1.21,.238
Bob B Wickman,NYY,5,4,3.09,53,0,0,0,6,6,70.0,54,26,24,3,1,27,56,1.16,.213
John J Habyan,STL,1,0,3.23,52,0,0,0,1,1,47.1,50,17,17,2,0,20,46,1.48,.275
Chuck C Mc Elroy,CIN,1,2,2.34,52,0,0,0,5,5,57.2,52,15,15,3,0,15,38,1.16,.244
Heathcliff H Slocumb,PHI,5,1,2.86,52,0,0,0,0,0,72.1,75,32,23,0,2,28,58,1.42,.262
John J Wetteland,MON,4,6,2.83,52,0,0,0,25,25,63.2,46,22,20,5,3,21,68,1.05,.202
Greg G Mc Michael,ATL,4,6,3.84,51,0,0,0,21,21,58.2,66,29,25,1,0,19,47,1.45,.280
Jose J Mesa,CLE,7,5,3.82,51,0,0,0,2,2,73.0,71,33,31,3,3,26,63,1.33,.254
Johnny J Ruffin,CIN,7,2,3.09,51,0,0,0,1,1,70.0,57,26,24,7,0,27,44,1.20,.223
Mark M Wohlers,ATL,7,2,4.59,51,0,0,0,1,1,51.0,51,35,26,1,0,33,58,1.65,.264
Jeff J Brantley,CIN,6,6,2.48,50,0,0,0,15,15,65.1,46,20,18,6,0,28,63,1.13,.202
Billy B Brewer,KC,4,1,2.56,50,0,0,0,3,3,38.2,28,11,11,4,2,16,25,1.14,.207
Mark M Guthrie,MIN,4,2,6.14,50,2,0,0,1,1,51.1,65,43,35,8,2,18,38,1.62,.316
Chuck C Crim,CHC,5,4,4.48,49,1,0,0,2,2,64.1,69,36,32,9,1,24,43,1.45,.272
Mike M Stanton,ATL,3,1,3.55,49,0,0,0,3,3,45.2,41,18,18,2,3,26,35,1.47,.248
Carl C Willis,MIN,2,4,5.92,49,0,0,0,3,3,59.1,89,48,39,6,0,12,37,1.70,.335
Rod R Beck,SF,2,4,2.77,48,0,0,0,28,28,48.2,49,17,15,10,0,13,39,1.27,.261
Todd T Jones,HOU,5,2,2.72,48,0,0,0,5,5,72.2,52,23,22,3,1,26,63,1.07,.202
Pedro P Martinez,SD,3,2,2.90,48,1,0,0,3,3,68.1,52,31,22,4,1,49,52,1.48,.210
Willie W Blair,COL,0,5,5.79,47,1,0,0,3,3,77.2,98,57,50,9,4,39,68,1.76,.308
Cris C Carpenter,TEX,2,5,5.03,47,0,0,0,5,5,59.0,69,35,33,7,0,20,39,1.51,.291
John J Franco,NYM,1,4,2.70,47,0,0,0,30,30,50.0,47,20,15,2,1,19,42,1.32,.244
Trevor T Hoffman,SD,4,4,2.57,47,0,0,0,20,20,56.0,39,16,16,4,0,20,68,1.05,.193
Doug D Jones,PHI,2,4,2.17,47,0,0,0,27,27,54.0,55,14,13,2,0,6,38,1.13,.255
Roger R Mason,NYM,3,5,3.75,47,0,0,0,1,1,60.0,55,29,25,8,2,25,33,1.33,.243
Alan A Mills,BAL,3,3,5.16,47,0,0,0,2,2,45.1,43,26,26,7,2,24,44,1.48,.251
Bob B Patterson,CAL,2,3,4.07,47,0,0,0,1,1,42.0,35,21,19,6,2,15,30,1.19,.229
Matt M Whiteside,TEX,2,2,5.02,47,0,0,0,1,1,61.0,68,40,34,6,1,28,37,1.57,.286
Bobby B Ayala,SEA,4,3,2.86,46,0,0,0,18,18,56.2,42,25,18,2,0,26,76,1.20,.203
Steve S Bedrosian,ATL,0,2,3.33,46,0,0,0,0,0,46.0,41,20,17,4,2,18,43,1.28,.243
Joe J Boever,DET,9,2,3.98,46,0,0,0,3,3,81.1,80,40,36,12,2,37,49,1.44,.263
Ravelo R Manzanillo,PIT,4,2,4.14,46,0,0,0,1,1,50.0,45,30,23,4,3,42,39,1.74,.245
Jeff J Shaw,MON,5,2,3.88,46,0,0,0,1,1,67.1,67,32,29,8,2,15,47,1.22,.254
Rene R Arocha,STL,4,4,4.01,45,7,1,1,11,11,83.0,94,42,37,9,4,21,62,1.39,.287
Hector H Carrasco,CIN,5,6,2.24,45,0,0,0,6,6,56.1,42,17,14,3,2,30,41,1.28,.210
Mark M Dewey,PIT,2,1,3.68,45,0,0,0,1,1,51.1,61,22,21,4,3,19,30,1.56,.303
