TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
New York Yankees,AL,162,5524,804,1462,280,13,245,774,565,1176,93,27,.265,.337,.453,.790
Texas Rangers,AL,162,5590,808,1526,303,32,200,780,478,1103,91,44,.273,.334,.446,.780
Colorado Rockies,NL,162,5577,758,1526,306,52,166,716,450,1213,100,40,.274,.330,.436,.766
Los Angeles Angels,AL,162,5536,767,1518,273,22,187,732,449,1113,134,33,.274,.332,.433,.764
Milwaukee Brewers,NL,162,5557,776,1442,300,39,202,741,466,1240,158,39,.259,.325,.437,.762
St. Louis Cardinals,NL,162,5622,765,1526,290,37,159,732,533,1192,91,37,.271,.338,.421,.759
Detroit Tigers,AL,162,5476,726,1467,279,39,163,698,511,1103,59,23,.268,.335,.422,.757
Washington Nationals,NL,162,5615,731,1468,301,25,194,688,479,1325,105,35,.261,.322,.428,.750
Arizona Diamondbacks,NL,162,5462,734,1416,307,33,165,710,539,1266,93,51,.259,.328,.418,.746
Chicago White Sox,AL,162,5518,748,1409,228,29,211,726,461,1203,109,43,.255,.318,.422,.740
Boston Red Sox,AL,162,5604,734,1459,339,16,165,695,428,1197,97,31,.260,.315,.415,.730
Baltimore Orioles,AL,162,5560,712,1375,270,16,214,677,480,1315,58,29,.247,.311,.417,.728
Cincinnati Reds,NL,162,5477,669,1377,296,30,172,636,481,1266,87,27,.251,.315,.411,.726
San Francisco Giants,NL,162,5558,718,1495,287,57,103,675,483,1097,118,39,.269,.327,.397,.724
Kansas City Royals,AL,162,5636,676,1492,295,37,131,643,404,1032,132,38,.265,.317,.400,.716
Philadelphia Phillies,NL,162,5544,684,1414,271,28,158,659,454,1094,116,23,.255,.317,.400,.716
Toronto Blue Jays,AL,162,5487,716,1346,247,22,198,677,473,1251,123,41,.245,.309,.407,.716
Minnesota Twins,AL,162,5562,701,1448,270,30,131,666,505,1069,135,37,.260,.325,.390,.715
Oakland Athletics,AL,162,5527,713,1315,267,32,195,676,550,1387,122,32,.238,.310,.404,.714
Tampa Bay Rays,AL,162,5398,697,1293,250,30,175,665,571,1323,134,44,.240,.317,.394,.711
Atlanta Braves,NL,162,5425,700,1341,263,30,149,660,567,1289,101,32,.247,.320,.389,.709
Cleveland Indians,AL,162,5525,667,1385,266,24,136,635,555,1087,110,44,.251,.324,.381,.705
New York Mets,NL,162,5450,650,1357,286,21,139,625,503,1250,79,38,.249,.316,.386,.701
San Diego Padres,NL,162,5422,651,1339,272,43,121,610,539,1238,155,46,.247,.319,.380,.699
Pittsburgh Pirates,NL,162,5412,651,1313,241,37,170,620,444,1354,73,52,.243,.304,.395,.699
Los Angeles Dodgers,NL,162,5438,637,1369,269,23,116,607,481,1156,104,44,.252,.317,.374,.690
Miami Marlins,NL,162,5437,609,1327,261,39,137,576,484,1228,149,41,.244,.308,.382,.690
Chicago Cubs,NL,162,5411,613,1297,265,36,137,570,447,1235,94,45,.240,.302,.378,.680
Houston Astros,NL,162,5407,583,1276,238,28,146,545,463,1365,105,46,.236,.302,.371,.673
Seattle Mariners,AL,162,5494,619,1285,241,27,149,584,466,1259,104,35,.234,.296,.369,.664
