PLAYER,TEAM,W,L,ERA,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Steve S Kline,MON,1,5,3.50,83,0,0,0,14,14,82.1,88,36,32,8,3,27,64,1.40,.278
Kelly K Wunsch,CWS,6,3,2.93,83,0,0,0,1,1,61.1,50,22,20,4,2,29,51,1.29,.221
Scott S Sullivan,CIN,3,6,3.47,79,0,0,0,3,3,106.1,87,44,41,14,9,38,96,1.18,.226
Mike M Myers,COL,0,1,1.99,78,0,0,0,1,1,45.1,24,10,10,2,2,24,41,1.06,.160
Mike M Venafro,TEX,3,1,3.83,77,0,0,0,1,1,56.1,64,27,24,2,4,21,32,1.51,.295
Turk T Wendell,NYM,8,6,3.59,77,0,0,0,1,1,82.2,60,36,33,9,5,41,73,1.22,.206
Armando A Benitez,NYM,4,4,2.61,76,0,0,0,41,41,76.0,39,24,22,10,0,38,106,1.01,.148
Mark M Guthrie,TOR,3,6,4.67,76,0,0,0,0,0,71.1,70,41,37,8,2,37,63,1.50,.261
Felix F Rodriguez,SF,4,2,2.64,76,0,0,0,3,3,81.2,65,29,24,5,3,42,95,1.31,.220
Bob B Wells,MIN,0,7,3.65,76,0,0,0,10,10,86.1,80,39,35,14,4,15,76,1.10,.247
Scott S Sauerbeck,PIT,5,4,4.04,75,0,0,0,1,1,75.2,76,36,34,4,1,61,83,1.81,.270
Mike M Trombley,BAL,4,5,4.13,75,0,0,0,4,4,72.0,67,34,33,15,4,38,72,1.46,.247
Felix F Heredia,CHC,7,3,4.76,74,0,0,0,2,2,58.2,46,31,31,6,2,33,52,1.35,.220
Derek D Lowe,BOS,4,4,2.56,74,0,0,0,42,42,91.1,90,27,26,6,2,22,79,1.23,.257
Curt C Leskanic,MIL,9,3,2.56,73,0,0,0,12,12,77.1,58,23,22,7,3,51,75,1.41,.212
Braden B Looper,FLA,5,1,4.41,73,0,0,0,2,2,67.1,71,41,33,3,5,36,29,1.59,.268
Jeff J Nelson,NYY,8,4,2.45,73,0,0,0,0,0,69.2,44,24,19,2,2,45,71,1.28,.183
Keith K Foulke,CWS,3,1,2.97,72,0,0,0,34,34,88.0,66,31,29,9,2,22,91,1.00,.207
Doug D Henry,SF,4,4,3.79,72,0,0,0,1,1,78.1,57,36,33,12,4,49,62,1.35,.207
Jose J Jimenez,COL,5,2,3.18,72,0,0,0,24,24,70.2,63,27,25,4,3,28,44,1.29,.239
