PLAYER,TEAM,W,L,ERA,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Juan J Agosto,HOU,9,8,4.29,82,0,0,0,4,4,92.1,91,46,44,4,7,39,50,1.41,.261
Bobby B Thigpen,CWS,4,6,1.83,77,0,0,0,57,57,88.2,60,20,18,5,1,32,70,1.04,.195
Paul P Assenmacher,CHC,7,2,2.80,74,1,0,0,10,10,103.0,90,33,32,10,1,36,95,1.22,.239
Greg G Harris,SD,8,8,2.30,73,0,0,0,9,9,117.1,92,35,30,6,4,49,97,1.20,.220
Jeff J Montgomery,KC,6,5,2.39,73,0,0,0,24,24,94.1,81,36,25,6,5,34,94,1.22,.228
Duane D Ward,TOR,2,8,3.45,73,0,0,0,11,11,127.2,101,51,49,9,1,42,112,1.12,.221
Roger R Mc Dowell,PHI,6,8,3.86,72,0,0,0,22,22,86.1,92,41,37,2,2,35,39,1.47,.286
Darrel D Akerfelds,PHI,5,2,3.77,71,0,0,0,3,3,93.0,65,45,39,10,3,54,42,1.28,.201
Mike M Henneman,DET,8,6,3.05,69,0,0,0,22,22,94.1,90,36,32,4,3,33,50,1.30,.253
Kenny K Rogers,TEX,10,6,3.13,69,3,0,0,15,15,97.2,93,40,34,6,1,42,74,1.38,.249
Steve S Bedrosian,SF,9,9,4.20,68,0,0,0,17,17,79.1,72,40,37,6,2,44,43,1.46,.241
Rob R Dibble,CIN,8,3,1.74,68,0,0,0,11,11,98.0,62,22,19,3,1,34,136,0.98,.183
Rob R Murphy,BOS,0,6,6.32,68,0,0,0,7,7,57.0,85,46,40,10,1,32,54,2.05,.348
Joe J Boever,PHI,3,6,3.36,67,0,0,0,14,14,88.1,77,35,33,6,0,51,75,1.45,.233
Chuck C Crim,MIL,3,5,3.47,67,0,0,0,11,11,85.2,88,39,33,7,2,23,39,1.30,.261
Jeff J Parrett,ATL,5,10,4.64,67,5,0,0,2,2,108.2,119,62,56,11,2,55,86,1.60,.290
