TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Seattle Mariners,AL,161,5668,993,1625,343,19,245,954,670,1052,90,39,.287,.366,.484,.850
Cleveland Indians,AL,161,5681,952,1665,335,23,218,904,671,844,160,50,.293,.369,.475,.844
Colorado Rockies,NL,162,5590,961,1607,297,37,221,909,527,1108,201,66,.287,.355,.472,.827
Texas Rangers,AL,163,5702,928,1622,323,32,221,890,660,1041,83,26,.284,.358,.469,.826
Baltimore Orioles,AL,163,5689,949,1557,299,29,257,914,645,915,77,40,.274,.350,.472,.822
Boston Red Sox,AL,162,5756,928,1631,308,31,209,882,642,1020,91,44,.283,.359,.457,.816
Chicago White Sox,AL,162,5644,898,1586,284,33,195,860,701,927,105,41,.281,.360,.447,.807
New York Yankees,AL,162,5628,871,1621,293,28,162,830,632,909,96,46,.288,.360,.436,.796
Oakland Athletics,AL,162,5630,861,1492,283,21,243,823,640,1114,58,35,.265,.344,.452,.796
Milwaukee Brewers,AL,162,5662,894,1578,304,40,178,845,624,986,101,48,.279,.353,.441,.794
Minnesota Twins,AL,162,5673,877,1633,332,47,118,812,576,958,143,53,.288,.357,.425,.782
California Angels,AL,161,5686,762,1571,256,24,192,727,527,974,53,39,.276,.339,.431,.770
Atlanta Braves,NL,162,5614,773,1514,264,28,197,735,530,1032,83,43,.270,.333,.432,.765
Cincinnati Reds,NL,162,5455,778,1398,259,36,191,733,604,1134,171,63,.256,.331,.422,.754
Toronto Blue Jays,AL,162,5599,766,1451,302,35,177,712,529,1105,116,38,.259,.331,.420,.752
Detroit Tigers,AL,162,5530,783,1413,257,21,204,741,546,1268,87,50,.256,.323,.420,.743
San Diego Padres,NL,162,5655,771,1499,285,24,147,718,601,1014,109,55,.265,.338,.402,.740
New York Mets,NL,162,5618,746,1515,267,47,147,696,445,1069,97,48,.270,.324,.412,.737
St. Louis Cardinals,NL,162,5502,759,1468,281,31,142,711,495,1089,149,58,.267,.330,.407,.736
Pittsburgh Pirates,NL,162,5665,776,1509,319,33,138,738,510,989,126,49,.266,.329,.407,.736
Montreal Expos,NL,162,5505,741,1441,297,27,148,696,492,1077,108,34,.262,.327,.406,.733
Houston Astros,NL,162,5508,753,1445,297,29,129,703,554,1057,180,63,.262,.336,.397,.733
Kansas City Royals,AL,161,5542,746,1477,286,38,123,689,529,943,195,85,.267,.332,.398,.731
Florida Marlins,NL,162,5498,688,1413,240,30,150,650,553,1122,99,46,.257,.329,.393,.722
Chicago Cubs,NL,162,5531,772,1388,267,19,175,725,523,1090,108,50,.251,.320,.401,.721
San Francisco Giants,NL,162,5533,752,1400,245,21,153,707,615,1189,113,53,.253,.331,.388,.718
Philadelphia Phillies,NL,162,5499,650,1405,249,39,132,604,536,1092,117,41,.256,.325,.387,.712
Los Angeles Dodgers,NL,162,5538,703,1396,215,33,150,661,516,1190,124,40,.252,.316,.384,.701
