PLAYER,TEAM,W,L,ERA,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Curt C Leskanic,COL,6,3,3.40,76,0,0,0,10,10,98.0,83,38,37,7,0,33,107,1.18,.226
Dave D Veres,HOU,5,1,2.26,72,0,0,0,1,1,103.1,89,29,26,5,4,30,94,1.15,.241
Steve S Reed,COL,5,2,2.14,71,0,0,0,3,3,84.0,61,24,20,8,1,21,79,0.98,.203
Yorkis Y Perez,FLA,2,6,5.21,69,0,0,0,1,1,46.2,35,29,27,6,2,28,47,1.35,.203
Darren D Holmes,COL,6,1,3.24,68,0,0,0,14,14,66.2,59,26,24,3,1,28,61,1.31,.237
Todd T Jones,HOU,6,5,3.07,68,0,0,0,15,15,99.2,89,38,34,8,6,52,96,1.41,.237
Mike M Perez,CHC,2,6,3.66,68,0,0,0,2,2,71.1,72,30,29,8,4,27,49,1.39,.268
Greg G Mc Michael,ATL,7,2,2.79,67,0,0,0,2,2,80.2,64,27,25,8,0,32,74,1.19,.213
Jesse J Orosco,BAL,2,4,3.26,65,0,0,0,3,3,49.2,28,19,18,4,1,27,58,1.11,.169
Mark M Wohlers,ATL,7,3,2.09,65,0,0,0,25,25,64.2,51,16,15,2,1,24,90,1.16,.211
Hector H Carrasco,CIN,2,7,4.12,64,0,0,0,5,5,87.1,86,45,40,1,2,46,64,1.51,.257
Roger R Mc Dowell,TEX,7,4,4.02,64,0,0,0,4,4,85.0,86,39,38,5,6,34,49,1.41,.277
Mike M Munoz,COL,2,4,7.42,64,0,0,0,2,2,43.2,54,38,36,9,1,27,37,1.85,.307
Bobby B Ayala,SEA,6,5,4.44,63,0,0,0,19,19,71.0,73,42,35,9,6,30,77,1.45,.262
Stan S Belinda,BOS,8,1,3.10,63,0,0,0,10,10,69.2,51,25,24,5,4,28,57,1.13,.205
Jason J Christiansen,PIT,1,3,4.15,63,0,0,0,0,0,56.1,49,28,26,5,3,34,53,1.47,.234
Bob B Wickman,NYY,2,4,4.05,63,1,0,0,1,1,80.0,77,38,36,6,5,33,51,1.38,.253
Ricky R Bottalico,PHI,5,3,2.46,62,0,0,0,1,1,87.2,50,25,24,7,4,42,87,1.05,.167
Jose J Mesa,CLE,3,0,1.13,62,0,0,0,46,46,64.0,49,9,8,3,0,17,58,1.03,.216
Jeff J Nelson,SEA,7,3,2.17,62,0,0,0,2,2,78.2,58,21,19,4,6,27,96,1.08,.209
Robb R Nen,FLA,0,7,3.29,62,0,0,0,23,23,65.2,62,26,24,6,1,23,68,1.29,.244
Bob B Patterson,CAL,5,2,3.04,62,0,0,0,0,0,53.1,48,18,18,6,1,13,41,1.14,.246
Troy T Percival,CAL,3,2,1.95,62,0,0,0,3,3,74.0,37,19,16,6,1,26,94,0.85,.147
Tim T Scott,MON,2,0,3.98,62,0,0,0,2,2,63.1,52,30,28,6,6,23,57,1.18,.222
Heathcliff H Slocumb,PHI,5,6,2.89,61,0,0,0,32,32,65.1,64,26,21,2,1,35,63,1.52,.257
Rod R Beck,SF,5,6,4.45,60,0,0,0,33,33,58.2,60,31,29,7,2,21,42,1.38,.267
Joe J Boever,DET,5,7,6.39,60,0,0,0,3,3,98.2,128,74,70,17,3,44,71,1.74,.319
