date,homeTeam,visitingTeam,scoreDifference,gamesPlayedInSeason
19900409,Boston Red Sox,Detroit Tigers,3,1,1
19900409,Chicago White Sox,Milwaukee Brewers,1,1,1
19900409,Kansas City Royals,Baltimore Orioles,-1,1,1
19900409,Oakland Athletics,Minnesota Twins,5,1,1
19900409,Texas Rangers,Toronto Blue Jays,2,1,1
19900409,Houston Astros,Cincinnati Reds,-4,1,1
19900409,Los Angeles Dodgers,San Diego Padres,2,1,1
19900409,New York Mets,Pittsburgh Pirates,-9,1,1
19900410,Boston Red Sox,Detroit Tigers,2,2,2
19900410,Milwaukee Brewers,Chicago White Sox,-2,2,2
19900410,Oakland Athletics,Minnesota Twins,2,2,2
19900410,Toronto Blue Jays,Texas Rangers,1,2,2
19900410,Chicago Cubs,Philadelphia Phillies,1,1,1
19900410,Houston Astros,Cincinnati Reds,-1,2,2
19900410,San Diego Padres,Los Angeles Dodgers,-1,2,2
19900411,Boston Red Sox,Detroit Tigers,1,3,3
19900411,Kansas City Royals,Baltimore Orioles,1,2,2
19900411,Oakland Athletics,Minnesota Twins,-3,3,3
19900411,Toronto Blue Jays,Texas Rangers,-6,3,3
19900411,Atlanta Braves,San Francisco Giants,-8,1,1
19900411,Atlanta Braves,San Francisco Giants,1,2,2
19900411,Houston Astros,Cincinnati Reds,-5,3,3
19900411,New York Mets,Pittsburgh Pirates,3,2,2
19900411,San Diego Padres,Los Angeles Dodgers,2,3,3
19900412,Detroit Tigers,Boston Red Sox,4,4,4
19900412,New York Yankees,Cleveland Indians,2,1,1
19900412,Toronto Blue Jays,Texas Rangers,6,4,4
19900412,Atlanta Braves,San Francisco Giants,-9,3,3
19900412,Chicago Cubs,Philadelphia Phillies,-1,2,2
19900412,Chicago Cubs,Philadelphia Phillies,3,3,3
19900412,New York Mets,Pittsburgh Pirates,-4,3,3
19900412,San Diego Padres,Los Angeles Dodgers,2,4,4
19900413,Boston Red Sox,Milwaukee Brewers,-4,5,3
19900413,Chicago White Sox,Cleveland Indians,-4,3,2
19900413,Detroit Tigers,Baltimore Orioles,4,5,3
19900413,Kansas City Royals,Toronto Blue Jays,-2,3,5
19900413,New York Yankees,Texas Rangers,3,2,5
19900413,Seattle Mariners,Oakland Athletics,-8,4,4
19900413,Atlanta Braves,Cincinnati Reds,-3,4,4
19900413,Houston Astros,Los Angeles Dodgers,-5,4,5
19900413,Philadelphia Phillies,St. Louis Cardinals,-11,4,4
19900413,Pittsburgh Pirates,Chicago Cubs,-2,4,4
19900413,San Francisco Giants,San Diego Padres,-5,4,5
19900414,Boston Red Sox,Milwaukee Brewers,1,6,4
19900414,Chicago White Sox,Cleveland Indians,5,4,3
19900414,Detroit Tigers,Baltimore Orioles,-3,6,4
19900414,Kansas City Royals,Toronto Blue Jays,2,4,6
19900414,New York Yankees,Texas Rangers,-4,3,6
19900414,Seattle Mariners,Oakland Athletics,-3,5,5
19900414,Houston Astros,Los Angeles Dodgers,4,5,6
19900414,Philadelphia Phillies,St. Louis Cardinals,4,5,5
19900414,Pittsburgh Pirates,Chicago Cubs,-3,5,5
19900414,San Francisco Giants,San Diego Padres,-2,5,6
19900415,Chicago White Sox,Cleveland Indians,3,5,4
19900415,Detroit Tigers,Baltimore Orioles,2,7,5
19900415,Kansas City Royals,Toronto Blue Jays,-1,5,7
19900415,New York Yankees,Texas Rangers,2,4,7
19900415,Seattle Mariners,Oakland Athletics,-3,6,6
19900415,Atlanta Braves,Cincinnati Reds,-7,5,5
19900415,Houston Astros,Los Angeles Dodgers,-1,6,7
19900415,Philadelphia Phillies,St. Louis Cardinals,4,6,6
19900415,Pittsburgh Pirates,Chicago Cubs,1,6,6
19900415,San Francisco Giants,San Diego Padres,-1,6,7
19900416,Boston Red Sox,Milwaukee Brewers,-18,7,5
19900416,Kansas City Royals,Cleveland Indians,-3,6,5
19900416,Seattle Mariners,Minnesota Twins,3,7,8
19900416,Toronto Blue Jays,Baltimore Orioles,2,8,6
19900416,Atlanta Braves,Cincinnati Reds,-2,6,6
19900416,Chicago Cubs,New York Mets,-9,7,7
19900416,Los Angeles Dodgers,San Francisco Giants,-2,8,7
19900416,Pittsburgh Pirates,St. Louis Cardinals,-2,7,7
19900417,Chicago White Sox,Boston Red Sox,1,6,8
19900417,Detroit Tigers,New York Yankees,-3,8,5
19900417,Kansas City Royals,Cleveland Indians,2,7,6
19900417,Seattle Mariners,Minnesota Twins,-1,8,9
19900417,Texas Rangers,Milwaukee Brewers,4,8,6
19900417,Toronto Blue Jays,Baltimore Orioles,6,9,7
19900417,Cincinnati Reds,San Diego Padres,1,7,8
19900417,Houston Astros,Atlanta Braves,2,7,7
19900417,New York Mets,Chicago Cubs,-2,8,8
19900417,Pittsburgh Pirates,St. Louis Cardinals,5,8,8
19900417,San Francisco Giants,Los Angeles Dodgers,-5,8,9
19900418,Chicago White Sox,Boston Red Sox,-2,7,9
19900418,Detroit Tigers,New York Yankees,4,9,6
19900418,Kansas City Royals,Cleveland Indians,7,8,7
19900418,Seattle Mariners,Minnesota Twins,-1,9,10
19900418,Texas Rangers,Milwaukee Brewers,-5,9,7
19900418,Toronto Blue Jays,Baltimore Orioles,-3,10,8
19900418,Cincinnati Reds,San Diego Padres,4,8,9
19900418,Houston Astros,Atlanta Braves,5,8,8
19900418,New York Mets,Chicago Cubs,-3,9,9
19900418,Pittsburgh Pirates,St. Louis Cardinals,-3,9,9
19900418,San Francisco Giants,Los Angeles Dodgers,-4,9,10
19900419,Baltimore Orioles,Detroit Tigers,2,9,10
19900419,Cleveland Indians,New York Yankees,1,8,7
19900419,Oakland Athletics,Seattle Mariners,3,9,10
19900419,Texas Rangers,Milwaukee Brewers,-11,10,8
19900419,Los Angeles Dodgers,Houston Astros,4,11,9
19900419,New York Mets,Chicago Cubs,3,10,10
19900419,St. Louis Cardinals,Pittsburgh Pirates,-4,10,10
19900420,Baltimore Orioles,Detroit Tigers,6,10,11
19900420,Milwaukee Brewers,Boston Red Sox,5,9,10
19900420,Oakland Athletics,Seattle Mariners,-5,10,11
19900420,Texas Rangers,New York Yankees,1,11,8
19900420,Toronto Blue Jays,Kansas City Royals,11,11,9
19900420,Chicago Cubs,Pittsburgh Pirates,-5,11,11
19900420,Los Angeles Dodgers,Houston Astros,-2,12,10
19900420,San Diego Padres,San Francisco Giants,7,10,10
19900420,St. Louis Cardinals,Philadelphia Phillies,-3,11,11
19900421,Baltimore Orioles,Detroit Tigers,-1,11,12
19900421,Cleveland Indians,Chicago White Sox,4,9,8
19900421,Milwaukee Brewers,Boston Red Sox,2,10,11
19900421,Oakland Athletics,Seattle Mariners,1,11,12
19900421,Texas Rangers,New York Yankees,3,12,9
19900421,Toronto Blue Jays,Kansas City Royals,4,12,10
19900421,Chicago Cubs,Pittsburgh Pirates,-1,12,12
19900421,Cincinnati Reds,Atlanta Braves,7,9,9
19900421,Los Angeles Dodgers,Houston Astros,-1,13,11
19900421,San Diego Padres,San Francisco Giants,-2,11,11
19900421,St. Louis Cardinals,Philadelphia Phillies,-1,12,12
19900422,Baltimore Orioles,Detroit Tigers,1,12,13
19900422,Cleveland Indians,Chicago White Sox,3,10,9
19900422,Milwaukee Brewers,Boston Red Sox,-2,11,12
19900422,Oakland Athletics,Seattle Mariners,-3,12,13
19900422,Texas Rangers,New York Yankees,6,13,10
19900422,Toronto Blue Jays,Kansas City Royals,-6,13,11
19900422,Chicago Cubs,Pittsburgh Pirates,-1,13,13
19900422,Cincinnati Reds,Atlanta Braves,-2,10,10
19900422,Los Angeles Dodgers,Houston Astros,2,14,12
19900422,San Diego Padres,San Francisco Giants,-2,12,12
19900422,St. Louis Cardinals,Philadelphia Phillies,-2,13,13
19900423,Baltimore Orioles,Kansas City Royals,3,13,12
19900423,Minnesota Twins,Detroit Tigers,-3,14,14
19900423,Toronto Blue Jays,Cleveland Indians,3,14,11
19900423,San Diego Padres,San Francisco Giants,10,13,13
19900423,St. Louis Cardinals,Pittsburgh Pirates,3,14,14
19900424,Baltimore Orioles,Oakland Athletics,-6,14,13
19900424,Milwaukee Brewers,Kansas City Royals,4,12,13
19900424,Minnesota Twins,Detroit Tigers,12,15,15
19900424,New York Yankees,Seattle Mariners,4,11,14
19900424,Texas Rangers,Chicago White Sox,1,14,10
19900424,Toronto Blue Jays,Cleveland Indians,1,15,12
19900424,Los Angeles Dodgers,St. Louis Cardinals,3,15,15
19900424,New York Mets,Atlanta Braves,1,14,11
19900424,Philadelphia Phillies,Cincinnati Reds,3,14,11
19900424,San Diego Padres,Chicago Cubs,10,14,14
19900424,San Francisco Giants,Pittsburgh Pirates,-3,14,15
19900425,Baltimore Orioles,Oakland Athletics,-1,15,14
19900425,Milwaukee Brewers,Kansas City Royals,1,13,14
19900425,Minnesota Twins,Detroit Tigers,-2,16,16
19900425,New York Yankees,Seattle Mariners,-3,12,15
19900425,Texas Rangers,Chicago White Sox,-1,15,11
19900425,Toronto Blue Jays,Cleveland Indians,2,16,13
19900425,Los Angeles Dodgers,St. Louis Cardinals,-4,16,16
19900425,New York Mets,Atlanta Braves,3,15,12
19900425,Philadelphia Phillies,Cincinnati Reds,-5,15,12
19900425,San Diego Padres,Chicago Cubs,3,15,15
19900425,San Francisco Giants,Pittsburgh Pirates,-3,15,16
19900426,Baltimore Orioles,Oakland Athletics,-2,16,15
19900426,Milwaukee Brewers,Kansas City Royals,1,14,15
19900426,New York Yankees,Seattle Mariners,-4,13,16
19900426,Texas Rangers,Chicago White Sox,1,16,12
19900426,Toronto Blue Jays,Cleveland Indians,-1,17,14
19900426,Atlanta Braves,Houston Astros,-3,13,15
19900426,Los Angeles Dodgers,St. Louis Cardinals,-6,17,17
19900426,San Diego Padres,Chicago Cubs,-2,16,16
19900426,San Francisco Giants,Pittsburgh Pirates,-1,16,17
19900427,Baltimore Orioles,Seattle Mariners,-1,17,17
19900427,Boston Red Sox,Oakland Athletics,1,16,16
19900427,Chicago White Sox,Toronto Blue Jays,5,13,18
19900427,Cleveland Indians,Minnesota Twins,5,15,17
19900427,Detroit Tigers,Milwaukee Brewers,-3,17,15
19900427,Kansas City Royals,Texas Rangers,-1,16,17
19900427,Atlanta Braves,Philadelphia Phillies,-6,14,16
19900427,Houston Astros,New York Mets,-1,16,16
19900427,Los Angeles Dodgers,Chicago Cubs,5,18,17
19900427,San Diego Padres,Pittsburgh Pirates,-5,17,18
19900427,San Francisco Giants,St. Louis Cardinals,9,17,18
19900428,Baltimore Orioles,Seattle Mariners,-1,18,18
19900428,Boston Red Sox,Oakland Athletics,9,17,17
19900428,Chicago White Sox,Toronto Blue Jays,1,14,19
19900428,Cleveland Indians,Minnesota Twins,3,16,18
19900428,Detroit Tigers,Milwaukee Brewers,8,18,16
19900428,Kansas City Royals,Texas Rangers,-7,17,18
19900428,Atlanta Braves,Philadelphia Phillies,-1,15,17
19900428,Houston Astros,New York Mets,4,17,17
19900428,Los Angeles Dodgers,Chicago Cubs,1,19,18
19900428,San Diego Padres,Pittsburgh Pirates,-1,18,19
19900428,San Francisco Giants,St. Louis Cardinals,-5,18,19
19900429,Baltimore Orioles,Seattle Mariners,1,19,19
19900429,Boston Red Sox,Oakland Athletics,-1,18,18
19900429,Chicago White Sox,Toronto Blue Jays,7,15,20
19900429,Cleveland Indians,Minnesota Twins,2,17,19
19900429,Detroit Tigers,Milwaukee Brewers,-5,19,17
19900429,Kansas City Royals,Texas Rangers,3,18,19
19900429,Atlanta Braves,Philadelphia Phillies,2,16,18
19900429,Houston Astros,New York Mets,1,18,18
19900429,Los Angeles Dodgers,Chicago Cubs,-4,20,19
19900429,San Diego Padres,Pittsburgh Pirates,-9,19,20
19900429,San Francisco Giants,St. Louis Cardinals,2,19,20
19900430,Boston Red Sox,Seattle Mariners,11,19,20
19900430,Chicago White Sox,Texas Rangers,1,16,20
19900430,Cleveland Indians,Toronto Blue Jays,-6,18,21
19900430,Detroit Tigers,Milwaukee Brewers,-5,20,18
19900430,New York Yankees,Oakland Athletics,-6,17,19
19900430,Atlanta Braves,New York Mets,3,17,19
19900430,Cincinnati Reds,Philadelphia Phillies,4,16,19
19900430,Los Angeles Dodgers,San Francisco Giants,-4,21,20
19900501,Boston Red Sox,Seattle Mariners,6,20,21
19900501,Chicago White Sox,Texas Rangers,4,17,21
19900501,Cleveland Indians,Toronto Blue Jays,-1,19,22
19900501,Detroit Tigers,Minnesota Twins,-4,21,20
19900501,Kansas City Royals,Milwaukee Brewers,-2,19,19
19900501,New York Yankees,Oakland Athletics,-2,18,20
19900501,Atlanta Braves,New York Mets,3,18,20
19900501,Cincinnati Reds,Philadelphia Phillies,-2,17,20
19900501,Los Angeles Dodgers,Pittsburgh Pirates,3,22,21
19900501,San Diego Padres,St. Louis Cardinals,-1,20,21
19900501,San Francisco Giants,Chicago Cubs,-3,21,20
19900502,Boston Red Sox,Seattle Mariners,-7,21,22
19900502,Chicago White Sox,Texas Rangers,-3,18,22
19900502,Cleveland Indians,Toronto Blue Jays,3,20,23
19900502,Detroit Tigers,Minnesota Twins,-6,22,21
19900502,New York Yankees,Oakland Athletics,-2,19,21
19900502,Los Angeles Dodgers,Pittsburgh Pirates,4,23,22
19900502,New York Mets,Cincinnati Reds,5,21,18
19900502,Philadelphia Phillies,Houston Astros,10,21,21
19900502,San Diego Padres,St. Louis Cardinals,1,21,22
19900502,San Francisco Giants,Chicago Cubs,-3,22,21
19900503,Detroit Tigers,Minnesota Twins,-2,23,22
19900503,Kansas City Royals,Milwaukee Brewers,-4,20,20
19900503,New York Yankees,Cleveland Indians,-5,20,21
19900503,New York Mets,Cincinnati Reds,-5,22,19
19900503,Philadelphia Phillies,Houston Astros,-7,22,22
19900504,Kansas City Royals,Chicago White Sox,-1,21,19
19900504,Oakland Athletics,Boston Red Sox,5,22,22
19900504,Seattle Mariners,Baltimore Orioles,-1,24,23
19900504,Toronto Blue Jays,Detroit Tigers,-2,24,24
19900504,Philadelphia Phillies,Los Angeles Dodgers,5,23,24
19900504,St. Louis Cardinals,Cincinnati Reds,-5,23,20
19900505,Cleveland Indians,Texas Rangers,-4,22,23
19900505,Kansas City Royals,Chicago White Sox,-6,22,20
19900505,Milwaukee Brewers,Minnesota Twins,-4,21,23
19900505,Oakland Athletics,Boston Red Sox,-4,23,23
19900505,Seattle Mariners,Baltimore Orioles,3,25,24
19900505,Toronto Blue Jays,Detroit Tigers,4,25,25
19900505,Chicago Cubs,San Diego Padres,1,22,22
19900505,Chicago Cubs,San Diego Padres,-1,23,23
19900505,New York Mets,Houston Astros,-4,23,23
19900505,Philadelphia Phillies,Los Angeles Dodgers,-3,24,25
19900505,St. Louis Cardinals,Cincinnati Reds,-2,24,21
19900506,Cleveland Indians,Texas Rangers,4,23,24
19900506,Cleveland Indians,Texas Rangers,3,24,25
19900506,Kansas City Royals,Chicago White Sox,1,23,21
19900506,Milwaukee Brewers,Minnesota Twins,-4,22,24
19900506,Oakland Athletics,Boston Red Sox,2,24,24
19900506,Seattle Mariners,Baltimore Orioles,1,26,25
19900506,Toronto Blue Jays,Detroit Tigers,4,26,26
19900506,Chicago Cubs,San Diego Padres,-5,24,24
19900506,New York Mets,Houston Astros,3,24,24
19900506,New York Mets,Houston Astros,1,25,25
19900506,Philadelphia Phillies,Los Angeles Dodgers,4,25,26
19900506,Pittsburgh Pirates,Atlanta Braves,2,23,21
19900506,Pittsburgh Pirates,Atlanta Braves,2,24,22
19900506,St. Louis Cardinals,Cincinnati Reds,-4,25,22
19900507,Cleveland Indians,Kansas City Royals,-2,25,24
19900507,Milwaukee Brewers,Detroit Tigers,1,23,27
19900507,Oakland Athletics,New York Yankees,4,25,24
19900507,Seattle Mariners,Boston Red Sox,-1,27,25
19900507,Toronto Blue Jays,Chicago White Sox,5,27,22
19900507,Chicago Cubs,Atlanta Braves,-1,25,23
19900507,New York Mets,Houston Astros,6,26,26
19900507,Pittsburgh Pirates,San Diego Padres,3,25,25
19900507,St. Louis Cardinals,Cincinnati Reds,-3,26,23
19900508,Milwaukee Brewers,Detroit Tigers,2,24,28
19900508,Minnesota Twins,Cleveland Indians,1,25,26
19900508,Oakland Athletics,New York Yankees,5,26,25
19900508,Seattle Mariners,Boston Red Sox,1,28,26
19900508,Texas Rangers,Kansas City Royals,-5,26,25
19900508,Toronto Blue Jays,Chicago White Sox,-3,28,23
19900508,Chicago Cubs,Atlanta Braves,2,26,24
19900508,Houston Astros,Philadelphia Phillies,1,27,26
19900508,New York Mets,San Francisco Giants,3,27,27
19900508,Pittsburgh Pirates,San Diego Padres,8,26,26
19900509,Milwaukee Brewers,Detroit Tigers,-1,25,29
19900509,Minnesota Twins,Cleveland Indians,-4,26,27
19900509,Oakland Athletics,New York Yankees,1,27,26
19900509,Seattle Mariners,Boston Red Sox,-3,29,27
19900509,Texas Rangers,Kansas City Royals,6,27,26
19900509,Toronto Blue Jays,Chicago White Sox,1,29,24
19900509,Chicago Cubs,Atlanta Braves,4,27,25
19900509,Houston Astros,Philadelphia Phillies,-9,28,27
19900509,New York Mets,San Francisco Giants,-2,28,28
19900509,Pittsburgh Pirates,Cincinnati Reds,4,27,24
19900509,St. Louis Cardinals,San Diego Padres,6,27,27
19900510,Detroit Tigers,Toronto Blue Jays,5,30,30
19900510,Minnesota Twins,Cleveland Indians,1,27,28
19900510,Texas Rangers,Kansas City Royals,-4,28,27
19900510,Pittsburgh Pirates,Cincinnati Reds,-6,28,25
19900510,St. Louis Cardinals,San Diego Padres,-8,28,28
19900511,Chicago White Sox,Kansas City Royals,2,25,28
19900511,Detroit Tigers,Toronto Blue Jays,-2,31,31
19900511,Minnesota Twins,Milwaukee Brewers,-3,28,26
19900511,Oakland Athletics,Baltimore Orioles,5,28,29
19900511,Seattle Mariners,New York Yankees,-3,31,27
19900511,Texas Rangers,Cleveland Indians,-1,29,29
19900511,Cincinnati Reds,Chicago Cubs,2,26,28
19900511,New York Mets,Los Angeles Dodgers,5,29,30
19900511,Philadelphia Phillies,San Francisco Giants,4,28,29
19900511,Pittsburgh Pirates,Houston Astros,1,29,29
19900511,St. Louis Cardinals,Atlanta Braves,3,29,26
19900512,Chicago White Sox,Kansas City Royals,3,26,29
19900512,Minnesota Twins,Milwaukee Brewers,3,29,27
19900512,Oakland Athletics,Baltimore Orioles,-1,29,30
19900512,Seattle Mariners,New York Yankees,-3,32,28
19900512,Texas Rangers,Cleveland Indians,1,30,30
19900512,Cincinnati Reds,Chicago Cubs,-2,27,29
19900512,New York Mets,Los Angeles Dodgers,7,30,31
19900512,Philadelphia Phillies,San Francisco Giants,-4,29,30
19900512,Pittsburgh Pirates,Houston Astros,2,30,30
19900512,St. Louis Cardinals,Atlanta Braves,1,30,27
19900513,Chicago White Sox,Kansas City Royals,1,27,30
19900513,Detroit Tigers,Toronto Blue Jays,-3,32,32
19900513,Minnesota Twins,Milwaukee Brewers,2,30,28
19900513,Oakland Athletics,Baltimore Orioles,-3,30,31
19900513,Seattle Mariners,New York Yankees,5,33,29
19900513,Texas Rangers,Cleveland Indians,-3,31,31
19900513,Cincinnati Reds,Chicago Cubs,4,28,30
19900513,Philadelphia Phillies,San Francisco Giants,3,30,31
19900513,Pittsburgh Pirates,Houston Astros,4,31,31
19900513,St. Louis Cardinals,Atlanta Braves,-2,31,28
19900514,Detroit Tigers,Toronto Blue Jays,-5,33,33
19900514,Kansas City Royals,Boston Red Sox,4,31,31
19900514,Minnesota Twins,Oakland Athletics,4,31,31
19900514,Atlanta Braves,Chicago Cubs,1,29,31
19900514,Cincinnati Reds,Pittsburgh Pirates,2,29,32
19900514,San Diego Padres,Philadelphia Phillies,4,32,31
19900514,San Francisco Giants,New York Mets,2,32,31
19900515,Chicago White Sox,Baltimore Orioles,1,28,32
19900515,Cleveland Indians,Oakland Athletics,1,32,32
19900515,New York Yankees,Minnesota Twins,4,30,32
19900515,Texas Rangers,Detroit Tigers,-1,32,34
19900515,Toronto Blue Jays,Seattle Mariners,-1,34,34
19900515,Atlanta Braves,Chicago Cubs,-10,30,32
19900515,Cincinnati Reds,Pittsburgh Pirates,1,30,33
19900515,San Diego Padres,Philadelphia Phillies,-1,33,32
19900515,San Francisco Giants,New York Mets,1,33,32
19900515,St. Louis Cardinals,Houston Astros,4,32,32
19900516,Chicago White Sox,Baltimore Orioles,2,29,33
19900516,Cleveland Indians,Oakland Athletics,-1,33,33
19900516,Kansas City Royals,Boston Red Sox,-6,32,32
19900516,Texas Rangers,Detroit Tigers,-12,33,35
19900516,Toronto Blue Jays,Seattle Mariners,-2,35,35
19900516,Atlanta Braves,Chicago Cubs,4,31,33
19900516,San Diego Padres,Philadelphia Phillies,-1,34,33
19900516,San Francisco Giants,New York Mets,1,34,33
19900516,St. Louis Cardinals,Houston Astros,4,33,33
19900517,Chicago White Sox,Baltimore Orioles,4,30,34
19900517,New York Yankees,Minnesota Twins,-3,31,33
19900517,Texas Rangers,Detroit Tigers,-2,34,36
19900517,Toronto Blue Jays,Seattle Mariners,-8,36,36
19900517,Atlanta Braves,Pittsburgh Pirates,5,32,34
19900517,Cincinnati Reds,St. Louis Cardinals,-3,31,34
19900517,Houston Astros,Chicago Cubs,1,34,34
19900518,Baltimore Orioles,Texas Rangers,12,35,35
19900518,Boston Red Sox,Minnesota Twins,-6,33,34
19900518,Chicago White Sox,Detroit Tigers,-6,31,37
19900518,Cleveland Indians,Seattle Mariners,5,34,37
19900518,Milwaukee Brewers,Oakland Athletics,5,32,34
19900518,New York Yankees,Kansas City Royals,-3,32,33
19900518,Atlanta Braves,Pittsburgh Pirates,-6,33,35
19900518,Cincinnati Reds,St. Louis Cardinals,1,32,35
19900518,Houston Astros,Chicago Cubs,-7,35,35
19900518,Los Angeles Dodgers,Philadelphia Phillies,2,35,34
19900518,San Diego Padres,New York Mets,3,35,34
19900519,Baltimore Orioles,Texas Rangers,-2,36,36
19900519,Boston Red Sox,Minnesota Twins,12,34,35
19900519,Chicago White Sox,Detroit Tigers,-2,32,38
19900519,Cleveland Indians,Seattle Mariners,1,35,38
19900519,Milwaukee Brewers,Oakland Athletics,-8,33,35
19900519,New York Yankees,Kansas City Royals,1,33,34
19900519,Atlanta Braves,Pittsburgh Pirates,1,34,36
19900519,Cincinnati Reds,St. Louis Cardinals,4,33,36
19900519,Houston Astros,Chicago Cubs,-3,36,36
19900519,Los Angeles Dodgers,Philadelphia Phillies,-3,36,35
19900519,San Diego Padres,New York Mets,-2,36,35
19900520,Baltimore Orioles,Texas Rangers,4,37,37
19900520,Boston Red Sox,Minnesota Twins,-1,35,36
19900520,Chicago White Sox,Detroit Tigers,-1,33,39
19900520,Cleveland Indians,Seattle Mariners,-1,36,39
19900520,Milwaukee Brewers,Oakland Athletics,3,34,36
19900520,New York Yankees,Kansas City Royals,-1,34,35
19900520,Atlanta Braves,Pittsburgh Pirates,2,35,37
19900520,Cincinnati Reds,St. Louis Cardinals,-4,34,37
19900520,Houston Astros,Chicago Cubs,-4,37,37
19900520,Los Angeles Dodgers,Philadelphia Phillies,3,37,36
19900520,San Diego Padres,New York Mets,2,37,36
19900521,Baltimore Orioles,Minnesota Twins,-4,38,37
19900521,Boston Red Sox,Texas Rangers,2,36,38
19900521,Detroit Tigers,Kansas City Royals,5,40,36
19900521,Milwaukee Brewers,Seattle Mariners,-5,35,40
19900521,New York Yankees,Chicago White Sox,-1,35,34
19900521,Toronto Blue Jays,Oakland Athletics,-3,40,37
19900521,Atlanta Braves,St. Louis Cardinals,1,36,38
19900521,Chicago Cubs,Cincinnati Reds,-1,38,35
19900521,Houston Astros,Pittsburgh Pirates,1,38,38
19900521,Los Angeles Dodgers,New York Mets,-9,38,37
19900521,San Francisco Giants,Philadelphia Phillies,-3,38,37
19900522,Baltimore Orioles,Minnesota Twins,8,39,38
19900522,Boston Red Sox,Texas Rangers,-1,37,39
19900522,Detroit Tigers,Kansas City Royals,-1,41,37
19900522,Milwaukee Brewers,Seattle Mariners,1,36,41
19900522,New York Yankees,Chicago White Sox,3,36,35
19900522,Toronto Blue Jays,Oakland Athletics,-1,41,38
19900522,Atlanta Braves,St. Louis Cardinals,-1,37,39
19900522,Chicago Cubs,Cincinnati Reds,1,39,36
19900522,Houston Astros,Pittsburgh Pirates,-4,39,39
19900522,Los Angeles Dodgers,New York Mets,-5,39,38
19900522,San Francisco Giants,Philadelphia Phillies,-2,39,38
19900523,Baltimore Orioles,Chicago White Sox,-3,40,36
19900523,Boston Red Sox,Kansas City Royals,-3,38,38
19900523,Detroit Tigers,Texas Rangers,4,42,40
19900523,Minnesota Twins,New York Yankees,-12,39,37
19900523,Oakland Athletics,Milwaukee Brewers,7,39,37
19900523,Seattle Mariners,Cleveland Indians,3,42,39
19900523,Chicago Cubs,Los Angeles Dodgers,-1,40,40
19900523,Houston Astros,Pittsburgh Pirates,4,40,40
19900523,St. Louis Cardinals,San Francisco Giants,-5,40,40
19900524,Baltimore Orioles,Chicago White Sox,-2,41,37
19900524,Boston Red Sox,Kansas City Royals,3,39,39
19900524,Detroit Tigers,Texas Rangers,-1,43,41
19900524,Minnesota Twins,New York Yankees,1,40,38
19900524,Oakland Athletics,Milwaukee Brewers,12,40,38
19900524,Seattle Mariners,Cleveland Indians,-2,43,40
19900524,Chicago Cubs,Los Angeles Dodgers,-9,41,41
19900524,New York Mets,San Diego Padres,-1,39,40
19900524,Philadelphia Phillies,Atlanta Braves,4,39,38
19900524,St. Louis Cardinals,San Francisco Giants,1,41,41
19900525,Detroit Tigers,Chicago White Sox,1,44,38
19900525,Kansas City Royals,New York Yankees,-3,40,39
19900525,Minnesota Twins,Boston Red Sox,16,41,40
19900525,Oakland Athletics,Cleveland Indians,3,41,41
19900525,Seattle Mariners,Toronto Blue Jays,-2,44,44
19900525,Texas Rangers,Baltimore Orioles,-10,42,42
19900525,New York Mets,San Diego Padres,-1,40,41
19900525,Philadelphia Phillies,Atlanta Braves,1,40,39
19900525,Pittsburgh Pirates,San Francisco Giants,-1,41,42
19900525,St. Louis Cardinals,Los Angeles Dodgers,-3,42,42
19900526,Detroit Tigers,Chicago White Sox,-6,45,39
19900526,Kansas City Royals,New York Yankees,5,41,40
19900526,Minnesota Twins,Boston Red Sox,1,42,41
19900526,Oakland Athletics,Cleveland Indians,3,42,42
19900526,Seattle Mariners,Toronto Blue Jays,-7,45,45
19900526,Texas Rangers,Baltimore Orioles,-2,43,43
19900526,Chicago Cubs,Houston Astros,-7,42,41
19900526,Chicago Cubs,Houston Astros,-9,43,42
19900526,New York Mets,San Diego Padres,11,41,42
19900526,Philadelphia Phillies,Atlanta Braves,-9,41,40
19900526,Pittsburgh Pirates,San Francisco Giants,6,42,43
19900526,St. Louis Cardinals,Los Angeles Dodgers,-8,43,43
19900527,Detroit Tigers,Chicago White Sox,-1,46,40
19900527,Kansas City Royals,New York Yankees,4,42,41
19900527,Minnesota Twins,Boston Red Sox,2,43,42
19900527,Seattle Mariners,Toronto Blue Jays,-4,46,46
19900527,Texas Rangers,Baltimore Orioles,-7,44,44
19900527,Chicago Cubs,Houston Astros,5,44,43
19900527,New York Mets,San Diego Padres,-4,42,43
19900527,Philadelphia Phillies,Atlanta Braves,-5,42,41
19900527,Pittsburgh Pirates,San Francisco Giants,3,43,44
19900527,St. Louis Cardinals,Los Angeles Dodgers,-7,44,44
19900528,Chicago White Sox,New York Yankees,1,41,42
19900528,Kansas City Royals,Detroit Tigers,1,43,47
19900528,Minnesota Twins,Baltimore Orioles,2,44,45
19900528,Oakland Athletics,Toronto Blue Jays,-1,43,47
19900528,Seattle Mariners,Milwaukee Brewers,1,47,42
19900528,Texas Rangers,Boston Red Sox,-1,45,43
19900528,Chicago Cubs,San Francisco Giants,4,45,45
19900528,Houston Astros,St. Louis Cardinals,4,44,45
19900528,Philadelphia Phillies,San Diego Padres,-4,43,44
