PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Prince P Fielder,MIL,162,591,103,177,35,3,46,141,110,138,2,3,.299,.412,.602,1.014
Robinson R Canó,NYY,161,637,103,204,48,2,25,85,30,63,5,7,.320,.352,.520,.871
Brandon B Inge,DET,161,562,71,129,16,1,27,84,54,170,2,5,.230,.314,.406,.720
Nick N Markakis R,BAL,161,642,94,188,45,2,18,101,56,98,6,2,.293,.347,.453,.801
Miguel M Cabrera,DET,160,611,96,198,34,0,34,103,68,107,6,2,.324,.396,.547,.942
Orlando O Cabrera S,MIN,160,656,83,186,36,3,9,77,36,71,13,4,.284,.316,.389,.705
Andre A Ethier R,LAD,160,596,92,162,42,3,31,106,72,116,6,4,.272,.361,.508,.869
Adrian A González,SD,160,552,90,153,27,2,40,99,119,109,1,1,.277,.407,.551,.958
Curtis C Granderson,DET,160,631,91,157,23,8,30,71,72,141,20,6,.249,.327,.453,.780
Ryan R Howard,PHI,160,616,105,172,37,4,45,141,75,186,8,1,.279,.360,.571,.931
Carlos C Lee L,HOU,160,610,65,183,35,1,26,102,41,51,5,3,.300,.343,.489,.831
Albert A Pujols,STL,160,568,124,186,45,1,47,135,115,64,16,4,.327,.443,.658,1.101
Billy B Butler,KC,159,608,78,183,51,1,21,93,58,103,1,0,.301,.362,.492,.853
Adam A Dunn,WSH,159,546,81,146,29,0,38,105,116,177,0,1,.267,.398,.529,.928
Matt M Kemp C,LAD,159,606,97,180,25,7,26,101,52,139,34,8,.297,.352,.490,.842
Hunter H Pence R,HOU,159,585,76,165,26,5,25,72,58,109,14,11,.282,.346,.472,.818
Brian B Roberts,BAL,159,632,110,179,56,1,16,79,74,112,30,7,.283,.356,.451,.807
Jayson J Werth R,PHI,159,571,98,153,26,1,36,99,91,156,20,3,.268,.373,.506,.879
Ryan R Braun L,MIL,158,635,113,203,39,6,32,114,57,121,20,6,.320,.386,.551,.937
Pedro P Feliz,PHI,158,580,62,154,30,2,12,82,35,68,0,1,.266,.308,.386,.694
Chone C Figgins,LAA,158,615,114,183,30,7,5,54,101,114,42,17,.298,.395,.393,.789
Aaron A Hill,TOR,158,682,103,195,37,0,36,108,42,98,6,2,.286,.330,.499,.829
James J Loney,LAD,158,576,73,162,25,2,13,90,70,68,7,3,.281,.357,.399,.756
Miguel M Tejada S,HOU,158,635,83,199,46,1,14,86,19,48,5,2,.313,.340,.455,.795
Dan D Uggla,FLA,158,564,84,137,27,1,31,90,92,150,2,1,.243,.354,.459,.813
Vernon V Wells C,TOR,158,630,84,164,37,3,15,66,48,86,17,4,.260,.311,.400,.711
Michael M Bourn C,HOU,157,606,97,173,27,12,3,35,63,140,61,12,.285,.354,.384,.738
Jeff J Francoeur R,NYM,157,593,72,166,32,4,15,76,23,92,6,4,.280,.309,.423,.732
Evan E Longoria,TB,157,584,100,164,44,0,33,113,72,140,9,0,.281,.364,.526,.889
Ryan R Zimmerman,WSH,157,610,110,178,37,3,33,106,72,119,2,0,.292,.364,.525,.888
Shin- Soo S Choo R,CLE,156,583,87,175,38,6,20,86,78,151,21,2,.300,.394,.489,.883
Carl C Crawford L,TB,156,606,96,185,28,8,15,68,51,99,60,16,.305,.364,.452,.816
Chase C Headley L,SD,156,543,62,142,31,2,12,64,62,133,10,2,.262,.342,.392,.734
Matt M Holliday L,STL,156,581,94,182,39,3,24,109,72,101,14,7,.313,.394,.515,.909
Mark M Teixeira,NYY,156,609,103,178,43,3,39,122,81,114,2,0,.292,.383,.565,.948
Chase C Utley,PHI,156,571,112,161,28,4,31,93,88,110,23,0,.282,.397,.508,.905
Shane S Victorino C,PHI,156,620,102,181,39,13,10,62,60,71,25,8,.292,.358,.445,.803
Alberto A Callaspo,KC,155,576,79,173,41,8,11,73,52,51,2,1,.300,.356,.457,.813
Victor V Martinez,BOS,155,588,88,178,33,1,23,108,75,74,1,0,.303,.381,.480,.860
Daniel D Murphy,NYM,155,508,60,135,38,4,12,63,38,69,4,2,.266,.313,.427,.741
Mark M Reynolds,ARI,155,578,98,150,30,1,44,102,76,223,24,9,.260,.349,.543,.892
Jimmy J Rollins S,PHI,155,672,100,168,43,5,21,77,44,70,31,8,.250,.296,.423,.719
Clint C Barmes,COL,154,550,69,135,32,3,23,76,31,121,12,10,.245,.294,.440,.734
Melky M Cabrera C,NYY,154,485,66,133,28,1,13,68,43,59,10,2,.274,.336,.416,.752
Dustin D Pedroia,BOS,154,626,115,185,48,1,15,72,74,45,20,8,.296,.371,.447,.819
Ryan R Theriot S,CHC,154,602,81,171,20,5,7,54,51,93,21,10,.284,.343,.369,.712
Michael M Cuddyer R,MIN,153,588,93,162,34,7,32,94,54,118,6,1,.276,.342,.520,.862
Jacoby J Ellsbury C,BOS,153,624,94,188,27,10,8,60,49,74,70,12,.301,.355,.415,.770
Franklin F Gutierrez C,SEA,153,565,85,160,24,1,18,70,46,122,16,5,.283,.339,.425,.764
Derek D Jeter S,NYY,153,634,107,212,27,1,18,66,72,90,30,5,.334,.406,.465,.871
Jose J Lopez,SEA,153,613,69,167,42,0,25,96,24,69,3,3,.272,.303,.463,.766
Brandon B Phillips,CIN,153,584,78,161,30,5,20,98,44,75,25,9,.276,.329,.447,.776
Placido P Polanco,DET,153,618,82,176,31,4,10,72,36,46,7,2,.285,.331,.396,.727
Pablo P Sandoval,SF,153,572,79,189,44,5,25,90,52,83,5,5,.330,.387,.556,.943
Skip S Schumaker,STL,153,532,85,161,34,1,4,35,52,69,2,2,.303,.364,.393,.757
Bobby B Abreu R,LAA,152,563,96,165,29,3,15,103,94,113,30,8,.293,.390,.435,.825
Paul P Konerko,CWS,152,546,75,151,30,1,28,88,58,89,1,0,.277,.353,.489,.842
Kendrys K Morales,LAA,152,566,86,173,43,2,34,108,46,117,3,7,.306,.355,.569,.924
Ben B Zobrist,TB,152,501,91,149,28,7,27,91,91,104,17,6,.297,.405,.543,.948
Jason J Bay L,BOS,151,531,103,142,29,3,36,119,94,162,13,3,.267,.384,.537,.921
Todd T Helton,COL,151,544,79,177,38,3,15,86,89,73,0,1,.325,.416,.489,.904
Adam A Lind D,TOR,151,587,93,179,46,0,35,114,58,110,1,1,.305,.370,.562,.932
Felipe F Lopez,MIL,151,604,88,187,38,3,9,57,71,100,6,6,.310,.383,.427,.810
Jhonny J Peralta,CLE,151,582,57,148,35,1,11,83,51,134,0,2,.254,.316,.375,.690
Hanley H Ramirez S,FLA,151,576,101,197,42,1,24,106,61,101,27,8,.342,.410,.543,.954
Cody C Ross,FLA,151,559,73,151,37,1,24,90,34,122,5,2,.270,.321,.469,.790
Troy T Tulowitzki S,COL,151,543,101,161,25,9,32,92,73,112,20,11,.297,.377,.552,.930
Rafael R Furcal S,LAD,150,613,92,165,28,5,9,47,61,89,12,6,.269,.335,.375,.710
Aubrey A Huff D,DET,150,536,59,129,30,1,15,85,51,87,0,6,.241,.310,.384,.694
Andy A La Roche,PIT,150,524,64,135,29,5,12,64,50,84,3,1,.258,.330,.401,.731
Adam A La Roche,ATL,150,555,78,154,38,2,25,83,69,142,2,2,.277,.355,.488,.843
David D Ortiz,BOS,150,541,77,129,35,1,28,99,74,134,0,2,.238,.332,.462,.794
Nick N Swisher R,NYY,150,498,84,124,35,1,29,82,97,126,0,0,.249,.371,.498,.869
Mike M Cameron C,MIL,149,544,78,136,32,3,24,70,75,156,7,3,.250,.342,.452,.795
Jorge J Cantu,FLA,149,585,67,169,42,0,16,100,47,81,3,1,.289,.345,.443,.788
Jack J Cust D,OAK,149,513,88,123,16,0,25,70,93,185,4,1,.240,.356,.417,.773
Orlando O Hudson,LAD,149,551,74,156,35,6,9,62,62,99,8,1,.283,.357,.417,.774
Alex A Rios C,CWS,149,582,63,144,31,2,17,71,37,107,24,5,.247,.296,.395,.691
Randy R Winn,SF,149,538,65,141,33,5,2,51,47,93,16,2,.262,.318,.353,.671
Alexei A Ramirez S,CWS,148,542,71,150,14,1,15,68,49,66,14,5,.277,.333,.389,.723
Colby C Rasmus,STL,147,474,72,119,22,2,16,52,36,95,3,1,.251,.307,.407,.714
Ian I Stewart,COL,147,425,74,97,19,3,25,70,56,138,7,4,.228,.322,.464,.785
Kurt K Suzuki,OAK,147,570,74,156,37,1,15,88,28,59,8,2,.274,.313,.421,.734
Marlon M Byrd C,TEX,146,547,66,155,43,2,20,89,32,98,8,4,.283,.329,.479,.808
Kosuke K Fukudome C,CHC,146,499,79,129,38,5,11,54,93,112,6,10,.259,.375,.421,.796
Jason J Kubel D,MIN,146,514,73,154,35,2,28,103,56,106,1,1,.300,.369,.539,.907
Ichiro I Suzuki R,SEA,146,639,88,225,31,4,11,46,32,71,26,9,.352,.386,.465,.851
Elvis E Andrus S,TEX,145,480,72,128,17,8,6,40,40,77,33,6,.267,.329,.373,.702
Brad B Hawpe R,COL,145,501,82,143,42,3,23,86,79,145,1,3,.285,.384,.519,.903
Juan J Pierre L,LAD,145,380,57,117,16,8,0,31,27,27,30,12,.308,.365,.392,.758
Denard D Span C,MIN,145,578,97,180,16,10,8,68,70,89,23,10,.311,.392,.415,.807
David D De Jesus L,KC,144,558,74,157,28,9,13,71,51,87,4,9,.281,.347,.434,.781
Ian I Kinsler,TEX,144,566,101,143,32,4,31,86,59,77,31,5,.253,.327,.488,.814
Aaron A Rowand C,SF,144,499,61,130,30,2,15,64,30,125,4,1,.261,.319,.419,.738
Marco M Scutaro S,TOR,144,574,100,162,35,1,12,60,90,75,14,5,.282,.379,.409,.789
Mark M Teahen,KC,144,524,69,142,34,1,12,50,37,123,8,1,.271,.325,.408,.734
B. J. B Upton C,TB,144,560,79,135,33,4,11,55,57,152,42,14,.241,.313,.373,.686
David D Wright,NYM,144,535,88,164,39,3,10,72,74,140,27,9,.307,.390,.447,.837
Johnny J Damon L,NYY,143,550,107,155,36,3,24,82,71,98,12,0,.282,.365,.489,.854
Chipper C Jones,ATL,143,488,80,129,23,2,18,71,101,89,4,1,.264,.388,.430,.818
Russell R Martin,LAD,143,505,63,126,19,0,7,53,69,80,11,6,.250,.352,.329,.680
Luis L Castillo,NYM,142,486,77,147,12,3,1,40,69,58,20,6,.302,.387,.346,.732
Hideki H Matsui D,NYY,142,456,62,125,21,1,28,90,64,75,0,1,.274,.367,.509,.876
Jermaine J Dye R,CWS,141,503,78,126,19,1,27,81,64,108,0,2,.250,.340,.453,.793
Yunel Y Escobar S,ATL,141,528,89,158,26,2,14,76,57,62,5,4,.299,.377,.436,.812
Kevin K Kouzmanoff,SD,141,529,50,135,31,1,18,88,27,106,1,0,.255,.302,.420,.722
Derrek D Lee,CHC,141,532,91,163,36,2,35,111,76,109,1,0,.306,.393,.579,.972
Yadier Y Molina,STL,140,481,45,141,23,1,6,54,50,39,9,3,.293,.366,.383,.749
Casey C Blake,LAD,139,485,84,136,25,6,18,79,63,116,3,4,.280,.363,.468,.832
Mark M De Rosa,STL,139,515,78,129,23,1,23,78,47,121,3,2,.250,.319,.433,.752
Ryan R Ludwick,STL,139,486,63,129,20,1,22,97,41,106,4,2,.265,.329,.447,.776
Joe J Mauer,MIN,138,523,94,191,30,1,28,96,76,63,4,1,.365,.444,.587,1.031
Brian B Mc Cann,ATL,138,488,63,137,35,1,21,94,49,83,4,1,.281,.349,.486,.834
A. J. A Pierzynski,CWS,138,504,57,151,22,1,13,49,24,52,1,1,.300,.331,.425,.755
Juan J Rivera L,LAA,138,529,72,152,24,1,25,88,36,57,0,1,.287,.332,.478,.810
Justin J Upton R,ARI,138,526,84,158,30,7,26,86,55,137,20,5,.300,.366,.532,.899
Erick E Aybar S,LAA,137,504,70,157,23,9,5,58,30,54,14,7,.312,.353,.423,.776
Jason J Bartlett S,TB,137,500,90,160,29,7,14,66,54,89,30,7,.320,.389,.490,.879
J. D. J Drew R,BOS,137,452,84,126,30,4,24,68,82,109,2,6,.279,.392,.522,.914
Carlos C Gómez Gomez,MIN,137,315,51,72,15,5,3,28,22,72,14,7,.229,.287,.337,.623
Willie W Harris C,WSH,137,323,47,76,18,6,7,27,57,62,11,4,.235,.364,.393,.757
Lance L Berkman,HOU,136,460,73,126,31,1,25,80,97,98,7,4,.274,.399,.509,.907
David D Eckstein,SD,136,503,64,131,27,2,2,51,39,46,3,1,.260,.323,.334,.656
Kevin K Youkilis,BOS,136,491,99,150,36,1,27,94,77,125,7,2,.305,.413,.548,.961
Garret G Anderson L,ATL,135,496,52,133,27,0,13,61,27,73,1,0,.268,.303,.401,.705
