PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Stephen S Drew,ARI,135,533,71,139,29,12,12,65,49,87,5,1,.261,.320,.428,.748
Mike M Fontenot,CHC,135,377,38,89,22,2,9,43,35,83,4,1,.236,.301,.377,.677
Dexter D Fowler C,COL,135,433,73,115,29,10,4,34,67,116,27,10,.266,.363,.406,.770
Cristian C Guzman S,WSH,135,531,74,151,24,7,6,52,16,75,4,5,.284,.306,.390,.696
Gerald G Laird,DET,135,413,49,93,23,2,4,33,40,68,5,0,.225,.306,.320,.626
Justin J Morneau,MIN,135,508,85,139,31,1,30,100,72,86,0,0,.274,.363,.516,.878
Carlos C Pena,TB,135,471,91,107,25,2,39,100,87,163,3,3,.227,.356,.537,.893
Michael M Young,TEX,135,541,76,174,36,2,22,68,47,90,8,3,.322,.374,.518,.892
Yuniesky Y Betancourt S,KC,134,470,40,115,20,6,6,49,21,44,3,3,.245,.274,.351,.625
Raul R Ibanez L,PHI,134,500,93,136,32,3,34,93,56,119,4,0,.272,.347,.552,.899
Jason J Kendall,MIL,134,452,48,109,19,2,2,43,46,58,7,2,.241,.331,.305,.636
Ryan R Sweeney,OAK,134,484,68,142,31,3,6,53,40,67,6,5,.293,.348,.407,.755
Chris C Young,ARI,134,433,54,92,28,4,15,42,59,133,11,4,.212,.311,.400,.711
Nick N Johnson,FLA,133,457,71,133,24,2,8,62,99,84,2,4,.291,.426,.405,.831
Brandon B Moss R,PIT,133,385,47,91,20,4,7,41,34,84,1,5,.236,.304,.364,.668
Seth S Smith L,COL,133,335,61,98,20,4,15,55,46,67,4,1,.293,.378,.510,.889
Ryan R Spilborghs L,COL,133,352,55,85,24,3,8,48,34,79,9,5,.241,.310,.395,.705
Josh J Willingham L,WSH,133,427,70,111,29,0,24,61,61,104,4,3,.260,.367,.496,.863
Kazuo K Matsui,HOU,132,476,56,119,20,2,9,46,34,85,19,3,.250,.302,.357,.659
Bengie B Molina,SF,132,491,52,130,25,1,20,80,13,68,0,0,.265,.285,.442,.727
Lyle L Overbay,TOR,132,423,57,112,35,1,16,64,74,95,0,0,.265,.372,.466,.838
Scott S Podsednik L,CWS,132,537,75,163,25,6,7,48,39,74,30,13,.304,.353,.412,.764
Asdrubal A Cabrera S,CLE,131,523,81,161,42,4,6,68,44,89,17,4,.308,.361,.438,.799
Jerry J Hairston,NYY,131,383,62,96,23,1,10,39,32,54,7,4,.251,.315,.394,.710
Magglio M Ordonez R,DET,131,465,54,144,24,2,9,50,51,65,3,1,.310,.376,.428,.804
Joey J Votto,CIN,131,469,82,151,38,1,25,84,70,106,4,1,.322,.414,.567,.981
Craig C Counsell,MIL,130,404,61,115,22,8,4,39,42,54,3,4,.285,.357,.408,.766
Jeremy J Hermida R,FLA,129,429,48,111,14,2,13,47,56,101,5,2,.259,.348,.392,.740
Adam A Kennedy,OAK,129,529,65,153,29,1,11,63,45,86,20,6,.289,.348,.410,.758
Nate N Mc Louth C,ATL,129,507,86,130,27,2,20,70,68,99,19,6,.256,.352,.436,.788
Brendan B Ryan S,STL,129,390,55,114,19,7,3,37,24,56,14,7,.292,.340,.400,.740
Chris C Coghlan L,FLA,128,504,84,162,31,6,9,47,53,77,8,5,.321,.390,.460,.850
Nelson N Cruz R,TEX,128,462,75,120,21,1,33,76,49,118,20,4,.260,.332,.524,.856
Mike M Jacobs D,KC,128,434,46,99,16,1,19,61,41,132,0,0,.228,.297,.401,.698
Miguel M Montero,ARI,128,425,61,125,30,0,16,59,38,78,1,2,.294,.355,.478,.832
David D Murphy L,TEX,128,432,61,116,24,1,17,57,49,106,9,4,.269,.338,.447,.785
Martin M Prado,ATL,128,450,64,138,38,0,11,49,36,59,1,3,.307,.358,.464,.822
Scott S Rolen,CIN,128,475,76,145,36,1,11,67,45,62,5,4,.305,.368,.455,.823
Luke L Scott D,BAL,128,449,61,116,26,1,25,77,55,104,0,0,.258,.340,.488,.828
Emilio E Bonifácio,FLA,127,461,72,116,11,6,1,27,34,95,21,9,.252,.303,.308,.611
Mitch M Maier C,KC,127,341,42,83,15,3,3,31,43,76,9,2,.243,.333,.331,.665
Garrett G Atkins,COL,126,354,37,80,12,1,9,48,41,58,0,0,.226,.308,.342,.650
Ben B Francisco,PHI,126,405,58,104,30,1,15,46,38,83,14,7,.257,.332,.447,.779
Casey C Kotchman,BOS,126,385,37,103,23,0,7,48,39,42,1,0,.268,.339,.382,.721
Jeremy J Reed,NYM,126,161,9,39,6,2,0,9,14,36,0,3,.242,.301,.304,.606
Rod R Barajas,TOR,125,429,43,97,19,0,19,71,20,76,1,0,.226,.258,.403,.662
Willie W Bloomquist R,KC,125,434,52,115,11,8,4,29,27,73,25,6,.265,.308,.355,.663
Rajai R Davis C,OAK,125,390,65,119,27,5,3,48,29,70,41,12,.305,.360,.423,.784
Matt M Diaz R,ATL,125,371,56,116,18,4,13,58,35,90,12,5,.313,.390,.488,.878
Ross R Gload,FLA,125,230,33,60,10,2,6,30,23,30,0,0,.261,.329,.400,.730
Melvin M Mora,BAL,125,450,44,117,20,0,8,48,34,60,3,3,.260,.321,.358,.679
Nick N Punto,MIN,125,359,56,82,15,1,1,38,61,70,16,3,.228,.337,.284,.621
Fernando F Tatis,NYM,125,340,42,96,21,4,8,48,22,54,4,1,.282,.339,.438,.777
Milton M Bradley R,CHC,124,393,61,101,17,1,12,40,66,95,2,3,.257,.378,.397,.775
Edgar E Renteria S,SF,124,460,50,115,19,1,5,48,39,69,7,2,.250,.307,.328,.635
Alex A Rodriguez,NYY,124,444,78,127,17,1,30,100,80,97,14,2,.286,.402,.532,.933
Jim J Thome,LAD,124,362,55,90,15,0,23,77,69,123,0,0,.249,.366,.481,.847
Joe J Thurston,STL,124,267,27,60,17,4,1,25,33,56,4,2,.225,.316,.330,.645
Delwyn D Young,PIT,124,354,40,94,16,2,7,43,29,90,2,0,.266,.326,.381,.707
Hank H Blalock,TEX,123,462,62,108,21,4,25,66,26,108,2,0,.234,.277,.459,.736
Brendan B Harris S,MIN,123,414,44,108,22,1,6,37,29,78,0,2,.261,.310,.362,.672
Anderson A Hernandez S,NYM,123,366,39,92,15,4,3,37,33,63,7,5,.251,.312,.339,.650
Rick R Ankiel C,STL,122,372,50,86,21,2,11,38,26,99,4,3,.231,.285,.387,.672
Pat P Burrell D,TB,122,412,45,91,16,1,14,64,57,119,2,0,.221,.315,.367,.682
Jody J Gerut,MIL,122,274,40,63,13,0,9,35,19,43,6,2,.230,.279,.376,.654
Fred F Lewis L,SF,122,295,49,76,21,3,4,20,36,84,8,4,.258,.348,.390,.738
Juan J Uribe,SF,122,398,50,115,26,4,16,55,25,82,3,1,.289,.329,.495,.824
Ty T Wigginton,BAL,122,410,44,112,19,0,11,41,23,57,1,2,.273,.314,.400,.714
Ivan I Rodriguez,TEX,121,425,55,106,23,2,10,47,18,92,1,2,.249,.280,.384,.663
Geoff G Blum,HOU,120,381,34,94,14,1,10,49,33,61,0,1,.247,.314,.367,.681
Travis T Ishikawa,SF,120,326,49,85,10,2,9,39,30,89,2,2,.261,.329,.387,.715
Nyjer N Morgan C,WSH,120,469,74,144,15,7,3,39,40,74,42,17,.307,.369,.388,.757
Gerardo G Parra L,ARI,120,455,59,132,21,8,5,60,25,89,5,7,.290,.324,.404,.729
Tony A Gwynn Jr. C,SD,119,393,59,106,11,6,2,21,48,65,11,7,.270,.350,.344,.693
Torii T Hunter C,LAA,119,451,74,135,26,1,22,90,47,92,18,4,.299,.366,.508,.873
Adam A Jones C,BAL,119,473,83,131,22,3,19,70,36,93,10,4,.277,.335,.457,.792
Mike M Lowell,BOS,119,445,54,129,29,1,17,75,33,61,2,1,.290,.337,.474,.811
Josh J Anderson C,KC,118,283,42,68,7,4,1,24,13,43,25,5,.240,.276,.304,.580
Adam A Everett S,DET,118,345,43,82,21,0,3,44,22,61,5,2,.238,.288,.325,.613
Ryan R Garko,SF,118,354,39,95,13,1,13,51,29,50,0,0,.268,.344,.421,.765
Ken K Griffey D,SEA,117,387,44,83,19,0,19,57,63,80,0,0,.214,.324,.411,.735
Alfonso A Soriano L,CHC,117,477,64,115,25,1,20,55,40,118,9,2,.241,.303,.423,.726
Russell R Branyan,SEA,116,431,64,108,21,1,31,76,58,149,2,0,.251,.347,.520,.867
Scott S Hairston L,OAK,116,430,50,114,27,2,17,64,25,83,11,3,.265,.307,.456,.762
Casey C Mc Gehee,MIL,116,355,58,107,20,1,16,66,34,67,0,2,.301,.360,.499,.859
Laynce L Nix,CIN,116,309,42,74,26,1,15,46,22,81,0,1,.239,.291,.476,.766
Nate N Schierholtz R,SF,116,285,33,76,19,2,5,29,16,58,3,1,.267,.302,.400,.702
Gabe G Gross R,TB,115,282,31,64,16,1,6,36,42,79,6,3,.227,.326,.355,.681
J. J Hardy S,MIL,115,414,53,95,16,2,11,47,43,85,0,1,.229,.302,.357,.659
Corey C Hart R,MIL,115,419,64,109,24,3,12,48,43,92,11,6,.260,.335,.418,.753
Dioner D Navarro,TB,115,376,38,82,15,0,8,32,18,51,5,2,.218,.261,.322,.583
Cesar C Izturis S,BAL,114,387,34,99,14,4,2,30,18,38,12,4,.256,.294,.328,.622
Maicer M Izturis,LAA,114,387,74,116,22,3,8,65,35,41,13,5,.300,.359,.434,.794
Mike M Napoli,LAA,114,382,60,104,22,1,20,56,40,103,3,3,.272,.350,.492,.842
Miguel M Olivo,KC,114,390,51,97,15,5,23,65,19,126,5,2,.249,.292,.490,.781
Jose J Bautista L,TOR,113,336,54,79,13,3,13,40,56,85,4,0,.235,.349,.408,.757
Chris C Davis,TEX,113,391,48,93,15,1,21,59,24,150,0,0,.238,.284,.442,.726
Wes W Helms,FLA,113,214,18,58,11,0,3,33,13,54,1,1,.271,.318,.364,.682
Ryan R Raburn L,DET,113,261,44,76,11,2,16,45,26,60,5,4,.291,.359,.533,.891
John J Baker,FLA,112,373,59,101,25,0,9,50,41,89,0,0,.271,.349,.410,.759
Alex A Gonzalez S,BOS,112,391,42,93,22,0,8,41,20,65,2,1,.238,.279,.355,.635
Adrian A Beltré,SEA,111,449,54,119,27,0,8,44,19,74,13,2,.265,.304,.379,.683
Ryan R Church,ATL,111,359,46,98,28,0,4,40,33,58,6,2,.273,.338,.384,.722
Jorge J Posada,NYY,111,383,55,109,25,0,22,81,48,101,1,0,.285,.363,.522,.885
Freddy F Sanchez,SF,111,457,56,134,29,3,7,41,22,76,5,1,.293,.326,.416,.742
Ronnie R Belliard,LAD,110,264,39,73,14,1,10,39,20,56,3,0,.277,.325,.451,.776
Bill B Hall L,SEA,110,334,32,67,20,1,8,36,27,120,2,2,.201,.258,.338,.596
Ryan R Roberts,ARI,110,305,41,85,17,2,7,25,40,55,7,3,.279,.367,.416,.783
Jason J Varitek,BOS,109,364,41,76,24,0,14,51,54,90,0,0,.209,.313,.390,.703
Brett B Gardner C,NYY,108,248,48,67,6,6,3,23,26,40,26,5,.270,.345,.379,.724
Andrew A Mc Cutchen C,PIT,108,433,74,124,26,9,12,54,54,83,22,5,.286,.365,.471,.836
Delmon D Young L,MIN,108,395,50,112,16,2,12,60,12,92,2,5,.284,.308,.425,.733
Elijah E Dukes R,WSH,107,364,38,91,20,4,8,58,46,74,3,10,.250,.337,.393,.729
Darin D Erstad,HOU,107,134,13,26,8,2,2,11,14,31,0,2,.194,.268,.328,.597
Chris C Getz,CWS,107,375,49,98,18,4,2,31,30,54,25,2,.261,.324,.347,.670
Jeff J Keppinger,HOU,107,305,35,78,13,3,7,29,27,33,0,2,.256,.320,.387,.707
Mark M Loretta,LAD,107,181,19,42,8,0,0,25,20,21,1,1,.232,.309,.276,.585
Carlos C Ruiz,PHI,107,322,32,82,26,1,9,43,47,39,3,2,.255,.355,.425,.780
Kelly K Johnson,ATL,106,303,47,68,20,3,8,29,32,54,7,2,.224,.303,.389,.692
Grady G Sizemore C,CLE,106,436,73,108,20,6,18,64,60,92,13,8,.248,.343,.445,.788
Jack J Wilson S,SEA,106,373,37,95,23,1,5,39,21,48,3,1,.255,.292,.362,.654
Willy W Aybar,TB,105,296,38,75,12,0,12,41,34,54,1,0,.253,.331,.416,.747
Ronny R Cedeno S,PIT,105,341,32,71,8,3,10,38,19,79,5,2,.208,.256,.337,.593
Mark M Ellis,OAK,105,377,52,99,23,0,10,61,23,54,10,3,.263,.305,.403,.708
Alberto A Gonzalez,WSH,105,291,31,77,16,3,1,33,14,27,1,1,.265,.299,.351,.650
Micah M Hoffpauir,CHC,105,234,28,56,12,1,10,35,20,46,1,0,.239,.300,.427,.727
Howie H Kendrick,LAA,105,374,61,109,21,3,10,61,20,71,11,4,.291,.334,.444,.778
Manny M Ramirez L,LAD,104,352,62,102,24,2,19,63,71,81,0,1,.290,.418,.531,.949
Nolan N Reimold L,BAL,104,358,49,100,18,2,15,45,47,77,8,2,.279,.365,.466,.831
Gordon G Beckham,CWS,103,378,58,102,28,1,14,63,41,65,7,4,.270,.347,.460,.808
Everth E Cabrera S,SD,103,377,59,96,18,8,2,31,46,88,25,8,.255,.342,.361,.703
Nick N Green S,BOS,103,276,35,65,18,0,6,35,20,69,1,4,.236,.303,.366,.669
Jack J Hannahan,SEA,103,267,27,57,14,2,4,19,30,71,1,1,.213,.297,.326,.622
Gary G Matthews C,LAA,103,316,44,79,19,2,4,50,40,74,4,1,.250,.336,.361,.697
Augie A Ojeda,ARI,103,264,38,65,17,3,1,16,32,28,3,1,.246,.340,.345,.685
Luis L Valbuena,CLE,103,368,52,92,25,3,10,31,26,83,2,3,.250,.298,.416,.714
Jason J Giambi,COL,102,293,43,59,14,0,13,51,57,80,0,0,.201,.343,.382,.725
Jason J Michaels,HOU,102,135,17,32,12,1,4,16,16,38,1,2,.237,.322,.430,.752
Geovany G Soto,CHC,102,331,27,72,19,1,11,47,50,77,1,0,.218,.321,.381,.702
Willy W Taveras C,CIN,102,404,56,97,11,2,1,15,18,58,25,6,.240,.275,.285,.559
Clete C Thomas R,DET,102,275,46,66,13,3,7,39,33,77,3,0,.240,.324,.385,.709
Jay J Bruce R,CIN,101,345,47,77,15,2,22,58,38,75,3,3,.223,.303,.470,.773
Felix F Pie L,BAL,101,252,38,67,10,3,9,29,24,58,1,3,.266,.326,.437,.763
Ramon R Vázquez Vazquez,PIT,101,204,17,47,7,0,1,16,31,47,1,0,.230,.335,.279,.614
Vladimir V Guerrero D,LAA,100,383,59,113,16,1,15,50,19,56,2,1,.295,.334,.460,.794
Gary G Sheffield L,NYM,100,268,44,74,13,2,10,43,40,46,2,1,.276,.372,.451,.823
Gabe G Kapler R,TB,99,205,26,49,15,1,8,32,29,39,5,2,.239,.329,.439,.768
Carlos C Quentin L,CWS,99,351,47,83,14,0,21,56,31,52,3,0,.236,.323,.456,.779
Matt M Stairs,PHI,99,103,15,20,4,0,5,17,23,30,0,0,.194,.357,.379,.735
Jonny J Gomes L,CIN,98,281,39,75,17,0,20,51,26,85,3,1,.267,.338,.541,.878
Chad C Tracy,ARI,98,257,29,61,15,0,8,39,26,38,1,0,.237,.306,.389,.695
Bobby B Crosby,OAK,97,238,35,53,10,2,6,29,24,44,2,1,.223,.295,.357,.652
Chris C Dickerson L,CIN,97,255,31,70,13,3,2,15,39,66,11,3,.275,.370,.373,.743
