TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Toronto Blue Jays,AL,162,5589,767,1479,263,50,167,729,526,970,111,52,.265,.328,.419,.747
Detroit Tigers,AL,162,5479,750,1418,241,32,172,714,634,952,82,57,.259,.337,.409,.746
Boston Red Sox,AL,162,5516,699,1502,298,31,106,660,598,795,53,52,.272,.344,.395,.739
Pittsburgh Pirates,NL,162,5388,733,1395,288,42,138,693,582,914,137,52,.259,.330,.405,.735
New York Mets,NL,162,5504,775,1410,278,21,172,734,536,851,110,33,.256,.323,.408,.731
Oakland Athletics,AL,162,5433,733,1379,209,22,164,693,651,992,141,54,.254,.336,.391,.727
Cincinnati Reds,NL,162,5525,693,1466,284,40,125,644,466,913,166,66,.265,.325,.399,.724
Kansas City Royals,AL,161,5488,707,1465,316,44,100,660,498,879,107,62,.267,.328,.395,.723
California Angels,AL,162,5570,690,1448,237,27,147,646,566,1000,69,43,.260,.329,.391,.720
San Francisco Giants,NL,162,5573,719,1459,221,35,152,681,488,973,109,56,.262,.323,.396,.718
Cleveland Indians,AL,162,5485,732,1465,266,41,110,675,458,836,107,52,.267,.324,.391,.714
Los Angeles Dodgers,NL,162,5491,728,1436,222,27,129,669,538,952,141,65,.262,.328,.382,.710
Minnesota Twins,AL,162,5499,666,1458,281,39,100,625,445,749,96,53,.265,.324,.385,.708
Texas Rangers,AL,162,5469,676,1416,257,27,110,641,575,1054,115,48,.259,.331,.376,.707
Seattle Mariners,AL,162,5474,640,1419,251,26,107,610,596,749,105,51,.259,.333,.373,.707
Atlanta Braves,NL,162,5504,682,1376,263,26,162,636,473,1010,92,55,.250,.311,.396,.706
Chicago Cubs,NL,162,5600,690,1474,240,36,136,649,406,869,151,50,.263,.314,.392,.706
Milwaukee Brewers,AL,162,5503,732,1408,247,36,128,680,519,821,164,72,.256,.320,.384,.704
San Diego Padres,NL,162,5554,673,1429,243,35,123,628,509,902,138,59,.257,.320,.380,.700
Baltimore Orioles,AL,161,5410,669,1328,234,22,132,623,660,962,94,52,.245,.330,.370,.700
Chicago White Sox,AL,162,5402,682,1393,251,44,106,637,478,903,140,90,.258,.320,.379,.699
Montreal Expos,NL,162,5453,662,1363,227,43,114,607,576,1024,235,99,.250,.322,.370,.692
Philadelphia Phillies,NL,162,5535,646,1410,237,27,103,619,582,915,108,35,.255,.327,.363,.690
St. Louis Cardinals,NL,162,5462,599,1398,255,41,73,554,517,844,221,74,.256,.320,.358,.678
New York Yankees,AL,162,5483,603,1322,208,19,147,561,427,1027,119,45,.241,.300,.366,.667
Houston Astros,NL,162,5379,573,1301,209,32,94,536,548,997,179,83,.242,.313,.345,.658
