TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
New York Yankees,AL,162,5717,968,1656,326,32,201,929,637,991,123,40,.290,.366,.463,.829
Philadelphia Phillies,NL,162,5688,892,1558,326,41,213,850,641,1205,138,19,.274,.354,.458,.812
Boston Red Sox,AL,162,5589,867,1561,352,35,166,829,689,1042,96,24,.279,.362,.444,.806
Detroit Tigers,AL,162,5757,887,1652,352,50,177,857,474,1054,103,30,.287,.345,.458,.802
Colorado Rockies,NL,163,5691,860,1591,313,36,171,823,622,1152,100,31,.280,.354,.437,.791
Milwaukee Brewers,NL,162,5554,801,1455,310,37,231,774,501,1137,96,32,.262,.329,.456,.785
Florida Marlins,NL,162,5627,790,1504,340,38,201,749,521,1332,105,34,.267,.336,.448,.784
New York Mets,NL,162,5605,804,1543,294,27,177,761,549,981,200,46,.275,.342,.432,.775
Atlanta Braves,NL,162,5689,810,1562,328,27,176,781,534,1149,64,30,.275,.339,.435,.774
Cincinnati Reds,NL,162,5607,783,1496,293,23,204,747,536,1113,97,31,.267,.335,.436,.772
Cleveland Indians,AL,162,5604,811,1504,305,27,178,784,590,1202,72,41,.268,.343,.428,.771
Tampa Bay Devil Rays,AL,162,5593,782,1500,291,36,187,750,545,1324,131,48,.268,.336,.433,.770
Seattle Mariners,AL,162,5684,794,1629,284,22,153,754,389,861,81,30,.287,.337,.425,.762
Los Angeles Angels,AL,162,5554,822,1578,324,23,123,776,507,883,139,55,.284,.345,.417,.762
Chicago Cubs,NL,162,5643,752,1530,340,28,151,711,500,1054,86,33,.271,.333,.422,.754
Texas Rangers,AL,162,5555,816,1460,298,36,179,768,503,1224,88,25,.263,.328,.426,.754
Toronto Blue Jays,AL,162,5536,753,1434,344,24,165,719,533,1044,57,22,.259,.327,.419,.746
Baltimore Orioles,AL,162,5631,756,1529,306,30,142,718,500,939,144,42,.272,.333,.412,.746
Oakland Athletics,AL,162,5577,741,1430,295,16,171,711,664,1119,52,20,.256,.338,.407,.745
St. Louis Cardinals,NL,162,5529,725,1513,279,13,141,690,506,909,56,33,.274,.337,.405,.743
Los Angeles Dodgers,NL,162,5613,735,1544,276,35,129,706,511,864,137,50,.275,.337,.406,.743
Houston Astros,NL,162,5605,723,1457,293,30,167,700,547,1043,65,33,.260,.330,.412,.742
Pittsburgh Pirates,NL,162,5569,724,1463,322,31,148,694,463,1135,68,30,.263,.325,.411,.736
Arizona Diamondbacks,NL,162,5398,712,1350,286,40,171,687,532,1111,109,24,.250,.321,.413,.734
San Diego Padres,NL,163,5612,741,1408,322,31,171,704,557,1229,55,24,.251,.322,.411,.732
Chicago White Sox,AL,162,5441,693,1341,249,20,190,667,532,1149,78,45,.246,.318,.404,.722
Minnesota Twins,AL,162,5522,718,1460,273,36,118,671,512,839,112,30,.264,.330,.391,.721
Washington Nationals,NL,162,5520,673,1415,309,31,123,646,524,1128,69,23,.256,.325,.390,.715
Kansas City Royals,AL,162,5534,706,1447,300,46,102,660,428,1069,78,44,.261,.322,.388,.710
San Francisco Giants,NL,162,5538,683,1407,267,37,131,641,532,907,119,33,.254,.322,.387,.708
