PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Whit W Merrifield,KC,162,664,97,184,42,3,10,74,40,103,40,4,.277,.317,.395,.711
Marcus M Semien,TOR,162,652,115,173,39,2,45,102,66,146,15,1,.265,.334,.538,.873
Vladimir V Guerrero Jr.,TOR,161,604,123,188,29,1,48,111,86,110,4,1,.311,.401,.601,1.002
Salvador S Perez,KC,161,620,88,169,24,0,48,121,28,170,1,0,.273,.316,.544,.859
J. P. J Crawford S,SEA,160,619,89,169,37,0,9,54,58,114,3,6,.273,.338,.376,.715
Austin A Riley,ATL,160,590,91,179,33,1,33,107,52,168,0,1,.303,.367,.531,.898
Dansby D Swanson S,ATL,160,588,78,146,33,2,27,88,52,167,9,3,.248,.311,.449,.760
Bo B Bichette S,TOR,159,640,121,191,30,1,29,102,40,137,25,1,.298,.343,.484,.828
Tommy T Edman,STL,159,641,91,168,41,3,11,56,38,95,30,5,.262,.308,.387,.695
Freddie F Freeman,ATL,159,600,120,180,25,2,31,83,85,107,8,3,.300,.393,.503,.896
Cedric C Mullins,BAL,159,602,91,175,37,5,30,59,59,125,30,8,.291,.360,.518,.878
Bryan B Reynolds C,PIT,159,559,93,169,35,8,24,90,75,119,5,2,.302,.390,.522,.912
Kyle K Seager,SEA,159,603,73,128,29,1,35,101,59,161,3,1,.212,.285,.438,.723
Paul P Goldschmidt,STL,158,603,102,177,36,2,31,99,67,136,12,0,.294,.365,.514,.879
Isiah I Kiner- Falefa S,TEX,158,635,74,172,25,3,8,53,28,90,20,5,.271,.312,.357,.670
Carlos C Santana,KC,158,565,66,121,15,0,19,69,86,102,2,0,.214,.319,.342,.660
Myles M Straw C,CLE,158,564,86,153,29,1,4,48,67,121,30,6,.271,.349,.348,.696
Nolan N Arenado,STL,157,593,81,151,34,3,34,105,50,96,2,0,.255,.312,.494,.806
David D Fletcher,LAA,157,626,74,164,27,3,2,47,31,60,15,3,.262,.297,.324,.622
Mitch M Haniger R,SEA,157,620,110,157,23,2,39,100,54,169,1,0,.253,.318,.485,.804
Nathaniel N Lowe,TEX,157,557,75,147,24,3,18,72,80,162,8,0,.264,.357,.415,.771
Ozzie O Albies,ATL,156,629,103,163,40,7,30,106,47,128,20,4,.259,.310,.488,.799
Rafael R Devers,BOS,156,591,101,165,37,1,38,113,62,143,5,5,.279,.352,.538,.890
Robbie R Grossman L,DET,156,557,88,133,23,3,23,67,98,155,20,5,.239,.357,.415,.772
Matt M Olson,OAK,156,565,101,153,35,0,39,111,88,113,4,1,.271,.371,.540,.911
Jonathan J Schoop,DET,156,623,85,173,30,1,22,84,37,133,2,0,.278,.320,.435,.756
Adam A Frazier,SD,155,577,83,176,36,5,5,43,48,69,10,5,.305,.368,.411,.779
Shohei S Ohtani D,LAA,155,537,103,138,26,8,46,100,96,189,26,10,.257,.372,.592,.965
Tommy T Pham L,SD,155,475,74,109,24,2,15,49,78,128,14,6,.229,.340,.383,.724
Joey J Gallo L,NYY,153,498,90,99,13,1,38,77,111,213,6,0,.199,.351,.458,.808
