PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Manny M Machado,SD,153,564,92,157,31,2,28,106,63,102,12,3,.278,.347,.489,.836
Jose J Abreu,CWS,152,566,86,148,30,2,30,117,61,143,1,0,.261,.351,.481,.831
Pete P Alonso,NYM,152,561,81,147,27,3,37,94,60,127,3,0,.262,.344,.519,.862
Jake J Cronenworth,SD,152,567,94,151,33,7,21,71,55,90,4,3,.266,.340,.460,.800
Ty T France,SEA,152,571,85,166,32,1,18,73,46,106,0,0,.291,.368,.445,.812
Jorge J Polanco,MIN,152,588,97,158,35,2,33,98,45,118,11,6,.269,.323,.503,.826
Jose J Ramírez,CLE,152,552,111,147,32,5,36,103,72,87,27,4,.266,.355,.538,.893
Matt M Chapman,OAK,151,529,75,111,15,3,27,72,80,202,3,2,.210,.314,.403,.716
Eric E Hosmer,SD,151,509,53,137,28,0,12,65,48,99,5,4,.269,.337,.395,.732
Nicky N Lopez S,KC,151,497,78,149,21,6,2,43,49,74,22,1,.300,.365,.378,.744
Ryan R Mc Mahon,COL,151,528,80,134,32,1,23,86,59,147,6,2,.254,.331,.449,.779
Juan J Soto R,WSH,151,502,111,157,20,2,29,95,145,93,9,7,.313,.465,.534,.999
Justin J Turner,LAD,151,533,87,148,22,0,27,87,61,98,3,0,.278,.361,.471,.832
Charlie C Blackmon R,COL,150,514,76,139,25,4,13,78,54,91,3,0,.270,.351,.411,.761
Jonathan J India,CIN,150,532,98,143,34,2,21,69,71,141,12,3,.269,.376,.459,.835
D J Le Mahieu,NYY,150,597,84,160,24,1,10,57,73,94,4,2,.268,.349,.362,.711
David D Peralta L,ARI,150,487,57,126,30,8,8,63,46,92,2,1,.259,.325,.402,.728
Luis L Urías,MIL,150,490,77,122,25,1,23,75,63,116,5,1,.249,.345,.445,.789
Jeimer J Candelario,DET,149,557,75,151,42,3,16,67,65,135,0,0,.271,.351,.443,.795
Dylan D Carlson R,STL,149,542,79,144,31,4,18,65,57,152,2,1,.266,.343,.437,.780
Adolis A García Garcia C,TEX,149,581,77,141,26,2,31,90,32,194,16,5,.243,.286,.454,.741
Randal R Grichuk C,TOR,149,511,59,123,25,1,22,81,27,114,0,3,.241,.281,.423,.703
Cesar C Hernández,CWS,149,570,84,132,21,2,21,62,59,135,1,1,.232,.308,.386,.694
Brandon B Lowe,TB,149,535,97,132,31,0,39,99,68,167,7,1,.247,.340,.523,.863
Jorge J Soler R,ATL,149,516,74,115,27,0,27,70,67,142,0,0,.223,.316,.432,.749
Carlos C Correa S,HOU,148,555,104,155,34,1,26,92,75,116,0,0,.279,.366,.485,.850
Ian I Happ L,CHC,148,465,63,105,20,1,25,66,62,156,9,2,.226,.323,.434,.757
Aaron A Judge R,NYY,148,550,89,158,24,0,39,98,75,158,6,1,.287,.373,.544,.916
J. D. J Martinez D,BOS,148,570,92,163,42,3,28,99,55,150,0,0,.286,.349,.518,.867
Kevin K Newman S,PIT,148,517,50,117,22,3,5,39,27,41,6,1,.226,.265,.309,.574
Chris C Taylor,LAD,148,507,92,129,25,4,20,73,63,167,13,1,.254,.344,.438,.782
Trea T Turner,LAD,148,595,107,195,34,3,28,77,41,110,32,5,.328,.375,.536,.911
Kyle K Farmer S,CIN,147,483,60,127,22,2,16,63,22,97,2,3,.263,.316,.416,.732
Garrett G Hampson C,COL,147,453,69,106,21,6,11,33,33,118,17,7,.234,.289,.380,.669
Trey T Mancini,BAL,147,556,77,142,33,1,21,71,51,143,0,0,.255,.326,.432,.758
Jose J Altuve,HOU,146,601,117,167,32,1,31,83,66,91,5,3,.278,.350,.489,.839
Elvis E Andrus S,OAK,146,497,60,121,25,2,3,37,31,81,12,2,.243,.294,.320,.614
Adam A Duvall L,ATL,146,513,67,117,17,2,38,113,35,174,5,0,.228,.281,.491,.772
Eduardo E Escobar,MIL,146,549,77,139,26,5,28,90,48,124,1,0,.253,.314,.472,.786
Wil W Myers R,SD,146,442,56,113,24,2,17,63,54,141,8,5,.256,.334,.434,.768
Alex A Verdugo L,BOS,146,544,88,157,32,2,13,63,51,96,6,2,.289,.351,.426,.778
Dominic Do Smith L,NYM,145,446,43,109,20,0,11,58,32,112,2,1,.244,.304,.363,.668
Pavin P Smith,ARI,145,498,68,133,27,4,11,49,42,106,1,0,.267,.328,.404,.732
Eugenio E Suárez,CIN,145,505,71,100,23,0,31,79,56,171,0,1,.198,.286,.428,.713
Yordan Y Alvarez D,HOU,144,537,92,149,35,1,33,104,50,145,1,0,.277,.346,.531,.877
