TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Houston Astros,AL,162,5613,920,1538,323,28,288,891,645,1166,67,27,.274,.352,.495,.848
Minnesota Twins,AL,162,5732,939,1547,318,23,307,906,525,1334,28,21,.270,.338,.494,.832
New York Yankees,AL,162,5583,943,1493,290,17,306,904,569,1437,55,22,.267,.339,.490,.828
Los Angeles Dodgers,NL,162,5493,886,1414,302,20,279,861,607,1356,57,10,.257,.338,.472,.810
Boston Red Sox,AL,162,5770,901,1554,345,27,245,857,590,1382,68,30,.269,.340,.466,.806
Washington Nationals,NL,162,5512,873,1460,298,27,231,824,584,1308,116,29,.265,.342,.454,.796
Atlanta Braves,NL,162,5560,855,1432,277,29,249,824,619,1467,89,28,.258,.336,.452,.789
Chicago Cubs,NL,162,5461,814,1378,270,26,256,783,581,1460,45,24,.252,.331,.452,.783
Colorado Rockies,NL,162,5660,835,1502,323,41,224,803,489,1503,71,31,.265,.326,.456,.782
Oakland Athletics,AL,162,5561,845,1384,292,23,257,800,578,1338,49,21,.249,.327,.448,.776
New York Mets,NL,162,5624,791,1445,280,17,242,767,516,1384,56,27,.257,.328,.442,.770
Milwaukee Brewers,NL,162,5542,769,1366,279,17,250,744,629,1563,101,25,.246,.329,.438,.767
Arizona Diamondbacks,NL,162,5633,813,1419,288,40,220,778,540,1360,88,14,.252,.323,.434,.757
Tampa Bay Rays,AL,162,5628,769,1427,291,29,217,730,542,1493,94,37,.254,.325,.431,.757
Cleveland Indians,AL,162,5425,769,1354,286,18,223,731,563,1332,103,35,.250,.323,.432,.756
Texas Rangers,AL,162,5540,810,1374,296,24,223,765,534,1578,131,38,.248,.319,.431,.750
Philadelphia Phillies,NL,162,5571,774,1369,311,26,215,742,562,1453,78,18,.246,.319,.427,.746
Los Angeles Angels,AL,162,5542,769,1368,268,21,220,734,586,1276,65,20,.247,.324,.422,.746
Pittsburgh Pirates,NL,162,5657,758,1497,315,38,163,722,425,1213,64,29,.265,.321,.420,.741
Seattle Mariners,AL,162,5500,758,1305,254,28,239,730,588,1581,115,47,.237,.316,.424,.740
St. Louis Cardinals,NL,162,5449,764,1336,246,24,210,714,561,1420,116,29,.245,.322,.415,.737
Cincinnati Reds,NL,162,5450,701,1328,235,27,227,679,492,1436,80,38,.244,.315,.422,.736
Toronto Blue Jays,AL,162,5493,726,1299,270,21,247,697,509,1514,51,20,.236,.305,.428,.733
Chicago White Sox,AL,161,5529,708,1443,260,20,182,676,378,1549,63,28,.261,.314,.414,.728
Baltimore Orioles,AL,162,5596,729,1379,252,25,213,698,462,1435,84,30,.246,.310,.415,.725
San Diego Padres,NL,162,5391,682,1281,224,24,219,652,504,1581,70,37,.238,.308,.410,.718
Kansas City Royals,AL,162,5496,691,1356,281,40,162,655,456,1405,117,39,.247,.309,.401,.710
San Francisco Giants,NL,162,5579,678,1332,300,26,167,655,475,1435,47,28,.239,.302,.392,.694
Detroit Tigers,AL,161,5549,582,1333,292,41,149,556,391,1595,57,20,.240,.294,.388,.682
Miami Marlins,NL,162,5512,615,1326,265,18,146,593,395,1469,55,30,.241,.298,.375,.673
