PLAYER,TEAM,W,L,ERA,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Scott S Downs,LAA,6,3,1.34,60,0,0,0,1,4,53.2,39,11,8,3,0,15,35,1.01,.199
Bobby B Parnell,NYM,4,6,3.64,60,0,0,0,6,12,59.1,60,29,24,4,2,27,64,1.47,.258
J. J Putz,ARI,2,2,2.17,60,0,0,0,45,49,58.0,41,15,14,4,2,12,61,0.91,.195
Joakim J Soria,KC,5,5,4.03,60,0,0,0,28,35,60.1,60,29,27,7,2,17,60,1.28,.259
Jamey J Wright,SEA,2,3,3.16,60,0,0,0,1,5,68.1,61,26,24,6,5,30,48,1.33,.246
Ernesto E Frieri,SD,1,2,2.71,59,0,0,0,0,0,63.0,51,21,19,3,9,34,76,1.35,.221
Will W Ohman,CWS,1,3,4.22,59,0,0,0,0,1,53.1,53,26,25,8,4,17,54,1.31,.255
Cesar C Ramos,TB,0,1,3.92,59,0,0,0,0,2,43.2,36,22,19,4,3,25,31,1.40,.224
Henry Alberto H Rodriguez,WSH,3,3,3.56,59,0,0,0,2,5,65.2,54,30,26,1,2,45,70,1.51,.220
John J Grabow,CHC,3,1,4.76,58,0,0,0,0,0,62.1,67,39,33,9,1,28,38,1.52,.271
Jose J Mijares,MIN,0,2,4.59,58,0,0,0,0,2,49.0,53,31,25,4,3,30,30,1.69,.275
Chris C Sale,CWS,2,2,2.79,58,0,0,0,8,10,71.0,52,22,22,6,2,27,79,1.11,.203
Aaron A Crow,KC,4,4,2.76,57,0,0,0,0,7,62.0,55,20,19,8,0,31,65,1.39,.237
Michael M Stutes,PHI,6,2,3.63,57,0,0,0,0,0,62.0,49,25,25,7,2,28,58,1.24,.218
Brian B Wilson,SF,6,4,3.11,57,0,0,0,36,41,55.0,50,20,19,2,2,31,54,1.47,.240
Matt M Albers,BOS,4,4,4.73,56,0,0,0,0,3,64.2,62,35,34,7,5,31,68,1.44,.251
Juan J Cruz,TB,5,0,3.88,56,0,0,0,0,1,48.2,36,21,21,5,0,28,46,1.32,.211
Chad C Durbin,CLE,2,2,5.53,56,0,0,0,0,1,68.1,86,45,42,12,3,26,59,1.64,.306
Michael M Gonzalez,TEX,2,2,4.39,56,0,0,0,1,2,53.1,51,30,26,7,2,21,51,1.35,.250
Alfredo A Aceves,BOS,10,2,2.61,55,4,0,0,2,5,114.0,84,37,33,8,15,42,80,1.11,.204
Casey C Janssen,TOR,6,0,2.26,55,0,0,0,2,4,55.2,47,14,14,2,2,14,53,1.10,.228
Blake B Wood,KC,5,3,3.75,55,0,0,0,1,3,69.2,66,30,29,5,3,32,62,1.41,.254
Kerry K Wood,CHC,3,5,3.35,55,0,0,0,1,7,51.0,45,23,19,5,5,21,57,1.29,.236
Aroldis A Chapman,CIN,4,1,3.60,54,0,0,0,1,3,50.0,24,21,20,2,2,41,71,1.30,.147
Randy R Choate,FLA,1,1,1.82,54,0,0,0,0,0,24.2,13,7,5,3,2,13,31,1.05,.149
Enerio E Del Rosario,HOU,0,3,4.58,54,0,0,0,0,2,53.0,59,30,27,3,3,31,31,1.70,.280
Frank F Francisco,TOR,1,4,3.55,54,0,0,0,17,21,50.2,49,21,20,7,0,18,53,1.32,.246
Jose J Arredondo,CIN,4,4,3.23,53,0,0,0,0,1,53.0,43,21,19,5,2,31,48,1.40,.226
Jason J Isringhausen,NYM,3,3,4.05,53,0,0,0,7,11,46.2,36,23,21,6,1,24,44,1.29,.211
David D Pauley,DET,5,6,3.16,53,0,0,0,0,2,74.0,64,27,26,6,5,22,44,1.16,.237
Jon J Rauch,TOR,5,4,4.85,53,0,0,0,11,16,52.0,56,28,28,11,1,14,36,1.35,.269
Ryan R Webb,FLA,2,4,3.20,53,0,0,0,0,4,50.2,48,20,18,2,2,20,31,1.34,.255
Luis L Ayala,NYY,2,2,2.09,52,0,0,0,0,1,56.0,51,17,13,5,6,20,39,1.27,.256
La Troy L Hawkins,MIL,3,1,2.42,52,0,0,0,0,0,48.1,50,15,13,1,0,10,28,1.24,.260
Mark M Lowe,TEX,2,3,3.80,52,0,0,0,1,3,45.0,46,26,19,6,0,19,42,1.44,.263
Guillermo G Mota,SF,2,2,3.81,52,0,0,0,1,2,80.1,71,34,34,10,2,30,77,1.26,.240
Mitchell M Boggs,STL,2,3,3.56,51,0,0,0,4,8,60.2,62,27,24,4,2,21,48,1.37,.266
Kenley K Jansen,LAD,2,1,2.85,51,0,0,0,5,6,53.2,30,17,17,3,2,26,96,1.04,.159
Arthur A Rhodes,STL,3,4,4.64,51,0,0,0,1,3,33.0,34,17,17,8,0,11,21,1.36,.270
George G Sherrill,ATL,3,1,3.00,51,0,0,0,0,1,36.0,33,12,12,3,1,12,38,1.25,.248
Burke B Badenhop,FLA,2,3,4.10,50,0,0,0,1,1,63.2,65,29,29,1,4,24,51,1.40,.265
Franklin F Morales,BOS,1,2,3.69,50,0,0,0,0,0,46.1,40,21,19,6,2,19,42,1.27,.237
Santiago S Casilla,SF,2,2,1.74,49,0,0,0,6,7,51.2,33,11,10,1,2,25,45,1.12,.183
Sergio S Escalona,HOU,2,1,2.93,49,0,0,0,0,1,27.2,24,10,9,3,2,11,25,1.27,.240
Blake B Hawksworth,LAD,2,5,4.08,49,0,0,0,0,1,53.0,45,29,24,6,0,17,43,1.17,.225
Daniel D Schlereth,DET,2,2,3.49,49,0,0,0,0,1,49.0,36,20,19,6,5,31,44,1.37,.209
Rex R Brothers,COL,1,2,2.88,48,0,0,0,1,3,40.2,33,14,13,4,0,20,59,1.30,.217
Phil P Coke,DET,3,9,4.47,48,14,0,0,1,2,108.2,118,64,54,5,4,40,69,1.45,.279
Louis L Coleman,KC,1,4,2.87,48,0,0,0,1,2,59.2,44,20,19,9,3,26,64,1.17,.207
Trever T Miller,BOS,0,1,3.80,48,0,0,0,1,4,21.1,25,9,9,2,2,12,12,1.73,.298
Joe J Nathan,MIN,2,1,4.84,48,0,0,0,14,17,44.2,38,26,24,7,3,14,43,1.16,.222
Scott S Elbert,LAD,0,1,2.43,47,0,0,0,2,2,33.1,27,9,9,1,1,14,34,1.23,.220
Javy J Guerra,LAD,2,2,2.31,47,0,0,0,21,23,46.2,37,12,12,2,3,18,38,1.18,.218
Aaron A Laffey,NYY,3,2,3.88,47,0,0,0,0,1,53.1,67,24,23,7,3,21,30,1.65,.306
Fernando F Rodriguez Jr.,HOU,2,3,3.96,47,0,0,0,0,0,52.1,51,24,23,6,3,30,57,1.55,.264
Dan D Wheeler,BOS,2,2,4.38,47,0,0,0,0,0,49.1,47,24,24,7,0,8,39,1.11,.246
Greg G Holland,KC,5,1,1.80,46,0,0,0,4,6,60.0,37,13,12,3,1,19,74,0.93,.175
J. P. J Howell,TB,2,3,6.16,46,0,0,0,1,2,30.2,30,24,21,5,2,18,26,1.57,.259
Cory C Luebke,SD,6,10,3.29,46,17,0,0,0,0,139.2,105,54,51,12,2,44,154,1.07,.209
Cristhian C Martinez,ATL,1,3,3.36,46,0,0,0,0,0,77.2,56,30,29,8,3,19,58,0.97,.197
Steve S Cishek,FLA,2,1,2.63,45,0,0,0,3,3,54.2,45,18,16,1,3,19,55,1.17,.221
Phil P Dumatrait,MIN,1,3,3.92,45,0,0,0,1,1,41.1,45,22,18,7,1,25,29,1.69,.276
David D Herndon,PHI,1,4,3.32,45,0,0,0,1,2,57.0,54,26,21,9,2,24,39,1.37,.258
Ryota R Igarashi,NYM,4,1,4.66,45,0,0,0,0,1,38.2,43,20,20,2,4,28,42,1.84,.276
Manny M Acosta,NYM,4,1,3.45,44,0,0,0,4,7,47.0,50,21,18,6,2,15,46,1.38,.269
Rich R Thompson,LAA,1,3,3.00,44,0,0,0,0,1,54.0,46,18,18,5,0,20,56,1.22,.224
Marco M Estrada,MIL,4,8,4.08,43,7,0,0,0,3,92.2,83,45,42,11,2,29,88,1.21,.243
Sam S Le Cure,CIN,2,1,3.71,43,4,0,0,0,0,77.2,57,33,32,10,4,21,73,1.00,.205
Kyle K Mc Clellan,STL,12,7,4.19,43,17,0,0,0,1,141.2,143,71,66,21,6,43,76,1.31,.260
Aneury A Rodriguez,HOU,1,6,5.27,43,8,0,0,0,0,85.1,83,57,50,13,2,32,64,1.35,.252
Tony T Watson,PIT,2,2,3.95,43,0,0,0,0,1,41.0,34,18,18,6,1,20,37,1.32,.228
Andrew A Bailey,OAK,0,4,3.24,42,0,0,0,24,26,41.2,34,18,15,3,0,12,41,1.10,.218
D. J. D Carrasco,NYM,1,3,6.02,42,1,0,0,0,1,49.1,67,35,33,7,6,16,27,1.68,.337
Rafael R Soriano,NYY,2,3,4.12,42,0,0,0,2,5,39.1,33,18,18,4,1,18,36,1.30,.229
Al A Alburquerque,DET,6,1,1.87,41,0,0,0,0,0,43.1,21,9,9,0,2,29,67,1.15,.142
Jason J Berken,BAL,1,2,5.36,40,0,0,0,0,3,47.0,63,29,28,10,1,21,41,1.79,.318
Brandon B Gomes,TB,2,1,2.92,40,0,0,0,0,0,37.0,34,15,12,3,1,16,32,1.35,.246
Frank F Herrmann,CLE,4,0,5.11,40,0,0,0,0,0,56.1,71,35,32,7,0,16,34,1.54,.302
Hung- Chih H Kuo,LAD,1,2,9.00,40,0,0,0,0,2,27.0,24,29,27,4,2,23,36,1.74,.242
Josh J Spence,SD,0,2,2.73,40,0,0,0,0,2,29.2,14,9,9,2,2,19,31,1.11,.140
Cory C Wade,NYY,6,1,2.04,40,0,0,0,0,1,39.2,33,10,9,5,0,8,30,1.03,.221
Jeff J Fulchino,SD,1,4,5.71,39,0,0,0,0,3,34.2,37,22,22,5,0,22,33,1.70,.272
Felipe F Paulino,KC,4,10,4.46,39,20,0,0,0,1,139.1,146,74,69,13,8,55,133,1.44,.279
Scott S Proctor,NYY,2,6,7.14,39,0,0,0,0,2,40.1,50,34,32,11,1,31,29,2.01,.313
Fernando F Rodney,LAA,3,5,4.50,39,0,0,0,3,7,32.0,26,18,16,1,3,28,26,1.69,.224
Brian B Sanches,FLA,4,1,3.94,39,2,0,0,0,0,61.2,52,32,27,7,2,36,53,1.43,.227
Yoshinori Y Tateyama,TEX,2,0,4.50,39,0,0,0,1,1,44.0,37,23,22,8,2,11,43,1.09,.220
Michael M Wuertz,OAK,0,0,6.68,39,0,0,0,0,1,33.2,37,25,25,5,1,26,32,1.87,.280
Clay C Hensley,FLA,6,7,5.19,37,9,0,0,0,2,67.2,62,41,39,9,4,30,46,1.36,.238
Jake J Mc Gee,TB,5,2,4.50,37,0,0,0,0,0,28.0,30,14,14,5,0,12,27,1.50,.270
Luis L Perez,TOR,3,3,5.12,37,4,0,0,0,2,65.0,74,40,37,9,5,27,54,1.55,.287
Ryan R Perry,DET,2,0,5.35,36,0,0,0,0,1,37.0,39,25,22,1,2,21,24,1.62,.277
J. C. J Romero,COL,1,0,4.01,36,0,0,0,0,0,24.2,28,14,11,1,1,15,19,1.74,.286
Adam A Russell,TB,1,2,3.03,36,0,0,0,0,0,32.2,31,13,11,2,3,20,13,1.56,.254
Miguel M Batista,NYM,5,2,3.60,35,5,1,1,0,1,60.0,49,29,24,2,6,33,31,1.37,.225
Joe J Beimel,PIT,1,1,5.33,35,0,0,0,0,2,25.1,34,17,15,6,1,9,17,1.70,.321
Dan D Haren,LAA,16,10,3.17,35,34,4,3,0,0,238.1,211,91,84,20,5,33,192,1.02,.235
Ryan R Mattheus,WSH,2,2,2.81,35,0,0,0,0,0,32.0,26,11,10,1,2,15,12,1.28,.228
Brad B Bergesen,BAL,2,7,5.70,34,12,1,1,0,0,101.0,119,73,64,16,3,32,61,1.50,.288
Trevor T Cahill,OAK,12,14,4.16,34,34,0,0,0,0,207.2,214,102,96,19,8,82,147,1.43,.269
Chris C Carpenter,STL,11,9,3.45,34,34,4,2,0,0,237.1,243,98,91,16,6,55,191,1.26,.264
David D Carpenter,HOU,1,3,2.93,34,0,0,0,1,2,27.2,28,9,9,3,4,13,29,1.48,.272
Fautino F De Los Santos,OAK,3,2,4.32,34,0,0,0,0,2,33.1,27,19,16,4,0,17,43,1.32,.220
Sam S Demel,ARI,2,2,4.21,34,0,0,0,0,1,25.2,31,13,12,4,2,13,15,1.71,.307
Ryan R Dempster,CHC,10,14,4.80,34,34,0,0,0,0,202.1,211,111,108,23,5,82,191,1.45,.271
Jeremy J Guthrie,BAL,9,17,4.33,34,32,2,0,0,0,208.0,213,113,100,26,9,66,130,1.34,.267
Kyle K Kendrick,PHI,8,6,3.22,34,15,0,0,0,1,114.2,110,50,41,14,7,30,59,1.22,.255
Derek D Lowe,ATL,9,17,5.05,34,34,0,0,0,0,187.0,212,110,105,14,3,70,137,1.51,.285
Justin J Masterson,CLE,12,10,3.21,34,33,1,0,0,0,216.0,211,89,77,11,11,65,158,1.28,.257
Brett B Myers,HOU,7,14,4.46,34,33,2,0,0,0,216.0,226,116,107,31,4,57,160,1.31,.267
Mike M Pelfrey,NYM,7,13,4.74,34,33,2,0,0,0,193.2,220,111,102,21,7,65,105,1.47,.286
David D Price,TB,12,13,3.49,34,34,0,0,0,0,224.1,192,93,87,22,9,63,218,1.14,.230
Justin J Verlander,DET,24,5,2.40,34,34,4,2,0,0,251.0,174,73,67,24,3,57,250,0.92,.192
C. J. C Wilson,TEX,16,7,2.94,34,34,3,1,0,0,223.1,191,89,73,16,10,74,206,1.19,.232
Madison M Bumgarner,SF,13,13,3.21,33,33,0,0,0,0,204.2,202,82,73,12,5,46,191,1.21,.260
A. J. A Burnett,NYY,11,11,5.15,33,32,0,0,0,0,190.1,190,115,109,31,9,83,173,1.43,.260
Matt M Cain,SF,12,11,2.88,33,33,1,0,0,0,221.2,177,82,71,9,9,63,179,1.08,.217
Chris C Capuano,NYM,11,12,4.55,33,31,1,1,0,0,186.0,198,99,94,27,5,53,168,1.35,.270
R. A. R Dickey,NYM,8,13,3.28,33,32,1,0,0,0,208.2,202,85,76,18,9,54,134,1.23,.256
Yovani Y Gallardo,MIL,17,10,3.52,33,33,1,1,0,0,207.1,193,92,81,27,1,59,207,1.22,.245
Felix F Hernández Hernandez,SEA,14,14,3.47,33,33,5,0,0,0,233.2,218,99,90,19,7,67,222,1.22,.248
Daniel D Hudson,ARI,16,12,3.49,33,33,3,0,0,0,222.0,217,98,86,17,8,50,169,1.20,.255
Tim T Hudson,ATL,16,10,3.22,33,33,1,1,0,0,215.0,189,86,77,14,15,56,158,1.14,.236
Chris C Jakubauskas,BAL,2,2,5.72,33,6,0,0,0,0,72.1,93,46,46,11,3,29,52,1.69,.316
Ian I Kennedy,ARI,21,4,2.88,33,33,1,1,0,0,222.0,186,73,71,19,9,55,198,1.09,.227
Clayton C Kershaw,LAD,21,5,2.28,33,33,5,2,0,0,233.1,174,66,59,15,3,54,248,0.98,.207
John J Lannan,WSH,10,13,3.70,33,33,0,0,0,0,184.2,194,90,76,15,7,76,106,1.46,.272
Ted T Lilly,LAD,12,14,3.97,33,33,0,0,0,0,192.2,172,88,85,28,9,51,158,1.16,.238
Tim T Lincecum,SF,13,14,2.74,33,33,1,1,0,0,217.0,176,74,66,15,6,86,220,1.21,.222
Shaun S Marcum,MIL,13,7,3.54,33,33,0,0,0,0,200.2,175,84,79,22,0,57,158,1.16,.232
Ricky R Nolasco,FLA,10,12,4.67,33,33,2,1,0,0,206.0,244,117,107,20,3,44,148,1.40,.295
Micah M Owings,ARI,8,0,3.57,33,4,0,0,0,0,63.0,56,27,25,8,2,23,44,1.25,.240
Carl C Pavano,MIN,9,13,4.30,33,33,3,1,0,0,222.0,262,123,106,23,8,40,102,1.36,.294
David D Purcey,DET,1,2,5.61,33,0,0,0,0,0,33.2,33,21,21,2,0,27,22,1.78,.258
C Sabathia,NYY,19,8,3.00,33,33,3,1,0,0,237.1,230,87,79,17,7,61,230,1.23,.255
Ervin E Santana,LAA,11,12,3.38,33,33,4,1,0,0,228.2,207,95,86,26,8,72,178,1.22,.241
Joe J Saunders,ARI,12,13,3.69,33,33,1,0,0,0,212.0,210,94,87,29,3,67,108,1.31,.266
Max M Scherzer,DET,15,9,4.43,33,33,0,0,0,0,195.0,207,101,96,29,7,56,174,1.35,.272
Bryan B Shaw,ARI,1,0,2.54,33,0,0,0,0,0,28.1,30,9,8,2,4,8,24,1.34,.273
James J Shields,TB,16,12,2.82,33,33,11,4,0,0,249.1,195,83,78,26,5,65,225,1.04,.217
Carlos C Villanueva,TOR,6,4,4.04,33,13,0,0,0,1,107.0,103,49,48,11,4,32,68,1.26,.251
Tim T Wakefield,BOS,7,8,5.12,33,23,1,0,0,0,154.2,163,110,88,25,8,47,93,1.36,.267
Jered J Weaver,LAA,18,8,2.41,33,33,4,2,0,0,235.2,182,65,63,20,3,56,198,1.01,.212
Jake J Westbrook,STL,12,9,4.66,33,33,0,0,0,0,183.1,208,103,95,16,2,73,104,1.53,.290
Randy R Wolf,MIL,13,10,3.69,33,33,0,0,0,0,212.1,214,95,87,23,13,66,134,1.32,.266
Bronson B Arroyo,CIN,9,12,5.07,32,32,1,1,0,0,199.0,227,119,112,46,6,45,108,1.37,.286
Chad C Billingsley,LAD,11,11,4.21,32,32,1,0,0,0,188.0,189,98,88,14,7,84,152,1.45,.264
Brian B Duensing,MIN,9,14,5.23,32,28,1,1,0,0,161.2,193,102,94,21,1,52,115,1.52,.299
Doug D Fister,DET,11,13,2.83,32,31,3,0,0,0,216.1,193,76,68,11,12,37,146,1.06,.237
