PLAYER,TEAM,W,L,ERA,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Jonny J Venters,ATL,6,2,1.84,85,0,0,0,5,9,88.0,53,19,18,2,5,43,96,1.09,.176
Bill B Bray,CIN,5,3,2.98,79,0,0,0,0,3,48.1,35,16,16,3,2,17,44,1.08,.202
Craig C Kimbrel,ATL,4,3,2.10,79,0,0,0,46,54,77.0,48,19,18,3,1,32,127,1.04,.178
Jose J Veras,PIT,2,4,3.80,79,0,0,0,1,8,71.0,54,32,30,6,4,34,79,1.24,.206
Sean S Marshall,CHC,6,6,2.26,78,0,0,0,5,9,75.2,66,21,19,1,2,17,79,1.10,.234
Jason J Motte,STL,5,2,2.25,78,0,0,0,9,13,68.0,49,22,17,2,5,16,63,0.96,.202
Eric E O' Flaherty,ATL,2,4,0.98,78,0,0,0,0,4,73.2,59,9,8,2,3,21,67,1.09,.221
Chad C Qualls,SD,6,8,3.51,77,0,0,0,0,5,74.1,73,30,29,7,0,20,43,1.25,.263
Chris C Resop,PIT,5,4,4.39,76,0,0,0,1,6,69.2,73,34,34,8,3,30,79,1.48,.269
Mike M Adams,TEX,5,4,1.47,75,0,0,0,2,5,73.2,44,13,12,5,0,14,74,0.79,.169
Carlos C Marmol,CHC,2,6,4.01,75,0,0,0,34,44,74.0,54,33,33,5,9,48,99,1.38,.205
Nick N Masset,CIN,3,6,3.71,75,0,0,0,1,7,70.1,76,30,29,5,1,31,62,1.52,.273
Jeff J Samardzija,CHC,8,4,2.97,75,0,0,0,0,2,88.0,64,35,29,5,5,50,87,1.30,.200
Jose J Valverde,DET,2,4,2.24,75,0,0,0,49,49,72.1,52,21,18,5,3,34,69,1.19,.198
John J Axford,MIL,2,2,1.95,74,0,0,0,46,48,73.2,59,19,16,4,0,25,86,1.14,.212
Matt M Belisle,COL,10,4,3.25,74,0,0,0,0,7,72.0,77,33,26,5,4,14,58,1.26,.276
David D Hernandez,ARI,5,3,3.38,74,0,0,0,11,14,69.1,49,27,26,4,2,30,77,1.14,.193
Wilton W Lopez,HOU,2,6,2.79,73,0,0,0,0,6,71.0,72,26,22,6,3,18,56,1.27,.264
Daniel D Mc Cutchen,PIT,5,3,3.72,73,0,0,0,0,0,84.2,87,38,35,7,4,33,47,1.42,.272
Matt M Reynolds,COL,1,2,4.09,73,0,0,0,0,2,50.2,48,24,23,10,0,18,50,1.30,.255
Francisco F Rodríguez Rodriguez,MIL,6,2,2.64,73,0,0,0,23,29,71.2,67,22,21,4,2,26,79,1.30,.243
Drew D Storen,WSH,6,3,2.75,73,0,0,0,43,48,75.1,57,24,23,8,2,20,74,1.02,.204
Tim T Byrdak,NYM,2,1,3.82,72,0,0,0,1,4,37.2,34,20,16,3,1,19,47,1.41,.239
Tyler T Clippard,WSH,3,0,1.83,72,0,0,0,0,7,88.1,48,18,18,11,0,26,104,0.84,.162
Mike M Dunn,FLA,5,6,3.43,72,0,0,0,0,4,63.0,51,28,24,9,2,31,68,1.30,.224
Kameron K Loe,MIL,4,7,3.50,72,0,0,0,1,8,72.0,65,30,28,4,2,16,61,1.13,.240
Mark M Melancon,HOU,8,4,2.78,71,0,0,0,20,25,74.1,65,28,23,5,2,26,66,1.22,.234
Joel J Peralta,TB,3,4,2.93,71,0,0,0,6,8,67.2,44,23,22,7,0,18,61,0.92,.188
Rafael R Perez,CLE,5,2,3.00,71,0,0,0,0,2,63.0,59,27,21,2,0,19,33,1.24,.253
Marc M Rzepczynski,STL,2,6,3.34,71,0,0,0,0,4,62.0,50,27,23,3,4,26,61,1.23,.223
Joe J Smith,CLE,3,3,2.01,71,0,0,0,0,3,67.0,52,16,15,1,2,21,45,1.09,.217
Daniel D Bard,BOS,2,9,3.33,70,0,0,0,1,6,73.0,46,29,27,5,2,24,74,0.96,.179
Matt M Guerrier,LAD,4,3,4.07,70,0,0,0,1,4,66.1,59,31,30,4,0,25,50,1.27,.233
Joel J Hanrahan,PIT,1,4,1.83,70,0,0,0,40,44,68.2,56,17,14,1,1,16,61,1.05,.220
Javier J López Lopez,SF,5,2,2.72,70,0,0,0,1,3,53.0,42,16,16,0,3,26,40,1.28,.221
David D Robertson,NYY,4,0,1.08,70,0,0,0,1,4,66.2,40,9,8,1,1,35,100,1.13,.170
Sean S Burnett,WSH,5,5,3.81,69,0,0,0,4,11,56.2,54,24,24,6,3,21,33,1.32,.254
Matt M Capps,MIN,4,7,4.25,69,0,0,0,15,24,65.2,66,31,31,10,4,13,34,1.20,.262
Todd T Coffey,WSH,5,1,3.62,69,0,0,0,0,2,59.2,55,25,24,4,1,20,46,1.26,.244
Jim J Johnson,BAL,6,5,2.67,69,0,0,0,9,14,91.0,80,30,27,5,2,21,58,1.11,.238
Mike M Mac Dougal,LAD,3,1,2.05,69,0,0,0,1,2,57.0,54,16,13,3,3,29,41,1.46,.257
Tony T Sipp,CLE,6,3,3.03,69,0,0,0,0,1,62.1,45,22,21,10,0,24,57,1.11,.201
Rafael R Betancourt,COL,2,0,2.89,68,0,0,0,8,12,62.1,46,21,20,7,0,8,73,0.87,.203
Tim T Collins,KC,4,4,3.63,68,0,0,0,0,1,67.0,52,28,27,5,2,48,60,1.49,.216
Francisco F Cordero,CIN,5,3,2.45,68,0,0,0,37,43,69.2,49,20,19,6,3,22,42,1.02,.198
Juan Carlos J Oviedo,FLA,1,4,4.06,68,0,0,0,36,42,64.1,57,30,29,8,1,21,55,1.21,.235
Fernando F Salas,STL,5,6,2.28,68,0,0,0,24,30,75.0,50,20,19,7,2,21,75,0.95,.186
Jeremy J Affeldt,SF,3,2,2.63,67,0,0,0,3,6,61.2,47,22,18,5,4,24,54,1.15,.207
Craig C Breslow,OAK,0,2,3.79,67,0,0,0,0,3,59.1,69,29,25,4,2,21,44,1.52,.296
Shawn S Camp,TOR,6,3,4.21,67,0,0,0,1,4,66.1,79,36,31,3,6,22,32,1.52,.303
Jesse J Crain,CWS,8,3,2.62,67,0,0,0,1,7,65.1,50,20,19,7,0,31,70,1.24,.215
Brian B Fuentes,OAK,2,8,3.70,67,0,0,0,12,15,58.1,52,30,24,6,4,20,42,1.23,.237
Edward E Mujica,FLA,9,6,2.96,67,0,0,0,0,3,76.0,64,27,25,7,2,14,63,1.03,.233
Vinnie V Pestano,CLE,1,2,2.32,67,0,0,0,2,6,62.0,41,16,16,5,3,24,84,1.05,.184
Joaquin J Benoit,DET,4,3,2.95,66,0,0,0,2,7,61.0,47,22,20,5,2,17,63,1.05,.218
Alex A Burnett,MIN,2,5,5.51,66,0,0,0,0,2,50.2,50,32,31,4,8,21,33,1.40,.263
Logan L Ondrusek,CIN,5,5,3.23,66,0,0,0,0,3,61.1,55,25,22,6,2,28,41,1.35,.238
Ramon E R Ramirez,SF,3,3,2.62,66,0,0,0,4,5,68.2,54,24,20,3,3,26,66,1.17,.216
Brad B Ziegler,ARI,3,2,2.16,66,0,0,0,1,2,58.1,53,21,14,0,1,19,44,1.23,.245
Octavio O Dotel,STL,5,4,3.50,65,0,0,0,3,3,54.0,36,23,21,6,2,17,62,0.98,.185
Brandon B League,SEA,1,5,2.79,65,0,0,0,37,42,61.1,56,25,19,3,2,10,45,1.08,.239
Glen G Perkins,MIN,4,4,2.48,65,0,0,0,2,5,61.2,55,19,17,2,1,21,65,1.23,.244
Sergio S Romo,SF,3,1,1.50,65,0,0,0,1,2,48.0,29,8,8,2,0,5,70,0.71,.173
Koji K Uehara,TEX,2,3,2.35,65,0,0,0,0,1,65.0,38,17,17,11,0,9,85,0.72,.164
Antonio A Bastardo,PHI,6,1,2.64,64,0,0,0,8,9,58.0,28,17,17,6,0,26,70,0.93,.144
Heath H Bell,SD,3,4,2.44,64,0,0,0,43,48,62.2,51,20,17,4,0,21,51,1.15,.223
Neftali N Feliz,TEX,2,3,2.74,64,0,0,0,32,38,62.1,42,22,19,4,0,30,54,1.16,.194
Jason J Frasor,CWS,3,3,3.60,64,0,0,0,0,2,60.0,58,25,24,7,3,26,57,1.40,.257
Scott S Linebrink,ATL,4,4,3.64,64,0,0,0,1,2,54.1,58,22,22,6,4,21,42,1.45,.282
Boone B Logan,NYY,5,3,3.46,64,0,0,0,0,2,41.2,43,20,16,4,4,13,46,1.34,.261
Chris C Perez,CLE,4,7,3.32,64,0,0,0,36,40,59.2,46,24,22,5,3,26,39,1.21,.215
Mariano M Rivera,NYY,1,2,1.91,64,0,0,0,44,49,61.1,47,13,13,3,2,8,60,0.90,.215
James J Russell,CHC,1,6,4.12,64,5,0,0,0,2,67.2,76,37,31,12,2,14,43,1.33,.286
Kyle K Farnsworth,TB,5,1,2.18,63,0,0,0,25,31,57.2,45,15,14,5,3,12,51,0.99,.211
Kevin K Gregg,BAL,0,3,4.37,63,0,0,0,22,29,59.2,58,35,29,7,2,40,53,1.64,.254
Matt M Lindstrom,COL,2,2,3.00,63,0,0,0,2,5,54.0,52,21,18,3,2,14,36,1.22,.256
Jonathan J Papelbon,BOS,4,1,2.94,63,0,0,0,31,34,64.1,50,22,21,3,3,10,87,0.93,.207
Sergio S Santos,CWS,4,5,3.55,63,0,0,0,30,36,63.1,41,25,25,6,3,29,92,1.11,.181
Grant G Balfour,OAK,5,2,2.47,62,0,0,0,2,7,62.0,44,17,17,8,0,20,59,1.03,.199
Ryan R Madson,PHI,4,2,2.37,62,0,0,0,32,34,60.2,54,16,16,2,1,16,62,1.15,.243
Joe J Paterson,ARI,0,3,2.91,62,0,0,0,1,1,34.0,28,11,11,1,4,15,28,1.26,.224
Huston H Street,COL,1,4,3.86,62,0,0,0,29,33,58.1,62,28,25,10,1,9,55,1.22,.276
Matt M Thornton,CWS,2,5,3.32,62,0,0,0,3,7,59.2,60,34,22,3,0,21,63,1.36,.255
Jordan J Walden,LAA,5,5,2.98,62,0,0,0,32,42,60.1,49,22,20,3,1,26,67,1.24,.223
Luke L Gregerson,SD,3,3,2.75,61,0,0,0,0,4,55.2,57,23,17,2,2,19,34,1.37,.266
Darren D Oliver,TEX,5,5,2.29,61,0,0,0,2,6,51.0,47,17,13,3,1,11,44,1.14,.236
Hisanori H Takahashi,LAA,4,3,3.44,61,0,0,0,2,5,68.0,58,30,26,7,0,25,52,1.22,.232
Pedro P Beato,NYM,2,1,4.30,60,0,0,0,0,1,67.0,59,41,32,5,4,27,39,1.28,.240
