TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Boston Red Sox,AL,162,5710,875,1600,352,35,203,842,578,1108,102,42,.280,.349,.461,.810
Texas Rangers,AL,162,5659,855,1599,310,32,210,807,475,930,143,45,.283,.340,.460,.800
New York Yankees,AL,162,5518,867,1452,267,33,222,836,627,1138,147,46,.263,.343,.444,.788
Detroit Tigers,AL,162,5563,787,1540,297,34,169,750,521,1143,49,20,.277,.340,.434,.773
St. Louis Cardinals,NL,162,5532,762,1513,308,22,162,726,542,978,57,39,.273,.341,.425,.766
Milwaukee Brewers,NL,162,5447,721,1422,276,31,185,693,481,1083,94,31,.261,.325,.425,.750
Kansas City Royals,AL,162,5672,730,1560,325,41,129,705,442,1006,153,58,.275,.329,.415,.744
Colorado Rockies,NL,162,5544,735,1429,274,40,163,697,555,1201,118,42,.258,.329,.410,.739
Arizona Diamondbacks,NL,162,5421,731,1357,293,37,172,702,531,1249,133,55,.250,.322,.413,.736
Cincinnati Reds,NL,162,5612,735,1438,264,19,183,697,535,1250,97,50,.256,.326,.408,.734
Toronto Blue Jays,AL,162,5559,743,1384,285,34,186,704,525,1184,131,52,.249,.317,.413,.730
Baltimore Orioles,AL,162,5585,708,1434,273,13,191,684,452,1120,81,25,.257,.316,.413,.729
New York Mets,NL,162,5600,718,1477,309,39,108,676,571,1085,130,35,.264,.335,.391,.726
Tampa Bay Rays,AL,162,5436,707,1324,273,37,172,674,571,1193,155,62,.244,.322,.402,.724
Philadelphia Phillies,NL,162,5579,713,1409,258,38,153,693,539,1024,96,24,.253,.323,.395,.717
Chicago Cubs,NL,162,5549,654,1423,285,36,148,610,425,1202,69,23,.256,.314,.401,.715
Los Angeles Angels,AL,162,5513,667,1394,289,34,155,629,442,1086,135,52,.253,.313,.402,.714
Cleveland Indians,AL,162,5509,704,1380,290,26,154,671,494,1269,89,42,.250,.317,.396,.714
Chicago White Sox,AL,162,5502,654,1387,252,16,154,625,475,989,81,53,.252,.319,.388,.706
Florida Marlins,NL,162,5508,625,1358,274,30,149,596,542,1244,95,41,.247,.318,.388,.706
Los Angeles Dodgers,NL,161,5436,644,1395,237,28,117,613,498,1087,126,40,.257,.322,.375,.697
Atlanta Braves,NL,162,5528,641,1345,244,16,173,606,504,1260,77,44,.243,.308,.387,.695
Washington Nationals,NL,161,5441,624,1319,257,22,154,594,470,1323,106,38,.242,.309,.383,.691
Houston Astros,NL,162,5598,615,1442,309,28,95,579,401,1164,118,33,.258,.311,.374,.684
Oakland Athletics,AL,162,5452,645,1330,280,29,114,612,509,1094,117,43,.244,.311,.369,.680
Pittsburgh Pirates,NL,162,5421,610,1325,277,35,107,580,489,1308,108,52,.244,.309,.368,.676
San Francisco Giants,NL,162,5486,570,1327,282,24,121,534,448,1122,85,51,.242,.303,.368,.671
Minnesota Twins,AL,162,5487,619,1357,259,25,103,572,440,1048,92,39,.247,.306,.360,.666
San Diego Padres,NL,162,5417,593,1284,247,42,91,563,501,1320,170,44,.237,.305,.349,.653
Seattle Mariners,AL,162,5421,556,1263,253,22,109,534,435,1280,125,40,.233,.292,.348,.640
