PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Bobby B Abreu R,PHI,162,588,104,168,37,1,24,102,117,134,31,9,.286,.405,.474,.879
Jason J Bay L,PIT,162,599,110,183,44,6,32,101,95,142,21,1,.306,.402,.559,.961
Raul R Ibanez D,SEA,162,614,92,172,32,2,20,89,71,99,9,4,.280,.355,.436,.792
Carlos C Lee L,MIL,162,618,85,164,41,0,32,114,57,87,13,4,.265,.324,.487,.811
Hideki H Matsui L,NYY,162,629,108,192,45,3,23,116,63,78,2,2,.305,.367,.496,.863
Juan J Pierre C,FLA,162,656,96,181,19,13,2,47,41,45,57,17,.276,.326,.354,.680
Alex A Rodriguez,NYY,162,605,124,194,29,1,48,130,91,139,21,6,.321,.421,.610,1.031
Ichiro I Suzuki R,SEA,162,679,111,206,21,12,15,68,48,66,33,8,.303,.350,.436,.786
Mark M Teixeira,TEX,162,644,112,194,41,3,43,144,72,124,4,0,.301,.379,.575,.954
Miguel M Tejada S,BAL,162,654,89,199,50,5,26,98,40,83,5,1,.304,.349,.515,.865
Hank H Blalock,TEX,161,647,80,170,34,0,25,92,51,132,1,0,.263,.318,.431,.749
Albert A Pujols,STL,161,591,129,195,38,2,41,117,97,65,16,2,.330,.430,.609,1.039
Jose J Reyes S,NYM,161,696,99,190,24,17,7,58,27,78,60,15,.273,.300,.386,.687
Jeromy J Burnitz R,CHC,160,605,84,156,31,2,24,87,57,109,5,4,.258,.322,.435,.757
Eric E Chavez,OAK,160,625,92,168,40,1,27,101,58,129,6,0,.269,.329,.466,.794
Adam A Dunn L,CIN,160,543,107,134,35,2,40,101,114,168,4,2,.247,.387,.540,.927
Brandon B Inge,DET,160,616,75,161,31,9,16,72,63,140,7,6,.261,.330,.419,.749
Andruw A Jones C,ATL,160,586,95,154,24,3,51,128,64,112,5,3,.263,.347,.575,.922
Randy R Winn C,SF,160,617,85,189,47,6,20,63,48,91,19,11,.306,.360,.499,.859
David D Wright,NYM,160,575,99,176,42,1,27,102,72,113,17,7,.306,.388,.523,.912
Angel A Berroa S,KC,159,608,68,164,21,5,11,55,18,108,7,5,.270,.305,.375,.680
Derek D Jeter S,NYY,159,654,122,202,25,5,19,70,77,117,14,5,.309,.389,.450,.839
David D Ortiz,BOS,159,601,119,180,40,1,47,148,102,124,1,0,.300,.397,.604,1.001
Michael M Young S,TEX,159,668,114,221,40,5,24,91,58,91,5,2,.331,.385,.513,.899
Miguel M Cabrera L,FLA,158,613,106,198,43,2,33,116,64,125,1,0,.323,.385,.561,.947
David D Eckstein S,STL,158,630,90,185,26,7,8,61,58,44,11,8,.294,.363,.395,.758
Chone C Figgins,LAA,158,642,113,186,25,10,8,57,64,101,62,17,.290,.352,.397,.749
Brian B Giles R,SD,158,545,92,164,38,8,15,83,119,64,13,5,.301,.423,.483,.905
Shawn S Green R,ARI,158,581,87,166,37,4,22,73,62,95,8,4,.286,.355,.477,.832
Paul P Konerko,CWS,158,575,98,163,24,0,40,100,81,109,0,0,.283,.375,.534,.909
Derrek D Lee,CHC,158,594,120,199,50,3,46,107,85,109,15,3,.335,.418,.662,1.080
Julio J Lugo S,TB,158,616,89,182,36,6,6,57,61,72,39,11,.295,.362,.403,.765
Lyle L Overbay,MIL,158,537,80,148,34,1,19,72,78,98,1,0,.276,.367,.449,.816
Jimmy J Rollins S,PHI,158,677,115,196,38,11,12,54,47,71,41,6,.290,.338,.431,.770
Grady G Sizemore C,CLE,158,640,111,185,37,11,22,81,52,132,22,10,.289,.348,.484,.832
Jack J Wilson S,PIT,158,587,60,151,24,7,8,52,31,58,7,3,.257,.299,.363,.662
Craig C Monroe R,DET,157,567,69,157,30,3,20,89,40,95,8,3,.277,.322,.446,.768
Aaron A Rowand C,CWS,157,578,77,156,30,5,13,69,32,116,16,5,.270,.329,.407,.736
Adrian A Beltré,SEA,156,603,69,154,36,1,19,87,38,108,3,1,.255,.303,.413,.716
Carl C Crawford L,TB,156,644,101,194,33,15,15,81,27,84,46,8,.301,.331,.469,.800
Pedro P Feliz,SF,156,569,69,142,30,4,20,81,38,102,0,2,.250,.295,.422,.717
Richie R Sexson,SEA,156,558,99,147,36,1,39,121,89,167,1,1,.263,.369,.541,.910
Alfonso A Soriano,TEX,156,637,102,171,43,2,36,104,33,125,30,2,.268,.309,.512,.821
Vernon V Wells C,TOR,156,620,78,167,30,3,28,97,47,86,8,3,.269,.320,.463,.783
Craig C Biggio,HOU,155,590,94,156,40,1,26,69,37,90,11,1,.264,.325,.468,.792
Luis L Gonzalez,ARI,155,579,90,157,37,0,24,79,78,90,4,1,.271,.366,.459,.826
Pat P Burrell L,PHI,154,562,78,158,27,1,32,117,99,160,0,0,.281,.389,.504,.892
Rafael R Furcal S,ATL,154,616,100,175,31,11,12,58,62,78,46,10,.284,.348,.429,.776
Aubrey A Huff R,TB,154,575,70,150,26,2,22,92,49,88,8,7,.261,.321,.428,.749
Neifi N Perez S,CHC,154,572,59,157,33,1,9,54,18,47,8,4,.274,.298,.383,.681
Gary G Sheffield R,NYY,154,584,104,170,27,0,34,123,78,76,10,2,.291,.379,.512,.891
Darin D Erstad,LAA,153,609,86,166,33,3,7,66,47,109,10,3,.273,.325,.371,.696
Edgar E Renteria S,BOS,153,623,100,172,36,4,8,70,55,100,9,4,.276,.335,.385,.720
Adam A Everett S,HOU,152,549,58,136,27,2,11,54,26,103,21,7,.248,.290,.364,.654
Marcus M Giles,ATL,152,577,104,168,45,4,15,63,64,108,16,3,.291,.365,.461,.826
Shea S Hillenbrand,TOR,152,594,91,173,36,2,18,82,26,79,5,1,.291,.343,.449,.792
Manny M Ramirez L,BOS,152,554,112,162,30,1,45,144,80,119,1,0,.292,.388,.594,.982
Willy W Taveras C,HOU,152,592,82,172,13,4,3,29,25,103,34,11,.291,.325,.341,.666
Omar O Vizquel S,SF,152,568,66,154,28,4,3,45,56,58,24,10,.271,.341,.350,.691
Carlos C Beltrán Beltran,NYM,151,582,83,155,34,2,16,78,56,96,17,6,.266,.330,.414,.744
David D Bell,PHI,150,557,53,138,31,1,10,61,47,69,0,1,.248,.310,.361,.671
Emil E Brown R,KC,150,545,75,156,31,5,17,86,48,108,10,1,.286,.349,.455,.804
Jorge J Cantu,TB,150,598,73,171,40,1,28,117,19,83,1,0,.286,.311,.497,.808
Craig C Counsell,ARI,150,578,85,148,34,4,9,42,78,69,26,7,.256,.350,.375,.726
Morgan M Ensberg,HOU,150,526,86,149,30,3,36,101,85,119,6,7,.283,.388,.557,.945
