PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Cliff C Floyd L,NYM,150,550,85,150,22,2,34,98,63,98,12,2,.273,.358,.505,.863
Jason J Kendall,OAK,150,601,70,163,28,1,0,53,50,39,8,3,.271,.345,.321,.666
Mike M Lowell,FLA,150,500,56,118,36,1,8,58,46,58,4,0,.236,.298,.360,.658
Kevin K Mench L,TEX,150,557,71,147,33,3,25,73,50,68,4,3,.264,.328,.469,.797
Bill B Mueller,BOS,150,519,69,153,34,3,10,62,59,74,0,0,.295,.369,.430,.799
Joe J Randa,SD,150,555,71,153,43,2,17,68,47,81,0,1,.276,.335,.452,.787
Troy T Glaus,ARI,149,538,78,139,29,1,37,97,84,145,4,2,.258,.363,.522,.885
Jeff J Kent,LAD,149,553,100,160,36,0,29,105,72,85,6,2,.289,.377,.512,.888
Melvin M Mora,BAL,149,593,86,168,30,1,27,88,50,112,7,4,.283,.348,.474,.821
Johnny J Damon C,BOS,148,624,117,197,35,6,10,75,53,69,18,1,.316,.366,.439,.805
Jose J Guillen R,WSH,148,551,81,156,32,2,24,76,31,102,1,1,.283,.338,.479,.817
Geoff G Jenkins R,MIL,148,538,87,157,42,1,25,86,56,138,0,0,.292,.375,.513,.888
Felipe F Lopez S,CIN,148,580,97,169,34,5,23,85,57,111,15,7,.291,.352,.486,.838
Brad B Wilkerson C,WSH,148,565,76,140,42,7,11,57,84,147,8,10,.248,.351,.405,.756
Casey C Blake R,CLE,147,523,72,126,32,1,23,58,43,116,4,5,.241,.308,.438,.746
Lew L Ford C,MIN,147,522,70,138,30,4,7,53,45,85,13,6,.264,.338,.377,.716
Eric E Hinske,TOR,147,477,79,125,31,2,15,68,46,121,8,4,.262,.333,.430,.763
Victor V Martinez,CLE,147,547,73,167,33,0,20,80,63,78,0,1,.305,.378,.475,.853
Chase C Utley,PHI,147,543,93,158,39,6,28,105,69,109,16,3,.291,.376,.540,.915
Bill B Hall S,MIL,146,501,69,146,39,6,17,62,39,103,18,6,.291,.342,.495,.837
Alex A Rios R,TOR,146,481,71,126,23,6,10,59,28,101,14,9,.262,.306,.397,.703
Juan J Uribe S,CWS,146,481,58,121,23,3,16,71,34,77,4,6,.252,.301,.412,.712
Ronnie R Belliard,CLE,145,536,71,152,36,1,17,78,35,72,2,2,.284,.325,.450,.774
Brady B Clark C,MIL,145,599,94,183,31,1,13,53,47,55,10,13,.306,.372,.426,.798
Coco C Crisp L,CLE,145,594,86,178,42,4,16,69,44,81,15,6,.300,.345,.465,.810
Jermaine J Dye R,CWS,145,529,74,145,29,2,31,86,39,99,11,4,.274,.333,.512,.846
Jason J Lane R,HOU,145,517,65,138,34,4,26,78,32,105,6,2,.267,.316,.499,.814
Chad C Tracy,ARI,145,503,73,155,34,4,27,72,35,78,3,1,.308,.359,.553,.911
Carlos C Delgado,FLA,144,521,81,157,41,3,33,115,72,121,0,0,.301,.399,.582,.981
Todd T Helton,COL,144,509,92,163,45,2,20,79,106,80,3,0,.320,.445,.534,.979
Aaron A Boone,CLE,143,511,61,124,19,1,16,60,35,92,9,3,.243,.299,.378,.677
Royce R Clayton S,ARI,143,522,59,141,28,4,2,44,38,105,13,3,.270,.320,.351,.670
Brian B Roberts,BAL,143,561,92,176,45,7,18,73,67,83,27,10,.314,.387,.515,.903
So S Taguchi R,STL,143,396,45,114,21,2,8,53,20,62,11,2,.288,.322,.412,.734
Garret G Anderson L,LAA,142,575,68,163,34,1,17,96,23,84,1,1,.283,.308,.435,.743
Ben B Broussard,CLE,142,466,59,119,30,5,19,68,32,98,2,2,.255,.307,.464,.770
Vinny V Castilla,WSH,142,494,53,125,36,1,12,66,43,82,4,2,.253,.319,.403,.722
Ray R Durham,SF,142,497,67,144,33,0,12,62,48,59,6,3,.290,.356,.429,.785
Jim J Edmonds C,STL,142,467,88,123,37,1,29,89,91,139,5,5,.263,.385,.533,.918
Cristian C Guzman S,WSH,142,456,39,100,19,6,4,31,25,76,7,4,.219,.260,.314,.574
Reed R Johnson L,TOR,142,398,55,107,21,6,8,58,22,82,5,6,.269,.332,.412,.744
Jacque J Jones R,MIN,142,523,74,130,22,4,23,73,51,120,13,4,.249,.319,.438,.757
Rob R Mackowiak,PIT,142,463,57,126,21,3,9,58,43,100,8,4,.272,.337,.389,.726
Jorge J Posada,NYY,142,474,67,124,23,0,19,71,66,94,1,0,.262,.352,.430,.782
Orlando O Cabrera S,LAA,141,540,70,139,28,3,8,57,38,50,21,2,.257,.309,.365,.674
Juan J Encarnacion R,FLA,141,506,59,145,27,3,16,76,41,104,6,5,.287,.349,.447,.796
Vladimir V Guerrero R,LAA,141,520,95,165,29,2,32,108,61,48,13,1,.317,.394,.565,.959
Adam A La Roche,ATL,141,451,53,117,28,0,20,78,39,87,0,2,.259,.320,.455,.774
Matt M Lawton R,NYY,141,500,67,127,30,1,13,53,69,77,18,9,.254,.356,.396,.752
Justin J Morneau,MIN,141,490,62,117,23,4,22,79,44,94,0,2,.239,.304,.437,.741
Jhonny J Peralta S,CLE,141,504,82,147,35,4,24,78,58,128,0,2,.292,.366,.520,.885
Jeremy J Reed C,SEA,141,488,61,124,33,3,3,45,48,74,12,11,.254,.322,.352,.675
Bernie B Williams C,NYY,141,485,53,121,19,1,12,64,53,75,1,2,.249,.321,.367,.688
Russ R Adams S,TOR,139,481,68,123,27,5,8,63,50,57,11,2,.256,.325,.383,.707
Jason J Giambi,NYY,139,417,74,113,14,0,32,87,108,109,0,0,.271,.440,.535,.975
Jay J Gibbons R,BAL,139,488,72,135,33,3,26,79,28,56,0,0,.277,.317,.516,.833
Mark M Kotsay C,OAK,139,582,75,163,35,1,15,82,40,51,5,5,.280,.325,.421,.746
Abraham O. A Nunez,STL,139,421,64,120,13,2,5,44,37,63,0,1,.285,.343,.361,.704
Cory C Sullivan,COL,139,378,64,111,15,4,4,30,28,83,12,3,.294,.343,.386,.729
Preston P Wilson C,WSH,139,520,73,135,29,2,25,90,45,148,6,6,.260,.325,.467,.792
Garrett G Atkins,COL,138,519,62,149,31,1,13,89,45,72,0,2,.287,.347,.426,.773
Sean S Casey,CIN,137,529,75,165,32,0,9,58,48,48,2,0,.312,.371,.423,.795
Mark M Grudzielanek,STL,137,528,64,155,30,3,8,59,26,81,8,6,.294,.334,.407,.741
Travis T Hafner D,CLE,137,486,94,148,42,0,33,108,79,123,0,0,.305,.408,.595,1.003
Ryan R Klesko L,SD,137,443,61,110,19,1,18,58,75,80,3,4,.248,.358,.418,.775
Terrence T Long L,KC,137,455,62,127,21,3,6,53,30,56,3,3,.279,.321,.378,.699
Carl C Everett D,CWS,135,490,58,123,17,2,23,87,42,99,4,5,.251,.311,.435,.746
Toby T Hall,TB,135,432,28,124,20,0,5,48,16,39,0,0,.287,.315,.368,.683
Tadahito T Iguchi,CWS,135,511,74,142,25,6,15,71,47,114,15,5,.278,.342,.438,.780
Tike T Redman C,PIT,135,319,33,80,12,4,2,26,19,27,4,1,.251,.292,.332,.625
Mark M Sweeney,SD,135,221,31,65,12,1,8,40,40,58,4,0,.294,.395,.466,.861
Brad B Ausmus,HOU,134,387,35,100,19,0,3,47,51,48,5,3,.258,.351,.331,.682
Scott S Hatteberg D,OAK,134,464,52,119,19,0,7,59,51,54,0,1,.256,.334,.343,.677
Mike M Matheny,SF,134,443,42,107,34,0,13,59,29,91,0,2,.242,.295,.406,.701
Quinton Q Mc Cracken,ARI,134,215,23,51,4,3,1,13,23,35,4,0,.237,.313,.298,.610
Kevin K Millar,BOS,134,449,57,122,28,1,9,50,54,74,0,1,.272,.355,.399,.753
Michael M Barrett,CHC,133,424,48,117,32,3,16,61,40,61,0,3,.276,.345,.479,.824
Hee- Seop H Choi,LAD,133,320,40,81,15,2,15,42,34,80,1,3,.253,.336,.453,.789
Jason J Varitek,BOS,133,470,70,132,30,1,22,70,62,117,2,0,.281,.366,.489,.856
Daryle D Ward,PIT,133,407,46,106,21,1,12,63,37,60,0,2,.260,.318,.405,.723
Gregg G Zaun,TOR,133,434,61,109,18,1,11,61,73,70,2,3,.251,.355,.373,.729
Lance L Berkman,HOU,132,468,76,137,34,1,24,82,91,72,4,1,.293,.411,.524,.934
Robinson R Canó,NYY,132,522,78,155,34,4,14,62,16,68,1,3,.297,.320,.458,.778
Joe J Crede,CWS,132,432,54,109,21,0,22,62,25,66,1,1,.252,.303,.454,.756
Paul P Lo Duca,FLA,132,445,45,126,23,1,6,57,34,31,4,3,.283,.334,.380,.714
Freddy F Sanchez,PIT,132,453,54,132,26,4,5,35,27,36,2,2,.291,.336,.400,.736
Shannon S Stewart L,MIN,132,551,69,151,27,3,10,56,34,73,7,5,.274,.323,.388,.711
Jeff J Conine,FLA,131,335,42,102,20,2,3,33,38,58,2,0,.304,.374,.403,.777
Jason J Ellison C,SF,131,352,49,93,18,2,4,24,24,44,14,6,.264,.316,.361,.677
Todd T Hollandsworth,ATL,131,303,26,74,17,2,6,36,23,66,4,5,.244,.298,.373,.671
Orlando O Hudson,TOR,131,461,62,125,25,5,10,63,30,65,7,1,.271,.315,.412,.728
Nick N Johnson,WSH,131,453,66,131,35,3,15,74,80,87,3,8,.289,.408,.479,.887
Tino T Martinez,NYY,131,303,43,73,9,0,17,49,38,54,2,0,.241,.328,.439,.766
Gary G Matthews C,TEX,131,475,72,121,25,5,17,55,47,90,9,2,.255,.320,.436,.756
Joe J Mauer,MIN,131,489,61,144,26,2,9,55,61,64,13,1,.294,.372,.411,.783
Nick N Swisher R,OAK,131,462,66,109,32,1,21,74,55,110,0,1,.236,.322,.446,.768
Frank F Catalanotto L,TOR,130,419,56,126,29,5,8,59,37,53,0,2,.301,.367,.451,.818
Tony T Clark,ARI,130,349,47,106,22,2,30,87,37,88,0,0,.304,.366,.636,1.003
Alex A Gonzalez S,FLA,130,435,45,115,30,0,5,45,31,81,5,3,.264,.319,.368,.686
Mark M Teahen,KC,130,447,60,110,29,4,7,55,40,107,7,2,.246,.309,.376,.685
Adam A Kennedy,LAA,129,416,49,125,23,0,2,37,29,64,19,4,.300,.354,.370,.724
Travis T Lee,TB,129,404,54,110,22,2,12,49,35,66,7,4,.272,.331,.426,.757
Nook N Logan C,DET,129,322,47,83,12,5,1,17,21,52,23,6,.258,.305,.335,.641
Scott S Podsednik L,CWS,129,507,80,147,28,1,0,25,47,75,59,23,.290,.351,.349,.700
Placido P Polanco,DET,129,501,84,166,27,2,9,56,33,25,4,3,.331,.383,.447,.830
Jason J Repko C,LAD,129,276,43,61,15,3,8,30,16,80,5,0,.221,.281,.384,.665
Ivan I Rodriguez,DET,129,504,71,139,33,5,14,50,11,93,7,3,.276,.290,.444,.734
David D Dellucci,TEX,128,435,97,109,17,5,29,65,76,121,5,3,.251,.367,.513,.879
Luis L Gonzalez,COL,128,404,51,118,25,0,9,44,20,63,3,4,.292,.333,.421,.753
Ken K Griffey C,CIN,128,491,85,148,30,0,35,92,54,93,0,1,.301,.369,.576,.946
Ryan R Langerhans L,ATL,128,326,48,87,22,3,8,42,37,75,0,2,.267,.348,.426,.774
A. J. A Pierzynski,CWS,128,460,61,118,21,0,18,56,23,68,0,2,.257,.308,.420,.728
Matt M Stairs,KC,127,396,55,109,26,1,13,66,60,69,1,2,.275,.373,.444,.818
Eric E Byrnes L,BAL,126,412,49,93,24,3,10,40,32,71,7,2,.226,.294,.371,.665
Michael M Cuddyer,MIN,126,422,55,111,25,3,12,42,41,93,3,4,.263,.330,.422,.752
Corey C Patterson,CHC,126,451,47,97,15,3,13,34,23,118,15,5,.215,.254,.348,.602
Michael M Tucker,PHI,126,268,35,64,16,1,5,36,31,52,4,0,.239,.318,.362,.680
Dmitri D Young,DET,126,469,61,127,25,3,21,72,29,100,1,0,.271,.325,.471,.796
Matt M Holliday L,COL,125,479,68,147,24,7,19,87,36,79,14,3,.307,.361,.505,.866
Mike M Lamb,HOU,125,322,41,76,13,5,12,53,22,65,1,1,.236,.284,.419,.703
J. J Hardy S,MIL,124,372,46,92,22,1,9,50,44,48,0,0,.247,.327,.384,.711
Xavier X Nady,SD,124,326,40,85,15,2,13,43,22,67,2,1,.261,.321,.439,.760
Trot T Nixon R,BOS,124,408,64,112,29,1,13,67,53,59,2,1,.275,.357,.446,.804
Jay J Payton L,OAK,124,408,62,109,16,1,18,63,24,47,0,1,.267,.306,.444,.749
Moises M Alou L,SF,123,427,67,137,21,3,19,63,56,43,5,1,.321,.400,.518,.918
Marlon M Anderson,NYM,123,235,31,62,9,0,7,19,18,45,6,1,.264,.316,.391,.708
Aramis A Ramirez,CHC,123,463,72,140,30,0,31,92,35,60,0,1,.302,.358,.568,.926
Luis L Castillo,FLA,122,439,72,132,12,4,4,30,65,32,10,7,.301,.391,.374,.765
Alex A Cintron,ARI,122,330,36,90,19,2,8,48,12,33,1,2,.273,.298,.415,.713
David D De Jesus C,KC,122,461,69,135,31,6,9,56,42,76,5,5,.293,.359,.445,.804
Mark M Ellis,OAK,122,434,76,137,21,5,13,52,44,51,1,3,.316,.384,.477,.861
Mike M Sweeney D,KC,122,470,63,141,39,0,21,83,33,61,3,0,.300,.347,.517,.864
Khalil K Greene S,SD,121,436,51,109,30,2,15,70,25,93,5,0,.250,.296,.431,.727
Omar O Infante,DET,121,406,36,90,28,2,9,43,16,73,8,0,.222,.254,.367,.620
Luis L Matos C,BAL,121,389,53,109,20,2,4,32,27,58,17,9,.280,.340,.373,.712
Jason J Phillips,LAD,121,399,38,95,20,0,10,55,25,50,0,1,.238,.287,.363,.650
Rod R Barajas,TEX,120,410,53,104,24,0,21,60,26,70,0,0,.254,.306,.466,.772
Damon D Hollins C,TB,120,342,44,85,17,1,13,46,23,63,8,1,.249,.296,.418,.714
Bengie B Molina,LAA,119,410,45,121,17,0,15,69,27,41,0,2,.295,.336,.446,.782
John J Buck,KC,118,401,40,97,21,1,12,47,23,94,2,2,.242,.287,.389,.676
Damian D Jackson L,SD,118,275,44,70,9,0,5,23,30,45,15,2,.255,.335,.342,.677
Mike M Lieberthal,PHI,118,392,48,103,25,0,12,47,35,35,0,0,.263,.336,.418,.755
Marco M Scutaro S,OAK,118,381,48,94,22,3,9,37,36,48,5,2,.247,.310,.391,.701
J. T. J Snow,SF,117,367,40,101,17,2,4,40,32,61,1,0,.275,.343,.365,.708
Bobby B Kielty L,OAK,116,377,55,99,20,0,10,57,50,67,3,2,.263,.350,.395,.746
Brian B Schneider,WSH,116,369,38,99,20,1,10,44,29,48,1,0,.268,.330,.409,.739
Wilson W Betemit,ATL,115,246,36,75,12,4,4,20,22,55,1,3,.305,.359,.435,.794
Jose J Cruz R,LAD,115,370,46,93,24,2,18,50,66,101,0,2,.251,.364,.473,.837
Dave D Roberts C,SD,115,411,65,113,19,10,8,38,53,59,23,12,.275,.356,.428,.784
Chris C Snyder,ARI,115,326,24,66,14,0,6,28,40,87,0,1,.202,.297,.301,.598
Rich R Aurilia,CIN,114,426,61,120,23,2,14,68,37,67,2,0,.282,.338,.444,.782
Jerry J Hairston C,CHC,114,380,51,99,25,2,4,30,31,46,8,9,.261,.336,.368,.704
Damian D Miller,MIL,114,385,50,105,25,1,9,43,37,94,0,1,.273,.340,.413,.753
Yadier Y Molina,STL,114,385,36,97,15,1,8,49,23,30,2,3,.252,.295,.358,.654
Orlando O Palmeiro,HOU,114,204,22,58,17,2,3,20,15,23,3,1,.284,.341,.431,.772
Jamey J Carroll,WSH,113,303,44,76,8,1,0,22,34,55,3,4,.251,.333,.284,.617
Lance L Niekro,SF,113,278,32,70,16,3,12,46,17,53,0,2,.252,.295,.460,.755
Mike M Piazza,NYM,113,398,41,100,23,0,19,62,41,67,0,0,.251,.326,.452,.778
Steve S Finley C,LAA,112,406,41,90,20,3,12,54,26,71,8,4,.222,.271,.374,.646
Austin A Kearns R,CIN,112,387,62,93,26,1,18,67,48,107,0,0,.240,.333,.452,.785
John J Mabry R,STL,112,246,26,59,15,1,8,32,20,63,0,0,.240,.295,.407,.701
Jose J Macias,CHC,112,177,15,45,8,0,1,13,6,24,4,3,.254,.274,.316,.591
Pete P Orr,ATL,112,150,32,45,8,1,1,8,6,23,7,1,.300,.331,.387,.718
Nick N Punto,MIN,112,394,45,94,18,4,4,26,36,86,13,8,.239,.301,.335,.636
Nick N Green,TB,111,318,53,76,15,2,5,29,33,86,3,1,.239,.329,.346,.675
Jacob J Cruz,CIN,110,127,12,30,10,0,4,18,16,46,0,0,.236,.324,.409,.734
Tony T Graffanino,BOS,110,379,68,117,17,3,7,38,31,51,7,2,.309,.366,.425,.791
Jason J La Rue,CIN,110,361,38,94,27,0,14,60,41,101,0,0,.260,.355,.452,.806
Kenny K Lofton C,PHI,110,367,67,123,15,5,2,36,32,41,22,3,.335,.392,.420,.811
Rafael R Palmeiro,BAL,110,369,47,98,13,0,18,60,43,43,2,0,.266,.339,.447,.786
Oscar O Robles S,LAD,110,364,44,99,18,1,5,34,31,33,0,8,.272,.332,.368,.700
Todd T Walker,CHC,110,397,50,121,25,3,12,40,31,40,1,1,.305,.355,.474,.828
Edgardo E Alfonzo,SF,109,368,36,102,17,1,2,43,27,34,2,0,.277,.327,.345,.672
Geoff G Blum,CWS,109,319,32,73,15,2,6,25,28,43,3,3,.229,.296,.345,.641
Alex A Gonzalez,TB,109,349,47,94,20,1,9,38,26,74,2,1,.269,.323,.410,.733
Dan D Johnson,OAK,109,375,54,103,21,0,15,58,50,52,0,1,.275,.355,.451,.806
Chipper C Jones,ATL,109,358,66,106,30,0,21,72,72,56,5,1,.296,.412,.556,.968
Olmedo O Saenz,LAD,109,319,39,84,24,0,15,63,27,63,0,1,.263,.325,.480,.804
Chris C Burke L,HOU,108,318,49,79,19,2,5,26,23,62,11,6,.248,.309,.368,.676
Jeff J Da Vanon D,LAA,108,225,42,52,10,1,2,15,39,44,11,6,.231,.347,.311,.658
Julio J Franco,ATL,108,233,30,64,12,1,9,42,27,57,4,0,.275,.348,.451,.799
Tony T Womack,NYY,108,329,46,82,8,1,0,15,12,49,27,5,.249,.276,.280,.556
Chris C Shelton,DET,107,388,61,116,22,3,18,59,34,87,0,0,.299,.360,.510,.870
Cesar C Izturis S,LAD,106,444,48,114,19,2,2,31,25,51,8,8,.257,.302,.322,.624
Juan J Rivera R,LAA,106,350,46,95,17,1,15,59,23,44,1,9,.271,.316,.454,.770
Johnny J Estrada,ATL,105,357,31,93,26,0,4,39,20,38,0,0,.261,.303,.367,.670
Aaron A Hill D,TOR,105,361,49,99,25,3,3,40,34,41,2,1,.274,.342,.385,.727
Mark M Loretta,SD,105,404,54,113,16,1,3,38,45,34,8,4,.280,.360,.347,.707
Jason J Michaels C,PHI,105,289,54,88,16,2,4,31,44,45,3,3,.304,.399,.415,.814
Ryan R Freel,CIN,103,369,69,100,19,3,4,21,51,59,36,10,.271,.371,.371,.743
Javy J Lopez,BAL,103,395,47,110,24,1,15,49,19,68,0,1,.278,.322,.458,.780
Ryan R Church L,WSH,102,268,41,77,15,3,9,42,24,70,3,2,.287,.353,.466,.820
Damion D Easley,FLA,102,267,37,64,19,1,9,30,26,47,4,1,.240,.312,.419,.732
Ricky R Ledee L,LAD,102,237,31,66,16,1,7,39,20,55,0,0,.278,.335,.443,.778
Phil P Nevin D,TEX,102,380,46,90,16,1,12,55,27,97,3,0,.237,.287,.379,.666
Sammy S Sosa R,BAL,102,380,39,84,15,1,14,45,39,84,1,1,.221,.295,.376,.671
Jayson J Werth L,LAD,102,337,46,79,22,2,7,43,48,114,11,2,.234,.338,.374,.712
Jose J Castillo,PIT,101,370,49,99,16,3,11,53,23,59,2,3,.268,.307,.416,.724
Deivi D Cruz,WSH,101,260,28,69,11,1,5,20,11,34,0,1,.265,.298,.373,.671
Jonny J Gomes D,TB,101,348,61,98,13,6,21,54,39,113,9,5,.282,.372,.534,.906
Brad B Hawpe R,COL,101,305,38,80,10,3,9,47,43,70,2,2,.262,.350,.403,.754
Matthew M Le Croy D,MIN,101,304,33,79,5,0,17,50,41,85,0,0,.260,.354,.444,.798
Chris C Magruder,MIL,101,138,16,28,9,0,2,13,7,33,3,0,.203,.265,.312,.576
Miguel M Cairo,NYM,100,327,31,82,18,0,2,19,19,31,13,3,.251,.296,.324,.620
Larry L Walker R,STL,100,315,66,91,20,1,15,52,41,64,2,1,.289,.384,.502,.886
Ramon R Castro,NYM,99,209,26,51,16,0,8,41,25,58,1,0,.244,.321,.435,.756
Ramon R Hernandez,SD,99,369,36,107,19,2,12,58,18,40,1,0,.290,.322,.450,.772
Aaron A Miles,COL,99,324,37,91,12,3,2,28,8,38,4,2,.281,.306,.355,.661
Wily Mo W Peña Pena R,CIN,99,311,42,79,17,0,19,51,20,116,2,1,.254,.304,.492,.796
Endy E Chavez,PHI,98,116,19,25,4,3,0,11,7,14,2,2,.216,.260,.302,.562
Torii T Hunter C,MIN,98,372,63,100,24,1,14,56,34,65,23,7,.269,.337,.452,.788
Dustan D Mohr R,COL,98,266,34,57,10,3,17,38,23,94,1,2,.214,.280,.466,.746
Antonio A Perez,LAD,98,259,28,77,13,2,3,23,21,61,11,4,.297,.360,.398,.758
Jose J Vizcaino,HOU,98,187,15,46,10,2,1,23,15,40,2,0,.246,.299,.337,.636
