PLAYER,TEAM,W,L,ERA,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Scott S Eyre,SF,2,2,2.63,86,0,0,0,0,2,68.1,48,21,20,3,4,26,65,1.08,.200
Mike M Timlin,BOS,7,3,2.24,81,0,0,0,13,20,80.1,86,23,20,2,2,20,59,1.32,.277
Ugueth U Urbina,PHI,5,6,3.62,81,0,0,0,10,18,79.2,56,34,32,12,1,39,97,1.19,.194
Scott S Schoeneweis,TOR,3,4,3.32,80,0,0,0,1,4,57.0,54,23,21,2,4,25,43,1.39,.245
Tom T Gordon,NYY,5,4,2.57,79,0,0,0,2,9,80.2,59,25,23,8,0,29,69,1.09,.203
Bob B Howry,CLE,7,4,2.47,79,0,0,0,3,5,73.0,49,23,20,4,0,16,48,0.89,.191
Gary G Majewski,WSH,4,4,2.93,79,0,0,0,1,5,86.0,80,32,28,2,7,37,50,1.36,.248
Duaner D Sanchez,LAD,4,7,3.73,79,0,0,0,8,12,82.0,75,36,34,8,3,36,71,1.35,.248
Ron R Villone,FLA,5,5,4.08,79,0,0,0,1,9,64.0,57,34,29,4,7,35,70,1.44,.241
Brian B Fuentes,COL,2,5,2.91,78,0,0,0,31,34,74.1,59,25,24,6,10,34,91,1.25,.218
Ryan R Madson,PHI,6,5,4.14,78,0,0,0,0,7,87.0,84,44,40,11,6,25,79,1.25,.259
Kent K Mercker,CIN,3,1,3.65,78,0,0,0,4,7,61.2,64,27,25,8,3,19,45,1.35,.270
Scot S Shields,LAA,10,11,2.75,78,0,0,0,7,13,91.2,66,33,28,5,2,37,98,1.12,.201
Salomon S Torres,PIT,5,5,2.76,78,0,0,0,3,3,94.2,76,34,29,7,5,36,55,1.18,.222
Ray R King,STL,4,4,3.38,77,0,0,0,0,6,40.0,46,17,15,4,3,16,23,1.55,.293
Chad C Qualls,HOU,6,4,3.28,77,0,0,0,0,0,79.2,73,33,29,7,6,23,60,1.21,.249
Chris C Reitsma,ATL,3,6,3.93,76,0,0,0,15,24,73.1,79,32,32,3,0,14,42,1.27,.272
Jesse J Crain,MIN,12,5,2.71,75,0,0,0,1,4,79.2,61,28,24,6,5,29,25,1.13,.219
Juan J Rincon,MIN,6,6,2.45,75,0,0,0,0,5,77.0,63,26,21,2,3,30,84,1.21,.224
Billy B Wagner,PHI,4,3,1.51,75,0,0,0,38,41,77.2,45,17,13,6,3,20,87,0.84,.165
Michael M Wuertz,CHC,6,2,3.81,75,0,0,0,0,3,75.2,60,36,32,6,0,40,89,1.32,.219
Yhency Y Brazoban,LAD,4,10,5.33,74,0,0,0,21,27,72.2,70,46,43,11,5,32,61,1.40,.258
Chad C Cordero,WSH,2,4,1.82,74,0,0,0,47,54,74.1,55,24,15,9,2,17,61,0.97,.198
Julian J Tavarez,STL,2,3,3.43,74,0,0,0,4,6,65.2,68,28,25,6,8,19,47,1.32,.278
Scott S Linebrink,SD,8,1,1.83,73,0,0,0,1,6,73.2,55,17,15,4,0,23,70,1.06,.209
David D Weathers,CIN,7,4,3.94,73,0,0,0,15,19,77.2,71,36,34,7,2,29,61,1.29,.241
Giovanni G Carrara,LAD,7,4,3.93,72,0,0,0,0,2,75.2,65,35,33,6,6,38,56,1.36,.243
Kyle K Farnsworth,ATL,1,1,2.19,72,0,0,0,16,18,70.0,44,18,17,5,3,27,87,1.01,.180
Todd T Williams,BAL,5,5,3.30,72,0,0,0,1,3,76.1,72,34,28,5,3,26,38,1.28,.252
Miguel M Batista,TOR,5,8,4.10,71,0,0,0,31,39,74.2,80,39,34,9,2,27,54,1.43,.268
Mariano M Rivera,NYY,7,4,1.38,71,0,0,0,43,47,78.1,50,18,12,2,4,18,80,0.87,.177
Dan D Wheeler,HOU,2,3,2.21,71,0,0,0,3,5,73.1,53,18,18,7,3,19,69,0.98,.204
Rick R White,PIT,4,7,3.72,71,0,0,0,2,3,75.0,90,39,31,3,4,29,40,1.59,.308
Brad B Lidge,HOU,4,4,2.29,70,0,0,0,42,46,70.2,58,21,18,5,3,23,103,1.15,.223
Jim J Brower,ATL,3,3,5.37,69,0,0,0,1,3,60.1,73,36,36,11,5,32,53,1.74,.302
Francisco F Cordero,TEX,3,1,3.39,69,0,0,0,37,45,69.0,61,28,26,5,4,30,79,1.32,.234
Neal N Cotts,CWS,4,0,1.94,69,0,0,0,0,2,60.1,38,15,13,1,4,29,58,1.11,.179
Joe J Nathan,MIN,7,4,2.70,69,0,0,0,43,48,70.0,46,22,21,5,0,22,94,0.97,.183
Will W Ohman,CHC,2,2,2.91,69,0,0,0,0,3,43.1,32,14,14,6,3,24,45,1.29,.201
B. J. B Ryan,BAL,1,4,2.43,69,0,0,0,36,41,70.1,54,20,19,4,2,26,100,1.14,.208
Derrick D Turnbow,MIL,7,1,1.74,69,0,0,0,39,43,67.1,49,15,13,5,1,24,64,1.08,.199
Luis L Ayala,WSH,8,7,2.66,68,0,0,0,1,3,71.0,75,23,21,7,6,14,40,1.25,.286
Jason J Christiansen,LAA,6,1,5.12,68,0,0,0,0,2,45.2,55,28,26,4,0,17,21,1.58,.296
Todd T Jones,FLA,1,5,2.10,68,0,0,0,40,45,73.0,61,19,17,2,3,14,62,1.03,.230
Mike M Mac Dougal,KC,5,6,3.33,68,0,0,0,21,25,70.1,69,32,26,6,3,24,72,1.32,.257
Cliff C Politte,CWS,7,1,2.00,68,0,0,0,1,2,67.1,42,15,15,7,3,21,57,0.94,.181
J. C. J Romero,MIN,4,3,3.47,68,0,0,0,0,1,57.0,50,26,22,6,6,39,48,1.56,.235
Danys D Baez,TB,5,4,2.86,67,0,0,0,41,49,72.1,66,27,23,7,2,30,51,1.33,.244
Lance L Cormier,ARI,7,3,5.11,67,0,0,0,0,1,79.1,86,50,45,7,5,43,63,1.63,.285
Alan A Embree,NYY,2,5,7.62,67,0,0,0,1,3,52.0,62,47,44,10,2,14,38,1.46,.297
Jason J Frasor,TOR,3,5,3.25,67,0,0,0,1,3,74.2,67,31,27,8,3,28,62,1.27,.247
Roberto R Hernandez,NYM,8,6,2.58,67,0,0,0,4,10,69.2,57,20,20,5,2,28,61,1.22,.228
Jorge J Julio,BAL,3,5,5.90,67,0,0,0,0,2,71.2,76,50,47,14,2,24,58,1.40,.269
Steve S Kline,BAL,2,4,4.28,67,0,0,0,0,3,61.0,59,34,29,11,0,30,36,1.46,.257
Ricardo R Rincon,OAK,1,1,4.34,67,0,0,0,0,2,37.1,34,19,18,7,1,20,27,1.45,.246
Andrew A Sisco,KC,2,5,3.11,67,0,0,0,0,5,75.1,68,27,26,6,2,42,76,1.46,.243
Huston H Street,OAK,5,1,1.72,67,0,0,0,23,27,78.1,53,17,15,3,2,26,72,1.01,.194
Tyler T Walker,SF,6,4,4.23,67,0,0,0,23,28,61.2,68,31,29,9,3,27,54,1.54,.281
Mike M De Jean,COL,5,4,4.48,66,0,0,0,0,3,62.1,62,33,31,3,3,30,52,1.48,.255
La Troy L Hawkins,SF,2,8,3.83,66,0,0,0,6,15,56.1,58,27,24,7,0,24,43,1.46,.265
Damaso D Marte,CWS,3,4,3.77,66,0,0,0,4,8,45.1,45,21,19,5,3,33,54,1.72,.256
Akinori A Otsuka,SD,2,8,3.59,66,0,0,0,1,7,62.2,55,28,25,3,2,34,60,1.42,.234
Francisco F Rodríguez Rodriguez,LAA,2,5,2.67,66,0,0,0,45,50,67.1,45,20,20,7,0,32,91,1.14,.184
Jamie J Walker,DET,4,3,3.70,66,0,0,0,0,2,48.2,49,22,20,5,2,13,30,1.27,.257
Brendan B Donnelly,LAA,9,3,3.72,65,0,0,0,0,5,65.1,60,30,27,9,2,19,53,1.21,.244
Justin J Duchscherer,OAK,7,4,2.21,65,0,0,0,5,7,85.2,67,25,21,7,2,19,85,1.00,.215
Dan D Kolb,ATL,3,8,5.93,65,0,0,0,11,18,57.2,78,39,38,5,1,29,39,1.86,.329
Brian B Meadows,PIT,3,1,4.58,65,0,0,0,0,2,74.2,84,42,38,8,0,21,44,1.41,.287
Mike M Myers,BOS,3,1,3.13,65,0,0,0,0,1,37.1,30,14,13,3,2,13,21,1.15,.224
Al A Reyes,STL,4,2,2.15,65,0,0,0,3,3,62.2,38,15,15,5,5,20,67,0.93,.177
Justin J Speier,TOR,3,2,2.57,65,0,0,0,0,4,66.2,48,20,19,10,3,15,56,0.95,.198
Luis L Vizcaino,CWS,6,5,3.73,65,0,0,0,0,3,70.0,74,30,29,8,2,29,43,1.47,.275
Hector H Carrasco,WSH,5,4,2.04,64,5,0,0,2,4,88.1,59,23,20,6,6,38,75,1.10,.193
J. J Putz,SEA,6,5,3.60,64,0,0,0,1,4,60.0,58,27,24,8,2,23,45,1.35,.254
Brian B Shouse,TEX,3,2,5.23,64,0,0,0,0,2,53.1,55,37,31,7,3,18,35,1.37,.266
Tanyon T Sturtze,NYY,5,3,4.73,64,1,0,0,1,6,78.0,76,43,41,10,6,27,45,1.32,.257
Bob B Wickman,CLE,0,4,2.47,64,0,0,0,45,50,62.0,57,17,17,9,1,21,41,1.26,.247
Ryan R Dempster,CHC,5,3,3.13,63,6,0,0,33,35,92.0,83,35,32,4,4,49,89,1.43,.242
John J Grabow,PIT,2,3,4.85,63,0,0,0,0,1,52.0,46,31,28,6,2,25,42,1.37,.238
Jason J Isringhausen,STL,1,2,2.14,63,0,0,0,39,43,59.0,43,14,14,4,1,27,51,1.19,.202
Vinnie V Chulk,TOR,0,1,3.88,62,0,0,0,0,1,72.0,68,33,31,9,1,26,39,1.31,.255
John J Foster,ATL,4,2,4.15,62,0,0,0,1,2,34.2,27,17,16,3,2,19,32,1.33,.213
Aaron A Fultz,PHI,4,0,2.24,62,0,0,0,0,1,72.1,47,21,18,6,5,23,54,0.97,.186
Russ R Springer,HOU,4,4,4.73,62,0,0,0,0,3,59.0,49,34,31,9,3,21,54,1.19,.222
Doug D Brocail,TEX,5,3,5.52,61,0,0,0,1,4,73.1,90,48,45,2,4,34,61,1.69,.301
Trever T Miller,TB,2,2,4.06,61,0,0,0,0,3,44.1,45,23,20,4,7,29,35,1.67,.278
Jose J Valverde,ARI,3,4,2.44,61,0,0,0,15,17,66.1,51,19,18,5,2,20,75,1.07,.211
Matt M Belisle,CIN,4,8,4.41,60,5,0,0,1,4,85.2,101,49,42,11,6,26,59,1.48,.294
Trevor T Hoffman,SD,1,6,2.97,60,0,0,0,43,46,57.2,52,23,19,3,1,12,54,1.11,.235
