TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Boston Red Sox,AL,162,5646,818,1511,358,22,211,782,587,1140,68,17,.268,.339,.451,.790
New York Yankees,AL,162,5567,859,1485,275,32,201,823,662,1136,103,30,.267,.350,.436,.786
Cincinnati Reds,NL,162,5579,790,1515,293,30,188,761,522,1218,93,43,.272,.338,.436,.774
Toronto Blue Jays,AL,162,5495,755,1364,319,21,257,732,471,1164,58,20,.248,.312,.454,.766
Minnesota Twins,AL,162,5568,781,1521,318,41,142,749,559,967,68,28,.273,.341,.422,.762
Colorado Rockies,NL,162,5530,770,1452,270,54,173,741,585,1274,99,42,.263,.336,.425,.760
Milwaukee Brewers,NL,162,5606,750,1471,293,33,182,710,546,1216,81,26,.262,.335,.424,.758
Texas Rangers,AL,162,5635,787,1556,268,25,162,740,511,986,123,48,.276,.338,.419,.757
Chicago White Sox,AL,162,5484,752,1467,263,21,177,710,467,922,160,74,.268,.332,.420,.752
Detroit Tigers,AL,162,5643,751,1515,308,32,152,717,546,1147,69,30,.268,.335,.415,.750
Philadelphia Phillies,NL,162,5581,772,1451,290,34,166,736,560,1064,108,21,.260,.332,.413,.745
Arizona Diamondbacks,NL,162,5473,713,1366,301,34,180,691,589,1529,86,41,.250,.325,.416,.740
Atlanta Braves,NL,162,5463,738,1411,312,25,139,699,634,1140,63,29,.258,.339,.401,.740
Tampa Bay Rays,AL,162,5439,802,1343,295,37,160,769,672,1292,172,47,.247,.333,.403,.736
St. Louis Cardinals,NL,162,5542,736,1456,285,18,150,689,541,1027,79,41,.263,.332,.402,.733
Kansas City Royals,AL,162,5604,676,1534,279,31,121,640,471,905,115,50,.274,.331,.399,.730
San Francisco Giants,NL,162,5488,697,1411,284,30,162,660,487,1099,55,32,.257,.321,.408,.730
Florida Marlins,NL,162,5531,719,1403,294,37,152,686,514,1375,92,26,.254,.321,.403,.724
Chicago Cubs,NL,162,5512,685,1414,298,27,149,658,479,1236,55,31,.257,.320,.401,.721
Washington Nationals,NL,162,5418,655,1355,250,31,149,634,503,1220,110,41,.250,.318,.390,.708
Oakland Athletics,AL,162,5448,663,1396,276,30,109,619,527,1061,156,38,.256,.324,.378,.702
Baltimore Orioles,AL,162,5554,613,1440,264,21,133,577,424,1056,76,34,.259,.316,.386,.702
Los Angeles Angels,AL,162,5488,681,1363,276,19,155,656,466,1070,104,52,.248,.311,.390,.702
Los Angeles Dodgers,NL,162,5426,667,1368,270,29,120,621,533,1184,92,50,.252,.322,.379,.700
Cleveland Indians,AL,162,5487,646,1362,290,20,128,601,545,1184,91,33,.248,.322,.378,.700
New York Mets,NL,162,5465,656,1361,266,40,128,625,502,1095,130,44,.249,.314,.383,.697
San Diego Padres,NL,162,5434,665,1338,236,24,132,630,538,1183,124,50,.246,.317,.371,.689
Pittsburgh Pirates,NL,162,5386,587,1303,276,27,126,570,463,1207,87,36,.242,.304,.373,.678
Houston Astros,NL,162,5452,611,1348,252,25,108,577,415,1025,100,36,.247,.303,.362,.665
Seattle Mariners,AL,162,5409,513,1274,227,16,101,485,459,1184,142,39,.236,.298,.339,.637
