PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Carlos C Beltrán Beltran,KC,162,637,114,174,44,7,29,105,71,135,35,7,.273,.346,.501,.847
Aaron A Boone,CIN,162,606,83,146,38,2,26,87,56,111,32,8,.241,.314,.439,.753
Derrek D Lee,FLA,162,581,95,157,35,7,27,86,98,164,19,9,.270,.378,.494,.872
Terrence T Long C,OAK,162,587,71,141,32,4,16,67,48,96,3,6,.240,.298,.390,.689
Alex A Rodriguez S,TEX,162,624,125,187,27,2,57,142,87,122,9,4,.300,.392,.623,1.015
Miguel M Tejada S,OAK,162,662,108,204,30,0,34,131,38,84,7,2,.308,.354,.508,.861
Tony T Batista,BAL,161,615,90,150,36,1,31,87,50,107,5,4,.244,.309,.457,.766
Vladimir V Guerrero R,MON,161,614,106,206,37,2,39,111,84,70,40,20,.336,.417,.593,1.010
Mike M Lowell,FLA,160,597,88,165,44,0,24,92,65,92,4,3,.276,.346,.471,.816
Adrian A Beltré,LA,159,587,70,151,26,5,21,75,37,96,7,5,.257,.303,.426,.729
Vernon V Wells C,TOR,159,608,87,167,34,4,23,100,27,85,9,4,.275,.305,.457,.762
Garret G Anderson L,ANA,158,638,93,195,56,3,29,123,30,80,6,4,.306,.332,.539,.871
Jeff J Bagwell,HOU,158,571,94,166,33,2,31,98,101,130,7,3,.291,.401,.518,.919
Lance L Berkman C,HOU,158,578,106,169,35,2,42,128,107,118,8,4,.292,.405,.578,.982
Mike M Cameron C,SEA,158,545,84,130,26,5,25,80,79,176,31,8,.239,.340,.442,.782
Adam A Dunn L,CIN,158,535,84,133,28,2,26,71,128,170,19,9,.249,.400,.454,.854
Shawn S Green R,LA,158,582,110,166,31,1,42,114,93,112,8,5,.285,.385,.558,.944
Chipper C Jones L,ATL,158,548,90,179,35,1,26,100,107,89,8,2,.327,.435,.536,.972
Bobby B Abreu R,PHI,157,572,102,176,50,6,20,85,104,117,31,12,.308,.413,.521,.934
Pat P Burrell L,PHI,157,586,96,165,39,2,37,116,89,153,1,0,.282,.376,.544,.920
Derek D Jeter S,NYY,157,644,124,191,26,0,18,75,73,114,32,3,.297,.373,.421,.794
Albert A Pujols L,STL,157,590,118,185,40,2,34,127,72,69,2,4,.314,.394,.561,.955
Richie R Sexson,MIL,157,570,86,159,37,2,29,102,70,136,0,0,.279,.363,.504,.867
Ichiro I Suzuki R,SEA,157,647,111,208,27,8,8,51,68,62,31,15,.321,.388,.425,.813
Nomar N Garciaparra S,BOS,156,635,101,197,56,5,24,120,41,63,5,2,.310,.352,.528,.880
Troy T Glaus,ANA,156,569,99,142,24,1,30,111,88,144,10,3,.250,.352,.453,.805
Todd T Helton,COL,156,553,107,182,39,4,30,109,99,91,5,1,.329,.429,.577,1.006
Shea S Hillenbrand,BOS,156,634,94,186,43,4,18,83,25,95,4,2,.293,.330,.459,.789
Alfonso A Soriano,NYY,156,696,128,209,51,2,39,102,23,157,41,13,.300,.332,.547,.880
Michael M Young,TEX,156,573,77,150,26,8,9,62,41,112,6,7,.262,.308,.382,.690
Bret B Boone,SEA,155,608,88,169,34,3,24,107,53,102,12,5,.278,.339,.462,.801
Jason J Giambi,NYY,155,560,120,176,34,1,41,122,109,112,2,2,.314,.435,.598,1.034
Rafael R Palmeiro,TEX,155,546,99,149,34,0,43,105,104,94,2,0,.273,.391,.571,.962
Scott S Rolen,STL,155,580,89,154,29,8,31,110,72,102,8,4,.266,.357,.503,.860
Juan J Uribe S,COL,155,566,69,136,25,7,6,49,34,120,9,2,.240,.286,.341,.627
Todd T Walker,CIN,155,612,79,183,42,3,11,64,50,81,8,5,.299,.353,.431,.785
David D Bell,SF,154,552,82,144,29,2,20,73,54,80,1,2,.261,.333,.429,.762
Jeromy J Burnitz R,NYM,154,479,65,103,15,0,19,54,58,135,10,7,.215,.311,.365,.677
Johnny J Damon C,BOS,154,623,118,178,34,11,14,63,65,70,31,6,.286,.356,.443,.799
Rafael R Furcal S,ATL,154,636,95,175,31,8,8,47,43,114,27,15,.275,.323,.387,.710
Andruw A Jones C,ATL,154,560,91,148,34,0,35,94,83,135,8,3,.264,.366,.513,.878
John J Olerud,SEA,154,553,85,166,39,0,22,102,98,66,0,0,.300,.403,.490,.893
Jimmy J Rollins S,PHI,154,637,82,156,33,10,11,60,54,103,31,13,.245,.306,.380,.686
