PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Steve S Finley C,LA,162,628,92,170,28,1,36,94,61,82,9,7,.271,.333,.490,.823
Hideki H Matsui L,NYY,162,584,109,174,34,2,31,108,88,103,3,0,.298,.390,.522,.912
Juan J Pierre C,FLA,162,678,100,221,22,12,3,49,45,35,45,24,.326,.374,.407,.781
Miguel M Tejada S,BAL,162,653,107,203,40,2,34,150,48,73,4,1,.311,.360,.534,.894
Orlando O Cabrera S,BOS,161,618,74,163,38,3,10,62,39,54,16,4,.264,.306,.383,.690
Adam A Dunn L,CIN,161,568,105,151,34,0,46,102,108,195,6,1,.266,.388,.569,.956
Derrek D Lee,CHC,161,605,90,168,39,1,32,98,68,128,12,5,.278,.356,.504,.860
Ichiro I Suzuki R,SEA,161,704,101,262,24,5,8,60,49,63,36,11,.372,.414,.455,.869
Lance L Berkman R,HOU,160,544,104,172,40,3,30,106,127,101,9,7,.316,.450,.566,1.016
Miguel M Cabrera R,FLA,160,603,101,177,31,1,33,112,68,148,5,2,.294,.366,.512,.879
Brad B Wilkerson,MON,160,572,112,146,39,2,32,67,106,152,13,6,.255,.374,.498,.872
Michael M Young S,TEX,160,690,114,216,33,9,22,99,44,89,12,3,.313,.353,.483,.836
Bobby B Abreu R,PHI,159,574,118,173,47,1,30,105,127,116,40,5,.301,.428,.544,.971
Carlos C Beltrán Beltran,HOU,159,599,121,160,36,9,38,104,92,101,42,3,.267,.367,.548,.915
Hank H Blalock,TEX,159,624,107,172,38,3,32,110,75,149,2,2,.276,.355,.500,.855
Brian B Giles R,SD,159,609,97,173,33,7,23,94,89,80,10,3,.284,.374,.475,.849
Alex A Gonzalez S,FLA,159,561,67,130,30,3,23,79,27,126,3,1,.232,.270,.419,.689
Cesar C Izturis S,LA,159,670,90,193,32,9,4,62,43,70,25,9,.288,.330,.381,.710
Lyle L Overbay,MIL,159,579,83,174,53,1,16,87,81,128,2,1,.301,.385,.478,.863
Brian B Roberts,BAL,159,641,107,175,50,2,4,53,71,95,29,12,.273,.344,.376,.720
Mike M Lowell,FLA,158,598,87,175,44,1,27,85,64,77,5,1,.293,.365,.505,.870
Tony T Batista,MON,157,606,76,146,30,2,32,110,26,78,14,6,.241,.272,.455,.728
Shawn S Green,LA,157,590,92,157,28,1,28,86,71,114,5,2,.266,.352,.459,.811
Aubrey A Huff,TB,157,600,92,178,27,2,29,104,56,74,5,1,.297,.360,.493,.853
Geoff G Jenkins L,MIL,157,617,88,163,36,6,27,93,46,152,3,1,.264,.325,.473,.798
